,https://roic.ai/company/HEAR,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,-2.7397,-1.5101,-1.4022,-14.0589,-18.3236,-13.1625,-0.0413,-0.4147,-0.4077,0.0649,0.1758,0.0760,0.1615,0.0705
17,Operating Income,-2149732,-986426,-921701,-1176676,-4474245,-7668408,-13825000,-74399000,-77701000,4798000,54041000,10427000,49167000,20431000
18,Operating Income ratio,-2.8920,-1.6248,-1.5184,-14.8632,-19.1494,-13.6230,-0.0743,-0.4571,-0.4466,0.0322,0.1880,0.0444,0.1365,0.0558
19,Total Other Income Expenses (Gains),- -,- -,-348401,-27899,-2964,-2016,-7933000,-6115000,-9868000,-7453000,-13114000,1280000,3290000,-282000
20,Income Before Tax,- -,- -,- -,- -,- -,-7670424,-21758000,-80514000,-87569000,-2655000,40927000,11707000,52457000,20149000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,-13.6266,-0.1169,-0.4947,-0.5033,-0.0178,0.1424,0.0499,0.1457,0.0550
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,-6272000,2393000,-387000,593000,1737000,-6237000,13711000,2428000
23,Net Income,-2149732,-986426,-923197,-1484458,-4462182,-7670424,-15486000,-82907000,-87182000,-3248000,39190000,17944000,38746000,17721000
24,Net Income ratio,-2.8920,-1.6248,-1.5208,-18.7510,-19.0978,-13.6266,-0.0832,-0.5094,-0.5011,-0.0218,0.1363,0.0765,0.1076,0.0484
25,EPS,-2.81,-1.29,-1.20,-1.80,-3.40,-1.16,-1.56,-7.84,-7.16,-0.28,2.90,1.24,2.62,1.11
26,EPS Diluted,-2.81,-1.29,-1.20,-1.80,-3.40,-1.16,-1.56,-7.84,-7.16,-0.28,2.74,1.04,2.37,0.97
27,Weighted Average Shares Outstanding,765303,765303,765303,848400,1314505,6587337,9916250,10567250,12148000,12335750,13512000,14483000,14801000,15915000
28,Weighted Average Shares Outstanding Diluted,765303,765303,765303,848400,1314505,6587337,9916250,10567250,12148000,12335750,14289000,15688000,16365000,18251000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1493761/000101968710004361/0001019687-10-004361-index.html,https://www.sec.gov/Archives/edgar/data/1493761/000101968711003689/0001019687-11-003689-index.html,https://www.sec.gov/Archives/edgar/data/1493761/000101968712004314/0001019687-12-004314-index.html,https://www.sec.gov/Archives/edgar/data/1493761/000101968713004651/0001019687-13-004651-index.html,- -,https://www.sec.gov/Archives/edgar/data/1493761/000149376116000045/0001493761-16-000045-index.html,https://www.sec.gov/Archives/edgar/data/1493761/000149376117000011/0001493761-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/1493761/000149376118000011/0001493761-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1493761/000149376119000015/0001493761-19-000015-index.html,https://www.sec.gov/Archives/edgar/data/1493761/000156459020010784/0001564590-20-010784-index.html,https://www.sec.gov/Archives/edgar/data/1493761/000156459021010997/0001564590-21-010997-index.htm,https://www.sec.gov/Archives/edgar/data/1493761/000156459022008333/0001564590-22-008333-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,439385,491764,5527647,1597879,7908000,7114000,6183000,5247000,7078000,8249000,46681000,37720000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,439385,491764,5527647,1597879,7908000,7114000,6183000,5247000,7078000,8249000,46681000,37720000
34,Net Receivables,69677,29910,- -,- -,39371,177453,61059000,57192000,54633000,50534000,52797000,44530000,43867000,35953000
35,Inventory,954792,422457,206,273268,443704,723420,38400000,26146000,21698000,27518000,49472000,45711000,71301000,101933000
36,Other Current Assets,- -,- -,20779,64971,62828,95932,10230000,4451000,4121000,3467000,4469000,4057000,8127000,17506000
37,Total Current Assets,1024469,452367,460370,830003,6073550,2594684,117597000,94903000,86635000,86766000,113816000,102547000,169976000,193112000
38,PP&E,1134,- -,8091,145252,176912,219369,6722000,6859000,4311000,4677000,5856000,3962000,6575000,6955000
39,Goodwill,- -,- -,- -,- -,- -,- -,80974000,31152000,- -,- -,- -,8515000,8178000,10686000
40,Intangible Assets,637856,553645,- -,148540,1314861,1451298,39726000,37956000,1618000,1404000,1036000,6011000,5138000,5789000
41,Intangible Assets,637856,553645,175726,148540,1314861,1451298,120700000,69108000,1618000,1404000,1036000,14526000,13316000,16475000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,1128000,- -,543000,362000,- -,7439000,6946000,5899000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,821000,2981000,1693000,1042000,1212000,2877000,6640000,8065000
45,Total Non-Current Assets,638990,553645,183817,293792,1491773,1670667,129371000,78948000,8165000,7485000,8104000,28804000,33477000,37394000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1663459,1006012,644187,1123795,7565323,4265351,246968000,173851000,94800000,94251000,121920000,131351000,203453000,230505000
48,Accounts Payable,9888,4662,147670,164190,173337,862522,35546000,17680000,11927000,13459000,17724000,22511000,42529000,40475000
49,Short-Term Debt,- -,- -,436728,- -,- -,37486,38786000,37267000,38552000,42640000,37385000,15655000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2504000,5670000,3459000
51,Deferred Revenue,- -,- -,- -,- -,- -,682,- -,- -,- -,- -,- -,- -,6946000,- -
52,Other Current Liabilities,65378,78146,27307,239150,139875,183034,14525000,14236000,16414000,11451000,18488000,26422000,29176000,37693000
53,Total Current Liabilities,75266,82808,611705,403340,313212,1083724,88857000,69183000,66893000,67550000,73597000,64588000,78651000,78168000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,5769000,28930000,28323000,27625000,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,648000,4000,- -,- -,187000,153000,128000,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,94611,20508000,19082000,20280000,21233000,10640000,3223000,8275000,10968000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,94611,26925000,48016000,48603000,48858000,10827000,3376000,8403000,10968000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,132097,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,75266,82808,611705,403340,313212,1178335,115782000,117199000,115496000,116408000,84424000,67964000,87054000,89136000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,15306,19517,6408,6835,42000,43000,49000,49000,14000,14000,15000,16000
64,Retained Earnings,- -,- -,-685951,-2170409,-6632591,-14303015,3289000,-79618000,-166800000,-170048000,-131463000,-113519000,-74773000,-57052000
65,Other Comprehensive Income/Loss,-180102,-181236,-101817,-125217,-202342,-335353,-229000,-466000,-560000,-203000,-476000,116000,589000,127000
66,Other Total Stockholders Equity,1768295,1104440,804944,2996564,14080636,17718549,- -,136693000,146615000,148045000,169421000,176776000,190568000,- -
67,Total Stockholders Equity,1588193,923204,32482,720455,7252111,3087016,131186000,56652000,-20696000,-22157000,37496000,63387000,116399000,141369000
68,Total Liabilities And Stockholders Equity,1663459,1006012,644187,1123795,7565323,4265351,246968000,173851000,94800000,94251000,121920000,131351000,203453000,230505000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1663459,1006012,644187,1123795,7565323,4265351,246968000,173851000,94800000,94251000,121920000,131351000,203453000,230505000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1493761/000101968710004361/0001019687-10-004361-index.html,https://www.sec.gov/Archives/edgar/data/1493761/000101968711003689/0001019687-11-003689-index.html,https://www.sec.gov/Archives/edgar/data/1493761/000101968712004314/0001019687-12-004314-index.html,https://www.sec.gov/Archives/edgar/data/1493761/000101968713004651/0001019687-13-004651-index.html,- -,https://www.sec.gov/Archives/edgar/data/1493761/000149376116000045/0001493761-16-000045-index.html,https://www.sec.gov/Archives/edgar/data/1493761/000149376117000011/0001493761-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/1493761/000149376118000011/0001493761-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1493761/000149376119000015/0001493761-19-000015-index.html,https://www.sec.gov/Archives/edgar/data/1493761/000156459020010784/0001564590-20-010784-index.html,https://www.sec.gov/Archives/edgar/data/1493761/000156459021010997/0001564590-21-010997-index.htm,https://www.sec.gov/Archives/edgar/data/1493761/000156459022008333/0001564590-22-008333-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-2149732,-986426,-923197,-1484458,-4462182,-7670424,-15486000,-82907000,-87182000,-3248000,39190000,17944000,38746000,17721000
74,Depreciation and Amortization,113215,69620,71993,62957,180900,256670,6866000,7916000,9194000,4422000,4257000,5198000,5248000,5313000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-9998000,5414000,-547000,181000,549000,-8159000,468000,1119000
76,Stock Based Compensation,797805,447893,5521,188311,1686909,2106373,5194000,5897000,3960000,1430000,1877000,3558000,5549000,7656000
77,Change in Working Capital,492002,-579644,-520894,577998,5333675,-4249378,27229040,-3020000,-5978000,-526000,21003000,-2260000,53366000,-30238000
78,Accounts Receivable,42612,42305,29910,- -,-39371,-138082,-10396000,1752000,4092000,3109000,-6978000,9931000,-1755000,9682000
79,Inventory,526679,463256,338070,-241000,-162832,-228638,11363000,11147000,-6966000,-7496000,-25391000,7264000,-30675000,-32240000
80,Accounts Payable,-85815,-5226,143008,16520,9147,689185,-10552000,-17287000,-5057000,1494000,4101000,-393000,18668000,-2793000
81,Other Working Capital,949203,369559,-151335,426663,5760338,1510960,28740000,25720000,19742000,19216000,40219000,37959000,91325000,- -
82,Other Non-Cash Items,285518,1205600,1624184,-337327,-5491467,4589534,-28639040,51567000,78723000,1159000,-24627000,23093000,-52328000,-1898000
83,Cash Provided by Operating Activities,-461192,157043,257607,-992519,-2752165,-4967225,-14834000,-15133000,-1830000,3418000,42249000,39374000,51049000,-327000
84,CAPEX,-116384,-30587,-27983,-181548,-403881,-295597,-3536000,-6693000,-3229000,-4411000,-5079000,-1912000,-5663000,-5621000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,4093000,- -,- -,- -,- -,-12667000,- -,-2500000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-116384,-30587,-27983,-181548,-403881,-295597,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-116384,-30587,-27983,-181548,-403881,-295597,557000,-6693000,-3229000,-4411000,-5079000,-14579000,-5663000,-8121000
90,Debt Repayment,- -,- -,- -,-30000,- -,-24033,-193870000,-226517000,-209520000,-172783000,-401454000,-241640000,-339248000,-120858000
91,Common Stock Issued,- -,- -,- -,1000000,9240304,- -,37230000,- -,5968000,- -,- -,- -,4373000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1636000,-2780000,-325000,-5345000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,577576,-126456,209761,256446,-1048375,1357087,172609000,247651000,207765000,172621000,367961000,220240000,327788000,126147000
95,Cash Used/Provided by Financing Activities,577576,-126456,209761,1226446,8191929,1333054,15969000,21134000,4213000,-162000,-35129000,-24180000,-7412000,-56000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,-293000,-102000,-85000,219000,-210000,556000,458000,-457000
97,Net Change In Cash,- -,- -,- -,52379,5035883,-3929768,1399000,-794000,-931000,-936000,1831000,1171000,38432000,-8961000
98,Cash at the End of Period,- -,- -,439385,491764,5527647,1597879,7908000,7114000,6183000,5247000,7078000,8249000,46681000,37720000
99,Cash at the Beginning of Period,- -,- -,- -,439385,491764,5527647,6509000,7908000,7114000,6183000,5247000,7078000,8249000,46681000
100,Free Cash Flow,-577576,126456,229624,-1174067,-3156046,-5262822,-18370000,-21826000,-5059000,-993000,37170000,37462000,45386000,-5948000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1493761/000101968710004361/0001019687-10-004361-index.html,https://www.sec.gov/Archives/edgar/data/1493761/000101968711003689/0001019687-11-003689-index.html,https://www.sec.gov/Archives/edgar/data/1493761/000101968712004314/0001019687-12-004314-index.html,https://www.sec.gov/Archives/edgar/data/1493761/000101968713004651/0001019687-13-004651-index.html,- -,https://www.sec.gov/Archives/edgar/data/1493761/000149376116000045/0001493761-16-000045-index.html,https://www.sec.gov/Archives/edgar/data/1493761/000149376117000011/0001493761-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/1493761/000149376118000011/0001493761-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1493761/000149376119000015/0001493761-19-000015-index.html,https://www.sec.gov/Archives/edgar/data/1493761/000156459020010784/0001564590-20-010784-index.html,https://www.sec.gov/Archives/edgar/data/1493761/000156459021010997/0001564590-21-010997-index.htm,https://www.sec.gov/Archives/edgar/data/1493761/000156459022008333/0001564590-22-008333-index.htm
102,false,,,,,,,,,,,,,,
