,https://roic.ai/company/CNFN,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,550992,580920,349541,63600,75242,24616,83311,206475,10436,53450,299937,443650,15734,25815
52,Other Current Liabilities,- -,- -,116341,56030,425265,347890,416020,284526,1703007,1202495,2236750,2639008,2479083,3018394,361234,79823
53,Total Current Liabilities,- -,249430,881911,1079515,774806,943157,907771,608467,1786318,1408970,6882186,5238271,7059026,6861284,376968,1240733
54,Long-Term Debt,- -,- -,- -,375787,1003633,559555,625081,- -,- -,2900000,- -,4588227,4670926,8548243,484177,- -
55,Deferred Revenue,- -,- -,- -,86110,74897,136,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,90307,- -,- -,- -,- -,- -,- -,- -,- -,1487500,1062500,637500,- -,714812
58,Total Non-Current Liabilities,- -,- -,90307,461897,1078530,559691,625081,- -,- -,2900000,- -,6075727,5733426,9185743,484177,714812
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,249430,972218,1541412,1853336,1502848,1532852,608467,1786318,4308970,6882186,11313998,12792452,16047027,861145,1955545
62,Preferred Stock,- -,728567,4373130,4373130,4294380,4279380,3888152,- -,- -,- -,- -,- -,- -,- -,4,4
63,Common Stock,- -,19140,21779,27185,30150,33525,39851,55991,58394,62815,65068,63414,65938,66179,99679,104792
64,Retained Earnings,- -,-2410978,-5706710,-11113512,-13537808,-14701875,-16252812,-15843095,-15749319,-19002574,-25266612,-29118196,-31542684,-42960124,-34721149,- -
65,Other Comprehensive Income/Loss,- -,- -,-10689,-24436,-39224,-14027,-20878,-38918,- -,-10971,-21680,-77329,-41540,-77355,-83473,- -
66,Other Total Stockholders Equity,- -,1925220,2428751,6576708,7952429,9347938,11456372,16306379,17908278,19618153,23440366,25211737,26301748,29498125,34031326,-1609864
67,Total Stockholders Equity,- -,261949,1106261,-160925,-1300073,-1055059,-889315,480357,2217353,667423,-1782858,-3920374,-5216538,-13473175,-673613,-1505068
68,Total Liabilities And Stockholders Equity,- -,511379,2078479,1380487,553263,447789,643537,1088824,4003671,4976393,5099328,7393624,7575914,2573852,187532,450477
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-200000
70,Total Liabilities & Equity,- -,511379,2078479,1380487,553263,447789,643537,1088824,4003671,4976393,5099328,7393624,7575914,2573852,187532,250477
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1352952/000143774909000316/0001437749-09-000316-index.html,https://www.sec.gov/Archives/edgar/data/1352952/000143774910000805/0001437749-10-000805-index.html,- -,https://www.sec.gov/Archives/edgar/data/1352952/000143774912003000/0001437749-12-003000-index.html,https://www.sec.gov/Archives/edgar/data/1352952/000143774913002417/0001437749-13-002417-index.html,https://www.sec.gov/Archives/edgar/data/1352952/000143774914011539/0001437749-14-011539-index.htm,https://www.sec.gov/Archives/edgar/data/1352952/000143774915005451/0001437749-15-005451-index.htm,https://www.sec.gov/Archives/edgar/data/1352952/000143774916027968/0001437749-16-027968-index.html,https://www.sec.gov/Archives/edgar/data/1352952/000143774917005089/0001437749-17-005089-index.html,https://www.sec.gov/Archives/edgar/data/1352952/000143774918005587/0001437749-18-005587-index.html,https://www.sec.gov/Archives/edgar/data/1352952/000143774919007308/0001437749-19-007308-index.htm,https://www.sec.gov/Archives/edgar/data/1352952/000143774920013150/0001437749-20-013150-index.htm,https://www.sec.gov/Archives/edgar/data/1352952/000109690621000648/0001096906-21-000648-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,- -,-2364655,-3000000,-4990000,-2010000,-760000,-1180000,490000,90000,-3253260,-6264040,-3851580,-2424490,-11417440,8365550,-80422
74,Depreciation and Amortization,- -,58635,199395,412619,313526,202582,20342,35804,110000,1321610,1338667,761276,707081,604258,38191,1809
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15625
77,Change in Working Capital,- -,233045,- -,189120,-910335,130886,-168006,254023,665334,157634,1177837,-5576694,3020816,-2720817,-846514,4255222
78,Accounts Receivable,- -,- -,- -,-127253,22824,-83614,-289237,-316048,-408717,-860935,-266475,-350991,-346515,836493,-236399,43649
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-39017
80,Accounts Payable,- -,- -,- -,- -,-46517,-49722,- -,-128798,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,179038,179038,368158,-542177,-411291,-579297,-325274,340060,497694,1675531,-3901163,-880347,-3601164,-4447678,-192456
82,Other Non-Cash Items,- -,1550000,17541,2427379,1736501,-387893,683616,-613768,-116136,-847584,1659771,8987910,-2773589,10073503,-14522863,-4675756
83,Cash Provided by Operating Activities,- -,-522975,-2783064,-1960882,-870308,-814425,-644048,166059,749198,-2621600,-2087765,320912,-1470182,-3460496,-6965636,-483522
84,CAPEX,- -,-141546,-295018,-61031,-4516,-17416,-59052,-41770,-780951,-1323108,-1588968,-2017965,-1777188,-1389630,-1752,-6634
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,36621,242000,137176,- -,- -,- -,- -,- -,-420000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-200000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-61031,-4516,-17416,-59052,-41770,-216307,-598386,-1577878,-2010823,-1776293,-1388880,20892667,- -
89,Cash Used for Investing Activites,- -,-141546,-295018,-61031,-4516,-17416,-22431,200230,-643775,-1323108,-1577878,-2010823,-1776293,-1388880,20470915,-206634
90,Debt Repayment,- -,- -,- -,-28983,- -,- -,-100000,-365000,-266180,- -,- -,-355835,-2305558,-3244248,- -,- -
91,Common Stock Issued,- -,1078567,3760625,- -,204830,740340,- -,- -,- -,- -,- -,- -,125000,- -,- -,410000
92,Common Stock Repurchased,- -,- -,- -,- -,-52000,-14000,-20000,- -,- -,- -,- -,- -,- -,- -,-96667,-60000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-20000,-145496,1352500,597240,68937,799626,125887,1086146,3929031,3453780,2873427,3878000,7989850,-13372514,413000
95,Cash Used/Provided by Financing Activities,- -,1058567,3615129,1323517,750070,795277,679626,-239113,819966,3929031,3453780,2517592,1697442,4745602,-13469181,763000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10971,-10709,-55649,35789,-35814,-5666,-456
97,Net Change In Cash,- -,394046,537047,-698396,-124754,-36564,13147,127176,925389,-26648,-222572,772032,-1513244,-139588,30432,72388
98,Cash at the End of Period,- -,414270,951317,252921,128167,91603,104750,231926,1157315,1130667,908095,1680127,166883,77295,107727,180115
99,Cash at the Beginning of Period,- -,20224,414270,951317,252921,128167,91603,104750,231926,1157315,1130667,908095,1680127,216883,77295,107727
100,Free Cash Flow,- -,-664521,-3078082,-2021913,-874824,-831841,-703100,124289,-31753,-3944708,-3676733,-1697053,-3247370,-4850126,-6967388,-490156
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1352952/000143774909000316/0001437749-09-000316-index.html,https://www.sec.gov/Archives/edgar/data/1352952/000143774910000805/0001437749-10-000805-index.html,- -,https://www.sec.gov/Archives/edgar/data/1352952/000143774912003000/0001437749-12-003000-index.html,https://www.sec.gov/Archives/edgar/data/1352952/000143774913002417/0001437749-13-002417-index.html,https://www.sec.gov/Archives/edgar/data/1352952/000143774914011539/0001437749-14-011539-index.htm,https://www.sec.gov/Archives/edgar/data/1352952/000143774915005451/0001437749-15-005451-index.htm,https://www.sec.gov/Archives/edgar/data/1352952/000143774916027968/0001437749-16-027968-index.html,https://www.sec.gov/Archives/edgar/data/1352952/000143774917005089/0001437749-17-005089-index.html,https://www.sec.gov/Archives/edgar/data/1352952/000143774918005587/0001437749-18-005587-index.html,https://www.sec.gov/Archives/edgar/data/1352952/000143774919007308/0001437749-19-007308-index.htm,https://www.sec.gov/Archives/edgar/data/1352952/000143774920013150/0001437749-20-013150-index.htm,https://www.sec.gov/Archives/edgar/data/1352952/000109690621000648/0001096906-21-000648-index.htm
102,false,,,,,,,,,,,,,,,,
