,https://roic.ai/company/RARE,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,10645000,86190000,7427000,24324000,93569000,161120000,100488000,113432000,433584000,713526000,307584000
32,Short-Term Investments,- -,- -,45950000,163163000,343428000,219028000,134005000,346274000,321646000,488007000,432612000
33,Cash and Short-Term Investments,10645000,86190000,53377000,187487000,436997000,380148000,234493000,459706000,755230000,1201533000,740196000
34,Net Receivables,103000,- -,- -,- -,- -,- -,5172000,12740000,32844000,23093000,28432000
35,Inventory,- -,- -,- -,- -,- -,- -,757000,7065000,11546000,13048000,16231000
36,Other Current Assets,205000,255000,1848000,5929000,13210000,21547000,29161000,42858000,51397000,57630000,71745000
37,Total Current Assets,10953000,86445000,55225000,193416000,450207000,401695000,269583000,522369000,851017000,1295304000,856604000
38,PP&E,759000,1362000,1325000,3033000,7373000,17055000,21837000,20046000,74676000,114039000,176183000
39,Goodwill,- -,- -,- -,- -,- -,- -,44406000,44406000,44406000,44406000,44406000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,141545000,129223000,129000000,131113000,130788000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,185951000,173629000,173406000,175519000,175194000
42,Investments,- -,- -,- -,- -,99259000,117963000,9975000,- -,32926000,165881000,293858000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,417000,509000,3099000,1518000,2730000,3913000,3407000,3514000,3471000,8812000,20558000
45,Total Non-Current Assets,1176000,1871000,4424000,4551000,109362000,138931000,221170000,197189000,284479000,464251000,665793000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,12129000,88316000,59649000,197967000,559569000,540626000,490753000,719558000,1135496000,1759555000,1522397000
48,Accounts Payable,342000,1200000,1437000,4857000,2942000,5364000,8886000,12275000,12871000,12923000,17138000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,8976000,11066000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,5986000,- -,- -,59219000,7609000
52,Other Current Liabilities,657000,1988000,4484000,7660000,24976000,54895000,56142000,62450000,90429000,108491000,145555000
53,Total Current Liabilities,999000,3188000,5921000,12517000,27918000,60259000,71014000,74725000,103300000,189609000,181368000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,39251000,30904000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,7349000,1467000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,31166000,31166000,33306000,33306000,33306000
57,Other Non-Current Liabilities,487000,788000,3619000,505000,561000,6393000,5119000,4759000,345126000,335665000,352791000
58,Total Non-Current Liabilities,487000,788000,3619000,505000,561000,6393000,36285000,35925000,378432000,415571000,418468000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,36992000,48227000,41970000
61,Total Liabilities,1486000,3976000,9540000,13022000,28479000,66652000,107299000,110650000,481732000,605180000,599836000
62,Preferred Stock,18604000,111387000,124930000,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,3000,3000,4000,32000,39000,41000,44000,51000,58000,67000,69000
64,Retained Earnings,-8155000,-27058000,-74836000,-139041000,-284659000,-530533000,-832672000,-1030283000,-1433010000,-1619576000,-2073601000
65,Other Comprehensive Income/Loss,-40000,-353000,-797000,-1481000,-1000000,1000000,-6000000,-1000000,-25988000,689000,-1404000
66,Other Total Stockholders Equity,231000,361000,808000,325435000,816710000,1003466000,1222082000,1640140000,2112704000,2773195000,2997497000
67,Total Stockholders Equity,10643000,84340000,50109000,184945000,531090000,473974000,383454000,608908000,653764000,1154375000,922561000
68,Total Liabilities And Stockholders Equity,12129000,88316000,59649000,197967000,559569000,540626000,490753000,719558000,1135496000,1759555000,1522397000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,12129000,88316000,59649000,197967000,559569000,540626000,490753000,719558000,1135496000,1759555000,1522397000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1515673/000156459014000963/0001564590-14-000963-index.htm,https://www.sec.gov/Archives/edgar/data/1515673/000156459015002066/0001564590-15-002066-index.htm,https://www.sec.gov/Archives/edgar/data/1515673/000156459016013430/0001564590-16-013430-index.htm,https://www.sec.gov/Archives/edgar/data/1515673/000156459017001714/0001564590-17-001714-index.htm,https://www.sec.gov/Archives/edgar/data/1515673/000156459018002535/0001564590-18-002535-index.htm,https://www.sec.gov/Archives/edgar/data/1515673/000156459019003324/0001564590-19-003324-index.htm,https://www.sec.gov/Archives/edgar/data/1515673/000156459020004667/0001564590-20-004667-index.htm,https://www.sec.gov/Archives/edgar/data/1515673/000156459021005610/0001564590-21-005610-index.htm,https://www.sec.gov/Archives/edgar/data/1515673/000095017022001284/0000950170-22-001284-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-6849000,-16334000,-35070000,-59802000,-145618000,-245874000,-302139000,-197611000,-402727000,-186566000,-454025000
74,Depreciation and Amortization,34000,313000,444000,684000,1384000,3424000,5825000,19538000,8539000,12261000,13239000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,254000,891000,657000,5394000,24884000,48309000,68014000,80107000,81995000,85735000,104952000
77,Change in Working Capital,453000,73303000,-33953000,131595000,241390000,-80853000,-142867000,249075000,300073000,357978000,-63236000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-7583000,-20104000,9840000,-5432000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,-5283000,-4451000,-1346000,-3117000
80,Accounts Payable,252000,858000,237000,3177000,-1982000,2502000,3459000,3372000,- -,- -,- -
81,Other Working Capital,9954000,83257000,49304000,180899000,422289000,341436000,198569000,447644000,747717000,1105695000,-57492000
82,Other Non-Cash Items,283000,-70677000,36722000,-122505000,-228017000,114019000,117324000,-441675000,-333263000,-401628000,60375000
83,Cash Provided by Operating Activities,-5825000,-12504000,-31200000,-44634000,-105977000,-160975000,-253843000,-290566000,-345383000,-132220000,-338695000
84,CAPEX,-548000,-1091000,-407000,-2149000,-4955000,-10188000,-2793000,-4076000,-24832000,-43905000,-73093000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-143000000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-63953000,-208972000,-624226000,-442490000,-230487000,-509796000,-707163000,-850299000,-1012187000
87,Sales/Maturities of Investments,- -,- -,16601000,87974000,338371000,543795000,431566000,310219000,718956000,720638000,890850000
88,Other Investing Activites,-376000,-100000,25000,-293000,-1541000,-1202000,1130000,170322000,- -,-5555000,-942000
89,Cash Used for Investing Activites,-924000,-1191000,-47734000,-123440000,-292351000,89915000,56416000,-33331000,-13039000,-179121000,-195372000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-4944000,- -,- -,- -,- -
91,Common Stock Issued,- -,131000,171000,189317000,467573000,79486000,131960000,309025000,355243000,511215000,78943000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-4346000,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,17329000,89109000,- -,- -,- -,59190000,9251000,27828000,324063000,89057000,39609000
95,Cash Used/Provided by Financing Activities,17329000,89240000,171000,184971000,467573000,138676000,136267000,336853000,679306000,600272000,118552000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,1322000,-7018000,5309000,688000,1119000,-1194000
97,Net Change In Cash,10580000,75545000,-78763000,16897000,69245000,67551000,-60632000,12484000,320719000,290050000,-416709000
98,Cash at the End of Period,10645000,86190000,7427000,24324000,93569000,161120000,100488000,115525000,436244000,726294000,309585000
99,Cash at the Beginning of Period,65000,10645000,86190000,7427000,24324000,93569000,161120000,103041000,115525000,436244000,726294000
100,Free Cash Flow,-6373000,-13595000,-31607000,-46783000,-110932000,-171163000,-256636000,-294642000,-370215000,-176125000,-411788000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1515673/000156459014000963/0001564590-14-000963-index.htm,https://www.sec.gov/Archives/edgar/data/1515673/000156459015002066/0001564590-15-002066-index.htm,https://www.sec.gov/Archives/edgar/data/1515673/000156459016013430/0001564590-16-013430-index.htm,https://www.sec.gov/Archives/edgar/data/1515673/000156459017001714/0001564590-17-001714-index.htm,https://www.sec.gov/Archives/edgar/data/1515673/000156459018002535/0001564590-18-002535-index.htm,https://www.sec.gov/Archives/edgar/data/1515673/000156459019003324/0001564590-19-003324-index.htm,https://www.sec.gov/Archives/edgar/data/1515673/000156459020004667/0001564590-20-004667-index.htm,https://www.sec.gov/Archives/edgar/data/1515673/000156459021005610/0001564590-21-005610-index.htm,https://www.sec.gov/Archives/edgar/data/1515673/000095017022001284/0000950170-22-001284-index.htm
102,false,,,,,,,,,,,
