,https://roic.ai/company/SQNS,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
80,Accounts Payable,-2107000,843000,14113000,-6987000,-3317000,1272000,3424000,2041000,2354000,-5939000,-3899000,-705000,6216000,4741000
81,Other Working Capital,-399000,-132000,-553000,-545000,-552000,-299000,-845000,2678000,-1767000,-2513000,-1109000,15272000,-4627000,-8178000
82,Other Non-Cash Items,237000,1403000,1053000,796000,521000,20000,236000,3519000,5154000,5627000,6724000,8274000,29725000,2073000
83,Cash Provided by Operating Activities,-7960000,-11852000,1481000,2763000,-22848000,-24345000,-24406000,-16401000,-15589000,-28626000,-22838000,5093000,-19386000,-8757000
84,CAPEX,-4071000,-3397000,-6371000,-11042000,-5571000,-3919000,-6242000,-5483000,-5390000,-6422000,-9208000,-9146000,-13775000,-28619000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-136000,-159000,-1056000,- -,-181000,-180000,- -,-233000,- -,-113000,- -,-5000,-116000,-1694000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,345000,24000,- -,24000,- -,- -,10900000
88,Other Investing Activites,66000,1000,50000,709000,-5571000,-3776000,-5625000,-5457000,-5294000,-6364000,-8790000,-9096000,-24646000,-28572000
89,Cash Used for Investing Activites,-4141000,-3555000,-7377000,-10333000,-5752000,-3956000,-5625000,-5345000,-5270000,-6477000,-8766000,-9101000,-24762000,-19366000
90,Debt Repayment,-1515000,-290000,-913000,-4800000,-40000,-231000,-244000,-183000,-12000,-116000,-589000,-8942000,-6982000,-19128000
91,Common Stock Issued,9092000,1810000,9010000,60513000,26000,37131000,- -,- -,23569000,14898000,20841000,- -,29272000,9852000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-300000,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,9847000,5818000,-253000,-656000,136000,-109000,5665000,17893000,9221000,3056000,20492000,14961000,15329000,34656000
95,Cash Used/Provided by Financing Activities,17424000,7338000,7844000,55057000,122000,36791000,5121000,17710000,32778000,17838000,40744000,6019000,37619000,25380000
96,Effect of Forex Changes on Cash,-20000,12000,-1000,-6000,9000,3000,-5000,-5000,-5000,11000,-2000,1000,5000,4000
97,Net Change In Cash,5303000,-8057000,1947000,47481000,-28469000,8493000,-24915000,-4041000,11914000,-17254000,9138000,2012000,-6524000,-2739000
98,Cash at the End of Period,15849000,7792000,9739000,57220000,28751000,37244000,12329000,8288000,20202000,2948000,12086000,14098000,7574000,4835000
99,Cash at the Beginning of Period,10546000,15849000,7792000,9739000,57220000,28751000,37244000,12329000,8288000,20202000,2948000,12086000,14098000,7574000
100,Free Cash Flow,-12031000,-15249000,-4890000,-8279000,-28419000,-28264000,-30648000,-21884000,-20979000,-35048000,-32046000,-4053000,-33161000,-37376000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1383395/000119312512143524/0001193125-12-143524-index.html,https://www.sec.gov/Archives/edgar/data/1383395/000119312513133726/0001193125-13-133726-index.html,https://www.sec.gov/Archives/edgar/data/1383395/000119312514122528/d699038d20f.htm,https://www.sec.gov/Archives/edgar/data/1383395/000119312515139015/d912528d20f.htm,https://www.sec.gov/Archives/edgar/data/1383395/000119312516569245/d142066d20f.htm,https://www.sec.gov/Archives/edgar/data/1383395/000138339517000003/0001383395-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/1383395/000138339518000015/sequanscommunications-form.htm,https://www.sec.gov/Archives/edgar/data/1383395/000138339519000028/sequanscommunications-form.htm,https://www.sec.gov/Archives/edgar/data/1383395/000138339520000011/0001383395-20-000011-index.html,- -,- -
102,false,,,,,,,,,,,,,,
