,https://roic.ai/company/EDIT,2013,2014,2015,2016,2017,2018,2019,2020,2021
37,Total Current Assets,2089000,10716000,144985000,187183000,332199000,374776000,463844000,419087000,507310000
38,PP&E,52000,1112000,2130000,40378000,39442000,40232000,39648000,39148000,43291000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,109664000,120071000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,340000,360000,2248000,1621000,1619000,5378000,5393000,4703000,6811000
45,Total Non-Current Assets,392000,1472000,4378000,41999000,41061000,45610000,45041000,153515000,170173000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2481000,12188000,149363000,229182000,373260000,420386000,508885000,572602000,677483000
48,Accounts Payable,404000,2595000,1381000,4640000,4020000,5327000,5843000,6408000,5050000
49,Short-Term Debt,- -,67000,- -,10000000,7500000,- -,5804000,6811000,10309000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,88000,- -,13238000,15712000,23514000,20943000,11333000
52,Other Current Liabilities,1724000,3499000,5456000,18443000,11949000,14861000,24802000,24046000,20192000
53,Total Current Liabilities,2128000,6161000,6925000,33083000,36707000,35900000,59963000,58208000,46884000
54,Long-Term Debt,2111000,344000,199915000,- -,- -,- -,- -,- -,16069000
55,Deferred Revenue,- -,- -,25321000,26000000,94725000,115614000,163207000,73984000,60888000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,5000,20975000,316000,35492000,33748000,32710000,23278000,46824000,- -
58,Total Non-Current Liabilities,2116000,21319000,225552000,61492000,128473000,148324000,186485000,120808000,76957000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,35096000,33431000,32417000,29081000,26135000,26378000
61,Total Liabilities,4244000,27480000,232477000,94575000,165180000,184224000,246448000,179016000,123841000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,4000,4000,5000,5000,6000,7000
64,Retained Earnings,-1763000,-15448000,-88348000,-185526000,-305850000,-416278000,-549221000,-665197000,-857699000
65,Other Comprehensive Income/Loss,-1000,-158000,-629000,-1556000,-76000,-29000,107000,-46000,-493000
66,Other Total Stockholders Equity,1000,314000,5863000,321685000,514002000,652464000,811546000,1058823000,1411827000
67,Total Stockholders Equity,-1763000,-15292000,-83114000,134607000,208080000,236162000,262437000,393586000,553642000
68,Total Liabilities And Stockholders Equity,2481000,12188000,149363000,229182000,373260000,420386000,508885000,572602000,677483000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2481000,12188000,149363000,229182000,373260000,420386000,508885000,572602000,677483000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1650664/000155837016004455/0001558370-16-004455-index.htm,https://www.sec.gov/Archives/edgar/data/1650664/000155837017001340/0001558370-17-001340-index.htm,https://www.sec.gov/Archives/edgar/data/1650664/000155837018001721/0001558370-18-001721-index.htm,https://www.sec.gov/Archives/edgar/data/1650664/000155837019001364/0001558370-19-001364-index.htm,https://www.sec.gov/Archives/edgar/data/1650664/000155837020001476/0001558370-20-001476-index.htm,https://www.sec.gov/Archives/edgar/data/1650664/000155837021001915/0001558370-21-001915-index.htm,https://www.sec.gov/Archives/edgar/data/1650664/000155837022001950/0001558370-22-001950-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,- -,-13994000,-73294000,-97230000,-120324000,-109954000,-133746000,-115976000,-192502000
74,Depreciation and Amortization,- -,157000,471000,1202000,2683000,3254000,2830000,3959000,5053000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,55000,3513000,16881000,23364000,26598000,27243000,23156000,43399000
77,Change in Working Capital,- -,4071000,133505000,16040000,141392000,43384000,65005000,-43002000,-21410000
78,Accounts Receivable,- -,- -,-1019000,931000,-591000,649000,- -,-5630000,5781000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,2191000,-1436000,3251000,-1515000,1780000,274000,855000,-1139000
81,Other Working Capital,- -,4555000,138060000,154100000,295492000,338876000,403881000,360879000,-22706000
82,Other Non-Cash Items,- -,1056000,-69598000,13181000,-56532000,-8989000,-2001000,-47980000,1657000
83,Cash Provided by Operating Activities,- -,-8655000,-5403000,-49926000,-9417000,-45707000,-40669000,-179843000,-163803000
84,CAPEX,- -,-1217000,-1431000,-3493000,-2059000,-4754000,-6167000,-7162000,-7977000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-375266000,-459370000,-342183000,-458404000,-408891000
87,Sales/Maturities of Investments,- -,- -,- -,- -,193500000,411000000,360500000,325032000,362402000
88,Other Investing Activites,- -,- -,- -,-1599000,15000,37000,102000,12000,- -
89,Cash Used for Investing Activites,- -,-1217000,-1431000,-5092000,-183810000,-53087000,12252000,-140522000,-54466000
90,Debt Repayment,- -,- -,-2080000,-560000,-1364000,-857000,- -,- -,- -
91,Common Stock Issued,- -,41000,6000,97488000,154143000,76789000,116341000,203726000,249459000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,18442000,141465000,233000,1755000,11008000,15483000,20396000,32647000
95,Cash Used/Provided by Financing Activities,- -,18483000,139391000,97161000,154534000,86940000,131824000,224122000,282106000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,8611000,132557000,42143000,-38693000,-11854000,103407000,-96243000,63837000
98,Cash at the End of Period,- -,10623000,143180000,185323000,148249000,136395000,239802000,143559000,207396000
99,Cash at the Beginning of Period,- -,2012000,10623000,143180000,186942000,148249000,136395000,239802000,143559000
100,Free Cash Flow,- -,-9872000,-6834000,-53419000,-11476000,-50461000,-46836000,-187005000,-171780000
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1650664/000155837016004455/0001558370-16-004455-index.htm,https://www.sec.gov/Archives/edgar/data/1650664/000155837017001340/0001558370-17-001340-index.htm,https://www.sec.gov/Archives/edgar/data/1650664/000155837018001721/0001558370-18-001721-index.htm,https://www.sec.gov/Archives/edgar/data/1650664/000155837019001364/0001558370-19-001364-index.htm,https://www.sec.gov/Archives/edgar/data/1650664/000155837020001476/0001558370-20-001476-index.htm,https://www.sec.gov/Archives/edgar/data/1650664/000155837021001915/0001558370-21-001915-index.htm,https://www.sec.gov/Archives/edgar/data/1650664/000155837022001950/0001558370-22-001950-index.htm
102,false,,,,,,,,,
