,https://roic.ai/company/PRSI,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),-574725,-379911,-840388,-5096942,-1033279,-1293000,-8623000,-9513000,-69766000,-35885000,-1580000,-4239000,1860000,-4138000,-3152000,-9953000,-9436000,-10253000,-9217000,-8903000,-8470000,-7724000,-1314000
20,Income Before Tax,3430994,2249652,4311942,-3075589,2370424,5551000,-4302000,-3307000,-2524000,-3219000,-1812000,-4135000,4804000,2101000,1879000,-10780000,-2987000,-7896000,591000,10446000,3870000,-5157000,-7432000
21,Income Before Tax Ratio,0.8565,0.8555,0.8369,-1.5215,0.6964,0.8111,-10.6222,-1.7126,-0.0761,-0.0852,-0.0552,-0.1265,0.1324,0.0495,0.0404,-0.2115,-0.0526,-0.1348,0.0109,0.1829,0.0646,-0.1204,-0.5067
22,Income Tax expense (Gain),1490652,875846,1755699,-1211910,917076,2324000,-1779000,-1704000,-1029000,-1298000,-191000,-1181000,1727000,-1000,59000,-4053000,-1105000,-2737000,196000,5986000,956000,-1934000,-2146000
23,Net Income,1940342,1373806,2556243,-1863679,1453348,3227000,-2523000,-1603000,-1495000,-1921000,-1621000,-1720000,2889000,234000,495000,-6924000,-1791000,-4792000,245000,3645000,2599000,-2933000,-5228000
24,Net Income ratio,0.4844,0.5224,0.4961,-0.9220,0.4270,0.4715,-6.2296,-0.8301,-0.0451,-0.0508,-0.0494,-0.0526,0.0796,0.0055,0.0106,-0.1359,-0.0315,-0.0818,0.0045,0.0638,0.0434,-0.0685,-0.3564
25,EPS,2.64,1.87,3.48,-2.54,1.98,4.40,-3.44,-2.18,-2.04,-2.62,-2.21,-2.34,3.93,0.32,0.67,-9.43,-2.44,-6.53,0.33,4.96,3.54,-3.99,-7.12
26,EPS Diluted,2.64,1.87,3.48,-2.54,1.98,4.40,-3.44,-2.18,-2.04,-2.62,-2.21,-2.34,3.93,0.32,0.67,-9.43,-2.44,-6.53,0.33,4.96,3.54,-3.99,-7.12
27,Weighted Average Shares Outstanding,734183,734183,734183,734183,734183,734183,734183,734183,734183,734183,734183,734183,734183,734183,734183,734183,734183,734183,734183,734183,734183,734183,734187
28,Weighted Average Shares Outstanding Diluted,734183,734183,734183,734183,734183,734183,734183,734183,734183,734183,734183,734183,734183,734183,734183,734183,734183,734183,734183,734183,734183,734183,734187
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/79661/000121430510000018/0001214305-10-000018-index.html,https://www.sec.gov/Archives/edgar/data/79661/000114420411054222/0001144204-11-054222-index.html,https://www.sec.gov/Archives/edgar/data/79661/000114420412052253/0001144204-12-052253-index.html,https://www.sec.gov/Archives/edgar/data/79661/000114420413051349/0001144204-13-051349-index.html,https://www.sec.gov/Archives/edgar/data/79661/000114420414058308/0001144204-14-058308-index.html,https://www.sec.gov/Archives/edgar/data/79661/000114420415053834/0001144204-15-053834-index.html,https://www.sec.gov/Archives/edgar/data/79661/000114420416125803/v449078_10k.htm,https://www.sec.gov/Archives/edgar/data/79661/000114420417052401/v475682_10k.htm,https://www.sec.gov/Archives/edgar/data/79661/000114420418047600/0001144204-18-047600-index.html,https://www.sec.gov/Archives/edgar/data/79661/000114420419043034/0001144204-19-043034-index.html,https://www.sec.gov/Archives/edgar/data/79661/000149315220017492/0001493152-20-017492-index.htm,https://www.sec.gov/Archives/edgar/data/79661/000149315221022980/0001493152-21-022980-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,485000,209000,522000,610000,1032000,668000,1058000,1077000,3378000,2049000,7623000,9789000,4710000,2310000
32,Short-Term Investments,- -,- -,- -,- -,14992901,19451000,8889000,13743000,53229000,2958000,5987000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3536000
33,Cash and Short-Term Investments,- -,- -,- -,- -,14992901,19451000,8889000,13743000,53229000,3443000,6196000,522000,610000,1032000,668000,1058000,1077000,3378000,2049000,7623000,9789000,4710000,5846000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,1140000,1271000,1573000,1683000,1641000,1957000,3025000,7852000,3218000,1436000,1809000,848000,251000,194000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,907000,918000,653000,256000,248000,68000,59000,61000,37000,37000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5393000,6452000,5175000,4700000,4279000,26450000,11020000,13852000,16837000,12891000,15906000,18443000,6603000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12860000,8547000,7468000,8280000,7822000,31186000,20205000,20696000,20390000,22382000,26604000,23441000,12680000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,40468000,2409000,4836000,10779000,7994000,5160000,5297000,5003000,359000,389000,267000,196000,87000,20000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,3517000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8055000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37315000,34681000,33062000,33795000,38345000,38669000,38841000,42755000,40047000,37758000,35754000,34026000,31796000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39724000,39517000,43841000,41789000,43505000,43966000,43844000,43114000,40436000,38025000,35950000,34113000,39871000
46,Other Assets,- -,- -,- -,- -,17154506,23315000,10930000,15317000,65418000,59604000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,17154506,23315000,10930000,15317000,65418000,59604000,52584000,48064000,51309000,50069000,51327000,75152000,64049000,63810000,60826000,60407000,62554000,57554000,52551000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,7466000,8531000,7763000,7961000,8438000,9176000,15863000,14622000,17181000,15085000,12119000,13602000,10228000,10823000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,48995000,1811000,- -,2786000,2072000,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-46451000,2213000,305000,1988000,53000,579000,16792000,- -,291000,592000,490000,151000,- -,1715000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,10010000,12555000,8068000,12735000,10563000,9755000,32655000,14622000,17472000,15677000,12609000,13753000,10228000,12538000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46757000,49678000,45179000,44321000,45008000,117282000,126155000,128246000,125824000,123013000,121308000,123769000,123536000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,47480000,- -,- -,- -,188000,531000,61000,- -,29000,867000,1867000,1811000,1098000,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,47480000,46757000,49678000,45179000,44509000,45539000,117343000,126155000,128275000,126691000,124880000,123119000,124867000,123536000
59,Other Liabilities,- -,- -,- -,- -,9695550,13180000,3800000,9790000,61386000,94963000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1355000,1486000,1098000,664000
61,Total Liabilities,- -,- -,- -,- -,9695550,13180000,3800000,9790000,61386000,57493000,59312000,57746000,57914000,55072000,55294000,149998000,140777000,145747000,142368000,137489000,136872000,135095000,136074000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,2092300,2092000,2092000,- -,- -,- -,- -,- -,- -,- -,2092000,2092000,2092000,2092000,2092000,2092000,2092000,2092000,2092000
64,Retained Earnings,- -,- -,- -,- -,4450980,7127000,4122000,2519000,1024000,-897000,-9736000,-2860000,29000,263000,574000,-70732000,-72523000,-77365000,-77120000,-73475000,-70876000,-73809000,-84960000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27414000,-32208000,-35600000,-37686000,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,915676,916000,916000,3008000,3008000,3008000,30422000,35216000,38608000,40694000,916000,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,7458956,10135000,7130000,5527000,4032000,2111000,-6728000,148000,3037000,3271000,3582000,-68640000,-70431000,-75273000,-75028000,-71383000,-68784000,-71717000,-82868000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,17154506,23315000,10930000,15317000,65418000,59604000,52584000,57894000,60951000,58343000,58876000,81358000,70346000,70474000,67340000,66106000,68088000,63378000,53206000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9830000,-9642000,-8274000,-7549000,-6206000,-6297000,-6664000,-6514000,-5699000,-5534000,-5824000,-655000
70,Total Liabilities & Equity,- -,- -,- -,- -,17154506,23315000,10930000,15317000,65418000,59604000,52584000,48064000,51309000,50069000,51327000,75152000,64049000,63810000,60826000,60407000,62554000,57554000,52551000
71,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/79661/000121430510000018/0001214305-10-000018-index.html,https://www.sec.gov/Archives/edgar/data/79661/000114420411054222/0001144204-11-054222-index.html,https://www.sec.gov/Archives/edgar/data/79661/000114420412052253/0001144204-12-052253-index.html,https://www.sec.gov/Archives/edgar/data/79661/000114420413051349/0001144204-13-051349-index.html,https://www.sec.gov/Archives/edgar/data/79661/000114420414058308/0001144204-14-058308-index.html,https://www.sec.gov/Archives/edgar/data/79661/000114420415053834/0001144204-15-053834-index.html,https://www.sec.gov/Archives/edgar/data/79661/000114420416125803/v449078_10k.htm,https://www.sec.gov/Archives/edgar/data/79661/000114420417052401/v475682_10k.htm,https://www.sec.gov/Archives/edgar/data/79661/000114420418047600/0001144204-18-047600-index.html,https://www.sec.gov/Archives/edgar/data/79661/000114420419043034/0001144204-19-043034-index.html,https://www.sec.gov/Archives/edgar/data/79661/000149315220017492/0001493152-20-017492-index.htm,https://www.sec.gov/Archives/edgar/data/79661/000149315221022980/0001493152-21-022980-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1940342,1373806,2556243,-1863679,1453348,3227000,-2523000,-1603000,-1495000,-1921000,-1621000,-1720000,2889000,234000,495000,-6924000,-1791000,-4792000,245000,3645000,2599000,-2933000,-5228000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,4172000,4463000,4457000,4747000,3467000,2163000,2257000,2375000,2705000,2855000,2944000,2274000,2071000,1997000,1847000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1299000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1105000,-1920000,-2081000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-2156370,- -,- -,- -,- -,- -,- -,- -,- -,-10010000,10315000,174000,-5746000,2984000,350000,464000,7052000,-2359000,1489000,5060000,3078000,362000,-13071000
78,Accounts Receivable,-2927910,-2152814,-410760,4002366,-9172871,-2875000,7818000,-4875000,1174000,-96000,-131000,-302000,-110000,42000,-316000,-7000,-597000,3573000,1782000,-373000,961000,597000,57000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-2927910,-2152814,-410760,4002366,9496397,3484000,-9862000,3802000,67000,-4720000,916000,515000,198000,477000,738000,6687000,-1241000,2559000,-2096000,-2966000,1483000,-3374000,595000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10010000,305000,479000,-5267000,-2283000,-1933000,-1469000,5583000,3224000,4713000,9773000,12851000,13213000,142000
82,Other Non-Cash Items,-2493468,-2516560,-6509008,589275,-4417496,-3641000,2431000,1871000,-2435000,10640000,-10201000,135000,2943000,-148000,2062000,5026000,-7829000,14673000,291000,-700000,516000,-2910000,7846000
83,Cash Provided by Operating Activities,-2709496,-1142754,-3952765,-1274404,-2964148,-414000,-92000,268000,242000,1873000,2950000,3336000,3553000,5233000,5164000,941000,137000,10377000,4969000,10279000,9369000,-5404000,-10687000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,-2355000,-973000,-1304000,-1409000,-1773000,-2819000,-3359000,-3701000,-5094000,-4231000,-329000,-210000,-4000,-3000,-1068000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-696000
86,Purchases of Investments,-1621961,- -,- -,-250000,- -,- -,- -,-180000,- -,- -,-535000,-690000,- -,- -,- -,-116000,-25000,- -,-90000,- -,- -,- -,- -
87,Sales/Maturities of Investments,1733828,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80000,- -,- -,- -,- -,- -,39000,35000,29000,29000
88,Other Investing Activites,2997960,1254960,4392360,3262896,1974470,953000,- -,- -,-1500000,-2286000,-1304000,-1409000,21000,- -,- -,- -,- -,- -,- -,- -,-154000,-3000,980000
89,Cash Used for Investing Activites,3109827,1254960,4392360,3012896,1974470,953000,- -,-180000,-3855000,-2286000,-1839000,-2099000,-1752000,-2739000,-3359000,-3817000,-5119000,-4231000,-419000,-171000,-1518000,-1265000,-755000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-16551000,- -,-1260000,-1613000,-1713000,-1572000,-1385000,-51565000,- -,-3484000,-1666000,-2585000,-1718000,-1872000,-2011000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-367091,-183546,-367091,-367091,-367091,-551000,- -,- -,- -,- -,-425000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,18500000,102000,298000,689000,- -,-500000,-784000,54831000,5001000,-361000,-4213000,-1949000,- -,4110000,5600000
95,Cash Used/Provided by Financing Activities,-367091,-183546,-367091,-367091,-367091,-551000,- -,- -,1949000,102000,-1387000,-924000,-1713000,-2072000,-2169000,3266000,5001000,-3845000,-5879000,-4534000,-1718000,2238000,3589000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,33240,-71340,72504,1371401,-1356769,-12000,-92000,88000,-1664000,-311000,-276000,313000,88000,422000,-364000,390000,19000,2301000,-1329000,5574000,6133000,-4431000,-7853000
98,Cash at the End of Period,107706,36366,108870,1480271,123502,112000,20000,108000,796000,485000,209000,522000,610000,1032000,668000,1058000,1077000,3378000,2049000,7623000,20816000,16385000,8532000
99,Cash at the Beginning of Period,74466,107706,36366,108870,1480271,124000,112000,20000,2460000,796000,485000,209000,522000,610000,1032000,668000,1058000,1077000,3378000,2049000,14683000,20816000,16385000
100,Free Cash Flow,-2709496,-1142754,-3952765,-1274404,-2964148,-414000,-92000,268000,-2113000,900000,1646000,1927000,1780000,2414000,1805000,-2760000,-4957000,6146000,4640000,10069000,7970000,-6695000,-11755000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/79661/000121430510000018/0001214305-10-000018-index.html,https://www.sec.gov/Archives/edgar/data/79661/000114420411054222/0001144204-11-054222-index.html,https://www.sec.gov/Archives/edgar/data/79661/000114420412052253/0001144204-12-052253-index.html,https://www.sec.gov/Archives/edgar/data/79661/000114420413051349/0001144204-13-051349-index.html,https://www.sec.gov/Archives/edgar/data/79661/000114420414058308/0001144204-14-058308-index.html,https://www.sec.gov/Archives/edgar/data/79661/000114420415053834/0001144204-15-053834-index.html,https://www.sec.gov/Archives/edgar/data/79661/000114420416125803/v449078_10k.htm,https://www.sec.gov/Archives/edgar/data/79661/000114420417052401/v475682_10k.htm,https://www.sec.gov/Archives/edgar/data/79661/000114420418047600/0001144204-18-047600-index.html,https://www.sec.gov/Archives/edgar/data/79661/000114420419043034/0001144204-19-043034-index.html,https://www.sec.gov/Archives/edgar/data/79661/000149315220017492/0001493152-20-017492-index.htm,https://www.sec.gov/Archives/edgar/data/79661/000149315221022980/0001493152-21-022980-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
