,https://roic.ai/company/CCU,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),7610276229,- -,6868918200,6207534674,3832853052,5661117707,5906666714,7416065930,7617678336,8730577722,12274343000,12442847000,10668587000,14410911000,17054879000,24084226000,22957482000,23101329000,20307238000,24166313000,23560662000,27720203000,28714063000,35660493000
14,Depreciation and Amortization,31895297826,34775542965,40068689500,42941176294,45195245264,42728894098,41825555890,43688980543,45625665332,48076195400,59114869000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
15,EBITDA,84537081168,83149815554,77847739600,94672174099,78529539439,107454815506,98825000791,108426364846,123348242081,152674303363,168105300000,152203993000,149024151000,182052861000,168620942000,181825141000,175869432000,194023980000,169011109000,202139642000,466578271000,197837809000,160274755000,317452997000
16,EBITDA ratio,0.2945,0.2863,0.2459,0.2756,0.2270,0.2798,0.2359,0.2202,0.2259,0.2430,0.2150,0.1960,0.1778,0.1878,0.1568,0.1519,0.1355,0.1295,0.1084,0.1190,0.2616,0.1086,0.0863,0.1278
17,Operating Income,44595249240,- -,39496279650,43652346152,37594380659,45862663415,58478889357,66504119632,79734823809,101383964525,121065693000,137645864571,162049000000,- -,176710190000,189224636000,183957231000,213448998000,192305813000,227177411000,472751376000,233965051000,175180780000,330471299000
18,Operating Income ratio,0.1554,- -,0.1248,0.1271,0.1087,0.1194,0.1396,0.1351,0.1460,0.1614,0.1549,0.1773,0.1933,- -,0.1643,0.1581,0.1417,0.1425,0.1234,0.1338,0.2651,0.1284,0.0943,0.1330
19,Total Other Income Expenses (Gains),436257873,9757543772,-8586147750,1871116978,-8092939536,13642092723,-6115555604,-9267765214,-9865814638,-3336653399,-21162626000,15442975429,-14456281000,10244611000,-15599960000,-21615178000,-16491810000,-22808892000,-21977543000,-30703016000,-14540028000,-48343477000,-31577504000,-28790845000
20,Income Before Tax,45031507113,48374272589,30910131900,45523463131,29501441123,59504756138,52363333752,57236354418,69869009171,98047311126,99903067000,153088840000,147592719000,179692557000,161110230000,167609458000,167465421000,190640106000,170328270000,196474395000,458211348000,185621574000,143603276000,301680454000
21,Income Before Tax Ratio,0.1569,0.1666,0.0976,0.1325,0.0853,0.1549,0.1250,0.1163,0.1279,0.1561,0.1278,0.1971,0.1761,0.1853,0.1498,0.1400,0.1290,0.1272,0.1093,0.1157,0.2569,0.1018,0.0773,0.1214
22,Income Tax expense (Gain),4750363506,7192694620,5151688650,7146067386,7436599474,4976813309,5875555603,9119464493,14242278936,16668326756,14085385000,11723673000,27656049000,44890356000,37133330000,34704907000,46673500000,50114516000,30246383000,48365976000,136126817000,39975914000,35408420000,82629773000
23,Net Income,40281143607,41181577969,25758443250,38377395744,22064841649,54087990392,45217222584,48201853880,55862619478,79199203485,82630703000,128037473000,110699515000,122751594000,114432733000,123036008000,106238450000,120808135000,118457488000,129607353000,306890792000,130141692000,96152272000,199162731000
24,Net Income ratio,0.1403,0.1418,0.0814,0.1117,0.0638,0.1408,0.1079,0.0979,0.1023,0.1261,0.1057,0.1649,0.1321,0.1266,0.1064,0.1028,0.0818,0.0806,0.0760,0.0763,0.1721,0.0714,0.0518,0.0802
25,EPS,257.21,276.67,159.86,242.59,138.11,338.71,283.22,301.89,331.62,528.50,583.46,799.54,693.39,768.79,716.69,741.62,575.04,653.90,641.18,701.52,1661.10,704.42,520.44,1078.00
26,EPS Diluted,257.21,276.67,159.86,242.59,138.11,338.71,283.22,301.89,331.62,528.50,583.46,799.54,693.39,768.79,716.69,741.62,575.04,653.90,641.18,701.52,1661.10,704.42,520.44,1078.00
27,Weighted Average Shares Outstanding,156610541,158918038,159665483,159665483,159665483,159667990,159667990,159666987,159666987,159666987,159666987,160417440,159666922,159668215,159666922,165903208,184751436,184751436,184751436,184751436,184751436,184751436,184751436,184751436
28,Weighted Average Shares Outstanding Diluted,156610541,158918038,159665483,159665483,159665483,159667990,159667990,159666987,159666987,159666987,159666987,160417440,159666922,159668215,159666922,165903208,184751436,184751436,184751436,184751436,184751436,184751436,184751436,184751436
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,5913717834,7305452694,44075558450,9629213444,10424351656,10865636128,11783888983,9857878501,13898828459,19692729158,36363512000,137353669000,151614300000,177664378000,102337275000,408853267000,214774876000,192554239000,133789950000,170044602000,319014050000,196369224000,396389016000,265568125000
32,Short-Term Investments,81047018184,42551615039,- -,56360872207,40821325926,41601664612,53158333759,48265705580,14901490860,71176793096,- -,1330478000,2328952000,3943959000,1227251000,4468846000,1016032000,13644105000,8406491000,7565805000,11010433000,6245817000,7329096000,14013076000
33,Cash and Short-Term Investments,86960736018,49857067733,44075558450,65990085651,51245677582,52467300740,64942222742,58123584081,28800319318,90869522254,36363512000,138684147000,153943252000,181608337000,103564526000,413322113000,215790908000,206198344000,142196441000,177610407000,330024483000,202615041000,403718112000,279581201000
34,Net Receivables,62142510354,64502382862,- -,66461995761,71520893858,71467300707,83827222893,88758496619,109903620223,125793327166,156078310000,151577919000,173998167000,220326656000,233470690000,230253758000,269635425000,272279087000,313959161000,321578671000,341477603000,319039506000,291990018000,404727414000
35,Inventory,37518177078,42505029544,- -,41826172994,47258645855,55043400617,53606667096,70825437872,74740681134,77380478379,133910003000,108069635000,108353258000,128535184000,141910972000,153085845000,175179189000,181860755000,207239057000,210145579000,236552110000,241893532000,242438290000,365973766000
36,Other Current Assets,36257876556,39448915167,146536921600,26753469817,49061239527,20563020178,19983889049,23293511902,50551117912,40362051945,49358989000,9307374000,9987237000,12075599000,16941848000,21835299000,24784825000,23973689000,17991951000,20945177000,32953063000,25733679000,21859708000,41089993000
37,Total Current Assets,222879300006,196313395307,190612480050,201031724223,219086456821,199541022241,222360001779,241001030473,263995738586,334405379743,375710814000,407639075000,446281914000,542545776000,495888036000,818497015000,685390347000,684311875000,681386610000,730279834000,941007259000,789281758000,960006128000,1091372374000
38,PP&E,294280171887,316752782438,328563253900,342551221328,330657783228,313804398972,300086113512,320644182064,341554311077,393981077179,519519954000,491121558000,508162219000,556949110000,612328661000,680994421000,833171234000,872667210000,903831702000,917913428000,1021266631000,1097534155000,1107595232000,1250597437000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,33045829126,30640042417,29709163458,63024669000,70170118000,67761406000,69441207000,70055369000,81872847000,86779903000,83300573000,96663023000,94617474000,123044901000,124955438000,117190763000,131172835000
40,Intangible Assets,25836160701,36922181420,- -,39705882190,39245677500,33781212782,36242778068,- -,26568157457,7723107599,31763493000,33305451000,34982221000,41173260000,58669967000,64033931000,68656895000,64120426000,77678850000,77032480000,118964142000,125618666000,128257441000,151943693000
41,Intangible Assets,25836160701,36922181420,- -,39705882190,39245677500,33781212782,36242778068,33045829126,57208199874,37432271057,94788162000,103475569000,102743627000,110614467000,128725336000,145906778000,155436798000,147420999000,174341873000,171649954000,242009043000,250574104000,245448204000,283116528000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58383941000,43284760000,42611856000,40118346000,17326391000,17601927000,31998620000,50075480000,64608730000,99270280000,142017781000,136098062000,131106785000,138114480000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23999110000,18546061000,18806779000,23794919000,24525361000,30207019000,34529593000,31864635000,40351329000,37691088000,54528648000,51044712000,30571219000
44,Other Non-Current Assets,38390692824,44199576941,104751002550,46114342177,63969020608,29471462493,31248889139,48912976436,40022896462,60797808994,24550361000,34252821000,33343334000,29456881000,48384397000,40194753000,32697055000,34351394000,15543500000,16764262000,21873114000,25673987000,30135471000,52978599000
45,Total Non-Current Assets,358507025412,397874540799,433314256450,428371445695,433872481337,377057074247,367577780718,402602987626,438785407413,492211157229,697242418000,696133818000,705407097000,755945583000,830559704000,909223240000,1083510726000,1139044676000,1190190440000,1245949253000,1464857657000,1564408956000,1565330404000,1755378263000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,581386325418,594187936105,623926736500,629403169918,652958938158,576598096488,589937782497,643604018100,702781145999,826616536973,1072953232000,1103772893000,1151689011000,1298491359000,1326447740000,1727720255000,1768901073000,1823356551000,1871577050000,1976229087000,2405864916000,2353690714000,2525336532000,2846750637000
48,Accounts Payable,28453707939,32505029443,- -,35688036866,41510086738,39361474366,36722778072,39657569616,46105431037,56763446429,92503692000,125351446000,135391623000,165553288000,165392448000,183508115000,203782805000,227736803000,210160789000,224330195000,247335760000,248608507000,256222794000,438852587000
49,Short-Term Debt,22830828687,27904182388,38351459950,30740911969,48971902350,38975624188,44270000354,15675077279,34820553574,13958665391,87613013000,19780477000,12822000000,66968208000,42313211000,108238429000,52685460000,31191653000,42545534000,28106467000,42607325000,54049274000,50380367000,90409195000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25397319000,8048477000,8290713000,16761406000,7096722000,10916865000,11697135000,12198024000,11806434000,22526634000,75885449000,20504374000,21251222000,35066792000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2497811000,1312595000,1268039000,6866000
52,Other Current Liabilities,33107125251,35547379924,69834001700,39027098319,31785302810,42265754979,43737778128,53729660280,65717784488,79993028189,93251592000,100255759000,88744457000,118249218000,106823957000,117382357000,121863073000,129762223000,189605331000,216312793000,353283349000,179311620000,213652886000,251846616000
53,Total Current Liabilities,84391661877,95956591755,108185461650,105456047154,122267291898,120602853533,124730556553,109062307175,146643769100,150715140009,273368297000,245387682000,236958080000,350770714000,314529616000,409128901000,378331338000,388690679000,442311654000,468749455000,645724245000,483281996000,521524086000,781115264000
54,Long-Term Debt,75714977514,64983060474,53234116050,41375412917,23940201892,101188465934,93408334081,135778579127,117414269805,163084163960,161739711000,209747317000,220145000000,23199863000,208965783000,142698380000,134467273000,136926545000,117944033000,161001732000,228028269000,261769288000,440077128000,483242033000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,7901114811,10309687769,- -,15849966888,18862392059,14687277025,12887777881,12177651936,15671991388,15125000057,23180414000,50672268000,53454015000,60147021000,74495941000,73033414000,87518700000,88146963000,86789951000,94350111000,108500171000,131582558000,118729946000,118085671000
57,Other Non-Current Liabilities,21182743389,15112758225,29192902350,15276933182,12917867523,23071938128,19429444600,27003089666,31490947630,41302290992,24618767000,24759109000,26058329000,179588099000,17938114000,18615282000,20083844000,22070219000,24238833000,25299181000,34496288000,34129649000,36186697000,38792366000
58,Total Non-Current Liabilities,104798835714,90405506469,82427018400,72502312987,55720461474,138947681087,125725556561,174959320729,164577208823,219511455009,209538892000,285178694000,299657344000,262934983000,301399838000,234347076000,242069817000,247143727000,228972817000,280651024000,371024728000,427481495000,594993771000,640120070000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16078576000,16479152000,16932430000,17392945000,17559874000,17716869000,17814875000,17912134000,33070356000,32134911000,35161384000
61,Total Liabilities,189190497591,186362098224,190612480050,177958360141,177987753372,259550534620,250456113115,284021627904,311220977923,370226595018,482907189000,530566376000,536615424000,613705697000,615929454000,643475977000,620401155000,635834406000,671284471000,749400479000,1016748973000,910763491000,1116517857000,1421235334000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,142171593501,151364215394,160274758000,163391274940,168293228810,169975623958,173547779166,- -,- -,- -,- -,- -,- -,- -,231019592000,562693346000,562693346000,562693346000,562693346000,562693346000,562693346000,562693346000,562693346000,562693346000
64,Retained Earnings,184537080279,207746428773,220377792250,222346991816,232244958352,92274078316,113862223133,135974253690,161189562411,210180279675,261686611000,256404398000,311754155000,373129952000,430346315000,491864319000,537945375000,598349442000,657578187000,716458990000,868481588000,902863353000,921805285000,832180798000
65,Other Comprehensive Income/Loss,-167426077038,-185137111446,-200343447500,-219727692421,19785302728,3228299638,-53333334,-11493305899,-10582534549,-21788844703,-516769046000,-25194445000,-37119228000,-35173607000,-48146228000,-65881809000,-75050544000,-103226416000,-142973378000,-178075279000,-151048226000,-137502529000,-187924176000,-87255912000
66,Other Total Stockholders Equity,232913231085,233852305161,253005153700,285434235443,13161383375,13293697955,13572222331,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,392195827827,407825837881,433314256450,451444809777,433484873265,278771699866,300928891296,319194645501,349413735951,401795818244,496245795000,462229545000,505654519000,568975937000,613219679000,988675856000,1025588177000,1057816372000,1077298155000,1101077057000,1280126708000,1328054170000,1296574455000,1307618232000
68,Total Liabilities And Stockholders Equity,581386325418,594187936105,623926736500,629403169918,611472626636,538322234487,551385004411,603216273405,660634713874,772022413261,979152984000,992795921000,1042269943000,1182681634000,1229149133000,1632151833000,1645989332000,1693650778000,1748582626000,1850477536000,2296875681000,2238817661000,2413092312000,2728853566000
69,Minority Interest,- -,- -,- -,- -,41486311521,38275862002,38552778086,40387744695,42146432125,54594123711,93800248000,110976972000,109419068000,115809725000,97298607000,95568422000,122911741000,129705773000,122994424000,125751551000,108989235000,114873053000,112244220000,117897071000
70,Total Liabilities & Equity,581386325418,594187936105,623926736500,629403169918,652958938158,576598096488,589937782497,643604018100,702781145999,826616536973,1072953232000,1103772893000,1151689011000,1298491359000,1326447740000,1727720255000,1768901073000,1823356551000,1871577050000,1976229087000,2405864916000,2353690714000,2525336532000,2846750637000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,40281143607,41181577969,25758443250,38377395744,22064841649,54087990392,45217222584,48201853880,55862619478,79199203485,82630703000,128037473000,110699515000,122751594000,114432733000,123036008000,106238450000,120808135000,118457488000,129607353000,306890792000,130141692000,96152272000,199162731000
74,Depreciation and Amortization,31895297826,34775542965,40068689500,42941176294,45195245264,42728894098,41825555890,43688980543,45625665332,48076195400,59114869000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,2976945265,2256242564,-1905555571,-2728115352,-1319488810,-1122509964,8794208000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-10130877273,94229752,-1144819700,-6360872413,-9701008712,-12862663473,-8476111179,-9298146264,-7679978655,-7331673334,-39753778000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-4992728991,-6677607267,4006868950,-4695307317,-4126801181,-4826991668,1335555566,-7378475817,-2053780606,1649402397,-37852102000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,-14981462448,-10034611229,-11862549845,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,3877847760,-1541027014,2289639400,-8084600099,5853025976,-24318073679,-557777782,1209062825,5548455771,757470122,8809242000,22806977000,48565665000,-122751594000,24412014000,71119491000,67383213000,98702737000,-118457488000,132554078000,-306890792000,-130141692000,-96152272000,-199162731000
83,Cash Provided by Operating Activities,65923411920,74510323673,66971952450,66873099527,66389049443,61892389903,76103333942,81073635632,98037273115,119578685709,119595244000,150844450000,159265180000,- -,138844747000,194155499000,173621663000,219510872000,- -,262161431000,- -,- -,- -,- -
84,CAPEX,-41735336517,-58496559615,-55523755450,-33107071906,-20273775354,-24772889374,-31756111365,-44251287444,-65252395780,-64460159605,-63315818000,-57892476000,-64396164000,-77846927000,-117753876000,-124559029000,-230080152000,-131730922000,-128883425000,-125765480000,-131440422000,-140487849000,-122786729000,-171853982000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-96767346000,28837928000,-10646456000,-5713761000,-19521964000,-14566278000,-15230732000,-37374432000,-29346744000,-49403595000,-65325054000,-20961445000,-19041501000,-5791718000
86,Purchases of Investments,- -,- -,-107613051800,-87346992371,-49339337511,-34187276991,-13847222333,-22481977400,-1516506913,-8805776926,-5689771000,-12064971000,- -,- -,- -,- -,- -,-42163032000,- -,-49312890000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,101888953300,89160607697,56435879346,65375743048,2222222,20597322,11900425915,21465637531,- -,10124997000,- -,- -,- -,- -,- -,- -,- -,1058984000,- -,11200000000,- -,- -
88,Other Investing Activites,-7367910744,764425630,10875787150,36482484979,574927958,2709869199,1241111121,-773944389,3138977617,3959163362,-58033098000,-57630015000,9694260000,7321058000,949375000,99413000,4123632000,43396205000,31094000,47569900000,-5310522000,244372000,-4489988000,-3533386000
89,Cash Used for Investing Activites,-49103247261,-57732133985,-50372066800,5189028399,-12602305561,9125445882,-44360000355,-67486611911,-51729499161,-47841135638,-160490215000,-30732061000,-65348360000,-76239630000,-134340376000,-136917910000,-238970139000,-165810169000,-155007390000,-173614379000,-199002101000,-144185726000,-140545147000,-178992533000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9735697000,-100546372000,-11856390000,-14714312000,-64140438000,-25464274000,-22734459000,-57096166000,-27575975000,-25217888000,-113742755000,-33466408000,-102823727000,-53681771000
91,Common Stock Issued,12166747347,18633139415,17744705350,6231328461,- -,- -,- -,- -,- -,7588147439,- -,- -,- -,- -,- -,326663538000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-21376635777,-23580730783,-21179164450,-42888301212,-23098703327,-188291914056,-28773333564,-29638517067,-31479233040,-39261454331,-52491805000,-50709762000,-72370536000,-62793418000,-66117348000,-63680979000,-65315914000,-66147145000,-69819729000,-75128211000,-74825181000,-218035429000,-102135646000,-274136472000
94,Other Financing Activites,-6786233580,-11170990054,-21751574300,-24528750725,-2811239212,90530915417,-10755555642,6691040182,-4379126705,9374502027,32150426000,114199286000,4863425000,12269479000,50090501000,14103500000,-44105202000,40403820000,2092566000,47344901000,135604074000,52081676000,269708928000,94174388000
95,Cash Used/Provided by Financing Activities,-15996122010,-16118581422,-25186033400,-61185723476,-25909942539,-97760998639,-39528889205,-22947476886,-35858359745,-22298804865,-30077076000,-37056848000,-79363501000,-65238251000,-80167285000,251621785000,-132155575000,-82839491000,-95303138000,-53001198000,-52963862000,-199420161000,64749555000,-233643855000
96,Effect of Forex Changes on Cash,- -,- -,-1144819700,-2670852600,- -,- -,- -,-389289393,- -,-1643924309,-6225846000,-1001857000,-292688000,157506000,-65569000,-2343382000,3425660000,6918151000,1531891000,465565000,-28377720000,-21358984000,-4854129000,-11540076000
97,Net Change In Cash,824042649,659608265,-10303377300,8205551850,27876801342,-26743757385,-7785000062,-9750257491,10449414209,47795318905,-77197893000,82053684000,14260631000,26050078000,-75728483000,306515992000,-194078391000,-22220637000,-58764289000,36011419000,148969448000,-122644826000,200019792000,-130820891000
98,Cash at the End of Period,54386814834,55120169957,47510017550,56968274716,92177234056,66355529015,59965000480,52648300854,64204472463,116714143865,49903801000,137353669000,151614300000,177664378000,102337275000,408853267000,214774876000,192554239000,133789950000,170044602000,319014050000,196369224000,396389016000,265568125000
99,Cash at the Beginning of Period,53562772185,54460561692,57813394850,48762722866,64300432714,93099286400,67750000542,62398558345,53755058255,68918824960,127101694000,55299985000,137353669000,151614300000,178065758000,102337275000,408853267000,214774876000,192554239000,134033183000,170044602000,319014050000,196369224000,396389016000
100,Free Cash Flow,24188075403,16013764058,11448197000,33766027621,46115274089,37119500529,44347222577,36822348188,32784877335,55118526104,56279426000,92951974000,94869016000,89523526000,21090871000,69596470000,-56458489000,87779950000,61130923000,136395951000,297872709000,101832196000,157882784000,121501591000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0016,0.002,0.002136,0.001924,0.002087,0.001903,0.001646,0.00141,0.001492,0.001623,0.001439,0.001329,0.001406,0.001172
