,https://roic.ai/company/ANPC,2017,2018,2019,2020
86,Purchases of Investments,-7050000,-13550000,-21229000,- -
87,Sales/Maturities of Investments,5000000,12000000,20929000,- -
88,Other Investing Activites,-17000,4827000,-371000,-16000
89,Cash Used for Investing Activites,-8017000,-2680000,-3461000,-2482000
90,Debt Repayment,-6500000,-15050000,-18450000,-38333000
91,Common Stock Issued,40158000,404000,47602000,110668000
92,Common Stock Repurchased,- -,-728000,-7954000,-25619000
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,6149000,51645000,24910000,14208000
95,Cash Used/Provided by Financing Activities,39807000,36271000,46108000,60924000
96,Effect of Forex Changes on Cash,-2893000,-969000,-809000,-2584000
97,Net Change In Cash,7256000,1475000,-6762000,-3109000
98,Cash at the End of Period,11412000,12887000,6125000,3016000
99,Cash at the Beginning of Period,4156000,11412000,12887000,6125000
100,Free Cash Flow,-24262000,-33994000,-51761000,-61459000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1786511/000110465920062613/0001104659-20-062613-index.htm,- -
102,Forex Rate,0.1537,0.1453,0.1436,0.1532
