,https://roic.ai/company/LYL,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,46333,2480,3222361,3937490,38600,15926,982538
32,Short-Term Investments,- -,- -,- -,4744328,9461918,8966690,9040024
33,Cash and Short-Term Investments,46333,2480,3222361,8681818,9500518,8982616,10022562
34,Net Receivables,726419,1614675,740823,2370123,2149439,145795,5436453
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,115585,251315,90413,741126,199438,616601,69750
37,Total Current Assets,888337,1868470,4053597,11793067,11849395,9745012,15528765
38,PP&E,65336,52888,32824,1060376,377701,197949,97396
39,Goodwill,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,837,1135,812,1369,927,490,- -
41,Intangible Assets,837,1135,812,1369,927,490,- -
42,Investments,101342,77545,72563,75547,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,11990,10888,52739,87339,86102,20910,6645
45,Total Non-Current Assets,179505,142456,158938,1224631,464730,219349,104041
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1067842,2010926,4212535,13017698,12314125,9964361,15632806
48,Accounts Payable,27257,28534,63483,52957,13320,14337,22144
49,Short-Term Debt,38718,16672,- -,- -,80276,63343,4053051
50,Tax Payable,36,188167,830606,1670273,1794570,1796608,1972043
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1252073,512110,1127479,1971248,2836514,2513661,2995410
53,Total Current Liabilities,1318048,557316,1190962,2024205,2930110,2591341,7070605
54,Long-Term Debt,- -,- -,- -,- -,66897,- -,9913
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,66897,- -,9913
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,38718,16672,- -,- -,147173,63343,39652
61,Total Liabilities,1318048,557316,1190962,2024205,2997007,2591341,7080518
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,1000,1142,1142,1142,1326
64,Retained Earnings,-250240,337281,2051252,1876235,663695,-753022,-5901107
65,Other Comprehensive Income/Loss,-966,61722,-84286,264938,212078,-270388,22326
66,Other Total Stockholders Equity,- -,1053607,1053607,8929968,8929968,8943065,15041429
67,Total Stockholders Equity,-250206,1453610,3021573,11072283,9806883,7920797,9163974
68,Total Liabilities And Stockholders Equity,1067842,2010926,4212535,13096488,12803890,10512138,16244492
69,Minority Interest,- -,- -,- -,-78790,-489765,-547777,-611686
70,Total Liabilities & Equity,1067842,2010926,4212535,13017698,12314125,9964361,15632806
71,SEC Link,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-250240,652852,1713971,193131,-1056360,-1416717,-5148085
74,Depreciation and Amortization,698,26358,19006,19895,101929,86406,76749
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-121194,-522374,946512,-1157079,1312743,-340611,752115
78,Accounts Receivable,- -,-59040,-634405,-925091,-139034,-79466,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,14257,-13746,-33206,634212,58709,6418
81,Other Working Capital,-78579,65194,- -,- -,- -,- -,- -
82,Other Non-Cash Items,2082,-200084,- -,-67828,416170,855611,1560778
83,Cash Provided by Operating Activities,-368654,-43248,2679489,-1011881,774482,-815311,-2758443
84,CAPEX,-66583,-17517,-1682,-1447870,-31332,- -,-238
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-102981,-34331,- -,-4825706,-4783370,- -,- -
87,Sales/Maturities of Investments,- -,253253,- -,- -,- -,- -,- -
88,Other Investing Activites,-333290,-615936,798972,- -,-434,71399,879199
89,Cash Used for Investing Activites,-502006,-413990,797290,-6273576,-4814672,71399,879199
90,Debt Repayment,- -,-20419,-15975,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,7731271,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,916789,435918,-155448,172307,259890,298688,3095000
95,Cash Used/Provided by Financing Activities,916789,415499,-171423,7903578,259890,298688,3095000
96,Effect of Forex Changes on Cash,204,-2114,-85476,97008,-118590,422550,-249144
97,Net Change In Cash,916789,-43853,3219881,715129,-3898890,-22674,966612
98,Cash at the End of Period,46333,2480,3222361,3937490,38600,15926,982538
99,Cash at the Beginning of Period,- -,46333,2480,3222361,3937490,38600,15926
100,Free Cash Flow,-435237,-60765,2677807,-2459751,743150,-815311,-2758681
101,SEC Link,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,
