,https://roic.ai/company/USAU,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/27093/0001001746-96-000034-index.html,https://www.sec.gov/Archives/edgar/data/27093/000100174697000042/0001001746-97-000042-index.html,https://www.sec.gov/Archives/edgar/data/27093/000100174698000057/0001001746-98-000057-index.html,- -,https://www.sec.gov/Archives/edgar/data/27093/000100174600000046/0001001746-00-000046-index.html,https://www.sec.gov/Archives/edgar/data/27093/000100174601500022/0001001746-01-500022-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/27093/000100174607000036/0001001746-07-000036-index.html,https://www.sec.gov/Archives/edgar/data/27093/000100174608000017/0001001746-08-000017-index.html,https://www.sec.gov/Archives/edgar/data/27093/000100174609000009/0001001746-09-000009-index.html,https://www.sec.gov/Archives/edgar/data/27093/000117152010000444/0001171520-10-000444-index.html,https://www.sec.gov/Archives/edgar/data/27093/000100174611000011/0001001746-11-000011-index.html,https://www.sec.gov/Archives/edgar/data/27093/000117152012000646/0001171520-12-000646-index.html,https://www.sec.gov/Archives/edgar/data/27093/000117152013000489/0001171520-13-000489-index.html,https://www.sec.gov/Archives/edgar/data/27093/000117152014000525/0001171520-14-000525-index.html,https://www.sec.gov/Archives/edgar/data/27093/000117152015000463/eps6337.htm,https://www.sec.gov/Archives/edgar/data/27093/000117152016001006/eps6897.htm,https://www.sec.gov/Archives/edgar/data/27093/000149315217008303/0001493152-17-008303-index.html,https://www.sec.gov/Archives/edgar/data/27093/000149315218010661/0001493152-18-010661-index.html,https://www.sec.gov/Archives/edgar/data/27093/000149315219011194/form10-k.htm,https://www.sec.gov/Archives/edgar/data/27093/000149315220013170/0001493152-20-013170-index.htm,https://www.sec.gov/Archives/edgar/data/27093/000149315221018081/0001493152-21-018081-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,3000000,3000000,-800000,-1300000,1500000,3800000,3700000,5600000,7846000,8595000,-8101000,-15604000,2271000,6715000,2772000,770000,1608000,-3135000,-10743000,-4634000,-3259000,-4625000,-2609000,-3829000,-1221000,-1915000,-13658495,-8046550,-5249350,-12387094
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,500000,700000,800000,900000,700000,600000,800000,1100000,1307000,1785000,10450000,3925000,1847000,1113000,787000,383000,312000,456000,1193000,1039000,660000,443000,300000,127000,131000,87000,- -,6956,10730,22886
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,100000,- -,-100000,-500000,700000,100000,- -,- -,-138000,33000,125000,-1294000,7000,-3165000,1347000,269000,691000,-2040000,3582000,- -,- -,- -,- -,- -,- -,- -,-438145,435345,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,654000,918000,610000,451000,231000,43000,14000,746000,476000,1317664,2275337,1266177,3602493
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,-3200000,- -,- -,- -,16800000,-1700000,-600000,3000000,5211000,-2178000,-7020000,-4080000,4063000,5973000,1929000,-78000,1054000,-6916000,-6909000,-5424000,3565000,-4130000,-1678000,-205000,832000,-925000,7408236,-5342003,373674,10432820
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,940000,-1994000,720000,2011000,-337000,- -,- -,-741000,919000,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,-1200000,-2200000,-4900000,1900000,5700000,-2100000,1500000,-400000,-1361000,1858000,490000,2580000,318000,168000,180000,67000,144000,-223000,-4672000,1410000,2530000,29000,612000,202000,753000,391000,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-594000,2137000,-578000,-1928000,-69000,491000,-558000,-71000,266000,222101,-92031,-95769,352546
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16800000,15100000,14500000,17500000,22711000,20533000,13513000,9433000,13496000,19469000,21398000,21320000,22374000,15458000,8549000,3125000,6690000,2560000,882000,677000,1509000,584000,7992236,2650233,3023907,13456727
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,200000,-4300000,-1200000,2000000,-11900000,1800000,1800000,-5300000,-4875000,5537000,9765000,20474000,-3853000,-6920000,-1301000,361000,53000,7393000,3122000,5979000,-2635000,4199000,2390000,1312000,-977000,2059000,-1615653,5002021,-298974,-10261741
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,600000,-600000,-1300000,1100000,7800000,4600000,5700000,4400000,9351000,13772000,5219000,3421000,4335000,3716000,5534000,1705000,3718000,-3588000,-8837000,-2430000,-1218000,-3882000,-1554000,-2581000,-489000,-218000,-6986393,-5668894,-3897743,-8590636
84,CAPEX,- -,- -,- -,- -,- -,- -,-1000000,-1000000,-900000,-600000,-300000,-700000,-2000000,-1200000,-2823000,-2184000,-358000,-673000,-160000,-316000,-480000,-320000,-235000,-617000,-573000,-1958000,-1139000,-6000,- -,-394000,-21000,- -,-20479,- -,- -,-42991
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27326000,- -,- -,- -,- -,- -,- -,- -,-912000,-1736000,-488000,-211000,-68000,- -,- -,- -,- -,326404,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
