,https://roic.ai/company/DE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,925000000,969200000,919800000,898700000,1441900000,1600100000,1733600000,1822000000,1850400000,2017200000,2111100000,2391800000,2652600000,2750800000,2928700000,3075400000,2699600000,2595400000,2646000000,3062500000,2895900000,3594500000,4002700000,4183300000,4030600000,4303100000,4835900000,5330600000,5601800000,5444400000,4871400000,4980800000,4434300000,5139100000,5334000000,6290000000,5775000000
11,COGS and Expenses,4085800000,4003600000,4369900000,5077800000,6274000000,6858300000,6449500000,6503800000,7004900000,7805900000,8805400000,9540600000,10862100000,11742100000,10829200000,11682800000,12552000000,12707200000,13934800000,17280300000,19013700000,18956500000,20255500000,25190100000,21685200000,22857300000,27629700000,31243200000,32153400000,31035200000,25854600000,24155400000,25566400000,32254400000,33783000000,31402000000,36086000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,899500000,1203600000,1466000000,- -,- -
14,Depreciation and Amortization,194500000,202600000,185700000,187500000,192900000,203800000,209200000,250400000,257200000,256700000,283100000,311400000,365600000,418000000,513300000,647900000,718300000,725300000,631400000,621000000,636500000,691400000,744400000,831000000,873300000,914800000,914900000,1004200000,1140300000,1306500000,1382400000,1559800000,1715500000,1927100000,2019000000,2118000000,2050000000
15,EBITDA,160500000,-310600000,-26000000,507200000,740100000,796900000,183800000,302500000,-566500000,1192500000,1387000000,1608500000,1876600000,1993300000,887200000,1427200000,672000000,1302800000,1611400000,2735600000,2798400000,3126800000,3449100000,3995000000,2206800000,3941400000,5138400000,5728300000,6623500000,6094700000,4162500000,3783800000,5745100000,7225100000,7658000000,5951000000,9671000000
16,EBITDA ratio,0.0395,-0.0883,-0.0063,0.0945,0.1187,0.1015,0.0261,0.0436,-0.0736,0.1330,0.1371,0.1445,0.1487,0.1463,0.0770,0.1101,0.0506,0.0934,0.1037,0.1369,0.1276,0.1412,0.1432,0.1412,0.0959,0.1523,0.1614,0.1593,0.1761,0.1702,0.1455,0.1435,0.1932,0.1934,0.1950,0.1688,0.2219
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-8800000,-25900000,23700000,32700000,587300000,-396200000,-610100000,-374800000,-407300000,-225200000,-208900000,-290000000,-244100000,-308400000,-318600000,-501500000,-765700000,-637100000,-628500000,-592100000,-761000000,-1017500000,-1151200000,21000000,8800000,10000000,10800000,14400000,15800000,16900000,25400000,15900000,-1017500000,-1029600000,-1410000000,26000000,106000000
20,Income Before Tax,-34000000,-513200000,-211700000,319700000,547200000,593100000,-25400000,52100000,281600000,935800000,1103900000,1297100000,1511000000,1575300000,373900000,779300000,-24800000,602700000,971300000,2113700000,2155800000,2173800000,2675500000,3123800000,1339800000,3025200000,4222800000,4734400000,5483400000,4797400000,2780100000,2224000000,3153800000,4070700000,4088000000,3883000000,7602000000
21,Income Before Tax Ratio,-0.0084,-0.1459,-0.0512,0.0596,0.0878,0.0756,-0.0036,0.0075,0.0366,0.1044,0.1091,0.1166,0.1198,0.1156,0.0325,0.0601,-0.0019,0.0432,0.0625,0.1058,0.0983,0.0981,0.1111,0.1104,0.0582,0.1169,0.1326,0.1316,0.1458,0.1339,0.0972,0.0844,0.1061,0.1090,0.1041,0.1101,0.1744
22,Income Tax expense (Gain),-64500000,-283900000,-112700000,33000000,167000000,182000000,-5200000,14700000,97200000,332200000,397800000,479800000,550900000,553900000,134700000,293800000,17700000,258300000,336900000,708500000,715100000,741600000,883000000,1111200000,460000000,1161600000,1423600000,1659400000,1945900000,1626500000,840100000,700100000,971000000,1726000000,920000000,1082000000,1658000000
23,Net Income,30500000,-229300000,-99000000,286700000,380200000,411100000,-20200000,37400000,-920900000,603600000,706100000,817300000,960100000,1021400000,239200000,485500000,-64000000,319200000,643100000,1406100000,1446800000,1693800000,1821700000,2052800000,873500000,1865000000,2799900000,3064700000,3537300000,3161700000,1940000000,1523900000,2159100000,2368400000,3253000000,2751000000,5963000000
24,Net Income ratio,0.0075,-0.0652,-0.0239,0.0534,0.0610,0.0524,-0.0029,0.0054,-0.1197,0.0673,0.0698,0.0734,0.0761,0.0750,0.0208,0.0375,-0.0048,0.0229,0.0414,0.0704,0.0660,0.0765,0.0756,0.0726,0.0380,0.0721,0.0879,0.0852,0.0940,0.0883,0.0678,0.0578,0.0726,0.0634,0.0828,0.0780,0.1368
25,EPS,0.07,-0.56,-0.24,0.68,0.84,0.91,-0.04,0.08,-1.98,1.17,0.45,1.57,1.89,2.10,0.52,1.03,-0.14,0.67,1.34,2.85,2.98,3.63,4.05,4.76,2.07,4.40,6.71,7.72,9.18,8.71,5.81,4.83,6.76,7.34,10.28,8.77,19.14
26,EPS Diluted,0.07,-0.56,-0.24,0.65,0.83,0.90,-0.04,0.08,-1.98,1.17,0.45,1.57,1.89,2.08,0.51,1.03,-0.14,0.67,1.32,2.78,2.94,3.59,4.00,4.70,2.06,4.35,6.63,7.63,9.09,8.63,5.77,4.81,6.68,7.24,10.15,8.69,18.99
27,Weighted Average Shares Outstanding,406666667,405840708,404081633,424740741,449940828,454254144,448888889,467500000,463746000,516633381,521596244,520573248,507989418,486380952,464466019,469082126,474074074,476417910,479925373,494235501,486600000,466800000,449300000,431100000,422800000,424000000,417400000,397100000,385300000,363000000,333600000,315200000,319500000,322600000,316500000,313500000,311600000
28,Weighted Average Shares Outstanding Diluted,406666667,405840708,404081633,441076923,455329341,459329609,448888889,467500000,463746000,516666667,521596244,523089431,514639175,491057692,469019608,471359223,474074074,480000000,487196970,505791367,492800000,471600000,455000000,436300000,424400000,428600000,422400000,401500000,389200000,366100000,336000000,316600000,323300000,327300000,320600000,316600000,314000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/315189/000119312503098064/d10k.htm,https://www.sec.gov/Archives/edgar/data/315189/000110465904040625/a04-14942_110k.htm,https://www.sec.gov/Archives/edgar/data/315189/000110465905061732/a05-21685_110k.htm,https://www.sec.gov/Archives/edgar/data/315189/000110465906082456/a06-25680_110k.htm,https://www.sec.gov/Archives/edgar/data/315189/000110465907090067/0001104659-07-090067-index.html,https://www.sec.gov/Archives/edgar/data/315189/000110465908077324/0001104659-08-077324-index.html,https://www.sec.gov/Archives/edgar/data/315189/000110465909070344/0001104659-09-070344-index.html,https://www.sec.gov/Archives/edgar/data/315189/000110465910063219/0001104659-10-063219-index.html,https://www.sec.gov/Archives/edgar/data/315189/000110465911070023/0001104659-11-070023-index.html,https://www.sec.gov/Archives/edgar/data/315189/000110465912084558/0001104659-12-084558-index.html,https://www.sec.gov/Archives/edgar/data/315189/000110465913090354/0001104659-13-090354-index.html,https://www.sec.gov/Archives/edgar/data/315189/000110465914087794/0001104659-14-087794-index.html,https://www.sec.gov/Archives/edgar/data/315189/000104746915009300/0001047469-15-009300-index.html,https://www.sec.gov/Archives/edgar/data/315189/000104746916017244/0001047469-16-017244-index.html,https://www.sec.gov/Archives/edgar/data/315189/000104746917007719/0001047469-17-007719-index.html,https://www.sec.gov/Archives/edgar/data/315189/000104746918007694/0001047469-18-007694-index.html,https://www.sec.gov/Archives/edgar/data/315189/000155837019011614/0001558370-19-011614-index.html,https://www.sec.gov/Archives/edgar/data/315189/000155837020014436/0001558370-20-014436-index.htm,https://www.sec.gov/Archives/edgar/data/315189/000155837021016864/0001558370-21-016864-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,87800000,181700000,116400000,49000000,203800000,185400000,278500000,216800000,338200000,245400000,363700000,291500000,330000000,309700000,295500000,291700000,1030000000,2814900000,4384500000,3181100000,2258200000,1687500000,2278600000,2211400000,4651700000,3790600000,3647200000,4652200000,3504000000,3787000000,4162200000,4335800000,9334900000,3904000000,3857000000,7066000000,8017000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,315500000,127400000,176200000,189200000,231800000,246700000,2449700000,1816700000,1623300000,977400000,192000000,227900000,787300000,1470400000,1624800000,1215100000,437400000,453500000,- -,- -,- -,641000000,728000000
33,Cash and Short-Term Investments,87800000,181700000,116400000,49000000,203800000,185400000,278500000,216800000,338200000,245400000,363700000,291500000,330000000,309700000,611000000,419100000,1206200000,3004100000,4616300000,3427800000,4707900000,3504200000,3901900000,3188800000,4843700000,4018500000,4434500000,6122600000,5128800000,5002100000,4599600000,4789300000,9334900000,3904000000,3857000000,7707000000,8745000000
34,Net Receivables,2894100000,2290300000,2139600000,2355000000,6001900000,7098200000,7838900000,7541500000,6841000000,7879700000,9099600000,9627600000,10165800000,10964900000,10297800000,12071100000,12826900000,12493300000,13325000000,15120100000,18024600000,19882900000,21601100000,20896400000,20980000000,23384700000,26123000000,29575800000,33544000000,35302100000,32694700000,31840100000,9319600000,10782900000,11146000000,38624000000,42693000000
35,Inventory,447400000,482600000,465000000,708300000,711200000,677700000,538100000,524700000,464400000,698000000,720800000,828900000,1072700000,1286700000,1294300000,1552900000,1505700000,1371800000,1366100000,1999100000,2134900000,1957300000,2337300000,3041800000,2397300000,3063000000,4370600000,5170000000,4934700000,4209700000,3817000000,3340500000,3904100000,6148900000,5975000000,4999000000,6781000000
36,Other Current Assets,5300000,6600000,16300000,3200000,725300000,1024400000,1041400000,1121900000,1190200000,1126300000,1088500000,1299200000,1594200000,2076500000,1654700000,1954400000,1939300000,1609200000,- -,1296900000,1335600000,1493900000,- -,- -,- -,931400000,- -,- -,505000000,- -,- -,- -,36909700000,38743200000,41763000000,- -,- -
37,Total Current Assets,3434600000,2961200000,2737300000,3115500000,7642200000,8985700000,9696900000,9404900000,8833800000,9949400000,11272600000,12047200000,13162700000,14637800000,13857800000,15997500000,17478100000,18478400000,19307400000,21843900000,26203000000,26838300000,27840300000,27127000000,28221000000,31397600000,34928100000,40868400000,44112500000,44513900000,41111300000,39969900000,59468300000,59579000000,62741000000,51330000000,58219000000
38,PP&E,1015900000,951100000,982200000,993200000,996600000,1149400000,1235200000,1307900000,1240300000,1533600000,1335600000,1351700000,1524100000,1700300000,1782300000,1912400000,2052300000,1998300000,2075600000,2161600000,2364800000,2763600000,5239300000,5766600000,6265300000,5727200000,6502000000,7539800000,8619200000,9593500000,10151400000,11072500000,11661400000,13032900000,13540000000,13115000000,12808000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1110000000,1234300000,1224600000,1036500000,999000000,1000000000,921000000,845000000,791200000,726000000,815700000,- -,- -,- -,3081000000,3291000000
40,Intangible Assets,- -,- -,- -,- -,72100000,239700000,371500000,337600000,296800000,283700000,305000000,285900000,157800000,217600000,295100000,652200000,874000000,894900000,1125000000,995300000,1106800000,56400000,131000000,161000000,136000000,117000000,127000000,105000000,77000000,69000000,64000000,104000000,218000000,1562400000,1380000000,1327000000,1275000000
41,Intangible Assets,- -,- -,- -,- -,72100000,239700000,371500000,337600000,296800000,283700000,305000000,285900000,157800000,217600000,295100000,652200000,874000000,894900000,1125000000,995300000,1106800000,1166400000,1365300000,1385600000,1172500000,1116000000,1127000000,1026000000,922000000,860200000,790000000,919700000,218000000,1562400000,1380000000,4408000000,4566000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,107000000,124000000,150000000,224400000,212800000,244500000,201700000,215000000,221400000,303200000,303500000,232600000,182500000,207300000,215000000,193000000,175000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,883100000,1490100000,1476100000,528100000,628100000,582200000,1399500000,1440600000,2804800000,2477100000,2858600000,3280400000,2325400000,2776600000,2767300000,2964400000,209700000,555800000,495000000,1499000000,1037000000
44,Other Non-Current Assets,1011700000,1062000000,1040400000,1136600000,434500000,289500000,345800000,395200000,981000000,1014500000,934200000,967900000,1475200000,1445800000,1643000000,1907300000,1375600000,906300000,2273900000,3225100000,3227100000,3245900000,2581300000,2790400000,2455200000,2304400000,2589900000,3336200000,3320800000,3289000000,2823800000,2822300000,-5953600000,-4829400000,-5360000000,4546000000,7309000000
45,Total Non-Current Assets,2027600000,2013100000,2022600000,2129800000,1503200000,1678600000,1952500000,2040700000,2518100000,2831800000,2574800000,2605500000,3157100000,3363700000,3720400000,4471900000,5185000000,5289600000,6950600000,6910100000,7433800000,7882100000,10735400000,11607600000,12910600000,11869200000,13279200000,15397400000,15408800000,16822500000,16836000000,18011500000,6318000000,10529000000,10270000000,23761000000,25895000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,5462200000,4974300000,4759900000,5245300000,9145400000,10664300000,11649400000,11445600000,11351900000,12781200000,13847400000,14652700000,16319800000,18001500000,17578200000,20469400000,22663100000,23768000000,26258000000,28754000000,33636800000,34720400000,38575700000,38734600000,41131600000,43266800000,48207300000,56265800000,59521300000,61336400000,57947300000,57981400000,65786300000,70108000000,73011000000,75091000000,84114000000
48,Accounts Payable,- -,- -,- -,- -,1579000000,1722400000,1803600000,1845000000,2097100000,2319200000,2533000000,2676200000,2839700000,2853200000,2432800000,2976400000,3097100000,3142200000,3105500000,3973600000,4384200000,4482800000,5357900000,1773000000,1093000000,1825000000,2163000000,2287000000,2174000000,1661000000,1435000000,1598000000,2397900000,2783900000,2302000000,1926000000,2967000000
49,Short-Term Debt,536900000,395500000,355500000,476600000,2263600000,2892500000,3471100000,3080300000,1601400000,2637400000,3167300000,3144100000,3774600000,5322100000,4488200000,5758500000,6198500000,4437300000,4347200000,3457500000,6883800000,8121200000,9969400000,8521000000,7159000000,7535000000,9629400000,9967800000,12898100000,12577500000,13017000000,11914500000,14153700000,15019300000,15105000000,13561000000,15803000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,108000000,60000000,154000000,166000000,- -,- -,- -,- -,- -,- -,836000000,734000000,730000000,933000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,289000000,280000000,286000000,345000000,452000000,919000000,1002000000,1050000000,1136000000,2415000000,808000000,1466000000,1647000000,1838000000
52,Other Current Liabilities,1376800000,1113900000,1173900000,1251700000,391300000,538500000,581400000,655600000,649800000,761300000,543100000,597600000,580900000,587300000,215700000,153600000,161000000,244200000,226500000,457400000,483500000,248400000,594200000,4332000000,3998000000,4371000000,5297000000,6250000000,6001400000,5891000000,4826000000,4506000000,11371100000,12971600000,12496000000,6242000000,7264000000
53,Total Current Liabilities,1913700000,1509400000,1529400000,1728300000,4233900000,5153400000,5856100000,5580900000,4348300000,5717900000,6243400000,6417900000,7195200000,8762600000,7136700000,8888500000,9456600000,7823700000,7679200000,7888500000,11751500000,12852400000,15921500000,14915000000,12530000000,14017000000,17434400000,18956800000,21992500000,21131500000,20328000000,19154500000,30337700000,31582800000,31369000000,23376000000,27872000000
54,Long-Term Debt,1129700000,1290100000,1062000000,816900000,1675600000,1785900000,2206300000,2473000000,2547500000,2053900000,2175800000,2425400000,2622800000,2791700000,3806200000,4764300000,6560700000,8950400000,10404200000,11090400000,11738800000,11584000000,11798200000,13899000000,17392000000,16815000000,16960000000,22453000000,21578000000,24381000000,23833000000,23760000000,25891300000,27237400000,30229000000,32599000000,32888000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,50500000,13000000,9500000,14400000,148200000,171700000,75400000,25200000,8600000,13500000,15600000,9400000,21400000,19700000,63000000,74600000,12900000,24500000,30700000,62600000,62700000,- -,- -,171800000,167300000,144300000,168300000,164400000,160300000,160900000,160800000,166000000,- -,- -,- -,519000000,576000000
57,Other Non-Current Liabilities,109700000,162500000,238900000,229500000,307400000,545700000,675800000,716200000,2362100000,2438000000,2327200000,2242800000,2333200000,2347700000,2478000000,2440100000,2640700000,3806200000,4141800000,3319700000,3232300000,2792800000,3700200000,3216100000,6224600000,5987100000,6829800000,7829600000,5522800000,6597500000,6868200000,8370100000,- -,- -,- -,5653000000,4344000000
58,Total Non-Current Liabilities,1289900000,1465600000,1310400000,1060800000,2131200000,2503300000,2957500000,3214400000,4918200000,4505400000,4518600000,4677600000,4977400000,5159100000,6347200000,7279000000,9214300000,12781100000,14576700000,14472700000,15033800000,14376800000,15498400000,17286900000,23783900000,22946400000,23958100000,30447000000,27261100000,31139400000,30862000000,32296100000,25891300000,27237400000,30229000000,38771000000,37808000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,453000000,342000000
61,Total Liabilities,3203600000,2975000000,2839800000,2789100000,6365100000,7656700000,8813600000,8795300000,9266500000,10223300000,10762000000,11095500000,12172600000,13921700000,13483900000,16167500000,18670900000,20604800000,22255900000,22361200000,26785300000,27229200000,31419900000,32201900000,36313900000,36963400000,41392500000,49403800000,49253600000,52270900000,51190000000,51450600000,56229000000,58820200000,61598000000,62147000000,65680000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1850400000,1864400000,1948600000,1957000000,1987800000,2043500000,2081700000,2212000000,2777000000,2934000000,2996200000,3106300000,3251700000,3352200000,3524200000,3675400000,3825600000,3911800000,4280500000,4474200000,4642000000,4895000000,5054000000
64,Retained Earnings,1877200000,1597000000,1480900000,1749400000,2031900000,2291300000,2119000000,2004300000,926500000,1353900000,1690300000,2299500000,3048400000,3839500000,3855300000,4117200000,3834800000,3912600000,4329500000,5445100000,6556100000,7886800000,9031700000,10580600000,10980500000,12353100000,14519400000,16875200000,19645600000,22004400000,23144800000,23911300000,25301300000,27553000000,29852000000,31646000000,36449000000
65,Other Comprehensive Income/Loss,-1613300000,-1816100000,-1960500000,-2063200000,-2124000000,-2296000000,-2322000000,-2453000000,-2531000000,-2724000000,-2878000000,-2953000000,-2856000000,-2988000000,-3108000000,-3143000000,-3336000000,-1384200000,-1173800000,-55400000,-42800000,65800000,-637500000,-1387300000,-3593300000,-3379600000,-3678000000,-4571500000,-2693100000,-3783000000,-4729400000,-5626000000,-4563700000,-4427600000,-5607000000,-5539000000,-2539000000
66,Other Total Stockholders Equity,1994700000,2218400000,2399700000,2770000000,2872400000,3012300000,3038800000,3099000000,3689900000,3928000000,4273100000,4210700000,3954800000,3228300000,1496600000,1463300000,1544800000,- -,-1141400000,-1040400000,-1743500000,-2673400000,-4015400000,-5594600000,-5564700000,-5789500000,-7292800000,-8813800000,-10210900000,-12834200000,-15497600000,-15677100000,-15460800000,-16311800000,-17474000000,-18065000000,- -
67,Total Stockholders Equity,2258600000,1999300000,1920100000,2456200000,2780300000,3007600000,2835800000,2650300000,2085400000,2557900000,3085400000,3557200000,4147200000,4079800000,4094300000,4301900000,3992200000,3163200000,4002100000,6392800000,6851500000,7491200000,7155800000,6532700000,4818700000,6290300000,6800300000,6842100000,10265800000,9062600000,6743400000,6520000000,9557300000,11287800000,11413000000,12937000000,18431000000
68,Total Liabilities And Stockholders Equity,5462200000,4974300000,4759900000,5245300000,9145400000,10664300000,11649400000,11445600000,11351900000,12781200000,13847400000,14652700000,16319800000,18001500000,17578200000,20469400000,22663100000,23768000000,26258000000,28754000000,33636800000,34720400000,38575700000,38734600000,41132600000,43253700000,48192800000,56245900000,59519400000,61333500000,57933400000,57970600000,65786300000,70108000000,73011000000,75084000000,84111000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,13100000,14500000,19900000,1900000,2900000,13900000,10800000,- -,- -,- -,7000000,3000000
70,Total Liabilities & Equity,5462200000,4974300000,4759900000,5245300000,9145400000,10664300000,11649400000,11445600000,11351900000,12781200000,13847400000,14652700000,16319800000,18001500000,17578200000,20469400000,22663100000,23768000000,26258000000,28754000000,33636800000,34720400000,38575700000,38734600000,41131600000,43266800000,48207300000,56265800000,59521300000,61336400000,57947300000,57981400000,65786300000,70108000000,73011000000,75091000000,84114000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/315189/000119312503098064/d10k.htm,https://www.sec.gov/Archives/edgar/data/315189/000110465904040625/a04-14942_110k.htm,https://www.sec.gov/Archives/edgar/data/315189/000110465905061732/a05-21685_110k.htm,https://www.sec.gov/Archives/edgar/data/315189/000110465906082456/a06-25680_110k.htm,https://www.sec.gov/Archives/edgar/data/315189/000110465907090067/0001104659-07-090067-index.html,https://www.sec.gov/Archives/edgar/data/315189/000110465908077324/0001104659-08-077324-index.html,https://www.sec.gov/Archives/edgar/data/315189/000110465909070344/0001104659-09-070344-index.html,https://www.sec.gov/Archives/edgar/data/315189/000110465910063219/0001104659-10-063219-index.html,https://www.sec.gov/Archives/edgar/data/315189/000110465911070023/0001104659-11-070023-index.html,https://www.sec.gov/Archives/edgar/data/315189/000110465912084558/0001104659-12-084558-index.html,https://www.sec.gov/Archives/edgar/data/315189/000110465913090354/0001104659-13-090354-index.html,https://www.sec.gov/Archives/edgar/data/315189/000110465914087794/0001104659-14-087794-index.html,https://www.sec.gov/Archives/edgar/data/315189/000104746915009300/0001047469-15-009300-index.html,https://www.sec.gov/Archives/edgar/data/315189/000104746916017244/0001047469-16-017244-index.html,https://www.sec.gov/Archives/edgar/data/315189/000104746917007719/0001047469-17-007719-index.html,https://www.sec.gov/Archives/edgar/data/315189/000104746918007694/0001047469-18-007694-index.html,https://www.sec.gov/Archives/edgar/data/315189/000155837019011614/0001558370-19-011614-index.html,https://www.sec.gov/Archives/edgar/data/315189/000155837020014436/0001558370-20-014436-index.htm,https://www.sec.gov/Archives/edgar/data/315189/000155837021016864/0001558370-21-016864-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
