,https://roic.ai/company/SNMP,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,-276910000,19586000,-86543000,-25857000,9503000,-137001000,19231000,-3040000,15881000,-50940000,-118737000,-155422000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,-2.5477,0.1354,-1.2719,-0.5866,0.1230,-2.0021,0.2721,-0.0345,0.1899,-0.6646,-2.0834,-3.0190
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55000,- -,- -,190000,202000,24000,-5000
23,Net Income,414000,4987000,2099000,11941000,15989000,14241000,7268000,-9023000,-276910000,19586000,-86543000,-28543000,9503000,-137056000,19231000,-3040000,15691000,52631000,-118761000,-154539000
24,Net Income ratio,0.0475,0.2673,0.1142,0.4600,0.4331,0.1877,0.0445,-0.0733,-2.5477,0.1354,-1.2719,-0.6476,0.1230,-2.0029,0.2721,-0.0345,0.1877,0.6866,-2.0838,-3.0018
25,EPS,0.37,4.41,1.89,10.40,14.10,8.70,3.30,-4.00,-113.60,8.10,-35.80,-17.20,5.80,-50.10,-9.55,-2.90,-1.55,-2.55,-5.94,-7.74
26,EPS Diluted,0.37,4.41,1.89,10.40,14.10,8.70,3.30,-4.00,-113.60,8.10,-35.80,-17.20,3.24,-50.10,-9.55,-2.90,-1.55,-2.55,-5.94,-7.74
27,Weighted Average Shares Outstanding,1132030,1132030,1109389,1153667,1132030,1632154,2235063,2266489,2437054,2427349,2417151,2614371,2919484,3071587,4658970,14039726,15264284,20087462,19978633,19978633
28,Weighted Average Shares Outstanding Diluted,1132030,1132030,1109389,1153667,1132030,1632550,2236999,2266489,2437054,2427349,2417151,2614371,2929567,3071587,4658970,14039726,15264284,20087462,19978633,19978633
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1362705/000119312508045648/0001193125-08-045648-index.htm,https://www.sec.gov/Archives/edgar/data/1362705/000119312509041241/0001193125-09-041241-index.htm,https://www.sec.gov/Archives/edgar/data/1362705/000119312510040887/0001193125-10-040887-index.htm,https://www.sec.gov/Archives/edgar/data/1362705/000119312511047700/0001193125-11-047700-index.htm,https://www.sec.gov/Archives/edgar/data/1362705/000119312512092128/0001193125-12-092128-index.htm,https://www.sec.gov/Archives/edgar/data/1362705/000119312513101051/0001193125-13-101051-index.htm,https://www.sec.gov/Archives/edgar/data/1362705/000136270514000012/0001362705-14-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1362705/000136270515000010/0001362705-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1362705/000155837016004482/0001558370-16-004482-index.htm,https://www.sec.gov/Archives/edgar/data/1362705/000155837017002208/0001558370-17-002208-index.htm,https://www.sec.gov/Archives/edgar/data/1362705/000155837018001824/0001558370-18-001824-index.htm,https://www.sec.gov/Archives/edgar/data/1362705/000155837019001662/0001558370-19-001662-index.htm,https://www.sec.gov/Archives/edgar/data/1362705/000155837020002679/0001558370-20-002679-index.htm,https://www.sec.gov/Archives/edgar/data/1362705/000136270521000017/0001362705-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1362705/000155837022004785/0001558370-22-004785-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,2563000,2012000,14831000,7485000,18689000,6255000,11337000,7892000,17176000,1975000,4894000,4238000,6571000,957000,321000,2934000,5099000,1718000,1675000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,89635000,- -
33,Cash and Short-Term Investments,- -,2563000,2012000,14831000,7485000,18689000,6255000,11337000,7892000,17176000,1975000,4894000,4238000,6571000,957000,321000,2934000,5099000,91353000,1675000
34,Net Receivables,- -,- -,- -,5824000,9609000,18519000,9363000,8379000,7371000,6394000,7378000,6678000,5217000,3976000,7199000,13594000,6977000,6852000,6670000,19466000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,273000,8993000,8665000,36613000,25549000,37828000,21526000,19381000,11688000,18202000,22354000,6609000,3612000,3975000,1419000,-89040000,1293000
37,Total Current Assets,- -,- -,- -,20928000,26087000,45873000,52231000,45265000,53091000,45096000,28734000,23260000,27657000,32901000,14765000,17527000,13886000,13370000,8983000,22434000
38,PP&E,- -,- -,- -,165211000,171639000,643653000,662519000,612625000,276919000,266085000,187423000,144995000,135310000,227054000,222820000,213145000,198334000,155228000,122895000,1428000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,199741000,185766000,172166000,- -,- -,131786000,118329000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,199741000,185766000,172166000,158706000,145246000,131786000,118329000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,111614000,123715000,114465000,100311000,89635000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,5971000,17129000,44099000,50427000,54367000,23125000,11865000,6278000,10637000,13695000,4740000,1870000,1294000,285000,129000,118508000
45,Total Non-Current Assets,- -,- -,- -,165211000,177610000,660782000,706618000,663052000,331286000,289210000,199288000,151273000,145947000,440490000,524940000,510896000,472799000,401070000,344445000,238265000
46,Other Assets,40601000,54217000,60684000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,40601000,54217000,60684000,186139000,203697000,706655000,758849000,708317000,384377000,334306000,228022000,174533000,173604000,473391000,539705000,528423000,486685000,414440000,353428000,260699000
48,Accounts Payable,- -,- -,- -,4799000,66000,1933000,2809000,1102000,1418000,1404000,576000,12000,35000,7977000,1657000,2153000,10319000,5978000,4420000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39374000,110233000,9232000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,43812000,4403000,4482000,9096000,8941000,18618000,16697000,15382000,13115000,13150000,60597000,14005000,7215000,1035000,7786000,11260000,490000,1344000,371301000,413919000
53,Total Current Liabilities,43812000,4403000,4482000,13895000,9007000,20551000,19506000,16484000,14533000,14554000,61173000,14017000,7250000,9012000,9443000,13413000,10809000,46696000,485954000,423151000
54,Long-Term Debt,- -,26000000,67500000,63000,22000000,153000000,212500000,195000000,165000000,98400000,34000000,50700000,42500000,107000000,151322000,187808000,178582000,109437000,- -,40270000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,19423000,3314000,3014000,2730000,16702000,6754000,18796000,19691000,14432000,16583000,10911000,17031000,385552000,362196000,356510000,12057000,294107000,21018000,22398000
58,Total Non-Current Liabilities,- -,45423000,70814000,3077000,24730000,169702000,219254000,213796000,184691000,112832000,50583000,61611000,59531000,492552000,513518000,544318000,190639000,403544000,21018000,62668000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,43812000,49826000,75296000,16972000,33737000,190253000,238760000,230280000,199224000,127386000,111756000,75628000,66781000,501564000,522961000,557731000,201448000,450240000,506972000,485819000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,349857000,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,116266000,98905000,- -,- -,- -,- -,- -,- -,-153544000,- -
64,Retained Earnings,- -,- -,- -,11941000,13113000,4224000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-154539000
65,Other Comprehensive Income/Loss,- -,- -,- -,-4176000,13000000,4000000,50000000,28000000,11000000,5000000,-615206000,-495215000,-517239000,-653569000,-689358000,-142574000,-100245000,-144189000,- -,- -
66,Other Total Stockholders Equity,- -,4391000,- -,161402000,135847000,501178000,463422000,450037000,- -,- -,- -,495215000,- -,- -,- -,- -,- -,- -,- -,154539000
67,Total Stockholders Equity,-3211000,4391000,-14612000,169167000,161960000,509402000,513422000,478037000,- -,- -,- -,98905000,- -,- -,- -,- -,285237000,-35800000,-153544000,-225120000
68,Total Liabilities And Stockholders Equity,40601000,54217000,60684000,186139000,195697000,699655000,752182000,708317000,199224000,127386000,111756000,174533000,66781000,501564000,522961000,557731000,486685000,414440000,353428000,260699000
69,Minority Interest,- -,- -,- -,- -,8000000,7000000,6667000,- -,185153000,206920000,116266000,- -,106823000,-28173000,16744000,-29308000,- -,- -,- -,- -
70,Total Liabilities & Equity,40601000,54217000,60684000,186139000,203697000,706655000,758849000,708317000,384377000,334306000,228022000,174533000,173604000,473391000,539705000,528423000,486685000,414440000,353428000,260699000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1362705/000119312508045648/0001193125-08-045648-index.htm,https://www.sec.gov/Archives/edgar/data/1362705/000119312509041241/0001193125-09-041241-index.htm,https://www.sec.gov/Archives/edgar/data/1362705/000119312510040887/0001193125-10-040887-index.htm,https://www.sec.gov/Archives/edgar/data/1362705/000119312511047700/0001193125-11-047700-index.htm,https://www.sec.gov/Archives/edgar/data/1362705/000119312512092128/0001193125-12-092128-index.htm,https://www.sec.gov/Archives/edgar/data/1362705/000119312513101051/0001193125-13-101051-index.htm,https://www.sec.gov/Archives/edgar/data/1362705/000136270514000012/0001362705-14-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1362705/000136270515000010/0001362705-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1362705/000155837016004482/0001558370-16-004482-index.htm,https://www.sec.gov/Archives/edgar/data/1362705/000155837017002208/0001558370-17-002208-index.htm,https://www.sec.gov/Archives/edgar/data/1362705/000155837018001824/0001558370-18-001824-index.htm,https://www.sec.gov/Archives/edgar/data/1362705/000155837019001662/0001558370-19-001662-index.htm,https://www.sec.gov/Archives/edgar/data/1362705/000155837020002679/0001558370-20-002679-index.htm,https://www.sec.gov/Archives/edgar/data/1362705/000136270521000017/0001362705-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1362705/000155837022004785/0001558370-22-004785-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,11941000,15989000,14241000,7268000,-9023000,-276910000,19586000,-86543000,-28543000,9503000,-137056000,19231000,-3040000,15691000,52631000,-118761000,-154539000
74,Depreciation and Amortization,- -,- -,- -,4176000,7492000,23614000,78971000,76286000,- -,- -,- -,- -,- -,16054000,35656000,34830000,25987000,25333000,22873000,20998000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,1308000,1849000,1341000,1526000,1049000,1298000,2454000,2044000,3373000,1938000,1351000,2602000,2291000
77,Change in Working Capital,- -,- -,- -,7054000,10047000,8242000,7403000,-3944000,9777000,-8016000,-62981000,41682000,11164000,3482000,-18567000,-1208000,-1037000,-36403000,-443645000,76254000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,984000,939000,965000,-1019000,-1106000,1370000,4166000,-159000,644000,6012000,-29000,220000,-12726000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-1707000,316000,-14000,-828000,-468000,23000,- -,- -,- -,8386000,6256000,4988000,- -
81,Other Working Capital,- -,- -,- -,7033000,17080000,25322000,32725000,28781000,38558000,30542000,-32439000,9243000,20407000,23889000,5322000,4114000,3077000,-33326000,-476971000,-400717000
82,Other Non-Cash Items,- -,- -,- -,142000,-19461000,-3598000,-18010000,-8540000,306113000,74779000,161604000,1016000,-4966000,130503000,1799000,18145000,24363000,15073000,574874000,86040000
83,Cash Provided by Operating Activities,- -,- -,- -,23313000,14067000,42499000,75632000,56087000,40829000,87690000,13606000,15204000,16999000,15437000,40163000,52100000,66942000,57985000,37943000,31044000
84,CAPEX,- -,- -,- -,-147237000,-13485000,-503036000,-47897000,-22913000,-7973000,-10967000,-15638000,-15694000,-5865000,-2005000,-939000,-32134000,-2544000,-1194000,-1827000,255000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-48063000,-291000,-6369000,-350000,-252000,-20221000,-1351000,-427218000,-25622000,-12216000,-2838000,-242000,-111000,- -
86,Purchases of Investments,- -,- -,- -,- -,-12419000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-107271000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,475000,503000,952000,633000,576000,604000,1738000,58084000,780000,483000,-4692000,11665000,7692000,- -,- -,15356000
89,Cash Used for Investing Activites,- -,- -,- -,-147237000,-25429000,-502533000,-95008000,-22571000,-13766000,-10713000,-14152000,22169000,-6436000,-428740000,-138524000,-32685000,2310000,-1436000,-1938000,15356000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-55000000,-30000000,-66600000,-14400000,-50194000,-13950000,-42500000,-26000000,-12000000,-11000000,-34000000,-52000000,-67300000
91,Common Stock Issued,- -,- -,- -,- -,109340000,369549000,- -,- -,- -,- -,- -,- -,- -,193000,99196000,1290000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2468000,-2223000,-2948000,- -,- -,-456000,-41000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-5820000,- -,- -,- -,- -,- -,- -,-43864000,-56692000,-56581000,-22891000,- -,- -
94,Other Financing Activites,- -,- -,- -,138755000,-105324000,101689000,6942000,32386000,-508000,-1093000,-255000,15756000,5199000,460166000,66363000,47351000,942000,2963000,12655000,20857000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,138755000,4016000,471238000,6942000,-28434000,-30508000,-67693000,-14655000,-34438000,-11219000,415636000,92747000,-20051000,-66639000,-54384000,-39386000,-46443000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,138755000,-7346000,11204000,-12434000,5082000,-3445000,9284000,-15201000,2935000,-656000,2333000,-5614000,-636000,2613000,2165000,-3381000,-43000
98,Cash at the End of Period,- -,- -,- -,14831000,7485000,18689000,6255000,11337000,7892000,17176000,1975000,4894000,4238000,6571000,957000,321000,2934000,5099000,1718000,1675000
99,Cash at the Beginning of Period,- -,- -,- -,- -,14831000,7485000,18689000,6255000,11337000,7892000,17176000,1959000,4894000,4238000,6571000,957000,321000,2934000,5099000,1718000
100,Free Cash Flow,- -,- -,- -,-123924000,582000,-460537000,27735000,33174000,32856000,76723000,-2032000,-490000,11134000,13432000,39224000,19966000,64398000,56791000,36116000,31299000
101,SEC Link,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1362705/000119312508045648/0001193125-08-045648-index.htm,https://www.sec.gov/Archives/edgar/data/1362705/000119312509041241/0001193125-09-041241-index.htm,https://www.sec.gov/Archives/edgar/data/1362705/000119312510040887/0001193125-10-040887-index.htm,https://www.sec.gov/Archives/edgar/data/1362705/000119312511047700/0001193125-11-047700-index.htm,https://www.sec.gov/Archives/edgar/data/1362705/000119312512092128/0001193125-12-092128-index.htm,https://www.sec.gov/Archives/edgar/data/1362705/000119312513101051/0001193125-13-101051-index.htm,https://www.sec.gov/Archives/edgar/data/1362705/000136270514000012/0001362705-14-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1362705/000136270515000010/0001362705-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1362705/000155837016004482/0001558370-16-004482-index.htm,https://www.sec.gov/Archives/edgar/data/1362705/000155837017002208/0001558370-17-002208-index.htm,https://www.sec.gov/Archives/edgar/data/1362705/000155837018001824/0001558370-18-001824-index.htm,https://www.sec.gov/Archives/edgar/data/1362705/000155837019001662/0001558370-19-001662-index.htm,https://www.sec.gov/Archives/edgar/data/1362705/000155837020002679/0001558370-20-002679-index.htm,https://www.sec.gov/Archives/edgar/data/1362705/000136270521000017/0001362705-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1362705/000155837022004785/0001558370-22-004785-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
