,https://roic.ai/company/CRNC,2016,2017,2018,2019,2020,2021
34,Net Receivables,55161000,74019000,72084000,65787000,49943000,45560000
35,Inventory,- -,- -,- -,- -,- -,- -
36,Other Current Assets,3997000,6788000,10883000,26538000,51476000,82625000
37,Total Current Assets,59158000,80807000,82967000,92325000,249148000,287048000
38,PP&E,15575000,13305000,13406000,20113000,49625000,46406000
39,Goodwill,1067527000,1075443000,1119946000,1119329000,1128198000,1128511000
40,Intangible Assets,61459000,50668000,84812000,65561000,45616000,25348000
41,Intangible Assets,1128986000,1126111000,1204758000,1184890000,1173814000,1153859000
42,Investments,- -,- -,- -,- -,11662000,7339000
43,Tax Assets,49494000,67000000,51053000,150629000,161759000,159293000
44,Other Non-Current Assets,39827000,48529000,45364000,35872000,41437000,51783000
45,Total Non-Current Assets,1233882000,1254945000,1314581000,1391504000,1438297000,1418680000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,1293040000,1335752000,1397548000,1483829000,1687445000,1705728000
48,Accounts Payable,6475000,5525000,6510000,16687000,8447000,11636000
49,Short-Term Debt,- -,- -,- -,- -,11950000,10812000
50,Tax Payable,509000,811000,1472000,219000,14688000,8574000
51,Deferred Revenue,51615000,66747000,84862000,88233000,112520000,78394000
52,Other Current Liabilities,21550000,22134000,30434000,24194000,67857000,64467000
53,Total Current Liabilities,79640000,94406000,121806000,129114000,200774000,165309000
54,Long-Term Debt,- -,- -,- -,- -,266872000,277309000
55,Deferred Revenue,191800000,233435000,263787000,265051000,212573000,198343000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,10210000,10732000,18636000,21536000,49470000,32822000
58,Total Non-Current Liabilities,202010000,244167000,282423000,286587000,528915000,508474000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,23521000,16778000
61,Total Liabilities,281650000,338573000,404229000,415701000,729689000,673783000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,369000,381000
64,Retained Earnings,- -,- -,- -,- -,-20631000,27577000
65,Other Comprehensive Income/Loss,-31093000,-22613000,-23957000,-28999000,3711000,1634000
66,Other Total Stockholders Equity,1022917000,1012626000,1017319000,1097128000,974307000,- -
67,Total Stockholders Equity,1011390000,997179000,993319000,1068128000,957756000,1031945000
68,Total Liabilities And Stockholders Equity,1293040000,1335752000,1397548000,1483829000,1687445000,1705728000
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1293040000,1335752000,1397548000,1483829000,1687445000,1705728000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1768267/000156459019046399/0001564590-19-046399-index.html,https://www.sec.gov/Archives/edgar/data/1768267/000156459020054595/0001564590-20-054595-index.htm,https://www.sec.gov/Archives/edgar/data/1768267/000156459021057931/0001564590-21-057931-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,34939000,47276000,5881000,100268000,-20631000,45893000
74,Depreciation and Amortization,19755000,19669000,25765000,28844000,30041000,29661000
75,Deferred Income Tax,-20473000,-17718000,12473000,-101223000,-11354000,-4419000
76,Stock Based Compensation,18594000,19794000,22043000,29682000,47285000,60555000
77,Change in Working Capital,61101000,6883000,-25240000,2050000,85163000,-61293000
78,Accounts Receivable,-4219000,-17937000,8472000,904000,16112000,5751000
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,3629000,-1025000,-6291000,10130000,-2430000,3411000
81,Other Working Capital,-20482000,-13599000,-38839000,-36789000,48374000,-38669000
82,Other Non-Cash Items,- -,20880000,74337000,28450000,-85715000,3992000
83,Cash Provided by Operating Activities,113916000,96784000,115259000,88071000,44789000,74389000
84,CAPEX,-8294000,-4714000,-6510000,-4517000,-19012000,-12047000
85,Acquisitions Net,- -,- -,-79802000,- -,- -,-2563000
86,Purchases of Investments,- -,- -,- -,- -,-11663000,-44471000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,16350000
88,Other Investing Activites,- -,- -,- -,- -,- -,-10947000
89,Cash Used for Investing Activites,-8294000,-4714000,-86312000,-4517000,-30675000,-41631000
90,Debt Repayment,- -,- -,- -,- -,-271699000,-6738000
91,Common Stock Issued,- -,- -,- -,- -,1318000,11522000
92,Common Stock Repurchased,- -,- -,- -,- -,-9369000,-45769000
93,Dividends Paid,- -,- -,- -,- -,-152978000,- -
94,Other Financing Activites,-105622000,-92070000,-28947000,-83554000,554281000,-520000
95,Cash Used/Provided by Financing Activities,-105622000,-92070000,-28947000,-83554000,121553000,-41505000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,400000,1108000
97,Net Change In Cash,- -,- -,- -,- -,- -,-7639000
98,Cash at the End of Period,- -,- -,- -,- -,136067000,128428000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,136067000
100,Free Cash Flow,105622000,92070000,108749000,83554000,25777000,62342000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1768267/000156459019046399/0001564590-19-046399-index.html,https://www.sec.gov/Archives/edgar/data/1768267/000156459020054595/0001564590-20-054595-index.htm,https://www.sec.gov/Archives/edgar/data/1768267/000156459021057931/0001564590-21-057931-index.htm
102,false,,,,,,
