,https://roic.ai/company/SAND,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1434614/000110465913011561/0001104659-13-011561-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1434614/000127956916003058/0001279569-16-003058-index.html,https://www.sec.gov/Archives/edgar/data/1434614/000127956917000624/0001279569-17-000624-index.html,https://www.sec.gov/Archives/edgar/data/1434614/000127956918000626/0001279569-18-000626-index.html,https://www.sec.gov/Archives/edgar/data/1434614/000127956919000679/0001279569-19-000679-index.html,https://www.sec.gov/Archives/edgar/data/1434614/000110465920040389/0001104659-20-040389-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,97085,1321550,790868,28533000,13073000,127359000,98936000,90224000,5346000,21434000,12539000,5892000,6971000,113776000,16166000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18252000,13937000,10801000,1852000,- -
33,Cash and Short-Term Investments,97085,1321550,790868,28533000,13073000,127359000,98936000,90224000,5346000,21434000,30791000,19829000,17772000,115628000,16166000
34,Net Receivables,- -,7363,22304,136000,26000,19381000,2625000,2746000,3876000,6663000,7568000,6870000,7611000,8011000,12144000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,0,29490,21000,24000,- -,- -,- -,- -,- -,- -,- -,2761000,737000,5294000
37,Total Current Assets,97085,1328913,842662,28690000,13123000,146740000,101561000,92970000,9222000,28097000,38359000,26699000,28144000,124376000,33604000
38,PP&E,- -,- -,2221,100570000,128982000,185001000,237940000,261882000,414363000,402785000,368076000,374206000,395533000,359263000,473651000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,8362000,7542000,12989000,23989000,26580000,61293000,238082000,171361000,184802000,156847000,106979000
43,Tax Assets,- -,- -,- -,2438000,1343000,386000,14414000,27600000,19650000,16934000,13581000,9038000,4303000,- -,- -
44,Other Non-Current Assets,- -,100051,306996,34000,982000,1758000,12799000,24629000,27058000,25773000,2817000,7583000,10393000,9435000,6624000
45,Total Non-Current Assets,- -,100051,309218,103042000,139669000,194687000,278142000,338100000,487651000,506785000,622556000,562188000,595031000,525545000,587254000
46,Other Assets,- -,- -,618435,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,97085,1428963,1151879,131732000,152792000,341427000,379703000,431070000,496873000,534882000,660915000,588887000,623175000,649921000,620858000
48,Accounts Payable,8955,53952,- -,- -,834000,1247000,2306000,3631000,7443000,4289000,6438000,4980000,3865000,3434000,7347000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,333321,806000,- -,4000000,1127000,- -,- -,- -,- -,- -,- -,- -,- -
53,Total Current Liabilities,8955,53952,333321,806000,834000,5247000,3433000,3631000,7443000,4289000,6438000,4980000,3865000,3434000,7347000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,83500000,- -,- -,- -,45000000,- -,2579000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,6134000,5892000,3279000,3288000,2807000,510000,- -,5477000,18294000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3414000,2868000,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,6134000,5892000,86779000,3288000,2807000,510000,48414000,8345000,20873000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3414000,2868000,2579000
61,Total Liabilities,8955,53952,333321,806000,834000,5247000,9567000,9523000,94222000,7577000,9245000,5490000,52279000,11779000,28220000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,281495000,383082000,456670000,491769000,573085000,693880000,684722000,657551000,719730000,694675000
64,Retained Earnings,-8958,-69889,-390364,2925000,5742000,27669000,-29385000,-17870000,-60926000,-35672000,-25135000,-19263000,-2866000,10951000,35569000
65,Other Comprehensive Income/Loss,- -,- -,- -,-213000,- -,-20269000,-44129000,-38000000,-52000000,-34000000,-41000000,-103000000,-104000000,-364366000,-137606000
66,Other Total Stockholders Equity,97087,1444900,- -,- -,146216000,47285000,60568000,20747000,23808000,23892000,23925000,20938000,20211000,271827000,- -
67,Total Stockholders Equity,88129,1375011,818558,130926000,151958000,336180000,370136000,421547000,402651000,527305000,651670000,583397000,570896000,638142000,592638000
68,Total Liabilities And Stockholders Equity,97085,1428963,1151879,131732000,152792000,341427000,379703000,431070000,496873000,534882000,660915000,588887000,623175000,649921000,620858000
69,Minority Interest,- -,- -,0,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,97085,1428963,1151879,131732000,152792000,341427000,379703000,431070000,496873000,534882000,660915000,588887000,623175000,649921000,620858000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1434614/000110465913011561/0001104659-13-011561-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1434614/000127956916003058/0001279569-16-003058-index.html,https://www.sec.gov/Archives/edgar/data/1434614/000127956917000624/0001279569-17-000624-index.html,https://www.sec.gov/Archives/edgar/data/1434614/000127956918000626/0001279569-18-000626-index.html,https://www.sec.gov/Archives/edgar/data/1434614/000127956919000679/0001279569-19-000679-index.html,https://www.sec.gov/Archives/edgar/data/1434614/000110465920040389/0001104659-20-040389-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-8958,-59849,-333394,2399000,12489000,21927000,-73752000,11515000,-43056000,25254000,10537000,5872000,16397000,13817000,27622000
74,Depreciation and Amortization,- -,- -,957,347000,- -,102000,176000,189000,212000,231000,108000,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,-48111,-1553000,984000,3250000,-15512000,-3321000,8116000,4225000,3209000,1542000,4371000,7595000,14202000
76,Stock Based Compensation,- -,- -,- -,589000,1599000,1705000,4670000,2096000,2706000,3106000,3785000,3858000,5180000,5652000,6002000
77,Change in Working Capital,8955,1679,-24476,56000,153000,-182000,-1145000,-162000,274000,-1624000,797000,-1493000,-3365000,-2722000,-2341000
78,Accounts Receivable,- -,- -,- -,- -,- -,-64000,-26000,-65000,-540000,-1847000,-602000,-506000,-2585000,-553000,-4213000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,0,7819,95785,-1375000,5437000,10822000,117780000,24907000,62567000,7799000,26337000,36803000,34756000,41274000,35654000
83,Cash Provided by Operating Activities,-3,-50352,-309239,463000,20662000,37624000,32217000,35224000,30819000,38991000,44773000,46582000,57339000,65616000,81139000
84,CAPEX,- -,- -,-65063,-63510000,-33973000,-60683000,-71092000,-27907000,-217345000,-10806000,-4409000,-46031000,-61288000,-3476000,-152697000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,14000000,-6000000,1000000,- -,-48000000,- -,- -,- -,-559000
86,Purchases of Investments,- -,- -,- -,- -,-7768000,-13008000,-25738000,-40401000,-16391000,-6731000,-4761000,-13030000,-24070000,-15916000,-13018000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,9392000,339000,- -,11039000,2993000,14352000,24770000,23327000,56381000,22362000
88,Other Investing Activites,- -,-39344,- -,-63514000,-953000,-15145000,15099000,-242000,288000,18391000,2717000,-1979000,-3000000,-3312000,- -
89,Cash Used for Investing Activites,- -,-39344,-65063,-63514000,-42694000,-79444000,-67392000,-74550000,-221409000,3847000,-40101000,-36270000,-65031000,33677000,-143912000
90,Debt Repayment,- -,- -,-9280,- -,- -,- -,- -,- -,-26500000,-88500000,-16000000,-16000000,-47500000,-86000000,- -
91,Common Stock Issued,97087,204216,- -,58839000,6609000,- -,- -,- -,- -,53453000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-1846000,-1708000,-2280000,-17729000,-20464000,-46613000,-23524000,-34173000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,1098220,88711,-5344000,28000,157730000,9613000,33952000,135661000,10455000,18605000,19313000,102862000,117218000,-47000
95,Cash Used/Provided by Financing Activities,97087,1302437,79431,53495000,6637000,157730000,9613000,32106000,107453000,-26872000,-15124000,-17151000,8749000,7694000,-34220000
96,Effect of Forex Changes on Cash,- -,- -,8468,1380000,-65000,-1624000,-2861000,-1492000,-1741000,122000,1557000,192000,22000,-182000,-617000
97,Net Change In Cash,- -,1212741,-286404,-8176000,-15460000,114286000,-28423000,-8712000,-84878000,16088000,-8895000,-6647000,1079000,106805000,-97610000
98,Cash at the End of Period,97085,1321550,790868,28533000,13073000,127359000,98936000,90224000,5346000,21434000,12539000,5892000,6971000,113776000,16166000
99,Cash at the Beginning of Period,- -,108809,1077272,36709000,28533000,13073000,127359000,98936000,90224000,5346000,21434000,12539000,5892000,6971000,113776000
100,Free Cash Flow,-3,-50352,-374302,-63047000,-13311000,-23059000,-38875000,7317000,-186526000,28185000,40364000,551000,-3949000,62140000,-71558000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1434614/000110465913011561/0001104659-13-011561-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1434614/000127956916003058/0001279569-16-003058-index.html,https://www.sec.gov/Archives/edgar/data/1434614/000127956917000624/0001279569-17-000624-index.html,https://www.sec.gov/Archives/edgar/data/1434614/000127956918000626/0001279569-18-000626-index.html,https://www.sec.gov/Archives/edgar/data/1434614/000127956919000679/0001279569-19-000679-index.html,https://www.sec.gov/Archives/edgar/data/1434614/000110465920040389/0001104659-20-040389-index.html,- -,- -
102,false,,,,,,,,,,,,,,,
