,https://roic.ai/company/HLT,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
50,Tax Payable,- -,17000000,20000000,11000000,21000000,33000000,60000000,12000000,19000000,- -,- -,- -
51,Deferred Revenue,- -,86000000,61000000,48000000,52000000,65000000,65000000,- -,350000000,332000000,370000000,350000000
52,Other Current Liabilities,- -,1443000000,1595000000,1723000000,1769000000,1843000000,2067000000,1880000000,1966000000,2066000000,1611000000,2201000000
53,Total Current Liabilities,- -,2207000000,2349000000,2142000000,2257000000,2467000000,2684000000,2208000000,2615000000,2871000000,2431000000,3019000000
54,Long-Term Debt,- -,16408000000,15588000000,12671000000,11555000000,10319000000,10641000000,6556000000,7266000000,7748000000,11402000000,9582000000
55,Deferred Revenue,- -,90000000,82000000,674000000,495000000,283000000,64000000,97000000,826000000,827000000,1004000000,896000000
56,Deferred Tax Liabilities,- -,5006000000,4948000000,5053000000,5216000000,4630000000,4575000000,1063000000,898000000,795000000,649000000,700000000
57,Other Non-Current Liabilities,- -,1899000000,1944000000,1746000000,1888000000,2066000000,2398000000,2309000000,1832000000,3188000000,2755000000,2063000000
58,Total Non-Current Liabilities,- -,23403000000,22562000000,20144000000,19154000000,17298000000,17678000000,10025000000,10822000000,12558000000,15810000000,13241000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,1415000000,1393000000,1218000000
61,Total Liabilities,- -,25610000000,24911000000,22286000000,21411000000,19765000000,20362000000,12233000000,13437000000,15429000000,18241000000,16260000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1000000,1000000,10000000,10000000,10000000,10000000,3000000,3000000,3000000,3000000,3000000
64,Retained Earnings,- -,-6098000000,-5746000000,-5331000000,-4658000000,-3392000000,-3323000000,-6596000000,-6417000000,-5965000000,-6732000000,-6322000000
65,Other Comprehensive Income/Loss,- -,-489000000,-406000000,-264000000,-628000000,-784000000,-1001000000,-742000000,-782000000,-840000000,-860000000,-779000000
66,Other Total Stockholders Equity,- -,8454000000,8452000000,9948000000,10028000000,10151000000,10213000000,9407000000,7747000000,6320000000,6099000000,6277000000
67,Total Stockholders Equity,- -,1868000000,2301000000,4363000000,4752000000,5985000000,5899000000,2072000000,551000000,-482000000,-1490000000,-821000000
68,Total Liabilities And Stockholders Equity,- -,27478000000,27212000000,26649000000,26163000000,25750000000,26261000000,14305000000,13988000000,14947000000,16751000000,15439000000
69,Minority Interest,- -,-166000000,-146000000,-87000000,-38000000,-34000000,-50000000,3000000,7000000,10000000,4000000,2000000
70,Total Liabilities & Equity,- -,27312000000,27066000000,26562000000,26125000000,25716000000,26211000000,14308000000,13995000000,14957000000,16755000000,15441000000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1585689/000158568915000032/0001585689-15-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1585689/000158568916000161/0001585689-16-000161-index.htm,https://www.sec.gov/Archives/edgar/data/1585689/000158568917000038/0001585689-17-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1585689/000158568918000033/0001585689-18-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1585689/000158568919000034/0001585689-19-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1585689/000158568920000013/0001585689-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1585689/000158568921000016/0001585689-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1585689/000158568922000013/0001585689-22-000013-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,128000000,253000000,352000000,415000000,673000000,1404000000,348000000,1259000000,764000000,881000000,-715000000,410000000
74,Depreciation and Amortization,574000000,564000000,550000000,603000000,628000000,692000000,686000000,347000000,325000000,346000000,331000000,188000000
75,Deferred Income Tax,18000000,-187000000,73000000,65000000,14000000,-479000000,-79000000,-727000000,-14000000,-20000000,-235000000,-4000000
76,Stock Based Compensation,56000000,19000000,50000000,262000000,78000000,124000000,65000000,74000000,127000000,154000000,97000000,193000000
77,Change in Working Capital,799000000,801000000,-348000000,-237000000,1000000,-124000000,755000000,-1095000000,-410000000,-146000000,2549000000,-528000000
78,Accounts Receivable,-95000000,-96000000,-150000000,-31000000,-170000000,-96000000,-197000000,-210000000,-161000000,-105000000,488000000,-301000000
79,Inventory,155000000,119000000,137000000,19000000,56000000,-39000000,15000000,- -,- -,- -,- -,- -
80,Accounts Payable,-69000000,151000000,71000000,132000000,8000000,59000000,217000000,51000000,139000000,- -,-414000000,273000000
81,Other Working Capital,25000000,826000000,478000000,241000000,242000000,118000000,873000000,-222000000,-632000000,-778000000,1771000000,-155000000
82,Other Non-Cash Items,-742000000,-283000000,433000000,993000000,-28000000,-223000000,-425000000,1066000000,463000000,169000000,-1319000000,-150000000
83,Cash Provided by Operating Activities,833000000,1167000000,1110000000,2101000000,1366000000,1394000000,1350000000,924000000,1255000000,1384000000,708000000,109000000
84,CAPEX,-174000000,-535000000,-567000000,-376000000,-402000000,-409000000,-453000000,-208000000,-159000000,-205000000,-92000000,-79000000
85,Acquisitions Net,-220000000,-23000000,-3000000,-34000000,-9000000,-1415000000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,324000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-172000000,-440000000,-555000000,-348000000,-301000000,1807000000,-478000000,-222000000,-131000000,-123000000,-107000000,-57000000
89,Cash Used for Investing Activites,-68000000,-463000000,-558000000,-382000000,-310000000,392000000,-478000000,-222000000,-131000000,-123000000,-107000000,-57000000
90,Debt Repayment,-278000000,-726000000,-854000000,-17203000000,-1424000000,-1624000000,-4359000000,-1860000000,-1005000000,-1547000000,-2121000000,-3230000000
91,Common Stock Issued,- -,- -,- -,1243000000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-891000000,-1721000000,-1538000000,-296000000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-138000000,-277000000,-195000000,-181000000,-172000000,-42000000,- -
94,Other Financing Activites,-425000000,12000000,278000000,14097000000,354000000,38000000,4607000000,1222000000,1607000000,2144000000,4491000000,1437000000
95,Cash Used/Provided by Financing Activities,-703000000,-714000000,-576000000,-1863000000,-1070000000,-1724000000,-29000000,-1724000000,-1300000000,-1113000000,2032000000,-1793000000
96,Effect of Forex Changes on Cash,-4000000,-5000000,-2000000,-17000000,-14000000,-19000000,-15000000,8000000,-10000000,-2000000,- -,-10000000
97,Net Change In Cash,58000000,-15000000,-26000000,-161000000,-28000000,43000000,828000000,-1014000000,-186000000,146000000,2633000000,-1751000000
98,Cash at the End of Period,796000000,781000000,755000000,594000000,566000000,609000000,1684000000,670000000,484000000,630000000,3263000000,1512000000
99,Cash at the Beginning of Period,738000000,796000000,781000000,755000000,594000000,566000000,856000000,1684000000,670000000,484000000,630000000,3263000000
100,Free Cash Flow,659000000,632000000,543000000,1725000000,964000000,985000000,897000000,716000000,1096000000,1179000000,616000000,30000000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1585689/000158568915000032/0001585689-15-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1585689/000158568916000161/0001585689-16-000161-index.htm,https://www.sec.gov/Archives/edgar/data/1585689/000158568917000038/0001585689-17-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1585689/000158568918000033/0001585689-18-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1585689/000158568919000034/0001585689-19-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1585689/000158568920000013/0001585689-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1585689/000158568921000016/0001585689-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1585689/000158568922000013/0001585689-22-000013-index.htm
102,false,,,,,,,,,,,,
