,https://roic.ai/company/CYRN,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,1440000,1660000,3910000,4130000,4400000,23800000,58121000,60454000,7311000,4906000,7109000,5881000,6748000,8229000,10333000,10233000,11883000,15617000,18780000,30430000,31071000,23974000,26115000,32662000,40661000,40503000,37344000,37715000
11,COGS and Expenses,1550000,1990000,4370000,4300000,4300000,25300000,63976000,75059000,8986000,5487000,7746000,6581000,7649000,9640000,12161000,12493000,14801000,19708000,23130000,37631000,39194000,32297000,36157000,44561000,55201000,56060000,52130000,52992000
12,Interest Income ,- -,- -,- -,- -,- -,- -,2870000,449000,- -,- -,- -,141000,274000,527000,- -,- -,20000,- -,144000,3000,2000,1000,1000,2000,- -,32000,2000,- -
13,Interest Expense (Gain),-70000,-60000,-50000,-70000,300000,- -,- -,- -,60000,1967000,880000,- -,- -,- -,- -,- -,75000,27000,- -,197000,435000,240000,20000,2084000,255000,565000,1259000,- -
14,Depreciation and Amortization,- -,- -,300000,210000,700000,8800000,14847000,12460000,2539000,1939000,-204000,1990000,209000,397000,466000,491000,678000,1550000,1149000,2891000,3021000,2886000,4082000,5049000,6021000,7032000,5172000,5080000
15,EBITDA,-990000,-380000,-1030000,-3330000,-3400000,-11100000,-39378000,-48547000,-2312000,-2928000,-6517000,-700000,19000,2534000,2743000,3247000,4058000,4858000,2009000,-1563000,-3756000,-1550000,-2113000,-8557000,-13291000,-10533000,-10953000,-18097000
16,EBITDA ratio,-1.4143,-0.2197,-0.3291,-3.7000,-8.5000,-2.5814,-2.0601,-3.1693,-0.6725,-8.8997,-4.2791,-0.1783,0.0026,0.2252,0.1946,0.2138,0.2234,0.2111,0.0840,-0.0485,-0.1177,-0.0558,-0.0682,-0.2778,-0.3702,-0.2744,-0.3010,-0.5803
17,Operating Income,-850000,-260000,-1240000,-3410000,-3900000,-21000000,-52150000,-59741000,-5548000,-5158000,-6223000,-2656000,-415000,1610000,1931000,2696000,3360000,3308000,780000,-2107000,-6525000,-4460000,-6067000,-13762000,-19301000,-17669000,-15742000,-21805000
18,Operating Income ratio,-1.2143,-0.1503,-0.3962,-3.7889,-9.7500,-4.8837,-2.7282,-3.9001,-1.6137,-15.6778,-4.0860,-0.6767,-0.0574,0.1431,0.1370,0.1775,0.1850,0.1437,0.0326,-0.0653,-0.2044,-0.1607,-0.1958,-0.4468,-0.5376,-0.4602,-0.4326,-0.6992
19,Total Other Income Expenses (Gains),-70000,-60000,-40000,-60000,- -,- -,-6280000,-25446000,-806000,291000,-90000,-175000,-49000,527000,346000,60000,-55000,-27000,80000,-2544000,-687000,-216000,-148000,-1928000,-266000,-461000,-1642000,-1234000
20,Income Before Tax,-920000,-320000,-1280000,-3470000,- -,- -,- -,- -,- -,- -,- -,- -,- -,2137000,2277000,2756000,3305000,3281000,860000,-4651000,-7212000,-4676000,-6215000,-15690000,-19567000,-18130000,-17384000,-23039000
21,Income Before Tax Ratio,-1.3143,-0.1850,-0.4089,-3.8556,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1900,0.1616,0.1814,0.1820,0.1426,0.0360,-0.1442,-0.2259,-0.1684,-0.2006,-0.5094,-0.5450,-0.4722,-0.4777,-0.7387
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28000,7000,-2404000,-1098000,-1317000,-625000,5220000,-196000,123000,-2000,-42000,-153000,-112000,-121000,-138000
23,Net Income,-920000,-320000,-1280000,-3470000,-4400000,-19900000,-54225000,-61007000,-4911000,-6834000,-7193000,-2690000,-190000,2109000,2270000,5160000,4403000,4598000,1485000,-9871000,-7016000,-4799000,-6213000,-15648000,-19414000,-18018000,-17263000,-23039000
24,Net Income ratio,-1.3143,-0.1850,-0.4089,-3.8556,-11.0000,-4.6279,-2.8368,-3.9827,-1.4284,-20.7720,-4.7229,-0.6854,-0.0263,0.1875,0.1611,0.3397,0.2424,0.1998,0.0621,-0.3061,-0.2198,-0.1729,-0.2005,-0.5081,-0.5408,-0.4693,-0.4744,-0.7387
25,EPS,-26.29,-6.67,-40.00,-144.58,-540.00,-159.00,-210.60,-213.60,-14.40,-16.80,-10.80,-5.40,-0.17,4.80,1.80,4.20,3.80,3.80,1.20,-7.60,-5.00,-2.80,-2.60,-8.00,-7.20,-6.60,-5.80,-5.90
26,EPS Diluted,-26.29,-6.67,-40.00,-144.58,-540.00,-159.00,-210.60,-213.60,-14.40,-16.80,-10.80,-5.40,-0.17,4.80,1.60,4.00,3.60,3.80,1.20,-7.60,-5.00,-2.80,-2.60,-8.00,-7.20,-6.60,-5.80,-5.90
27,Weighted Average Shares Outstanding,35000,48000,32000,24000,8148,124783,257699,285866,347566,409549,673449,790099,1105646,414111,1280950,1226600,1178750,1181000,1230500,1311550,1429900,1715800,1956750,2046100,2681700,2758350,3016350,3908072
28,Weighted Average Shares Outstanding Diluted,35000,48000,32000,24000,8148,124783,257699,285866,347566,409549,673449,790099,1105646,459857,1346450,1264600,1243700,1232700,1257000,1311550,1429900,1715800,1956750,2046100,2681700,2758350,3016350,3908072
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1084577/000121390019005130/0001213900-19-005130-index.htm,https://www.sec.gov/Archives/edgar/data/1084577/000121390020008016/0001213900-20-008016-index.htm,https://www.sec.gov/Archives/edgar/data/1084577/000121390021018692/0001213900-21-018692-index.htm,https://www.sec.gov/Archives/edgar/data/1084577/000121390022014854/0001213900-22-014854-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,300000,800000,66000000,20831000,2248000,1388000,4125000,4149000,3986000,8004000,10807000,13661000,17275000,13432000,20868000,5137000,3757000,11063000,16379000,10621000,23981000,17571000,11551000,9296000,4302000
32,Short-Term Investments,- -,- -,- -,- -,- -,18100000,8607000,- -,- -,- -,- -,2500000,2000000,3600000,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,300000,800000,84100000,29438000,2248000,1388000,4125000,4149000,6486000,10004000,14407000,15661000,17275000,13432000,20868000,5137000,3757000,11063000,16379000,10621000,23981000,17571000,11551000,9296000,4302000
34,Net Receivables,- -,- -,- -,100000,100000,2400000,4355000,864000,64000,1179000,97000,405000,632000,1220000,1733000,2342000,2968000,2838000,5996000,5178000,4444000,3849000,3061000,2890000,3658000,2187000,960000,799000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,100000,300000,6100000,3626000,700000,231000,156000,111000,118000,134000,193000,1010000,1650000,2324000,2459000,3742000,2036000,1019000,949000,918000,1339000,1665000,1767000,1759000,2223000
37,Total Current Assets,- -,- -,- -,500000,1200000,92600000,37419000,3812000,1683000,5460000,4357000,7009000,10770000,15820000,18404000,21267000,18724000,26165000,14875000,10971000,16526000,21177000,14600000,28210000,22894000,15505000,12015000,7324000
38,PP&E,- -,- -,- -,400000,900000,6100000,19417000,5152000,1029000,452000,337000,373000,609000,786000,771000,701000,920000,885000,1608000,2674000,2401000,2321000,2081000,2787000,4608000,13105000,14848000,11463000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3792000,3792000,22518000,23206000,21325000,19864000,19441000,21128000,20519000,20246000,21476000,20374000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,16055000,- -,- -,- -,- -,- -,- -,- -,- -,- -,4510000,3505000,14568000,13189000,10544000,10264000,10426000,11018000,8802000,8966000,7797000,4304000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,16055000,- -,- -,- -,- -,- -,- -,- -,- -,- -,8302000,7297000,37086000,36395000,31869000,30128000,29867000,32146000,29321000,29212000,29273000,24678000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,750000,1290000,1227000,1227000,1403000,- -,594000,700000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,987000,1560000,2889000,3348000,- -,13000,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,200000,300000,1600000,4389000,581000,272000,971000,785000,613000,620000,604000,784000,945000,1249000,1071000,813000,893000,70000,79000,984000,1093000,3204000,3006000,2807000,-4661000
45,Total Non-Current Assets,- -,- -,- -,600000,1200000,7700000,39861000,5733000,1301000,1423000,1122000,986000,1229000,2390000,2305000,3923000,13258000,13369000,44258000,39962000,34947000,33228000,32932000,36026000,37133000,45323000,46928000,31480000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,1100000,2400000,100300000,77280000,9545000,2984000,6883000,5479000,7995000,11999000,18210000,20709000,25190000,31982000,39534000,59133000,50933000,51473000,54405000,47532000,64236000,60027000,60828000,58943000,38804000
48,Accounts Payable,- -,- -,- -,400000,400000,1500000,4205000,1374000,338000,479000,245000,321000,344000,335000,253000,357000,550000,551000,958000,859000,646000,603000,764000,1017000,1668000,1184000,799000,1075000
49,Short-Term Debt,- -,- -,- -,700000,1400000,100000,1115000,799000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3245000,4900000,4169000,- -,- -,- -,1946000,11983000,1618000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,1523000,839000,- -,222000,1200000,1533000,2032000,2534000,2341000,2834000,3178000,3058000,4535000,4499000,4097000,3269000,4609000,5032000,5773000,7208000,6934000,4644000
52,Other Current Liabilities,- -,- -,- -,600000,800000,2900000,6808000,1407000,796000,794000,877000,918000,882000,1161000,963000,1224000,1403000,5215000,7915000,5896000,6142000,5610000,6324000,7839000,7795000,4572000,5233000,5369000
53,Total Current Liabilities,- -,- -,- -,1700000,2600000,4500000,13651000,4419000,1134000,1495000,2322000,2772000,3258000,4030000,3557000,4415000,5131000,8824000,13408000,14499000,15785000,13651000,11697000,13888000,15236000,14910000,24949000,12706000
54,Long-Term Debt,- -,- -,- -,- -,100000,- -,841000,260000,- -,2134000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,10000000,19114000,17202000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,635000,848000,964000,694000,492000,1646000,1042000,824000,1788000,524000,503000,1956000,644000,485000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3187000,2749000,1984000,1627000,1374000,1355000,1130000,796000,655000,407000
57,Other Non-Current Liabilities,- -,- -,- -,400000,400000,500000,984000,680000,413000,797000,564000,1024000,1248000,1832000,857000,1050000,4134000,1192000,7324000,3730000,1603000,955000,935000,1368000,1298000,8455000,1544000,- -
58,Total Non-Current Liabilities,- -,- -,- -,400000,500000,500000,1825000,940000,413000,2931000,564000,1024000,1248000,1832000,1492000,1898000,5098000,1886000,11003000,8125000,4629000,3406000,4097000,3247000,12931000,21207000,21957000,18094000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9120000,11849000,- -
61,Total Liabilities,- -,- -,- -,2100000,3100000,5000000,15476000,5359000,1547000,4426000,2886000,3796000,4506000,5862000,5049000,6313000,10229000,10710000,24411000,22624000,20414000,17057000,15794000,17135000,28167000,36117000,46906000,19594000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83000,61000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,200000,236000,239000,290000,456000,520000,664000,845000,893000,890000,842000,812000,834000,986000,986000,1195000,1497000,1497000,2097000,2097000,2309000,2392000,- -
64,Retained Earnings,- -,- -,- -,-7300000,-11700000,-31500000,-85753000,-146760000,-151671000,-158505000,-165839000,-170280000,-170470000,-168361000,-166091000,-160931000,-156528000,-151930000,-150516000,-160958000,-168154000,-173013000,-179188000,-195098000,-213143000,-231329000,-248592000,-271631000
65,Other Comprehensive Income/Loss,- -,- -,- -,-400000,-700000,-2400000,-8298000,-4635000,-642000,-86000,45000,21000,23000,23000,23000,23000,23000,23000,469000,1342000,-735000,-2390000,-2851000,-1195000,-1666000,-2010000,-725000,- -
66,Other Total Stockholders Equity,- -,- -,- -,6700000,11700000,129000000,155619000,155342000,153460000,160592000,167784000,173733000,177095000,179793000,180838000,178943000,177446000,179897000,183783000,186939000,198753000,211254000,212280000,241297000,244572000,255741000,258962000,271631000
67,Total Stockholders Equity,- -,- -,- -,-1000000,-700000,95300000,61804000,4186000,1437000,2457000,2593000,4199000,7493000,12348000,15660000,18877000,21753000,28824000,34722000,28309000,31059000,37348000,31738000,47101000,31860000,24711000,12037000,19210000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,1100000,2400000,100300000,77280000,9545000,2984000,6883000,5479000,7995000,11999000,18210000,20709000,25190000,31982000,39534000,59133000,50933000,51473000,54405000,47532000,64236000,60027000,60828000,58943000,38804000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,1100000,2400000,100300000,77280000,9545000,2984000,6883000,5479000,7995000,11999000,18210000,20709000,25190000,31982000,39534000,59133000,50933000,51473000,54405000,47532000,64236000,60027000,60828000,58943000,38804000
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1084577/000121390019005130/0001213900-19-005130-index.htm,https://www.sec.gov/Archives/edgar/data/1084577/000121390020008016/0001213900-20-008016-index.htm,https://www.sec.gov/Archives/edgar/data/1084577/000121390021018692/0001213900-21-018692-index.htm,https://www.sec.gov/Archives/edgar/data/1084577/000121390022014854/0001213900-22-014854-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-1280000,-3470000,-4400000,-19900000,-54225000,-61007000,-4911000,-6834000,-7193000,-2690000,-190000,2109000,2270000,5160000,4403000,4598000,1485000,-9871000,-7016000,-4799000,-6213000,-15648000,-19414000,-18018000,-17263000,-23039000
74,Depreciation and Amortization,- -,- -,300000,210000,700000,8800000,14847000,12460000,2539000,1939000,-204000,1990000,209000,397000,466000,491000,678000,1550000,1149000,2891000,3021000,2886000,4082000,5049000,6021000,7032000,5172000,5080000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2404000,-1096000,-1385000,-806000,4980000,-318000,-257000,-212000,-175000,-182000,-322000,-184000,-220000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1532000,1377000,1496000,1213000,1287000,1344000,1220000,1066000,980000,2060000,1440000,2360000,2391000,2455000
77,Change in Working Capital,- -,- -,-330000,-1200000,-200000,89500000,-64332000,-24375000,1156000,3416000,-1930000,2202000,3275000,4278000,3057000,2005000,-3259000,3748000,-15874000,-4995000,4269000,6785000,-4623000,11419000,-6664000,-7063000,-13529000,7552000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-504000,-318000,-1036000,130000,-2194000,868000,866000,716000,759000,77000,-596000,1535000,1299000,106000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-69000,112000,138000,17000,300000,-248000,-542000,-110000,124000,36000,264000,-759000,-399000,- -
81,Other Working Capital,- -,- -,- -,-1200000,-1400000,88100000,23768000,-607000,549000,3965000,2035000,4237000,7512000,11790000,14847000,16852000,13593000,17341000,1467000,-3528000,741000,7526000,2903000,14322000,7658000,595000,-12934000,-5382000
82,Other Non-Cash Items,- -,- -,- -,1890000,300000,-89600000,72485000,48203000,-1584000,-2988000,4215000,-3217000,-1938000,-2669000,-4306000,-1547000,2095000,-3023000,12412000,5767000,-4837000,-7497000,8404000,-9919000,7342000,9129000,15003000,-7849000
83,Cash Provided by Operating Activities,- -,- -,-1310000,-2570000,-3600000,-11200000,-31225000,-24719000,-2800000,-4467000,-5112000,-1715000,1356000,4115000,3019000,5082000,4317000,6701000,-347000,116000,-3661000,-1816000,2418000,-7214000,-11457000,-6882000,-8410000,-16021000
84,CAPEX,- -,- -,-430000,-90000,-400000,-6900000,-19102000,-3265000,- -,-31000,-156000,-176000,-380000,-605000,-504000,-412000,-568000,-526000,-805000,-2053000,-771000,-3151000,-4113000,-5338000,-5304000,-5166000,-3248000,10000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-477000,- -,- -,-10419000,114000,- -,- -,- -,450000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-18000000,-16568000,- -,- -,- -,- -,-2500000,- -,-2370000,- -,- -,- -,- -,-176000,-80000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,18969000,8586000,- -,- -,- -,- -,500000,- -,- -,2001000,22000,- -,- -,194000,- -,- -,- -,450000,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-1600000,479000,364000,627000,- -,-19000,- -,5000,- -,829000,740000,-4591000,1000,159000,-127000,10000,-1924000,-3128000,-4017000,-1983000,-3693000,-1476000,-778000
89,Cash Used for Investing Activites,- -,- -,-430000,-90000,-400000,-26500000,-16222000,5685000,627000,-31000,-175000,-2676000,125000,-2975000,325000,1852000,-5137000,-525000,-11241000,-1952000,-761000,-3146000,-4113000,-4888000,-5303000,-5163000,-3242000,-768000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3004000,-5270000,-5200000,-4150000,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,4000000,104300000,1707000,428000,1349000,3273000,7709000,4228000,2537000,1663000,- -,- -,- -,- -,- -,- -,10239000,11524000,- -,18971000,- -,7967000,- -,- -
92,Common Stock Repurchased,- -,- -,2710000,1630000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1334000,-3538000,-3820000,- -,-1720000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-340000,670000,500000,-1400000,575000,23000,-36000,3962000,-2398000,- -,- -,- -,844000,218000,797000,1260000,-2510000,3412000,6833000,4096000,84000,6393000,10789000,-1937000,9442000,11864000
95,Cash Used/Provided by Financing Activities,- -,- -,2370000,2300000,4500000,102900000,2282000,451000,1313000,7235000,5311000,4228000,2537000,1663000,-490000,-3320000,-3023000,1260000,-4230000,408000,11802000,10420000,-4066000,25364000,10789000,6030000,9442000,11864000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,87000,48000,-74000,-142000,3000,98000,-101000,-14000,-3000,-38000
97,Net Change In Cash,- -,- -,640000,-370000,4500000,65200000,-45165000,-18583000,-860000,2737000,24000,-163000,4018000,2803000,2854000,3614000,-3843000,7436000,-15731000,-1380000,7306000,5316000,-5758000,13360000,-6072000,-6029000,-2213000,-4963000
98,Cash at the End of Period,- -,- -,18211000,-370000,- -,66000000,20831000,2248000,1388000,4125000,4149000,3986000,8004000,10807000,13661000,17275000,13432000,20868000,5137000,3757000,11063000,16379000,10621000,23981000,18156000,12127000,9914000,4951000
99,Cash at the Beginning of Period,- -,- -,17571000,- -,300000,800000,65996000,20831000,2248000,1388000,4125000,4149000,3986000,8004000,10807000,13661000,17275000,13432000,20868000,5137000,3757000,11063000,16379000,10621000,24228000,18156000,12127000,9914000
100,Free Cash Flow,- -,- -,-1740000,-2660000,-4000000,-18100000,-50327000,-27984000,-2800000,-4498000,-5268000,-1891000,976000,3510000,2515000,4670000,3749000,6175000,-1152000,-1937000,-4432000,-4967000,-1695000,-12552000,-16761000,-12048000,-11658000,-16011000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1084577/000121390019005130/0001213900-19-005130-index.htm,https://www.sec.gov/Archives/edgar/data/1084577/000121390020008016/0001213900-20-008016-index.htm,https://www.sec.gov/Archives/edgar/data/1084577/000121390021018692/0001213900-21-018692-index.htm,https://www.sec.gov/Archives/edgar/data/1084577/000121390022014854/0001213900-22-014854-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,
