,https://roic.ai/company/NBTX,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
45,Total Non-Current Assets,580464,484728,544946,1549104,3470256,3512442,4358015,3544000,10078000,8782000,8709000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2913318,14024154,7438668,37053764,26418195,30402743,57466691,46195000,56205000,134030000,101769000
48,Accounts Payable,399822,279358,1348797,2234638,3585227,4373920,5143538,6509000,6150000,5574000,- -
49,Short-Term Debt,295443,360313,231039,320971,1070282,1084248,769509,500000,1091000,4872000,- -
50,Tax Payable,1728,36029,66263,85603,1583812,168765,229582,180000,216000,283000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,719347,1520461,1702125,1868468,2446715,2787907,3438418,4588000,7106000,8595000,36845000
53,Total Current Liabilities,1414612,2160132,3281961,4424077,7102224,8246075,9351465,11597000,14347000,19041000,36845000
54,Long-Term Debt,526766,1072109,875170,2002018,3530821,4583144,3959804,20021000,43435000,44107000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,46410,95372,99765,312330,173906,175207,233467,334000,332000,414000,38134000
58,Total Non-Current Liabilities,573176,1167481,974935,2314348,3704727,4758351,4193271,20355000,43767000,44521000,38134000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,6405000,6188000,- -
61,Total Liabilities,1987788,3327613,4256896,6738425,10806951,13004426,13544736,31952000,58114000,63562000,74979000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,230321,322571,322871,421943,424973,478958,589001,589000,672000,1033000,- -
64,Retained Earnings,-5246578,-5330896,-8144920,-9556525,-17003084,-21880511,-26143249,-30345000,-50915000,-33590000,- -
65,Other Comprehensive Income/Loss,-642024,-780735,-848489,-947646,-1144097,-1519987,-1854258,-2384000,-104636000,-152514000,- -
66,Other Total Stockholders Equity,6583813,16485602,11852310,40397568,33333452,40319858,71330461,46383000,152970000,255539000,- -
67,Total Stockholders Equity,925532,10696542,3181772,30315340,15611244,17398318,43921955,14243000,-1909000,70468000,26790000
68,Total Liabilities And Stockholders Equity,2913320,14024155,7438668,37053765,26418195,30402744,57466691,46195000,56205000,134030000,101769000
69,Minority Interest,-2,-1,- -,-1,- -,-1,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2913318,14024154,7438668,37053764,26418195,30402743,57466691,46195000,56205000,134030000,101769000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-5246579,-5330896,-8144920,-9556525,-17003084,-21880511,-26143249,-30345000,-50915000,-33590000,- -
74,Depreciation and Amortization,197616,146533,233929,307560,456080,482794,403852,619000,1767000,1754000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,266256,451196,597958,252257,1291491,1990855,2605054,1867000,4320000,2924000,- -
77,Change in Working Capital,-86297,913549,500356,376158,-1573540,1198270,1671216,1078000,-1522000,73000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,-4236,33868,-17889,55725,8564,-75174,430321,796000,5181000,1301000,- -
83,Cash Provided by Operating Activities,-4873240,-3785750,-6830566,-8564825,-16820489,-18283766,-21032806,-25985000,-41169000,-27538000,- -
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,-506000,-1444000,-107000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-81023,-50831,-195865,-1142465,-2278661,-444986,-1464345,- -,-16000,-4000,- -
87,Sales/Maturities of Investments,5026546,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,1321,3554,42,72953,- -,- -,487000,-352000,-12000,- -
89,Cash Used for Investing Activites,4945523,-49510,-192311,-1142423,-2205708,-444986,-1464345,71000,-1459000,-112000,- -
90,Debt Repayment,-192500,-352500,-365000,-204683,-612222,-1038244,-983422,-927000,-500000,-250000,- -
91,Common Stock Issued,14700,17848326,1899054,58469251,793870,23163680,53227701,59000,30844000,113655000,- -
92,Common Stock Repurchased,- -,-1109062,-1885303,-19780143,-7387,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,355173,-1088554,-6880,-770644,2881771,770107,-3709615,15718000,11145000,-1636000,- -
95,Cash Used/Provided by Financing Activities,177373,15298210,-358129,37713781,3056032,22895543,48534664,14850000,41489000,111769000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,-525,-13085,-112018,116984,54000,29000,-63000,- -
97,Net Change In Cash,249656,11462950,-7381005,28006007,-15983250,4054773,26154495,-11009000,-1109000,84057000,- -
98,Cash at the End of Period,898523,12361473,4980468,32986475,17003225,21057998,47212493,36203000,35094000,119151000,- -
99,Cash at the Beginning of Period,648867,898523,12361473,4980468,32986475,17003225,21057998,47212000,36203000,35094000,- -
100,Free Cash Flow,-4873240,-3785750,-6830566,-8564825,-16820489,-18283766,-21032806,-26491000,-42613000,-27645000,- -
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined
102,Forex Rate,1.2945,1.3194,1.3745,1.2097,1.086,1.0513,1.1996,1.1469,1.121,1.2213,1.1368
