,https://roic.ai/company/PTON,2017,2018,2019,2020,2021
33,Cash and Short-Term Investments,- -,150600000,378100000,1755000000,1606800000
34,Net Receivables,- -,9400000,18500000,34600000,71400000
35,Inventory,- -,25300000,136600000,244500000,937100000
36,Other Current Assets,- -,18500000,48500000,124500000,202800000
37,Total Current Assets,- -,203800000,581700000,2158600000,2818100000
38,PP&E,- -,36100000,250000000,734900000,1172000000
39,Goodwill,- -,4200000,4300000,39100000,210100000
40,Intangible Assets,- -,24500000,19500000,16000000,247700000
41,Intangible Assets,- -,28700000,23800000,55100000,457800000
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,2600000,9300000,33200000,37600000
45,Total Non-Current Assets,- -,67400000,283100000,823200000,1667400000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,- -,271200000,864800000,2981800000,4485500000
48,Accounts Payable,- -,28100000,92200000,135800000,364400000
49,Short-Term Debt,- -,- -,- -,- -,61900000
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,88500000,90800000,363600000,299000000
52,Other Current Liabilities,- -,53600000,107800000,272800000,517700000
53,Total Current Liabilities,- -,170200000,290800000,772200000,1243000000
54,Long-Term Debt,- -,- -,- -,- -,1450200000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,416600000,171200000,531600000,38300000
58,Total Non-Current Liabilities,- -,416600000,171200000,531600000,1488500000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,555100000,682300000
61,Total Liabilities,- -,586800000,462000000,1303800000,2731500000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -
64,Retained Earnings,- -,-336100000,-629500000,-693900000,-883000000
65,Other Comprehensive Income/Loss,- -,-9500000,-25600000,10000000,18200000
66,Other Total Stockholders Equity,- -,30000000,1057600000,2361900000,- -
67,Total Stockholders Equity,- -,-315600000,402500000,1678000000,1754100000
68,Total Liabilities And Stockholders Equity,- -,271200000,864500000,2981800000,4485600000
69,Minority Interest,- -,- -,300000,- -,-100000
70,Total Liabilities & Equity,- -,271200000,864800000,2981800000,4485500000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1639825/000163982520000122/0001639825-20-000122-index.htm,https://www.sec.gov/Archives/edgar/data/1639825/000163982521000256/0001639825-21-000256-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-71100000,-47900000,-195600000,-71600000,-189000000
74,Depreciation and Amortization,3700000,6600000,21700000,40200000,63800000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,10300000,8500000,89500000,88800000,194000000
77,Change in Working Capital,38200000,15700000,257300000,1095500000,188700000
78,Accounts Receivable,-3600000,-4100000,-9100000,11300000,15100000
79,Inventory,-5000000,-9600000,-111300000,-96800000,-587200000
80,Accounts Payable,- -,- -,- -,- -,- -
81,Other Working Capital,17900000,33600000,290900000,1386400000,1575100000
82,Other Non-Cash Items,300000,66800000,-281500000,-776500000,-497200000
83,Cash Provided by Operating Activities,-18600000,49700000,-108600000,376400000,-239700000
84,CAPEX,-10200000,-28000000,-83000000,-156400000,-252200000
85,Acquisitions Net,- -,- -,- -,-45000000,-478200000
86,Purchases of Investments,- -,- -,-250400000,-1199700000,-449100000
87,Sales/Maturities of Investments,- -,- -,36000000,659700000,672600000
88,Other Investing Activites,- -,-28700000,-100000,- -,-89400000
89,Cash Used for Investing Activites,-10200000,-56700000,-297500000,-741400000,-585100000
90,Debt Repayment,-13000000,-3100000,- -,- -,-800000
91,Common Stock Issued,- -,- -,- -,1195700000,- -
92,Common Stock Repurchased,-170000000,- -,-130300000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,326600000,6200000,547500000,44500000,917600000
95,Cash Used/Provided by Financing Activities,143600000,3100000,417200000,1240200000,916800000
96,Effect of Forex Changes on Cash,- -,- -,200000,-1200000,6700000
97,Net Change In Cash,114800000,-3900000,11400000,874000000,98700000
98,Cash at the End of Period,155500000,151600000,163000000,1037000000,1135700000
99,Cash at the Beginning of Period,40700000,155500000,151600000,163000000,1037000000
100,Free Cash Flow,-28800000,21700000,-191600000,220000000,-491900000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1639825/000163982520000122/0001639825-20-000122-index.htm,https://www.sec.gov/Archives/edgar/data/1639825/000163982521000256/0001639825-21-000256-index.htm
102,false,,,,,
