,https://roic.ai/company/ECOR,2016,2017,2018,2019,2020,2021
40,Intangible Assets,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,67651,30604,424896,7152418,5693192,4531573
45,Total Non-Current Assets,116077,199250,805800,8928295,6454496,5291421
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,622016,39232656,73504336,35461679,31518163,42832710
48,Accounts Payable,2241117,840383,2698902,5208979,2078699,1543032
49,Short-Term Debt,- -,- -,- -,598323,1010783,61403
50,Tax Payable,- -,- -,- -,- -,- -,262515
51,Deferred Revenue,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1894204,5278936,4374101,3337379,2800820,3880978
53,Total Current Liabilities,4135321,6119319,7073003,9144681,5890302,5485413
54,Long-Term Debt,3665993,- -,- -,1419880,1983279,699463
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,53874187,122580893,245632,- -,- -,- -
58,Total Non-Current Liabilities,57540180,122580893,245632,1419880,1983279,699463
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,1906325,1419880,760866
61,Total Liabilities,61675501,128700212,7318635,10564561,7873581,6184876
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,30912091,40180619,29450,29835,45560,70704
64,Retained Earnings,-100706419,-152928928,-38331215,-83479098,-106990148,-124208218
65,Other Comprehensive Income/Loss,214006,80213,60843,-41295,-251467,12748
66,Other Total Stockholders Equity,8126416,22596485,103791013,107752066,130205027,160772600
67,Total Stockholders Equity,-61453906,-90071611,65550091,24261508,23008972,36647834
68,Total Liabilities And Stockholders Equity,221595,38628601,72868726,34826069,30882553,42832710
69,Minority Interest,400421,604055,635610,635610,635610,- -
70,Total Liabilities & Equity,622016,39232656,73504336,35461679,31518163,42832710
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1560258/000156459019009725/0001564590-19-009725-index.htm,https://www.sec.gov/Archives/edgar/data/1560258/000156459020014245/0001564590-20-014245-index.htm,https://www.sec.gov/Archives/edgar/data/1560258/000121390021014871/0001213900-21-014871-index.htm,https://www.sec.gov/Archives/edgar/data/1560258/000119380522000499/0001193805-22-000499-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-15737339,-35792422,-55820460,-45147883,-23511050,-17218070
74,Depreciation and Amortization,53425,32306,66663,249583,399242,381509
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,142583,462329,7599496,3895781,3266311,3302083
77,Change in Working Capital,1820345,36543469,32711446,-2570101,-1809061,1628400
78,Accounts Receivable,75113,-78499,-164390,-228541,225594,-217186
79,Inventory,1006,-279316,-1621615,-4961770,735637,370996
80,Accounts Payable,- -,- -,- -,2797727,-1581579,464333
81,Other Working Capital,-3629382,32914087,65625533,- -,-486445,- -
82,Other Non-Cash Items,495221,-26574940,-31667494,-1493921,1551971,-1721545
83,Cash Provided by Operating Activities,-13225765,-25329258,-47110349,-45066541,-20102587,-13627623
84,CAPEX,- -,-152526,-278921,-69675,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-32427517,-81058590,-37224879,-24463158,-5082730
87,Sales/Maturities of Investments,- -,8460000,44509684,88266000,16500000,23300000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,-24120043,-36827827,50971446,-7963158,18217270
90,Debt Repayment,-1250000,- -,- -,-695469,-1096056,- -
91,Common Stock Issued,- -,- -,78334457,- -,17489563,25682162
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,10523312,62488402,- -,856312,2558360,- -
95,Cash Used/Provided by Financing Activities,9273312,62488402,78334457,160843,18951867,25682162
96,Effect of Forex Changes on Cash,43301,-231243,-20191,-102241,-207976,175134
97,Net Change In Cash,-3909152,12807858,-5623910,5963507,-9321854,30446943
98,Cash at the End of Period,416336,13224194,7600284,13563791,4241937,34688880
99,Cash at the Beginning of Period,4325488,416336,13224194,7600284,13563791,4241937
100,Free Cash Flow,-13225765,-25481784,-47389270,-45136216,-20102587,-13627623
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1560258/000156459019009725/0001564590-19-009725-index.htm,https://www.sec.gov/Archives/edgar/data/1560258/000156459020014245/0001564590-20-014245-index.htm,https://www.sec.gov/Archives/edgar/data/1560258/000121390021014871/0001213900-21-014871-index.htm,https://www.sec.gov/Archives/edgar/data/1560258/000119380522000499/0001193805-22-000499-index.htm
102,false,,,,,,
