,https://roic.ai/company/RIOT,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1167419/000107997306000223/0001079973-06-000223-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1167419/000107997308000307/0001079973-08-000307-index.htm,https://www.sec.gov/Archives/edgar/data/1167419/000107997309000284/0001079973-09-000284-index.htm,https://www.sec.gov/Archives/edgar/data/1167419/000107997310000296/0001079973-10-000296-index.htm,https://www.sec.gov/Archives/edgar/data/1167419/000107997311000308/0001079973-11-000308-index.htm,https://www.sec.gov/Archives/edgar/data/1167419/000107997312000156/0001079973-12-000156-index.htm,https://www.sec.gov/Archives/edgar/data/1167419/000107997313000206/0001079973-13-000206-index.htm,https://www.sec.gov/Archives/edgar/data/1167419/000107997314000230/0001079973-14-000230-index.htm,https://www.sec.gov/Archives/edgar/data/1167419/000107997315000222/0001079973-15-000222-index.htm,https://www.sec.gov/Archives/edgar/data/1167419/000107997316000870/0001079973-16-000870-index.htm,https://www.sec.gov/Archives/edgar/data/1167419/000107997317000206/0001079973-17-000206-index.htm,https://www.sec.gov/Archives/edgar/data/1167419/000107997318000264/0001079973-18-000264-index.htm,https://www.sec.gov/Archives/edgar/data/1167419/000107997319000197/0001079973-19-000197-index.htm,https://www.sec.gov/Archives/edgar/data/1167419/000107997320000216/0001079973-20-000216-index.htm,https://www.sec.gov/Archives/edgar/data/1167419/000107997321000221/0001079973-21-000221-index.htm,https://www.sec.gov/Archives/edgar/data/1167419/000107997322000280/0001079973-22-000280-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,131780,148132,578105,1980890,3529262,17376757,11819505,13366777,8908080,2968104,10977974,5658683,3539911,2012283,5529848,41651965,225390,7440000,223382000,312315000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,8486721,5639208,510120,2932188,1003124,1162904,8642648,20998789,14147991,7506761,200164,706625,3839000,11626000,10804000
33,Cash and Short-Term Investments,- -,131780,148132,578105,1980890,3529262,25863478,17458713,13876897,11840268,3971228,12140878,14301331,24538700,16160274,13036609,41852129,932015,11279000,235008000,323119000
34,Net Receivables,- -,94437,21349,196456,265111,368444,67906,63194,47959,73176,35016,- -,- -,- -,- -,4539,- -,- -,- -,- -,15398000
35,Inventory,- -,511459,259972,202403,383151,349698,607324,572286,339546,17130,- -,- -,- -,- -,- -,415847,- -,- -,- -,- -,- -
36,Other Current Assets,- -,350000,18718,- -,34338,58036,156441,776318,163029,376047,314800,387480,459396,357083,251778,286495,538856,1378534,1349000,1257000,235022000
37,Total Current Assets,- -,1087676,448171,976964,2663490,4305440,26695149,18870511,14427431,12306621,4321044,12528358,14760727,24895783,16412052,13743490,42390985,2310549,12628000,236265000,573539000
38,PP&E,- -,3184798,3764008,3553415,3431678,3307999,3529291,3415728,3310844,3107134,2795149,2484539,2266982,2103880,1954496,41133,4294166,26269,5418000,10143000,276169000
39,Goodwill,- -,- -,- -,- -,- -,387239,387239,387239,387239,387239,387239,387239,387239,387239,387239,816657,1186496,- -,- -,- -,349063000
40,Intangible Assets,- -,548605,629974,880993,992470,710574,965482,1486409,1231514,1342737,1214748,1210698,1214797,1336951,1136410,2402535,1263893,1207509,459000,336000,14162000
41,Intangible Assets,- -,548605,629974,880993,992470,1097813,1352721,1873648,1618753,1729976,1601987,1597937,1602036,1724190,1523649,3219192,2450389,1207509,459000,336000,363225000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,972000,- -,3000000,9412726,9723000,310000,310000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,36945,84811,26791,21083,15374,9665,3957,10124,- -,- -,37000,200000,903275,2152000,33093000,317696000
45,Total Non-Current Assets,- -,3733403,4393982,4434408,4424148,4442757,4966823,5316167,4950680,4852484,4406801,4086433,3879142,3828070,4450145,3297325,9944555,11549779,17752000,43882000,957400000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,4821079,4842153,5411372,7087638,8748197,31661972,24186678,19378111,17159105,8727845,16614791,18639869,28723853,20862197,17040815,52335540,13860328,30380000,280147000,1530939000
48,Accounts Payable,- -,265795,72074,140531,461131,375062,313072,833240,1545549,1126172,581713,613925,780514,437519,701064,428204,410029,3829315,717000,718000,- -
49,Short-Term Debt,- -,3271761,395506,152356,168409,184501,525723,358533,107417,273861,1074185,2290292,319771,312934,301250,139611,135574,- -,- -,- -,1182000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,100000,913947,813947,746062,- -,79803,92084,96698,96698,96698,96698,96698,97000,97000,2843000
52,Other Current Liabilities,- -,- -,182417,141897,143960,140935,1166674,639991,807907,585255,416028,1094933,1056654,934817,691755,390627,398223,2732592,2555000,1582000,105853000
53,Total Current Liabilities,- -,3537556,649997,434784,773500,700498,2105469,2745711,3274820,2731350,2071926,4078953,2249023,1781968,1790767,1055140,1040524,6658605,3369000,2397000,109878000
54,Long-Term Debt,- -,842256,4148913,3817261,3658056,3376748,2850321,2754923,2655418,2546682,2830041,763132,2150608,1998049,1838779,- -,- -,1696083,- -,- -,12257000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,634145,633636,- -,1081706,1290441,1258713,1162015,1065316,968617,871919,776000,679000,19796000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,699000,142709,- -,- -,- -
57,Other Non-Current Liabilities,- -,37112,200000,200000,233890,245978,202504,798092,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31688000
58,Total Non-Current Liabilities,- -,879368,4348913,4017261,3891946,3622726,3052825,3553015,3289563,3180318,2830041,1844838,3441049,3256762,3000794,1065316,1667617,2710711,776000,679000,63741000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,33890,25978,102504,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,368000,- -,- -
61,Total Liabilities,- -,4416924,4998910,4452045,4665446,4323224,5158294,6298726,6564383,5911668,4901967,5923791,5690072,5038730,4791561,2120456,2708141,9369316,4145000,3076000,173619000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7745266,69059,22000,22000,- -
63,Common Stock,- -,1555770,2712035,5919695,9496349,- -,- -,- -,- -,- -,- -,84924133,99331585,120509997,121653075,124775635,180387518,202917443,243458000,506961000,1595158000
64,Retained Earnings,- -,-1151615,-2868792,-4960368,-7074157,-10182988,-16383514,-25951833,-41469398,-54807117,-65020918,-74233133,-86381788,-96824874,-105582439,-109855276,-139263480,-197199197,-217238000,-229912000,-237838000
65,Other Comprehensive Income/Loss,- -,-188917,-411749,-652598,-871616,-1088743,-1355939,-1681420,-2016004,-2411223,-2725981,-3078359,-3230117,-3287164,-3162037,-111323,-468079,-66571,-100000,- -,- -
66,Other Total Stockholders Equity,- -,188917,411749,652598,871616,15696704,44243131,45521205,56299130,68465777,71572777,3078359,3230117,3287164,3162037,111323,468079,66571,100000,- -,- -
67,Total Stockholders Equity,- -,404155,-156757,959327,2422192,4424973,26503678,17887952,12813728,11247437,3825878,10691000,12949797,23685123,16070636,14920359,48869304,5787305,26242000,277071000,1357320000
68,Total Liabilities And Stockholders Equity,- -,4821079,4842153,5411372,7087638,8748197,31661972,24186678,19378111,17159105,8727845,16614791,18639869,28723853,20862197,17040815,51577445,15156621,30387000,280147000,1530939000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,758095,-1296293,-7000,- -,- -
70,Total Liabilities & Equity,- -,4821079,4842153,5411372,7087638,8748197,31661972,24186678,19378111,17159105,8727845,16614791,18639869,28723853,20862197,17040815,52335540,13860328,30380000,280147000,1530939000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1167419/000107997306000223/0001079973-06-000223-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1167419/000107997308000307/0001079973-08-000307-index.htm,https://www.sec.gov/Archives/edgar/data/1167419/000107997309000284/0001079973-09-000284-index.htm,https://www.sec.gov/Archives/edgar/data/1167419/000107997310000296/0001079973-10-000296-index.htm,https://www.sec.gov/Archives/edgar/data/1167419/000107997311000308/0001079973-11-000308-index.htm,https://www.sec.gov/Archives/edgar/data/1167419/000107997312000156/0001079973-12-000156-index.htm,https://www.sec.gov/Archives/edgar/data/1167419/000107997313000206/0001079973-13-000206-index.htm,https://www.sec.gov/Archives/edgar/data/1167419/000107997314000230/0001079973-14-000230-index.htm,https://www.sec.gov/Archives/edgar/data/1167419/000107997315000222/0001079973-15-000222-index.htm,https://www.sec.gov/Archives/edgar/data/1167419/000107997316000870/0001079973-16-000870-index.htm,https://www.sec.gov/Archives/edgar/data/1167419/000107997317000206/0001079973-17-000206-index.htm,https://www.sec.gov/Archives/edgar/data/1167419/000107997318000264/0001079973-18-000264-index.htm,https://www.sec.gov/Archives/edgar/data/1167419/000107997319000197/0001079973-19-000197-index.htm,https://www.sec.gov/Archives/edgar/data/1167419/000107997320000216/0001079973-20-000216-index.htm,https://www.sec.gov/Archives/edgar/data/1167419/000107997321000221/0001079973-21-000221-index.htm,https://www.sec.gov/Archives/edgar/data/1167419/000107997322000280/0001079973-22-000280-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,101184,-1224251,-1717177,-2091576,-2113789,-3108831,-6200526,-9568319,-15517565,-13337719,-10213801,-9212215,-12148655,-10443086,-8757565,-4272837,-19845873,-58007773,-20039000,-12674000,-7926000
74,Depreciation and Amortization,103196,170293,293735,673015,249927,244663,298852,319578,174256,423766,428336,430228,326534,288751,253818,239330,890889,5267372,119000,4861000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1609000,-699000,-143000,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,1714936,2363871,1336177,930937,1437865,1055760,1143078,545549,2589812,4660406,745000,3407000,- -
77,Change in Working Capital,-452855,-2449880,2248054,744006,1347810,1714952,20984738,-8464880,-4972189,-1577340,-7326153,6200287,4062299,10602111,-8492530,-1932935,28662111,-45698517,13607056,224609000,229793000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,15235,-25217,38160,35016,-32194,18793,-202,16366,- -,- -,- -,- -,- -
79,Inventory,-194676,120302,251487,57569,-180748,33453,-257626,35038,232740,322416,- -,- -,- -,- -,- -,-37041,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,662309,-419377,- -,32212,166589,-342995,263545,-390363,90022,3419286,-1886000,929000,- -
81,Other Working Capital,- -,-2449880,-201826,542180,1889990,3604942,24589680,16124800,11152611,9575271,2249118,8449405,12511704,23113815,14621285,12688350,41350461,-4348056,9259000,233868000,463661000
82,Other Non-Cash Items,137055,3088554,-1220215,-697713,-1094535,-1420101,-27176696,11270744,7236915,1420808,7442499,-3838212,-3407697,-10707058,8984475,-98851,-15127989,75425856,-11153056,-231350000,-221867000
83,Cash Provided by Operating Activities,-111420,-415284,-395603,-1372268,-1610587,-2569317,-12093632,-6442877,-11363647,-10706614,-8332942,-5488975,-9729654,-9203522,-6868724,-5519744,-4440050,-19051656,-16864000,-11147000,- -
84,CAPEX,-33758,-606530,-176435,-30256,-55281,-232037,-822918,-753171,-595953,-501407,-318263,-156338,-151746,-237679,-92033,-61469,-61094,-20841656,-4996000,-41276000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,-1000000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-9912956,-2307248,-7628977,-1043192,-2991644,-24436509,-35552989,-27178337,-16875550,-3200000,-12037558,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,12760469,7436336,5206909,2972256,2831864,16956765,23196848,33057135,24488780,7506761,9237225,3196000,8298000,- -
88,Other Investing Activites,-37842,- -,-51542,-108185,-142386,- -,- -,- -,-352184,-309898,-228163,-112646,-125430,-173537,-83923,1770593,268230,-866558,-38000,102000,- -
89,Cash Used for Investing Activites,-71600,-606530,-227977,-138441,-197667,-232037,-822918,2094342,4533135,-2923475,1610801,-316118,-7631490,-12559820,5794875,9348421,5574991,-24862181,-1800000,-32832000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-350621,-236165,-673900,-1331437,-927734,-478082,-453779,-311112,-272678,-135574,-950000,- -,- -
91,Common Stock Issued,580872,300000,717980,2564438,3362302,4602853,27031051,560318,8259765,9116529,1456065,15146400,12969587,20122652,- -,- -,38451052,726175,24825000,264727000,- -
92,Common Stock Repurchased,- -,- -,-100000,- -,- -,- -,- -,-991877,- -,- -,- -,- -,- -,- -,- -,- -,-392007,- -,- -,-446000,- -
93,Dividends Paid,- -,-48999,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9562331,- -,- -,- -,- -
94,Other Financing Activites,-81677,478828,21952,-623756,-151263,-253127,-267006,-777158,468640,291028,- -,- -,- -,- -,- -,- -,6759136,1896661,2004000,-4360000,- -
95,Cash Used/Provided by Financing Activities,499195,729829,639932,1940682,3211039,4349726,26764045,-1208717,8377784,9171392,782165,13814963,12041853,19644570,-453779,-311112,34983172,2487262,25879000,259921000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,316175,-291985,16352,429973,1402785,1548372,13847495,-5557252,1547272,-4458697,-5939976,8009870,-5319291,-2118772,-1527628,3517565,36122117,-41426575,7215000,215942000,- -
98,Cash at the End of Period,423765,131780,148132,578105,1980890,3529262,17376757,11819505,13366777,8908080,2968104,10977974,5658683,3539911,2012283,5529848,41651965,225390,7440000,223382000,- -
99,Cash at the Beginning of Period,107590,423765,131780,148132,578105,1980890,3529262,17376757,11819505,13366777,8908080,2968104,10977974,5658683,3539911,2012283,5529848,41651965,225000,7440000,223382000
100,Free Cash Flow,-145178,-1021814,-572038,-1402524,-1665868,-2801354,-12916550,-7196048,-11959600,-11208021,-8651205,-5645313,-9881400,-9441201,-6960757,-5581213,-4501144,-39893312,-21860000,-52423000,- -
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1167419/000107997306000223/0001079973-06-000223-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1167419/000107997308000307/0001079973-08-000307-index.htm,https://www.sec.gov/Archives/edgar/data/1167419/000107997309000284/0001079973-09-000284-index.htm,https://www.sec.gov/Archives/edgar/data/1167419/000107997310000296/0001079973-10-000296-index.htm,https://www.sec.gov/Archives/edgar/data/1167419/000107997311000308/0001079973-11-000308-index.htm,https://www.sec.gov/Archives/edgar/data/1167419/000107997312000156/0001079973-12-000156-index.htm,https://www.sec.gov/Archives/edgar/data/1167419/000107997313000206/0001079973-13-000206-index.htm,https://www.sec.gov/Archives/edgar/data/1167419/000107997314000230/0001079973-14-000230-index.htm,https://www.sec.gov/Archives/edgar/data/1167419/000107997315000222/0001079973-15-000222-index.htm,https://www.sec.gov/Archives/edgar/data/1167419/000107997316000870/0001079973-16-000870-index.htm,https://www.sec.gov/Archives/edgar/data/1167419/000107997317000206/0001079973-17-000206-index.htm,https://www.sec.gov/Archives/edgar/data/1167419/000107997318000264/0001079973-18-000264-index.htm,https://www.sec.gov/Archives/edgar/data/1167419/000107997319000197/0001079973-19-000197-index.htm,https://www.sec.gov/Archives/edgar/data/1167419/000107997320000216/0001079973-20-000216-index.htm,https://www.sec.gov/Archives/edgar/data/1167419/000107997321000221/0001079973-21-000221-index.htm,https://www.sec.gov/Archives/edgar/data/1167419/000107997322000280/0001079973-22-000280-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
