,https://roic.ai/company/ZEAL,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
38,PP&E,9641000,9738000,9626000,10528000,17874000,21404000,20062000,18628000,16453000,13643000,16112000,15630000,125340000,200379000,221448000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2480000,- -,53790000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2480000,35691000,53790000
42,Investments,2000,2000,2000,- -,- -,- -,- -,- -,- -,- -,9312000,32582000,35632000,94561000,26907000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13525000
44,Other Non-Current Assets,2252000,2348000,2386000,2440000,2493000,2554000,2570000,2692000,2666000,307810000,8621000,2762000,9012000,348950000,30363000
45,Total Non-Current Assets,11895000,12088000,12014000,12968000,20367000,23958000,22632000,21320000,19119000,321453000,34045000,50974000,172464000,679581000,346033000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,263368000,225244000,158678000,450550000,469481000,520983000,346913000,596756000,634688000,694626000,737238000,1229797000,1599514000,1924610000,2067629000
48,Accounts Payable,3595000,7532000,3515000,10668000,8592000,9831000,13376000,18487000,21676000,19739000,29428000,32652000,57533000,59307000,64558000
49,Short-Term Debt,4999000,- -,- -,- -,- -,- -,- -,5000000,- -,3365000,2748000,- -,7692000,11392000,14897000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,614000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,9284000,5072000,2329000,14383000,2091000,- -,- -,- -,56251000,53182000,53033000
52,Other Current Liabilities,11289000,9078000,22240000,32774000,10208000,15065000,15067000,38888000,45739000,64450000,43608000,80864000,73658000,453852000,201829000
53,Total Current Liabilities,19883000,16610000,25755000,43442000,28084000,29968000,30772000,76758000,69506000,87554000,75784000,113516000,195134000,577733000,334317000
54,Long-Term Debt,1120000,- -,- -,- -,- -,- -,- -,267170000,312951000,328878000,132986000,- -,78068000,108456000,772532000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83639000,61332000,32977000
58,Total Non-Current Liabilities,1120000,- -,- -,- -,- -,- -,- -,267170000,312951000,328878000,132986000,- -,161707000,169788000,805509000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,85760000,119848000,139523000
61,Total Liabilities,21003000,16610000,25755000,43442000,28084000,29968000,30772000,343928000,382457000,416432000,208770000,113516000,356841000,747521000,1139826000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,17682000,17682000,17682000,22871000,23193000,23193000,23193000,23193000,24353000,26142000,30751000,30787000,36055000,39800000,43634000
64,Retained Earnings,224683000,190952000,115241000,384237000,418204000,467822000,292948000,229635000,227878000,-1189211000,-1461482000,-893999000,-1443524000,-2315561000,-3308402000
65,Other Comprehensive Income/Loss,-32456000,-35732000,- -,- -,-46881000,-52200000,-57472000,-63404000,-69619000,-47854000,-52699000,-55845000,-66538000,8977000,14155000
66,Other Total Stockholders Equity,32456000,35732000,- -,- -,46881000,52200000,57472000,63404000,69619000,1489117000,2011898000,2035338000,2716680000,3443873000,4178416000
67,Total Stockholders Equity,242365000,208634000,132923000,407108000,441397000,491015000,316141000,252828000,252231000,278194000,528468000,1116281000,1242673000,1177089000,927803000
68,Total Liabilities And Stockholders Equity,263368000,225244000,158678000,450550000,469481000,520983000,346913000,596756000,634688000,694626000,737238000,1229797000,1599514000,1924610000,2067629000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,263368000,225244000,158678000,450550000,469481000,520983000,346913000,596756000,634688000,694626000,737238000,1229797000,1599514000,1924610000,2067629000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-55000000,-33732000,-75710000,-104634000,13377000,36372000,-183676000,-64990000,-113957000,-153910000,-272271000,581282000,-571541000,-846729000,-1018149000
74,Depreciation and Amortization,- -,- -,3686000,- -,4129000,5319000,5911000,5932000,6215000,5410000,4757000,4508000,13682000,42692000,40249000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5500000,-5500000,43774000,-5385000,9865000,-1190000
76,Stock Based Compensation,- -,- -,- -,- -,- -,13246000,8802000,1674000,16947000,22727000,20156000,17468000,14763000,30485000,53504000
77,Change in Working Capital,-5032000,968000,9712000,15194000,-30943000,13782000,-3643000,16771000,-138871000,153452000,-14291000,12785000,10873000,97818000,-166325000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-4448000,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14404000,-52772000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,805000,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14871000,- -,- -
82,Other Non-Cash Items,2460000,4142000,858000,33460000,11631000,-182000,2988000,-1570000,4253000,18725000,-11597000,-1120217000,128153000,-22847000,-120060000
83,Cash Provided by Operating Activities,-57572000,-28622000,-61454000,-55980000,-1806000,68537000,-169618000,-42183000,-225413000,40904000,-278746000,-460400000,-409455000,-688716000,-1211971000
84,CAPEX,-2376000,-3372000,-3574000,-4236000,-11475000,-8849000,-4569000,-4497000,-4040000,-2600000,-7226000,-4038000,-23516000,-25044000,-22133000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-167791000,- -
86,Purchases of Investments,- -,- -,- -,-49837000,-99685000,-97480000,-47356000,- -,- -,- -,-84349000,-299849000,-22803000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,119837000,148750000,24383000,- -,- -,- -,74230000,- -,- -,- -
88,Other Investing Activites,-556000,-96000,-38000,-54000,-53000,-60000,-17000,-123000,27000,-297358000,312926000,1111562000,-7827000,-3972000,4012000
89,Cash Used for Investing Activites,-2932000,-3468000,-3612000,-54127000,-111213000,13448000,96808000,19763000,-4013000,-299958000,221351000,881905000,-51666000,-196807000,-18121000
90,Debt Repayment,-4705000,-6301000,- -,- -,- -,- -,- -,- -,- -,- -,-176360000,-158311000,-8689000,-29219000,-14715000
91,Common Stock Issued,- -,- -,- -,395563000,8482000,- -,- -,- -,96413000,135211000,567076000,- -,645145000,791503000,748975000
92,Common Stock Repurchased,- -,- -,- -,-46768000,-426000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28590000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,272170000,- -,21935000,-52786000,2862000,38024000,-1343000,627081000
95,Cash Used/Provided by Financing Activities,-4705000,-6301000,- -,348795000,8056000,- -,- -,272170000,96413000,157146000,337930000,-155449000,674480000,760941000,1332751000
96,Effect of Forex Changes on Cash,- -,1773000,- -,- -,- -,-1405000,141000,2345000,34939000,6442000,-15147000,5861000,7066000,3743000,66223000
97,Net Change In Cash,-65209000,-36618000,-65066000,238688000,-104963000,80580000,-72669000,252095000,-98074000,-95466000,265388000,271917000,220425000,-120839000,168882000
98,Cash at the End of Period,246299000,209681000,144615000,383305000,278342000,358922000,286178000,538273000,440199000,323330000,588718000,860635000,1081060000,960221000,1129103000
99,Cash at the Beginning of Period,311508000,246299000,209681000,144617000,383305000,278342000,358847000,286178000,538273000,418796000,323330000,588718000,860635000,1081060000,960221000
100,Free Cash Flow,-59948000,-31994000,-65028000,-60216000,-13281000,59688000,-174187000,-46680000,-229453000,38304000,-285972000,-464438000,-432971000,-713760000,-1234104000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,0.1958,0.188,0.1925,0.1794,0.174,0.1768,0.1841,0.1625,0.1455,0.1415,0.1611,0.1536,0.1501,0.1641,0.1529
