,https://roic.ai/company/COLD,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
38,PP&E,- -,- -,- -,- -,1845912000,1784066000,1834885000,1839701000,59613000,267314000,5505437000
39,Goodwill,- -,- -,- -,- -,186925000,186805000,188169000,186095000,318483000,794335000,1072980000
40,Intangible Assets,- -,- -,- -,- -,26297000,24278000,26645000,25056000,284758000,797423000,980966000
41,Intangible Assets,- -,- -,- -,- -,213222000,211083000,214814000,211151000,603241000,1591758000,2053946000
42,Investments,- -,- -,- -,- -,23647000,22396000,18425000,17613000,4895000,51486000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,553000,391000,418000,826000,- -
44,Other Non-Current Assets,- -,- -,- -,- -,50980000,47405000,3225000,11929000,3005789000,4905947000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,2133761000,2064950000,2071902000,2080785000,3673956000,6817331000,7559383000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15395566000
47,Total Assets,- -,- -,- -,- -,2398536000,2327631000,2395245000,2532428000,4170683000,7831151000,8216197000
48,Accounts Payable,- -,- -,- -,- -,49770000,64428000,88422000,85038000,109222000,179028000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,28000000,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,17851000,13580000,15851000,14666000,21367000,28796000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,19209000,26143000
52,Other Current Liabilities,- -,- -,- -,- -,111837000,72066000,120796000,137457000,206217000,319535000,- -
53,Total Current Liabilities,- -,- -,- -,- -,161607000,164494000,209218000,222495000,315439000,517772000,26143000
54,Long-Term Debt,- -,- -,- -,- -,1678542000,1680425000,1741450000,1351014000,1695447000,2648266000,399314000
55,Deferred Revenue,- -,- -,- -,- -,29144000,26937000,19196000,18625000,21305000,19209000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,23761000,23055000,21940000,17992000,17119000,220502000,169209000
57,Other Non-Current Liabilities,- -,- -,- -,- -,244470000,210248000,217571000,215547000,288355000,632581000,3592455000
58,Total Non-Current Liabilities,- -,- -,- -,- -,1975917000,1940665000,2000157000,1603178000,2022226000,3520558000,4160978000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,182417000,151548000,159640000,159707000,236271000,580133000,- -
61,Total Liabilities,- -,- -,- -,- -,2137524000,2105159000,2209375000,1825673000,2337665000,4038330000,4187121000
62,Preferred Stock,- -,- -,- -,- -,370991000,371927000,372794000,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,694000,694000,694000,1482000,1918000,2517000,- -
64,Retained Earnings,- -,- -,- -,- -,-488462000,-532196000,-581470000,-638345000,-736861000,-895521000,-1157888000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-9302000,-10544000,-230000,-12515000,-14126000,-4379000,4522000
66,Other Total Stockholders Equity,- -,- -,- -,- -,387091000,392591000,394082000,1356133000,2582087000,4687823000,5182442000
67,Total Stockholders Equity,- -,- -,- -,- -,261012000,222472000,185870000,706755000,1833018000,3790440000,4029076000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,2398536000,2327631000,2395245000,2532428000,4170683000,7828770000,8216197000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,2381000,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,2398536000,2327631000,2395245000,2532428000,4170683000,7831151000,8216197000
71,SEC Link,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1455863/000162828018003829/0001628280-18-003829-index.htm,https://www.sec.gov/Archives/edgar/data/1455863/000162828019001983/0001628280-19-001983-index.htm,https://www.sec.gov/Archives/edgar/data/1455863/000162828020002690/0001628280-20-002690-index.htm,https://www.sec.gov/Archives/edgar/data/1455863/000162828021003613/0001628280-21-003613-index.htm,https://www.sec.gov/Archives/edgar/data/1455863/000162828022004487/0001628280-22-004487-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,- -,- -,- -,-42434000,-21176000,4932000,-608000,47985000,48162000,24540000,-33447000
74,Depreciation and Amortization,- -,- -,- -,133309000,126240000,118767000,116892000,117804000,163499000,216043000,4425000
75,Deferred Income Tax,- -,- -,- -,15604000,-2292000,-586000,-3658000,-3152000,-10701000,-13732000,-9147000
76,Stock Based Compensation,- -,- -,- -,2827000,3108000,6436000,2358000,10681000,15866000,17897000,163000
77,Change in Working Capital,- -,- -,- -,21104000,25903000,-4981000,15938000,115023000,-47860000,314760000,-142177000
78,Accounts Receivable,- -,- -,- -,6015000,-17042000,-19123000,1597000,-1940000,-3681000,-12897000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,77265000,103168000,98187000,114125000,229148000,181288000,496048000,353871000
82,Other Non-Cash Items,- -,- -,- -,-13167000,-25262000,-5787000,32405000,-100170000,67223000,-265828000,180183000
83,Cash Provided by Operating Activities,- -,- -,- -,117243000,106521000,118781000,163327000,188171000,236189000,293680000,- -
84,CAPEX,- -,- -,- -,-61703000,-59924000,-74868000,-148994000,-145216000,-302430000,-402355000,-75965000
85,Acquisitions Net,- -,- -,- -,- -,-1341000,- -,- -,- -,-1303655000,-1885012000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-922350000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,880399000,- -
88,Other Investing Activites,- -,- -,- -,3086000,-65489000,41136000,-119552000,-125703000,1151000,80193000,- -
89,Cash Used for Investing Activites,- -,- -,- -,-58617000,-66830000,-33732000,-119552000,-125703000,-1604934000,-2249125000,- -
90,Debt Repayment,- -,- -,- -,-33793000,-474588000,-565900000,-129397000,-1535302000,-126892000,-807569000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,586275000,1206627000,1578659000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-48517000,-48666000,-48666000,-48666000,-78474000,-135443000,-167086000,- -
94,Other Financing Activites,- -,- -,- -,23329000,495134000,519244000,159459000,1112443000,451079000,1725897000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-58981000,-28120000,-95322000,-18604000,84942000,1395371000,2329901000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,-1355000,-3233000,-324000,868000,-3276000,-110000,5982000,- -
97,Net Change In Cash,- -,- -,- -,-1710000,8338000,-10597000,26039000,144134000,26516000,380438000,- -
98,Cash at the End of Period,- -,- -,- -,25093000,33431000,22834000,48873000,214097000,240613000,621051000,- -
99,Cash at the Beginning of Period,- -,- -,- -,26803000,25093000,33431000,22834000,69963000,214097000,240613000,- -
100,Free Cash Flow,- -,- -,- -,55540000,46597000,43913000,14333000,42955000,-66241000,-108675000,-75965000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1455863/000162828018003829/0001628280-18-003829-index.htm,https://www.sec.gov/Archives/edgar/data/1455863/000162828019001983/0001628280-19-001983-index.htm,https://www.sec.gov/Archives/edgar/data/1455863/000162828020002690/0001628280-20-002690-index.htm,https://www.sec.gov/Archives/edgar/data/1455863/000162828021003613/0001628280-21-003613-index.htm,https://www.sec.gov/Archives/edgar/data/1455863/000162828022004487/0001628280-22-004487-index.htm
102,false,,,,,,,,,,,
