,https://roic.ai/company/MMYT,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
79,Inventory,- -,-849207,820830,- -,-2551027,736545,881458,-1551000,1386000,268000,-317000,-30000,560000,- -
80,Accounts Payable,- -,3863901,10642283,- -,18300016,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,2180088,1492158,-358399,-2451913,-149356,-308295,3732127,4157000,-3226000,-2210000,-1598000,659000,1504000,- -
82,Other Non-Cash Items,2252436,-3280923,301205,-3766685,-6704583,-1051066,2282025,-136000,20221000,-12375000,-3029000,6683000,311910000,22039000
83,Cash Provided by Operating Activities,-16375318,-3148054,5231301,-6332157,10878934,13595897,-3957596,10827000,-66000000,-108457000,-125478000,-78927000,-112733000,64526000
84,CAPEX,-5291381,-944596,-1106320,-2846381,-9007092,-6984526,-5568734,-6968000,-11109000,-14982000,-12095000,-9703000,-12761000,- -
85,Acquisitions Net,- -,- -,- -,- -,-3000000,- -,-2000000,- -,-1000000,103000000,- -,- -,1000000,- -
86,Purchases of Investments,-719857,-19293285,- -,-2519501,-5868393,-4274880,-59372562,-6215000,-140008000,-10000000,-221738000,-137233000,-27999000,- -
87,Sales/Maturities of Investments,810066,7793357,3653559,- -,- -,- -,- -,17214000,63382000,83634000,115058000,205448000,124076000,- -
88,Other Investing Activites,-618692,326538,451947,757717,-31817574,-10783133,-991187,-2772000,-20322000,-4867000,-4152000,5252000,-19706000,-118863000
89,Cash Used for Investing Activites,-4444856,-11810369,3451730,-3034279,-46224556,-17948068,-64451925,5418000,-103644000,163011000,-115090000,70011000,73833000,-118863000
90,Debt Repayment,-37570,-47651,-73453,-61162,-222143,-120633,-65662,-19000,-16000,-7000,-96000,- -,-6528000,- -
91,Common Stock Issued,- -,- -,- -,58153844,37122648,- -,76475000,- -,- -,8752000,330000000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-525098,-1252,-417000,-11093000,-2050000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,14625837,14367425,-136590,-5729323,-1667688,-748250,-3949091,-2285000,175721000,-4536000,-2005000,-335000,-4460000,219399000
95,Cash Used/Provided by Financing Activities,14588267,14319774,-210043,52363359,35232817,-1393981,72458995,-2721000,164612000,2159000,327899000,-335000,-10988000,219399000
96,Effect of Forex Changes on Cash,36101,599303,-685143,-468039,-3963309,-2417121,-1672656,-1678000,1448000,-1282000,-1388000,-406000,1779000,123000
97,Net Change In Cash,-6195806,-39346,7787845,42528884,-4076114,-8163273,2376818,11846000,-3584000,55431000,85943000,-9657000,-48109000,165185000
98,Cash at the End of Period,-2403039,-2442385,5345460,47874344,43798230,35634957,38011775,49857000,46273000,101704000,187647000,177990000,129881000,295066000
99,Cash at the Beginning of Period,3792767,-2403039,-2442385,5345460,47874344,43798230,35634957,38011000,49857000,46273000,101704000,187647000,177990000,129881000
100,Free Cash Flow,-21666699,-4092650,4124981,-9178538,1871842,6611371,-9526330,3859000,-77109000,-123439000,-137573000,-88630000,-125494000,64526000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1495153/000095012311082290/c22065e20vf.htm,https://www.sec.gov/Archives/edgar/data/1495153/000119312512282140/d366695d20f.htm,https://www.sec.gov/Archives/edgar/data/1495153/000119312513257629/0001193125-13-257629-index.html,https://www.sec.gov/Archives/edgar/data/1495153/000119312514228441/0001193125-14-228441-index.html,https://www.sec.gov/Archives/edgar/data/1495153/000119312515217553/0001193125-15-217553-index.html,https://www.sec.gov/Archives/edgar/data/1495153/000119312516621250/0001193125-16-621250-index.html,https://www.sec.gov/Archives/edgar/data/1495153/000119312517230315/d378697d20f.htm,https://www.sec.gov/Archives/edgar/data/1495153/000156459018015847/0001564590-18-015847-index.html,https://www.sec.gov/Archives/edgar/data/1495153/000156459019025532/mmyt-20f_20190331.htm,- -,- -
102,false,,,,,,,,,,,,,,
