,https://roic.ai/company/RKDA,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,-1.4705,-1.7269,-2.4555,-3.3118,-6.1477,-3.8949,-9.2008,-24.6972,-0.7655,-2.3794
22,Income Tax expense (Gain),213000,167000,263000,26000,25000,26000,10000,2000,-124000,-2000
23,Net Income,-12370000,-13195000,-18339000,-17956000,-19624000,-15707000,-13480000,-28805000,-4655000,-14660000
24,Net Income ratio,-1.7646,-2.0369,-2.6266,-3.3166,-6.1556,-3.9014,-9.2077,-24.6407,-0.5794,-2.1622
25,EPS,-7.56,-8.07,-11.20,-14.60,-8.80,-7.28,-3.58,-4.53,-0.47,-1.47
26,EPS Diluted,-7.56,-8.07,-11.20,-14.60,-8.80,-7.28,-3.58,-4.53,-0.47,-1.47
27,Weighted Average Shares Outstanding,1636018,1636018,1636018,1427955,2218340,2156201,3766419,6363112,9959018,9959018
28,Weighted Average Shares Outstanding Diluted,1636018,1636018,1636018,1427955,2218340,2156201,3766419,6363112,9959018,9959018
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1469443/000156459016014230/0001564590-16-014230-index.htm,https://www.sec.gov/Archives/edgar/data/1469443/000156459017003724/0001564590-17-003724-index.htm,https://www.sec.gov/Archives/edgar/data/1469443/000156459018006338/0001564590-18-006338-index.htm,https://www.sec.gov/Archives/edgar/data/1469443/000156459019010452/0001564590-19-010452-index.htm,https://www.sec.gov/Archives/edgar/data/1469443/000156459020012875/0001564590-20-012875-index.htm,https://www.sec.gov/Archives/edgar/data/1469443/000156459021017118/0001564590-21-017118-index.htm,https://www.sec.gov/Archives/edgar/data/1469443/000095017022005253/0000950170-22-005253-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,5350000,2835000,16571000,23973000,2013000,9125000,11998000,8417000,14042000,28685000
32,Short-Term Investments,- -,- -,- -,26270000,48547000,3898000,9825000,16915000,11625000,- -
33,Cash and Short-Term Investments,5350000,2835000,16571000,50243000,50560000,13023000,21823000,25332000,25667000,28685000
34,Net Receivables,1235000,1024000,1422000,706000,533000,1235000,168000,602000,1406000,1370000
35,Inventory,898000,450000,424000,294000,252000,229000,181000,1794000,3812000,4433000
36,Other Current Assets,398000,258000,278000,774000,877000,560000,704000,712000,811000,900000
37,Total Current Assets,7881000,4567000,18695000,52017000,52222000,15047000,22876000,28440000,31696000,35388000
38,PP&E,1125000,941000,728000,585000,508000,299000,395000,3762000,9365000,5372000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,408000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,370000,484000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,778000,484000
42,Investments,2772000,1432000,500000,19748000,2498000,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1581000,2602000,4966000,1892000,1346000,1224000,753000,372000,5509000,2674000
45,Total Non-Current Assets,5478000,4975000,6194000,22225000,4352000,1523000,1148000,4134000,15652000,8530000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,13359000,9542000,24889000,74242000,56574000,16570000,24024000,32574000,47348000,43918000
48,Accounts Payable,137000,220000,244000,424000,222000,366000,285000,492000,4105000,- -
49,Short-Term Debt,- -,4568000,5606000,- -,- -,- -,- -,24000,1141000,1074000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,1164000,1074000,830000,1008000,740000,1000000,96000,42000,8000,- -
52,Other Current Liabilities,2055000,3682000,4589000,2018000,2167000,2159000,2673000,5150000,1060000,3966000
53,Total Current Liabilities,3356000,9544000,11269000,3450000,3129000,3525000,3054000,5708000,6314000,5040000
54,Long-Term Debt,8000000,9924000,8869000,24930000,25127000,- -,- -,107000,2105000,2220000
55,Deferred Revenue,4687000,4371000,3636000,2637000,3120000,2038000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,3000000,3000000,3000000,3000000,3000000,3000000,8155000,18433000,10377000,5462000
58,Total Non-Current Liabilities,15687000,17295000,15505000,30567000,31247000,5038000,8155000,18540000,12482000,7682000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,72000,- -,- -,- -,- -,- -,2108000,6106000,- -
61,Total Liabilities,19043000,26839000,26774000,34017000,34376000,8563000,11209000,24248000,18796000,12722000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,44000,44000,42000,45000,49000,54000,3455000
64,Retained Earnings,-82436000,-95631000,-113970000,-131926000,-151550000,-167257000,-178366000,-207171000,-211825000,-226485000
65,Other Comprehensive Income/Loss,-4057000,-4330000,-4655000,-4659000,-4941000,-4881000,-4801000,-4643000,- -,- -
66,Other Total Stockholders Equity,80809000,82664000,116740000,176766000,178645000,180103000,195937000,219470000,239496000,254123000
67,Total Stockholders Equity,-5684000,-17297000,-1885000,40225000,22198000,8007000,12815000,7705000,27725000,31093000
68,Total Liabilities And Stockholders Equity,13359000,9542000,24889000,74242000,56574000,16570000,24024000,31953000,46521000,43815000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,621000,827000,103000
70,Total Liabilities & Equity,13359000,9542000,24889000,74242000,56574000,16570000,24024000,32574000,47348000,43918000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1469443/000156459016014230/0001564590-16-014230-index.htm,https://www.sec.gov/Archives/edgar/data/1469443/000156459017003724/0001564590-17-003724-index.htm,https://www.sec.gov/Archives/edgar/data/1469443/000156459018006338/0001564590-18-006338-index.htm,https://www.sec.gov/Archives/edgar/data/1469443/000156459019010452/0001564590-19-010452-index.htm,https://www.sec.gov/Archives/edgar/data/1469443/000156459020012875/0001564590-20-012875-index.htm,https://www.sec.gov/Archives/edgar/data/1469443/000156459021017118/0001564590-21-017118-index.htm,https://www.sec.gov/Archives/edgar/data/1469443/000095017022005253/0000950170-22-005253-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-12370000,-13195000,-18339000,-17956000,-19624000,-15707000,-13480000,-28805000,-4655000,-16134000
74,Depreciation and Amortization,378000,391000,358000,294000,304000,279000,154000,194000,662000,1045000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,-107000,- -
76,Stock Based Compensation,1249000,1278000,976000,1392000,1059000,1474000,1550000,2287000,2042000,1541000
77,Change in Working Capital,-696000,-9502000,12403000,41141000,526000,-37571000,8300000,2910000,2650000,4966000
78,Accounts Receivable,538000,7000,-393000,336000,357000,-882000,1066000,-437000,-1119000,-40000
79,Inventory,-336000,-525000,412000,412000,582000,183000,160000,-1535000,-9751000,3593000
80,Accounts Payable,197000,421000,- -,125000,-19000,87000,176000,2102000,-580000,- -
81,Other Working Capital,4525000,-4977000,7426000,48567000,49093000,11522000,19822000,22732000,25382000,30348000
82,Other Non-Cash Items,1851000,11283000,-10185000,-39980000,680000,37560000,-10155000,6216000,-30810000,-17286000
83,Cash Provided by Operating Activities,-9588000,-9745000,-14787000,-15109000,-17055000,-13965000,-13631000,-17198000,-30218000,-25868000
84,CAPEX,-286000,-100000,-148000,-151000,-231000,-79000,-250000,-1477000,-2335000,1534000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,2653000,- -
86,Purchases of Investments,- -,-500000,-1450000,-48719000,-41385000,-19405000,-29885000,-28358000,-1292000,25147000
87,Sales/Maturities of Investments,- -,- -,- -,2500000,36315000,66658000,24150000,21450000,18250000,21846000
88,Other Investing Activites,1000,- -,7000,10000,- -,4000,10000,16000,8000,-31919000
89,Cash Used for Investing Activites,-285000,-600000,-1591000,-46360000,-5301000,47178000,-5975000,-8369000,17284000,16608000
90,Debt Repayment,- -,-765000,-1156000,-34796000,- -,-26125000,- -,-8000,-34000,-1343000
91,Common Stock Issued,4000,17000,19000,68227000,- -,- -,24000000,17500000,8000000,25147000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,25147000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,8000000,8578000,31251000,35440000,396000,24000,-1521000,4494000,12594000,-27051000
95,Cash Used/Provided by Financing Activities,8004000,7830000,30114000,68871000,396000,-26101000,22479000,21986000,20560000,21900000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-1869000,-2515000,13736000,7402000,-21960000,7112000,2873000,-3581000,7626000,12642000
98,Cash at the End of Period,5350000,2835000,16571000,23973000,2013000,9125000,11998000,8417000,16043000,28685000
99,Cash at the Beginning of Period,7219000,5350000,2835000,16571000,23973000,2013000,9125000,11998000,8417000,16043000
100,Free Cash Flow,-9874000,-9845000,-14935000,-15260000,-17286000,-14044000,-13881000,-18675000,-32553000,-24334000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1469443/000156459016014230/0001564590-16-014230-index.htm,https://www.sec.gov/Archives/edgar/data/1469443/000156459017003724/0001564590-17-003724-index.htm,https://www.sec.gov/Archives/edgar/data/1469443/000156459018006338/0001564590-18-006338-index.htm,https://www.sec.gov/Archives/edgar/data/1469443/000156459019010452/0001564590-19-010452-index.htm,https://www.sec.gov/Archives/edgar/data/1469443/000156459020012875/0001564590-20-012875-index.htm,https://www.sec.gov/Archives/edgar/data/1469443/000156459021017118/0001564590-21-017118-index.htm,https://www.sec.gov/Archives/edgar/data/1469443/000095017022005253/0000950170-22-005253-index.htm
102,false,,,,,,,,,,
