,https://roic.ai/company/ZM,2017,2018,2019,2020,2021,2022
34,Net Receivables,- -,24526000,63613000,120435000,294703000,419673000
35,Inventory,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,19434000,36705000,119893000,253449000,344868000
37,Total Current Assets,- -,183162000,276719000,1095522000,4792865000,6183807000
38,PP&E,- -,13032000,37275000,125746000,247573000,318319000
39,Goodwill,- -,- -,- -,- -,24340000,27607000
40,Intangible Assets,- -,- -,- -,- -,10816000,- -
41,Intangible Assets,- -,- -,- -,- -,35156000,27607000
42,Investments,- -,- -,- -,3000000,18668000,367814000
43,Tax Assets,- -,- -,- -,- -,- -,382296000
44,Other Non-Current Assets,- -,18825000,40571000,65577000,203731000,271475000
45,Total Non-Current Assets,- -,31857000,77846000,194323000,505128000,1367511000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,215019000,354565000,1289845000,5297993000,7551318000
48,Accounts Payable,- -,2723000,4963000,1596000,8664000,7841000
49,Short-Term Debt,- -,- -,- -,7675000,15601000,- -
50,Tax Payable,- -,481000,1183000,- -,27453000,- -
51,Deferred Revenue,- -,50351000,115122000,209542000,871334000,1141435000
52,Other Current Liabilities,- -,15455000,32256000,115017000,364367000,430415000
53,Total Current Liabilities,- -,68529000,152341000,333830000,1259966000,1579691000
54,Long-Term Debt,- -,- -,- -,- -,90415000,85018000
55,Deferred Revenue,- -,3911000,10651000,20994000,25211000,38481000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,169250000,24241000,101078000,61634000,68110000
58,Total Non-Current Liabilities,- -,173161000,34892000,122072000,177260000,191609000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,72467000,106016000,85018000
61,Total Liabilities,- -,241690000,187233000,455902000,1437226000,1771300000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,80000,242000,277000,292000,299000
64,Retained Earnings,- -,-32737000,-25153000,152000,672468000,2048107000
65,Other Comprehensive Income/Loss,- -,-531000,-135000,809000,839000,-17902000
66,Other Total Stockholders Equity,- -,6517000,192378000,832705000,3187168000,3749514000
67,Total Stockholders Equity,- -,-26671000,167332000,833943000,3860767000,5780018000
68,Total Liabilities And Stockholders Equity,- -,215019000,354565000,1289845000,5297993000,7551318000
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,215019000,354565000,1289845000,5297993000,7551318000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1585521/000158552120000095/0001585521-20-000095-index.html,https://www.sec.gov/Archives/edgar/data/1585521/000158552121000048/0001585521-21-000048-index.htm,https://www.sec.gov/Archives/edgar/data/1585521/000158552122000037/0001585521-22-000037-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-14000,-3822000,7584000,25305000,672316000,1375639000
74,Depreciation and Amortization,1219000,2786000,7008000,16449000,28857000,48188000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-327957000
76,Stock Based Compensation,1039000,10329000,8941000,73109000,275818000,477287000
77,Change in Working Capital,3651000,110818000,9745000,637314000,2771207000,-186454000
78,Accounts Receivable,-5882000,-16560000,-41040000,-64715000,-219039000,-159183000
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,537000,1254000,832000,-2030000,3481000,-2218000
81,Other Working Capital,3815000,114633000,124378000,761692000,3532899000,46516000
82,Other Non-Cash Items,3466000,-100685000,18054000,-600285000,-2277021000,218563000
83,Cash Provided by Operating Activities,9361000,19426000,51332000,151892000,1471177000,1605266000
84,CAPEX,-4824000,-9738000,-30450000,-38225000,-85815000,-145608000
85,Acquisitions Net,- -,- -,- -,-3000000,-34486000,-3501000
86,Purchases of Investments,- -,-143329000,-78016000,-800228000,-2056470000,-4739898000
87,Sales/Maturities of Investments,- -,39710000,68747000,343554000,617692000,2029910000
88,Other Investing Activites,2000000,- -,-2018000,-1710000,-9184000,-13018000
89,Cash Used for Investing Activites,-2824000,-113357000,-39719000,-499468000,-1562420000,-2859097000
90,Debt Repayment,- -,-120000,-92000,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,542492000,1979206000,- -
92,Common Stock Repurchased,-14966000,-4610000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,115233000,733000,17626000,73198000,71071000,34068000
95,Cash Used/Provided by Financing Activities,100267000,-3997000,17534000,615690000,2050277000,34068000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,106804000,-97928000,29147000,268114000,1959034000,-1219763000
98,Cash at the End of Period,134749000,36821000,65968000,334082000,2293116000,1073353000
99,Cash at the Beginning of Period,27945000,134749000,36821000,65968000,334082000,2293116000
100,Free Cash Flow,4537000,9688000,20882000,113667000,1385362000,1459658000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1585521/000158552120000095/0001585521-20-000095-index.html,https://www.sec.gov/Archives/edgar/data/1585521/000158552121000048/0001585521-21-000048-index.htm,https://www.sec.gov/Archives/edgar/data/1585521/000158552122000037/0001585521-22-000037-index.htm
102,false,,,,,,
