,https://roic.ai/company/DYAI,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,- -,- -,- -,- -,8892396,2495455,68601138,6889357,5786348,2386314,4823544,20637045,15748480
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,42050052,41898754,38816441,29399146,8457452,4511780
33,Cash and Short-Term Investments,- -,- -,- -,- -,8892396,2495455,68601138,48939409,47685102,41202755,34222690,29094497,20260260
34,Net Receivables,- -,- -,- -,- -,1788031,1044990,78952,1081367,760870,1119850,1138549,406446,94375
35,Inventory,- -,- -,- -,- -,2800090,3607062,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,371979,393750,490750,7607148,1169802,425447,277999,280555,653661
37,Total Current Assets,- -,- -,- -,- -,13852496,7541257,69170840,57627924,49615774,42748052,35639238,29781498,21008296
38,PP&E,- -,- -,- -,- -,504781,539902,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,566867,418973,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,566867,418973,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,1066643,922648,- -,1511636,284709,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,16173,35221,7496585,5853,205737,552755,301622,6225,290826
45,Total Non-Current Assets,- -,- -,- -,- -,1087821,994096,7496585,1072496,1128385,552755,1813258,290934,290826
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,14940317,8535353,76667425,58700420,50744159,43300807,37452496,30072432,21299122
48,Accounts Payable,- -,- -,- -,- -,2573106,1504313,630230,279057,459141,240064,766001,904572,1547953
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,3634,100675,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,216324,- -,- -,- -,- -,147059
52,Other Current Liabilities,- -,- -,- -,- -,1556051,1160074,2242690,514856,309754,609574,822024,721299,860707
53,Total Current Liabilities,- -,- -,- -,- -,4129157,2664387,2872920,1010237,768895,849638,1588025,1625871,2555719
54,Long-Term Debt,- -,- -,- -,- -,8242941,8135728,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,352941
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,8242941,8135728,- -,- -,- -,- -,- -,- -,352941
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,12372098,10800115,2872920,1010237,768895,849638,1588025,1625871,2908660
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,34028,34143,40299,38931,38937,38967,39613,39748,- -
64,Retained Earnings,- -,- -,- -,- -,-78520325,-84500414,-18713096,-25204314,-27351357,-33043113,-41351078,-50676351,-63746602
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-2595789,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,84797298,92467302,82855566,77287684,75455315,77175936,79083164,82137064
67,Total Stockholders Equity,- -,- -,- -,- -,2568219,-2264762,73794505,57690183,49975264,42451169,35864471,28446561,18390462
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,14940317,8535353,76667425,58700420,50744159,43300807,37452496,30072432,21299122
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,14940317,8535353,76667425,58700420,50744159,43300807,37452496,30072432,21299122
71,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1213809/000121380919000006/0001213809-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1213809/000121380920000018/0001213809-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1213809/000143774921007644/0001437749-21-007644-index.htm,https://www.sec.gov/Archives/edgar/data/1213809/000143774922007554/0001437749-22-007554-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,-428050,-5980089,65787318,-3608739,-2135819,-5691756,-8307965,-9325273,-13070251
74,Depreciation and Amortization,- -,- -,- -,- -,253503,271128,- -,- -,- -,- -,- -,331277,329612
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,806557,984157,1110191,624808,643430,467203,1171079,1651893,1784102
77,Change in Working Capital,- -,- -,- -,- -,-26936962,-4846469,61421050,-9680233,-7770808,-6948465,-7847201,-5895586,-9703050
78,Accounts Receivable,- -,- -,- -,- -,-36033,602275,-78952,-513466,333020,-59984,-252772,363365,-31792
79,Inventory,- -,- -,- -,- -,46097,-830754,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,885929,-1013990,134255,-339740,207434,-195755,657658,-53200,549562
81,Other Working Capital,- -,- -,- -,- -,9723339,4876870,66297920,56617687,48846879,41898414,34051213,28155627,18452577
82,Other Non-Cash Items,- -,- -,- -,- -,31400806,3371206,-129121233,6628774,6656939,7765829,9201195,6663297,9382642
83,Cash Provided by Operating Activities,- -,- -,- -,- -,5095854,-6200067,-802674,-6035390,-2606258,-4407189,-5782892,-6574392,-11276945
84,CAPEX,- -,- -,- -,- -,-406067,-350286,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,67000000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-54095000,-50548000,-49734681,-47615550,-17638947,-11283940
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,11539000,50651000,53063000,55323000,39761000,-12889472
88,Other Investing Activites,- -,- -,- -,- -,-101945,6197,-165521,- -,- -,- -,- -,- -,29395004
89,Cash Used for Investing Activites,- -,- -,- -,- -,-414090,-252612,66834479,-42556000,103000,3328319,7707450,22122053,5221592
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-2024941,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-13286521,-6223967,-2304042,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,220570,55738,2098819,66130,1437,4500,550188,255470,1230050
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,220570,55738,73878,-13120391,-6222530,-2299542,550188,255470,1230050
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,257920,-21622,-37516,10370,-63262
97,Net Change In Cash,- -,- -,- -,- -,4902334,-6396941,66105683,-61711781,-8467868,-3400034,2437230,15813501,-4888565
98,Cash at the End of Period,- -,- -,- -,- -,8892396,2495455,68601138,6889357,5786348,2386314,4823544,20637045,15748480
99,Cash at the Beginning of Period,- -,- -,- -,- -,3990062,8892396,2495455,68601138,14254216,5786348,2386314,4823544,20637045
100,Free Cash Flow,- -,- -,- -,- -,4689787,-6550353,-802674,-6035390,-2606258,-4407189,-5782892,-6574392,-11276945
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1213809/000121380919000006/0001213809-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1213809/000121380920000018/0001213809-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1213809/000143774921007644/0001437749-21-007644-index.htm,https://www.sec.gov/Archives/edgar/data/1213809/000143774922007554/0001437749-22-007554-index.htm
102,false,,,,,,,,,,,,,
