,https://roic.ai/company/QUOT,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
33,Cash and Short-Term Investments,- -,58395000,38972000,201075000,159947000,175346000,394537000,322766000,224764000,222752000,237417000
34,Net Receivables,- -,29206000,42185000,51061000,63239000,71945000,81189000,112108000,125304000,137649000,177216000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,3219000,4020000,4169000,5297000,6293000,8737000,10044000,22026000,18547000,19312000
37,Total Current Assets,- -,90820000,85177000,256305000,228483000,253584000,484463000,444918000,372094000,378948000,433945000
38,PP&E,- -,27282000,29942000,25399000,25128000,16376000,16610000,15579000,13704000,33490000,46534000
39,Goodwill,- -,9874000,9887000,29277000,43895000,43895000,80506000,118821000,128427000,128427000,128427000
40,Intangible Assets,- -,2731000,1813000,11818000,14880000,47987000,46490000,81724000,69752000,44898000,13003000
41,Intangible Assets,- -,12605000,11700000,41095000,58775000,91882000,126996000,200545000,198179000,173325000,141430000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,282000,195000,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,903000,7222000,9008000,8685000,914000,1006000,1311000,7961000,1029000,13571000
45,Total Non-Current Assets,- -,41072000,49059000,75502000,92588000,109172000,144612000,217435000,219844000,207844000,201535000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,131892000,134236000,331807000,321071000,362756000,629075000,662353000,591938000,586792000,635480000
48,Accounts Payable,- -,11322000,5589000,6358000,8187000,4968000,6090000,17060000,19116000,15959000,18021000
49,Short-Term Debt,- -,- -,- -,7500000,- -,- -,- -,- -,- -,7500000,188786000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,7406000,6751000,6219000,7342000,6856000,6276000,8686000,10903000,12027000,26778000
52,Other Current Liabilities,- -,26669000,51417000,31391000,35407000,34066000,67952000,66362000,92264000,86012000,137777000
53,Total Current Liabilities,- -,45397000,63757000,51468000,50936000,45890000,80318000,92108000,122283000,121498000,371362000
54,Long-Term Debt,- -,14743000,- -,- -,- -,- -,145821000,155719000,166157000,177168000,26903000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,282000,195000,2624000,2532000,2569000,1690000,1854000,1937000,1853000,1991000
57,Other Non-Current Liabilities,- -,271852000,272530000,827000,2113000,2548000,3205000,32585000,16339000,39244000,522000
58,Total Non-Current Liabilities,- -,286877000,272725000,3451000,4645000,5117000,150716000,190158000,184433000,218265000,29416000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,3168000,3650000,26903000
61,Total Liabilities,- -,332274000,336482000,54919000,55581000,51007000,231034000,282266000,306716000,339763000,400778000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,1000,1000,1000,1000,1000,1000,1000,1000
64,Retained Earnings,- -,-157502000,-168751000,-192195000,-218925000,-238404000,-287285000,-322093000,-384923000,-450304000,-495872000
65,Other Comprehensive Income/Loss,- -,-11699000,-17491000,-28783000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1099000
66,Other Total Stockholders Equity,- -,- -,- -,497865000,485414000,551152000,686325000,703179000,671144000,698332000,- -
67,Total Stockholders Equity,- -,-200382000,-202246000,276888000,265490000,311749000,398041000,380087000,285222000,247029000,234702000
68,Total Liabilities And Stockholders Equity,- -,131892000,134236000,331807000,321071000,362756000,629075000,662353000,591938000,586792000,635480000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,131892000,134236000,331807000,321071000,362756000,629075000,662353000,591938000,586792000,635480000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1115128/000156459015001837/coup-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1115128/000156459016014569/0001564590-16-014569-index.html,https://www.sec.gov/Archives/edgar/data/1115128/000156459017001702/0001564590-17-001702-index.html,https://www.sec.gov/Archives/edgar/data/1115128/000156459018002356/0001564590-18-002356-index.html,https://www.sec.gov/Archives/edgar/data/1115128/000156459019004975/0001564590-19-004975-index.html,https://www.sec.gov/Archives/edgar/data/1115128/000156459020007918/0001564590-20-007918-index.html,https://www.sec.gov/Archives/edgar/data/1115128/000111512821000005/0001115128-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1115128/000111512822000007/0001115128-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-22970000,-59234000,-11249000,-23444000,-26730000,-19479000,-15077000,-28318000,-37057000,-65381000,-45568000
74,Depreciation and Amortization,3426000,6556000,6859000,14737000,16500000,22770000,17840000,25041000,31437000,36352000,29464000
75,Deferred Income Tax,-166000,-234000,- -,1923000,-561000,241000,-702000,482000,660000,719000,138000
76,Stock Based Compensation,4570000,5568000,5181000,35510000,32346000,28286000,32252000,31386000,32137000,28371000,22812000
77,Change in Working Capital,4785000,39984000,-24003000,183417000,-27290000,30147000,196451000,-51335000,-102999000,7639000,-6064000
78,Accounts Receivable,-2541000,-10117000,-13129000,-8863000,-12792000,-9358000,-4382000,-26032000,-7142000,-13232000,-40135000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,4132000,5386000,-790000,1155000,2967000,-1718000,12834000,6449000,-62000,15554000,27576000
81,Other Working Capital,5439000,45423000,21420000,204837000,177547000,207694000,404145000,352810000,249811000,257450000,20821000
82,Other Non-Cash Items,692000,-39194000,9054000,-200685000,14966000,-40150000,-182307000,44792000,107640000,18765000,25228000
83,Cash Provided by Operating Activities,-9663000,-46554000,-14158000,11458000,9231000,21815000,48457000,22048000,31818000,26465000,26010000
84,CAPEX,-10974000,-12745000,-14485000,-9691000,-13806000,-6387000,-6475000,-26622000,-23832000,-11369000,-14720000
85,Acquisitions Net,- -,- -,- -,-13000000,-17000000,- -,-21000000,-34000000,-14000000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-25000000,-88172000,-114239000,-75120000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,44000000,123509000,114284000,20738000,- -,- -
88,Other Investing Activites,-10126000,-1070000,-11000,-452000,4358000,-106000,-48000,-20206000,-14541000,-3018000,- -
89,Cash Used for Investing Activites,-21052000,-12770000,-14485000,-23032000,-50812000,-50559000,-18253000,-21119000,-16824000,-11369000,-14720000
90,Debt Repayment,-16479000,-46000,-40000,-15058000,-7562000,-48000,-238000,-310000,-317000,-391000,-456000
91,Common Stock Issued,1892000,2309000,3661000,187110000,5680000,11966000,- -,- -,- -,5002000,- -
92,Common Stock Repurchased,-70305000,- -,- -,- -,-22695000,-11944000,- -,-14285000,-87097000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,196337000,15000000,5601000,1610000,- -,- -,198514000,-18963000,-4821000,-21785000,3765000
95,Cash Used/Provided by Financing Activities,111445000,17263000,9222000,173662000,-24577000,-26000,198276000,-33558000,-92235000,-17174000,3309000
96,Effect of Forex Changes on Cash,- -,-6000,-2000,15000,30000,-3000,-19000,22000,-23000,66000,66000
97,Net Change In Cash,80730000,-42067000,-19423000,162103000,-66128000,-28773000,228461000,-32607000,-77264000,-2012000,14665000
98,Cash at the End of Period,100462000,58395000,38972000,201075000,134947000,106174000,334635000,302028000,224764000,222752000,237417000
99,Cash at the Beginning of Period,19732000,100462000,58395000,38972000,201075000,134947000,106174000,334635000,302028000,224764000,222752000
100,Free Cash Flow,-20637000,-59299000,-28643000,1767000,-4575000,15428000,41982000,-4574000,7986000,15096000,11290000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1115128/000156459015001837/coup-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1115128/000156459016014569/0001564590-16-014569-index.html,https://www.sec.gov/Archives/edgar/data/1115128/000156459017001702/0001564590-17-001702-index.html,https://www.sec.gov/Archives/edgar/data/1115128/000156459018002356/0001564590-18-002356-index.html,https://www.sec.gov/Archives/edgar/data/1115128/000156459019004975/0001564590-19-004975-index.html,https://www.sec.gov/Archives/edgar/data/1115128/000156459020007918/0001564590-20-007918-index.html,https://www.sec.gov/Archives/edgar/data/1115128/000111512821000005/0001115128-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1115128/000111512822000007/0001115128-22-000007-index.htm
102,false,,,,,,,,,,,
