,https://roic.ai/company/GLW,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.0666,0.1159,0.1173,0.1865,0.2245,0.2164,0.2004,0.0885,0.0750,- -,0.0906,0.1717,0.2417,0.2367,0.2446,0.1856,-0.7765,-0.4320,0.0129,-0.1585,0.3658,0.4834,0.4841,0.6063,0.5205,0.7250,0.5398,0.4025,0.4598,0.5034,0.3084,0.5374,0.2936,0.2646,0.2556,0.2140,0.2967
17,Operating Income,136900000,167700000,147100000,190000000,182500000,308500000,384400000,390800000,460700000,- -,586900000,561600000,761400000,548500000,631200000,1555000000,-6000000000,-2720000000,-655000000,-1453000000,613000000,846000000,1081000000,1520000000,391000000,1801000000,1694000000,1321000000,1371000000,1931000000,1322000000,1391000000,1630000000,1575000000,1306000000,509000000,2112000000
18,Operating Income ratio,0.0810,0.0903,0.0706,0.0896,0.0748,0.1049,0.1179,0.1054,0.1150,- -,0.1105,0.1538,0.1862,0.1574,0.1469,0.2138,-0.9566,-0.8597,-0.2120,-0.3770,0.1339,0.1635,0.1845,0.2555,0.0725,0.2716,0.2147,0.1649,0.1753,0.1988,0.1451,0.1481,0.1611,0.1395,0.1135,0.0450,0.1500
19,Total Other Income Expenses (Gains),-24300000,47400000,97300000,205600000,193800000,116700000,37400000,-32000000,-440600000,- -,-483000000,-55500000,-94400000,-88200000,34300000,-738000000,-111000000,- -,-104000000,-127000000,-41000000,115000000,210000000,3000000,1543000000,2044000000,1519000000,796000000,1102000000,1637000000,164000000,2301000000,27000000,-72000000,-90000000,114000000,285000000
20,Income Before Tax,112600000,215100000,244400000,395600000,376300000,425200000,421800000,358800000,20100000,- -,103900000,506100000,667000000,460300000,665500000,817000000,-6111000000,-2720000000,-759000000,-1580000000,572000000,961000000,1291000000,1523000000,1934000000,3845000000,3213000000,2117000000,2473000000,3568000000,1486000000,3692000000,1657000000,1503000000,1216000000,623000000,2397000000
21,Income Before Tax Ratio,0.0666,0.1159,0.1173,0.1865,0.1543,0.1446,0.1294,0.0967,0.0050,- -,0.0196,0.1386,0.1631,0.1321,0.1549,0.1123,-0.9743,-0.8597,-0.2456,-0.4100,0.1249,0.1857,0.2203,0.2561,0.3585,0.5798,0.4072,0.2642,0.3163,0.3673,0.1631,0.3932,0.1638,0.1331,0.1057,0.0551,0.1702
22,Income Tax expense (Gain),5000000,52900000,55300000,103200000,116900000,136100000,110600000,92500000,35300000,- -,154700000,163200000,227200000,132800000,188600000,407000000,-452000000,-726000000,-254000000,1031000000,578000000,55000000,80000000,-2405000000,-74000000,287000000,408000000,389000000,512000000,1096000000,147000000,-3000000,2154000000,437000000,256000000,111000000,491000000
23,Net Income,107600000,162200000,189100000,292400000,259400000,289100000,311200000,-12600000,-15200000,- -,-50800000,175600000,439800000,394000000,481700000,423000000,-5498000000,-1302000000,-223000000,-2165000000,585000000,1855000000,2150000000,5257000000,2008000000,3558000000,2805000000,1728000000,1961000000,2472000000,1339000000,3695000000,-497000000,1066000000,960000000,512000000,1906000000
24,Net Income ratio,0.0636,0.0874,0.0908,0.1378,0.1063,0.0983,0.0955,-0.0034,-0.0038,- -,-0.0096,0.0481,0.1075,0.1131,0.1121,0.0582,-0.8766,-0.4115,-0.0722,-0.5618,0.1278,0.3585,0.3669,0.8838,0.3722,0.5365,0.3555,0.2157,0.2508,0.2545,0.1470,0.3935,-0.0491,0.0944,0.0835,0.0453,0.1354
25,EPS,0.02,0.03,0.03,0.04,0.08,0.09,0.09,-0.01,-0.01,- -,-0.08,0.25,0.64,0.57,0.67,0.49,-5.89,-1.39,-0.18,-1.56,0.40,1.20,1.37,3.37,1.30,2.28,1.80,1.16,1.35,1.82,1.02,3.53,-0.66,1.19,1.11,0.54,2.50
26,EPS Diluted,0.02,0.03,0.03,0.04,0.08,0.09,0.09,-0.01,-0.01,- -,-0.08,0.25,0.62,0.56,0.65,0.48,-5.89,-1.39,-0.18,-1.56,0.38,1.16,1.34,3.32,1.28,2.25,1.77,1.15,1.34,1.73,1.00,3.23,-0.66,1.13,1.07,0.54,2.50
27,Weighted Average Shares Outstanding,515267267,518726727,541081081,533681682,565870871,551681682,581282282,582276276,602510511,- -,679800000,681300000,684300000,688800000,721800000,858400000,933616299,1028776978,1238888889,1387820513,1462500000,1545833333,1569343066,1559940653,1544615385,1560526316,1562000000,1494000000,1452000000,1305000000,1219000000,1020000000,895000000,816000000,776000000,761000000,849000000
28,Weighted Average Shares Outstanding Diluted,515267267,518726727,541081081,533681682,565870871,551681682,581282282,582276276,602510511,- -,679800000,681300000,736200000,731700000,743100000,879300000,933616299,1028776978,1253000000,1387820513,1539473684,1599137931,1604477612,1583433735,1568750000,1581333333,1583000000,1506000000,1462000000,1427000000,1343000000,1144000000,895000000,941000000,899000000,772000000,864000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/24741/000002474196000017/0000024741-96-000017-index.html,https://www.sec.gov/Archives/edgar/data/24741/000095014697000367/0000950146-97-000367-index.html,https://www.sec.gov/Archives/edgar/data/24741/000095014698000390/0000950146-98-000390-index.html,https://www.sec.gov/Archives/edgar/data/24741/000095014699000306/0000950146-99-000306-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/24741/000002474102000014/0000024741-02-000014-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/24741/000120677407000512/corning_10k.htm,https://www.sec.gov/Archives/edgar/data/24741/000119312508031868/d10k.htm,https://www.sec.gov/Archives/edgar/data/24741/000119312509035649/0001193125-09-035649-index.html,https://www.sec.gov/Archives/edgar/data/24741/000119312510027165/0001193125-10-027165-index.html,https://www.sec.gov/Archives/edgar/data/24741/000119312511030621/d10k.htm,https://www.sec.gov/Archives/edgar/data/24741/000119312512056163/0001193125-12-056163-index.html,https://www.sec.gov/Archives/edgar/data/24741/000130817913000024/0001308179-13-000024-index.html,https://www.sec.gov/Archives/edgar/data/24741/000130817914000032/lglw2013_10k.htm,https://www.sec.gov/Archives/edgar/data/24741/000002474115000015/form10k2014.htm,https://www.sec.gov/Archives/edgar/data/24741/000002474116000077/0000024741-16-000077-index.html,https://www.sec.gov/Archives/edgar/data/24741/000002474117000011/0000024741-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/24741/000002474118000010/0000024741-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/24741/000002474119000016/0000024741-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/24741/000002474120000014/0000024741-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/24741/000156276221000023/0001562762-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/24741/000143774922003247/0001437749-22-003247-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,214900000,223200000,101300000,45400000,253400000,138000000,1037000000,1471000000,833000000,1009000000,1342000000,1157000000,2216000000,1873000000,2541000000,4598000000,4661000000,4988000000,4704000000,5309000000,4500000000,5291000000,4317000000,2355000000,2434000000,2672000000,2148000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1182000000,619000000,433000000,872000000,1092000000,2010000000,1300000000,943000000,1042000000,1752000000,1164000000,1156000000,531000000,759000000,100000000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,214900000,223200000,101300000,45400000,253400000,138000000,2219000000,2090000000,1266000000,1881000000,2434000000,3167000000,3516000000,2816000000,3583000000,6350000000,5825000000,6144000000,5235000000,6068000000,4600000000,5291000000,4317000000,2355000000,2434000000,2672000000,2148000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,932400000,566300000,628000000,636000000,797500000,1490000000,593000000,828000000,642000000,585000000,629000000,746000000,856000000,512000000,753000000,973000000,1082000000,1302000000,1253000000,1501000000,1372000000,1481000000,1807000000,1940000000,1836000000,2133000000,2004000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,467800000,498500000,564700000,458700000,525300000,1040000000,725000000,559000000,467000000,535000000,570000000,639000000,631000000,798000000,579000000,738000000,975000000,1051000000,1270000000,1322000000,1385000000,1471000000,1712000000,2037000000,2320000000,2438000000,2481000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,219200000,130700000,130200000,170200000,206300000,1966000000,570000000,348000000,319000000,280000000,227000000,246000000,291000000,493000000,606000000,798000000,795000000,1198000000,1133000000,1347000000,912000000,805000000,991000000,702000000,873000000,761000000,1026000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1834300000,1418700000,1424200000,1310300000,1782500000,4634000000,4107000000,3825000000,2694000000,3281000000,3860000000,4798000000,5294000000,4619000000,5521000000,8859000000,8677000000,9695000000,8891000000,10238000000,8269000000,9048000000,8827000000,7034000000,7463000000,8004000000,7659000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2031600000,1977700000,2427600000,2684900000,3103100000,4679000000,5097000000,3705000000,3620000000,3941000000,4675000000,5193000000,5986000000,8199000000,7995000000,8943000000,10671000000,10625000000,9801000000,12766000000,12648000000,12546000000,14017000000,14895000000,15841000000,16422000000,15804000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,316000000,308000000,277000000,509000000,537000000,664000000,974000000,1002000000,1150000000,1380000000,1577000000,1694000000,1936000000,1935000000,2460000000,2421000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1416100000,330400000,363300000,309700000,319300000,7340000000,2289000000,1976000000,1901000000,398000000,338000000,- -,- -,28000000,167000000,179000000,262000000,522000000,540000000,497000000,706000000,796000000,869000000,1292000000,1185000000,1308000000,1148000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1416100000,330400000,363300000,309700000,319300000,7340000000,2289000000,1976000000,1901000000,398000000,338000000,316000000,308000000,305000000,676000000,716000000,926000000,1496000000,1542000000,1647000000,2086000000,2373000000,2563000000,3228000000,3120000000,3768000000,3569000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1729000000,2522000000,3036000000,3056000000,3992000000,4372000000,4726000000,4915000000,5537000000,1801000000,1975000000,336000000,340000000,376000000,334000000,435000000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,887000000,1225000000,440000000,10000000,114000000,202000000,2932000000,2982000000,2790000000,2652000000,2343000000,2234000000,1889000000,2056000000,2325000000,813000000,951000000,1157000000,1121000000,1066000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,705100000,594500000,596300000,677000000,807300000,873000000,1300000000,1155000000,1312000000,1650000000,563000000,122000000,389000000,145000000,129000000,153000000,196000000,301000000,473000000,1722000000,1513000000,1271000000,934000000,1021000000,983000000,1025000000,2046000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4152800000,2902600000,3387200000,3671600000,4229700000,12892000000,8686000000,7723000000,8058000000,6429000000,7315000000,8267000000,9921000000,14637000000,15774000000,16974000000,19171000000,19680000000,19587000000,19825000000,20278000000,18851000000,18667000000,20471000000,21435000000,22771000000,22485000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5987100000,4321300000,4811400000,4981900000,6012200000,17526000000,12793000000,11548000000,10752000000,9710000000,11175000000,13065000000,15215000000,19256000000,21295000000,25833000000,27848000000,29375000000,28478000000,30063000000,28547000000,27899000000,27494000000,27505000000,28898000000,30775000000,30144000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,255200000,268900000,316700000,291700000,390900000,855000000,441000000,339000000,333000000,682000000,690000000,631000000,609000000,846000000,550000000,798000000,977000000,779000000,771000000,997000000,934000000,1079000000,1439000000,1456000000,1587000000,1174000000,1612000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,146000000,53900000,215000000,204600000,418500000,128000000,477000000,204000000,146000000,478000000,18000000,20000000,23000000,78000000,74000000,57000000,27000000,76000000,21000000,36000000,572000000,256000000,379000000,4000000,73000000,252000000,55000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,282000000,139000000,106000000,53000000,150000000,148000000,169000000,182000000,173000000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,104000000,363000000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,763900000,484700000,485600000,578400000,678600000,966000000,1076000000,1137000000,1074000000,1176000000,1508000000,1668000000,1880000000,1128000000,915000000,1131000000,1093000000,1101000000,954000000,1291000000,1308000000,1416000000,1391000000,1851000000,1757000000,1978000000,3139000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1165100000,807500000,1017300000,1074700000,1488000000,1949000000,1994000000,1680000000,1553000000,2336000000,2216000000,2319000000,2512000000,2052000000,1539000000,1986000000,2097000000,1956000000,1746000000,2324000000,2814000000,2751000000,3209000000,3311000000,3521000000,3767000000,4806000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1393000000,1208500000,1134100000,998300000,1288700000,3966000000,4461000000,3963000000,2668000000,2214000000,1789000000,1696000000,1514000000,1527000000,1930000000,2262000000,2364000000,3382000000,3272000000,3227000000,3910000000,3646000000,4749000000,5994000000,7729000000,8449000000,6989000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,382000000,922000000,927000000,2020000000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,347000000,325000000,313000000,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,664900000,646200000,678100000,674100000,710000000,769000000,805000000,1155000000,1031000000,1315000000,1518000000,1759000000,1647000000,2186000000,2231000000,2159000000,2258000000,2504000000,2249000000,2860000000,2960000000,3542000000,3384000000,3045000000,3399000000,2778000000,5804000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2057900000,1854700000,1812200000,1672400000,1998700000,4796000000,5266000000,5118000000,3699000000,3529000000,3307000000,3455000000,3161000000,3713000000,4161000000,4421000000,4622000000,5886000000,5521000000,6087000000,6870000000,7188000000,8515000000,10308000000,12380000000,13560000000,12793000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,512000000,902000000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3223000000,2662200000,2829500000,2747100000,3486700000,6745000000,7260000000,6798000000,5252000000,5865000000,5523000000,5774000000,5673000000,5765000000,5700000000,6407000000,6719000000,7842000000,7267000000,8411000000,9684000000,9939000000,11724000000,13619000000,15901000000,17327000000,17599000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,155000000,85000000,64000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,2300000000,2300000000,2300000000,2300000000,2300000000,2300000000,2300000000,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1072700000,9513000000,10044000000,634000000,701000000,712000000,776000000,791000000,799000000,804000000,808000000,813000000,818000000,825000000,831000000,836000000,840000000,846000000,854000000,857000000,859000000,863000000,907000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1496500000,1024000000,1296000000,1521700000,1826500000,2001000000,-3610000000,-4921000000,-5144000000,-7309000000,-6724000000,-4992000000,-3002000000,1940000000,3636000000,6881000000,9332000000,10588000000,11320000000,13021000000,13832000000,16880000000,15930000000,16303000000,16408000000,16120000000,16389000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1916300000,-1793200000,-1999900000,-1993900000,-2239700000,-2662000000,-3067000000,-170000000,98000000,148000000,177000000,-360000000,-90000000,-643000000,-401000000,43000000,-89000000,-300000000,44000000,-1307000000,-1811000000,-1676000000,-842000000,-1010000000,-1171000000,-740000000,-1175000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3183900000,2428300000,2685800000,2707000000,1866000000,1929000000,2166000000,8993000000,9724000000,10201000000,11380000000,11807000000,11789000000,11342000000,11500000000,11638000000,11017000000,10373000000,8967000000,6729000000,3627000000,-457000000,-2544000000,-4658000000,-5489000000,-5286000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2764100000,1659100000,1981900000,2234800000,2525500000,10781000000,5533000000,4691000000,5464000000,3816000000,5609000000,7246000000,9496000000,13443000000,15543000000,19375000000,21078000000,21486000000,21162000000,21579000000,18788000000,17893000000,15698000000,13792000000,12907000000,13257000000,12333000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5987100000,4321300000,4811400000,4981900000,6012200000,17526000000,12793000000,11489000000,10716000000,9681000000,11132000000,13020000000,15169000000,19208000000,21243000000,25782000000,27797000000,29328000000,28429000000,29990000000,28472000000,27832000000,27422000000,27411000000,28808000000,30584000000,29932000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59000000,36000000,29000000,43000000,45000000,46000000,48000000,52000000,51000000,51000000,47000000,49000000,73000000,75000000,67000000,72000000,94000000,90000000,191000000,212000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5987100000,4321300000,4811400000,4981900000,6012200000,17526000000,12793000000,11548000000,10752000000,9710000000,11175000000,13065000000,15215000000,19256000000,21295000000,25833000000,27848000000,29375000000,28478000000,30063000000,28547000000,27899000000,27494000000,27505000000,28898000000,30775000000,30144000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/24741/000002474196000017/0000024741-96-000017-index.html,https://www.sec.gov/Archives/edgar/data/24741/000095014697000367/0000950146-97-000367-index.html,https://www.sec.gov/Archives/edgar/data/24741/000095014698000390/0000950146-98-000390-index.html,https://www.sec.gov/Archives/edgar/data/24741/000095014699000306/0000950146-99-000306-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/24741/000002474102000014/0000024741-02-000014-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/24741/000120677407000512/corning_10k.htm,https://www.sec.gov/Archives/edgar/data/24741/000119312508031868/d10k.htm,https://www.sec.gov/Archives/edgar/data/24741/000119312509035649/0001193125-09-035649-index.html,https://www.sec.gov/Archives/edgar/data/24741/000119312510027165/0001193125-10-027165-index.html,https://www.sec.gov/Archives/edgar/data/24741/000119312511030621/d10k.htm,https://www.sec.gov/Archives/edgar/data/24741/000119312512056163/0001193125-12-056163-index.html,https://www.sec.gov/Archives/edgar/data/24741/000130817913000024/0001308179-13-000024-index.html,https://www.sec.gov/Archives/edgar/data/24741/000130817914000032/lglw2013_10k.htm,https://www.sec.gov/Archives/edgar/data/24741/000002474115000015/form10k2014.htm,https://www.sec.gov/Archives/edgar/data/24741/000002474116000077/0000024741-16-000077-index.html,https://www.sec.gov/Archives/edgar/data/24741/000002474117000011/0000024741-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/24741/000002474118000010/0000024741-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/24741/000002474119000016/0000024741-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/24741/000002474120000014/0000024741-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/24741/000156276221000023/0001562762-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/24741/000143774922003247/0001437749-22-003247-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,259400000,289100000,311200000,-12600000,-15200000,- -,-50800000,175600000,439800000,394000000,481700000,423000000,-5498000000,-1302000000,-223000000,-2165000000,585000000,1855000000,2150000000,5257000000,2008000000,3558000000,2805000000,1728000000,1961000000,2472000000,1339000000,3695000000,-497000000,1066000000,960000000,512000000,1906000000
74,Depreciation and Amortization,- -,- -,- -,- -,171300000,211200000,231300000,248200000,280400000,- -,377400000,288100000,321600000,298000000,380700000,520000000,1080000000,661000000,517000000,523000000,512000000,591000000,607000000,695000000,792000000,854000000,957000000,997000000,1002000000,1200000000,1184000000,1195000000,1158000000,1293000000,1503000000,1520000000,1481000000
