,https://roic.ai/company/CIG,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
22,Income Tax expense (Gain),32000000,78000000,26000000,607000000,731000000,300000000,497000000,685000000,755000000,807000000,564000000,941000000,1063000000,950000000,1342000000,893000000,33000000,644000000,599000000,1565000000,936000000
23,Net Income,366000000,-719000000,-12000000,1396000000,1739000000,1809000000,702000000,1618000000,1753000000,1768000000,2258000000,2415000000,4272000000,3104000000,3137000000,2469000000,334000000,1001000000,1742000000,3127000000,2864000000
24,Net Income ratio,0.0974,-0.1436,-0.0025,0.2314,0.2272,0.2408,0.0813,0.1716,0.1784,0.1182,0.1755,0.1527,0.2314,0.2122,0.1605,0.1160,0.0178,0.0461,0.0782,0.1232,0.1135
25,EPS,0.25,-0.51,-0.01,0.97,0.00,0.00,0.48,1.11,1.18,1.38,1.67,1.65,2.92,1.97,2.15,0.00,0.22,0.59,1.00,1.84,1.52
26,EPS Diluted,0.25,-0.51,-0.01,0.97,0.00,0.00,0.47,1.09,1.17,1.38,1.67,1.65,2.92,1.97,2.15,0.00,0.22,0.59,1.00,1.84,1.52
27,Weighted Average Shares Outstanding,1433649232,1405269243,1423848740,1433141649,1433147758,1462097343,1460635246,1460635246,1490193261,1461300532,1348560233,1461298051,1460675086,1502934403,1460648736,1502905589,1502905589,1692711119,1693362016,1692711119,1887320482
28,Weighted Average Shares Outstanding Diluted,1433649232,1405269243,1423848740,1433141649,1433147758,1474666578,1492426258,1490193320,1498557327,1461300532,1348560233,1461298051,1460675086,1502934403,1460648736,1502905589,1502905589,1692711119,1693362016,1692711119,1887320482
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1157557/000104746904022325/0001047469-04-022325-index.htm,https://www.sec.gov/Archives/edgar/data/1157557/000110465905025383/0001104659-05-025383-index.htm,https://www.sec.gov/Archives/edgar/data/1157557/000110465906044804/0001104659-06-044804-index.htm,https://www.sec.gov/Archives/edgar/data/1157557/000110465907055452/0001104659-07-055452-index.htm,https://www.sec.gov/Archives/edgar/data/1157557/000110465908043097/0001104659-08-043097-index.htm,https://www.sec.gov/Archives/edgar/data/1157557/000110465909039169/0001104659-09-039169-index.htm,https://www.sec.gov/Archives/edgar/data/1157557/000110465910036507/0001104659-10-036507-index.htm,https://www.sec.gov/Archives/edgar/data/1157557/000110465911037199/0001104659-11-037199-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1157557/000110465913034626/0001104659-13-034626-index.htm,https://www.sec.gov/Archives/edgar/data/1157557/000110465914032455/0001104659-14-032455-index.htm,https://www.sec.gov/Archives/edgar/data/1157557/000119312515154286/0001193125-15-154286-index.htm,https://www.sec.gov/Archives/edgar/data/1157557/000119312516766864/0001193125-16-766864-index.htm,https://www.sec.gov/Archives/edgar/data/1157557/000119312517172209/0001193125-17-172209-index.htm,https://www.sec.gov/Archives/edgar/data/1157557/000119312518156222/0001193125-18-156222-index.htm,https://www.sec.gov/Archives/edgar/data/1157557/000119312519149650/0001193125-19-149650-index.htm,https://www.sec.gov/Archives/edgar/data/1157557/000129281420002008/0001292814-20-002008-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,2862000000,123000000,440000000,874000000,1349000000,1108000000,1784000000,1969000000,3904000000,2980000000,2862000000,2486000000,2202000000,887000000,925000000,995000000,1030000000,891000000,536000000,1680000000
32,Short-Term Investments,- -,177000000,- -,- -,- -,- -,- -,- -,- -,- -,322000000,359000000,2599000000,935000000,1842000000,3301000000,1744000000,1906000000,1775000000,1820000000,3618000000
33,Cash and Short-Term Investments,- -,3039000000,123000000,440000000,874000000,1349000000,1108000000,1784000000,1969000000,3904000000,3302000000,3221000000,5085000000,3137000000,2729000000,4226000000,2739000000,2936000000,2666000000,2356000000,5298000000
34,Net Receivables,- -,- -,983000000,1236000000,1220000000,1619000000,2247000000,2831000000,2902000000,3162000000,3127000000,3125000000,5392000000,2659000000,2724000000,4124000000,4400000000,4715000000,4854000000,5602000000,7746000000
35,Inventory,- -,54000000,- -,22000000,19000000,25000000,29000000,35000000,27000000,35000000,41000000,54000000,68000000,38000000,40000000,37000000,49000000,38000000,36000000,39000000,- -
36,Other Current Assets,- -,5439000000,605000000,932000000,1253000000,1785000000,1469000000,1285000000,1318000000,777000000,1614000000,2132000000,1445000000,835000000,1061000000,990000000,1098000000,848000000,20240000000,2141000000,2412000000
37,Total Current Assets,- -,8532000000,1711000000,2630000000,3366000000,4778000000,4853000000,5935000000,6216000000,7878000000,8084000000,8532000000,11990000000,6669000000,6554000000,9377000000,8286000000,8537000000,27796000000,10138000000,15456000000
38,PP&E,- -,8662000000,10148000000,10141000000,11191000000,11971000000,13665000000,13602000000,13733000000,13863000000,8229000000,8662000000,8810000000,5818000000,5544000000,3940000000,3775000000,2762000000,2662000000,2727000000,2619000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,5261000000,- -,- -,- -,- -,- -,233000000,278000000,251000000,4804000000,5261000000,4473000000,2004000000,3379000000,10275000000,10820000000,11156000000,10777000000,11624000000,11810000000
41,Intangible Assets,- -,5261000000,- -,- -,- -,- -,- -,233000000,278000000,251000000,4804000000,5261000000,4473000000,2004000000,3379000000,10275000000,10820000000,11156000000,10777000000,11624000000,11810000000
42,Investments,- -,- -,596000000,788000000,128000000,136000000,523000000,869000000,1203000000,3329000000,24000000,177000000,11554000000,12092000000,15532000000,12489000000,13755000000,14427000000,10271000000,5413000000,6180000000
43,Tax Assets,- -,- -,- -,175000000,141000000,216000000,- -,452000000,435000000,543000000,1801000000,2036000000,1452000000,1221000000,1246000000,1498000000,1797000000,1871000000,2147000000,2430000000,2453000000
44,Other Non-Current Assets,- -,- -,2711000000,3385000000,4426000000,4245000000,4447000000,3262000000,2916000000,2697000000,10613000000,12690000000,2494000000,2010000000,2745000000,3278000000,3603000000,3487000000,6202000000,17594000000,15565000000
45,Total Non-Current Assets,- -,13923000000,13455000000,14489000000,15886000000,16568000000,18635000000,18418000000,18565000000,20683000000,25471000000,28826000000,28783000000,23145000000,28446000000,31480000000,33750000000,33703000000,32059000000,39788000000,38627000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,22455000000,15166000000,17119000000,19252000000,21346000000,23488000000,24353000000,24781000000,28561000000,33555000000,37358000000,40773000000,29814000000,35000000000,40857000000,42036000000,42240000000,59855000000,49926000000,54083000000
48,Accounts Payable,- -,- -,1275000000,618000000,894000000,734000000,768000000,784000000,719000000,668000000,1121000000,1190000000,1735000000,1066000000,1604000000,1901000000,1940000000,2343000000,1801000000,2080000000,2358000000
49,Short-Term Debt,- -,- -,946000000,1660000000,1417000000,985000000,691000000,941000000,1197000000,3913000000,2203000000,7821000000,7106000000,2238000000,5291000000,6300000000,4837000000,2371000000,2198000000,2832000000,2107000000
50,Tax Payable,- -,- -,151000000,321000000,646000000,401000000,501000000,559000000,471000000,451000000,540000000,646000000,696000000,534000000,598000000,751000000,821000000,820000000,522000000,493000000,1094000000
51,Deferred Revenue,- -,2036000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,181000000,233000000,79000000,- -,- -
52,Other Current Liabilities,- -,4497000000,641000000,1066000000,1482000000,3219000000,2932000000,2788000000,2973000000,2804000000,3078000000,3159000000,5466000000,2618000000,3228000000,4873000000,4489000000,3716000000,19316000000,3001000000,5225000000
53,Total Current Liabilities,- -,6533000000,2862000000,3344000000,3793000000,4938000000,4391000000,4513000000,4889000000,7385000000,6402000000,12170000000,14307000000,5922000000,10123000000,13074000000,11447000000,8663000000,23394000000,7913000000,9690000000
54,Long-Term Debt,- -,- -,2593000000,2331000000,2750000000,3841000000,5833000000,5873000000,5314000000,5364000000,11024000000,7958000000,9064000000,7219000000,8218000000,8867000000,10342000000,12027000000,12574000000,12233000000,13140000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,948000000,- -,611000000,689000000,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,4000000,798000000,874000000,730000000,238000000,162000000,148000000,216000000,1065000000,1234000000,948000000,256000000,611000000,689000000,582000000,735000000,728000000,661000000,1040000000
57,Other Non-Current Liabilities,- -,7218000000,2238000000,2095000000,2605000000,2566000000,4637000000,5581000000,5097000000,5173000000,3587000000,4251000000,3462000000,3779000000,4152000000,4550000000,6731000000,6485000000,7220000000,13228000000,12735000000
58,Total Non-Current Liabilities,- -,7218000000,4835000000,5224000000,6229000000,7137000000,10708000000,11616000000,10559000000,10753000000,15676000000,13443000000,14422000000,11254000000,13592000000,14795000000,17655000000,19247000000,20522000000,26122000000,26915000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,3539000000,- -,- -,- -,- -,- -,- -,- -,- -,226427000,770841000,- -,- -,- -,- -,- -,- -,288000000,227000000
61,Total Liabilities,- -,685000000,7697000000,8568000000,10022000000,12075000000,15099000000,16129000000,15448000000,18138000000,22078000000,25613000000,28729000000,17176000000,23715000000,27869000000,29102000000,27910000000,43916000000,34035000000,36605000000
62,Preferred Stock,- -,- -,804000000,804000000,804000000,804000000,804000000,1258000000,1286000000,1635000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,624000000,624000000,624000000,624000000,624000000,981000000,1002000000,1273000000,3412000000,3412000000,4265000000,6294000000,6294000000,6294000000,6294000000,6294000000,7294000000,7294000000,7594000000
64,Retained Earnings,- -,- -,2837000000,3983000000,5142000000,5160000000,4382000000,3825000000,4586000000,4803000000,- -,3293000000,2856000000,3840000000,2594000000,4663000000,5200000000,5729000000,6362000000,8750000000,- -
65,Other Comprehensive Income/Loss,- -,- -,7000000,-57000000,-531000000,-506000000,-610000000,-1010000000,-711000000,-458000000,1210000000,1081000000,6814000000,5494000000,4207000000,5970000000,6636000000,6178000000,6674000000,8007000000,9880000000
66,Other Total Stockholders Equity,- -,- -,3170000000,3170000000,3170000000,3170000000,3170000000,3170000000,3170000000,3170000000,6855000000,3959000000,-1891000000,-2990000000,-1814000000,-3943000000,-5200000000,-3875000000,-5751000000,-8164000000,- -
67,Total Stockholders Equity,- -,- -,7442000000,8524000000,9209000000,9252000000,8370000000,8224000000,9333000000,10423000000,11477000000,11745000000,12044000000,12638000000,11281000000,12984000000,12930000000,14326000000,14579000000,15887000000,17474000000
68,Total Liabilities And Stockholders Equity,- -,37358000000,15139000000,17092000000,19231000000,21327000000,23469000000,24353000000,24781000000,28561000000,33555000000,37358000000,40773000000,29814000000,34996000000,40853000000,42032000000,42236000000,58495000000,49922000000,54079000000
69,Minority Interest,- -,-14903000000,27000000,27000000,21000000,19000000,19000000,- -,- -,- -,- -,- -,- -,- -,4000000,4000000,4000000,4000000,1360000000,4000000,4000000
70,Total Liabilities & Equity,- -,22455000000,15166000000,17119000000,19252000000,21346000000,23488000000,24353000000,24781000000,28561000000,33555000000,37358000000,40773000000,29814000000,35000000000,40857000000,42036000000,42240000000,59855000000,49926000000,54083000000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1157557/000104746904022325/0001047469-04-022325-index.htm,https://www.sec.gov/Archives/edgar/data/1157557/000110465905025383/0001104659-05-025383-index.htm,https://www.sec.gov/Archives/edgar/data/1157557/000110465906044804/0001104659-06-044804-index.htm,https://www.sec.gov/Archives/edgar/data/1157557/000110465907055452/0001104659-07-055452-index.htm,https://www.sec.gov/Archives/edgar/data/1157557/000110465908043097/0001104659-08-043097-index.htm,https://www.sec.gov/Archives/edgar/data/1157557/000110465909039169/0001104659-09-039169-index.htm,https://www.sec.gov/Archives/edgar/data/1157557/000110465910036507/0001104659-10-036507-index.htm,https://www.sec.gov/Archives/edgar/data/1157557/000110465911037199/0001104659-11-037199-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1157557/000110465913034626/0001104659-13-034626-index.htm,https://www.sec.gov/Archives/edgar/data/1157557/000110465914032455/0001104659-14-032455-index.htm,https://www.sec.gov/Archives/edgar/data/1157557/000119312515154286/0001193125-15-154286-index.htm,https://www.sec.gov/Archives/edgar/data/1157557/000119312516766864/0001193125-16-766864-index.htm,https://www.sec.gov/Archives/edgar/data/1157557/000119312517172209/0001193125-17-172209-index.htm,https://www.sec.gov/Archives/edgar/data/1157557/000119312518156222/0001193125-18-156222-index.htm,https://www.sec.gov/Archives/edgar/data/1157557/000119312519149650/0001193125-19-149650-index.htm,https://www.sec.gov/Archives/edgar/data/1157557/000129281420002008/0001292814-20-002008-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,366000000,-719000000,-12000000,1396000000,1739000000,1809000000,702000000,1618000000,1753000000,1768000000,2258000000,2415000000,4272000000,3104000000,3137000000,2469000000,334000000,1001000000,1742000000,3127000000,2864000000
74,Depreciation and Amortization,583000000,641000000,666000000,686000000,677000000,669000000,810000000,878000000,769000000,711000000,896000000,1025000000,1001000000,-349000000,-302000000,-262000000,-256000000,-257000000,-215000000,958000000,989000000
75,Deferred Income Tax,-30000000,- -,-161000000,383000000,188000000,- -,- -,- -,- -,-23000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,111000000,252000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,508000000,-58000000,- -
77,Change in Working Capital,-165000000,- -,116000000,-1169000000,558000000,636000000,442000000,1016000000,628000000,4322000000,-6750000000,761000000,-8669000000,4479000000,-376000000,-69000000,-566000000,904000000,2222000000,947000000,5257000000
78,Accounts Receivable,-197000000,- -,-410000000,117000000,146000000,77000000,- -,- -,- -,205000000,- -,173000000,1498000000,2466000000,- -,- -,- -,- -,- -,-666000000,-78000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,36000000,- -,-723000000,-100928000,88749000,-102000000,-41000000,-90000000,-51000000,- -,68839000,549000000,-239000000,472000000,297000000,38000000,403000000,-553000000,279000000,278000000
81,Other Working Capital,-54000000,1999000000,-123000000,830000000,1388000000,2024000000,2466000000,3482000000,4110000000,8432000000,1682000000,337000000,-6987000000,-2508000000,-2884000000,-2953000000,-3519000000,-2615000000,-393000000,554000000,1171000000
82,Other Non-Cash Items,77000000,78000000,123000000,-638000000,-1624000000,-3114000000,-550000000,-2113000000,-1869000000,-3459000000,3596000000,-303000000,3396000000,-7234000000,-2459000000,-2138000000,488000000,-1648000000,-4257000000,112000000,-755000000
83,Cash Provided by Operating Activities,831000000,- -,732000000,658000000,1538000000,- -,1404000000,1399000000,1281000000,3319000000,- -,3898000000,- -,- -,- -,- -,- -,- -,- -,5197000000,8607000000
84,CAPEX,-406000000,-924000000,-636000000,-782000000,-1061000000,-1511000000,- -,- -,- -,-851000000,-347000000,-2776000000,-598000000,- -,- -,- -,- -,- -,- -,- -,-173000000
85,Acquisitions Net,- -,-223000000,- -,-251000000,-1070368000,- -,- -,- -,- -,- -,- -,- -,307000000,-449000000,-2870000000,-310000000,- -,-38000000,-38000000,- -,27000000
86,Purchases of Investments,-117000000,- -,-336000000,- -,- -,- -,- -,- -,- -,- -,- -,-214000000,- -,- -,- -,- -,- -,- -,- -,- -,-3368000000
87,Sales/Maturities of Investments,- -,- -,426000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-2869000000,- -,181000000,1214368000,-32000000,46000000,561000000,365000000,-2326000000,- -,-2878000000,-1809000000,- -,- -,- -,- -,- -,- -,- -,-1603000000
89,Cash Used for Investing Activites,-523000000,-4016000000,-546000000,-852000000,-917000000,-1543000000,-566000000,-17000000,-176000000,-3177000000,- -,-4016000000,-2100000000,- -,- -,- -,- -,- -,- -,- -,-5076000000
90,Debt Repayment,-282000000,- -,-597000000,169000000,225000000,735000000,9000000,50000000,84000000,731000000,- -,-2219000000,- -,- -,- -,- -,- -,- -,- -,- -,-2615000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-196000000,-2035000000,-214000000,-200000000,-309000000,-491000000,-2072000000,-1360000000,-870000000,-937000000,-1829000000,-2035000000,-1748000000,-4600000000,-3918000000,-796000000,-675000000,- -,- -,-73000000,- -
94,Other Financing Activites,320000000,2036000000,530000000,542000000,-103000000,-38000000,948000000,-73000000,-84000000,1999000000,1452000000,4255000000,357000000,- -,- -,- -,- -,- -,- -,- -,228000000
95,Cash Used/Provided by Financing Activities,-158000000,1000000,-281000000,511000000,-187000000,206000000,-1115000000,-1383000000,-870000000,1793000000,-377000000,1000000,-1391000000,- -,- -,- -,- -,- -,- -,- -,-2387000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,150000000,- -,-95000000,317000000,434000000,433000000,-277000000,-2000000,235000000,1935000000,- -,-118000000,- -,- -,- -,- -,- -,- -,- -,- -,1144000000
98,Cash at the End of Period,236000000,- -,123000000,- -,- -,- -,- -,- -,- -,- -,- -,2862000000,- -,- -,- -,- -,- -,- -,- -,- -,1680000000
99,Cash at the Beginning of Period,86000000,- -,218000000,- -,- -,- -,- -,- -,- -,- -,- -,2980000000,- -,- -,- -,- -,- -,- -,- -,- -,536000000
100,Free Cash Flow,425000000,-924000000,96000000,-124000000,477000000,-1511000000,1404000000,1399000000,1281000000,2468000000,-347000000,1122000000,-598000000,- -,- -,- -,- -,- -,- -,5197000000,8434000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1157557/000104746904022325/0001047469-04-022325-index.htm,https://www.sec.gov/Archives/edgar/data/1157557/000110465905025383/0001104659-05-025383-index.htm,https://www.sec.gov/Archives/edgar/data/1157557/000110465906044804/0001104659-06-044804-index.htm,https://www.sec.gov/Archives/edgar/data/1157557/000110465907055452/0001104659-07-055452-index.htm,https://www.sec.gov/Archives/edgar/data/1157557/000110465908043097/0001104659-08-043097-index.htm,https://www.sec.gov/Archives/edgar/data/1157557/000110465909039169/0001104659-09-039169-index.htm,https://www.sec.gov/Archives/edgar/data/1157557/000110465910036507/0001104659-10-036507-index.htm,https://www.sec.gov/Archives/edgar/data/1157557/000110465911037199/0001104659-11-037199-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1157557/000110465913034626/0001104659-13-034626-index.htm,https://www.sec.gov/Archives/edgar/data/1157557/000110465914032455/0001104659-14-032455-index.htm,https://www.sec.gov/Archives/edgar/data/1157557/000119312515154286/0001193125-15-154286-index.htm,https://www.sec.gov/Archives/edgar/data/1157557/000119312516766864/0001193125-16-766864-index.htm,https://www.sec.gov/Archives/edgar/data/1157557/000119312517172209/0001193125-17-172209-index.htm,https://www.sec.gov/Archives/edgar/data/1157557/000119312518156222/0001193125-18-156222-index.htm,https://www.sec.gov/Archives/edgar/data/1157557/000119312519149650/0001193125-19-149650-index.htm,https://www.sec.gov/Archives/edgar/data/1157557/000129281420002008/0001292814-20-002008-index.htm,- -
102,Forex Rate,0.5128,0.4327,0.2825,0.3458,0.3765,0.4277,0.4681,0.5618,0.432,0.5737,0.6025,0.5366,0.4879,0.4233,0.3762,0.2524,0.3071,0.3019,0.2576,0.2488,0.1925
