,https://roic.ai/company/DSEY,2018,2019,2020,2021
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1831617/000162828022005909/0001628280-22-005909-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-239100000,-109000000,-38500000,-174800000
74,Depreciation and Amortization,172100000,185500000,195600000,187500000
75,Deferred Income Tax,-25300000,-29600000,-28800000,-25300000
76,Stock Based Compensation,- -,3000000,67500000,81700000
77,Change in Working Capital,-17100000,-54200000,-101900000,-223400000
78,Accounts Receivable,1000000,-83000000,17000000,-126800000
79,Inventory,-21300000,12700000,-70400000,-69600000
80,Accounts Payable,29900000,- -,-33500000,41800000
81,Other Working Capital,-26700000,16100000,-15000000,-68800000
82,Other Non-Cash Items,111800000,26100000,9100000,65600000
83,Cash Provided by Operating Activities,2400000,21800000,103000000,-88700000
84,CAPEX,-127400000,-128700000,-87000000,-122200000
85,Acquisitions Net,-112200000,- -,-51200000,-56300000
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,-31700000,48800000,26000000,-13500000
89,Cash Used for Investing Activites,-227100000,-44600000,-70800000,-134400000
90,Debt Repayment,-182500000,-269000000,-233300000,-2816400000
91,Common Stock Issued,- -,- -,- -,940100000
92,Common Stock Repurchased,- -,-4500000,- -,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,194700000,347400000,256900000,2113500000
95,Cash Used/Provided by Financing Activities,12200000,73900000,23600000,237200000
96,Effect of Forex Changes on Cash,-6700000,700000,3600000,-7600000
97,Net Change In Cash,-219200000,51800000,59400000,6500000
98,Cash at the End of Period,90500000,142300000,201700000,208200000
99,Cash at the Beginning of Period,309700000,90500000,142300000,201700000
100,Free Cash Flow,-125000000,-106900000,16000000,-210900000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1831617/000162828022005909/0001628280-22-005909-index.htm
102,false,,,,
