,https://roic.ai/company/ENIC,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
37,Total Current Assets,614262462000,754718186000,842863498000,848991835000,866526937000,1059341785000,996947772000,1018212660000,1026401196000,1268253000000
38,PP&E,2810746294000,2880470635000,3283760776000,3429167797000,3476128634000,3585687137000,5308647633000,5360319624000,5088998664000,- -
39,Goodwill,867053404000,867053404000,887257655000,887257655000,887257655000,887257655000,915044725000,917352974000,923249210000,- -
40,Intangible Assets,37962229000,37570805000,36525522000,42879326000,44470750000,55170904000,115372393000,132278593000,165114521000,- -
41,Intangible Assets,905015633000,904624209000,923783177000,930136981000,931728405000,942428559000,1030417118000,1049631567000,1088363731000,- -
42,Investments,181119862000,217208784000,43398157000,48750360000,22032551000,15335722000,15915571000,10277811000,15319283000,- -
43,Tax Assets,18044936000,11251547000,12965095000,22392339000,21796517000,2837792000,19171230000,21848239000,108013945000,- -
44,Other Non-Current Assets,89241528000,52118860000,19964042000,46029558000,80497968000,89142013000,116920840000,397698263000,577374765000,8232071000000
45,Total Non-Current Assets,4004168253000,4065674035000,4283871247000,4476477035000,4532184075000,4635431223000,6491072392000,6839775504000,6878070388000,8232071000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,4618430715000,4820392221000,5126734745000,5325468870000,5398711012000,5694773008000,7488020164000,7857988164000,7904471584000,9500324000000
48,Accounts Payable,235879020000,290876588000,381026633000,435495477000,389670385000,356201755000,466123261000,517488994000,326437030000,- -
49,Short-Term Debt,217822785000,123125951000,143170408000,18446637000,18013114000,17255692000,329262093000,164404334000,159084703000,- -
50,Tax Payable,31300666000,59433519000,61125168000,37296975000,95577833000,110442374000,19420523000,18040339000,112477085000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,179220572000,514127932000,395886654000,399620140000,349563148000,443359199000,422078798000,359406524000,559958432000,2132326000000
53,Total Current Liabilities,632922377000,928130471000,920083695000,853562254000,757246647000,816816646000,1217464152000,1041299852000,1045480165000,2132326000000
54,Long-Term Debt,646439270000,574924355000,743672174000,826380628000,802046968000,760932929000,1703044158000,1714837545000,1512279462000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,187311744000,176901221000,255222666000,235101356000,199364794000,172223681000,278080054000,249284641000,168057562000,- -
57,Other Non-Current Liabilities,88439855000,74652185000,123690419000,208523849000,177058961000,157838095000,615268019000,1105282474000,1584379896000,4021505000000
58,Total Non-Current Liabilities,922190869000,826477761000,1122585259000,1270005833000,1178470723000,1090994705000,2596392231000,3069404660000,3264716920000,4021505000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,17245190000,17728472000,19123466000,20661533000,17749647000,14608914000,14476450000,53407689000,51865518000,- -
61,Total Liabilities,1555113246000,1754608232000,2042668954000,2123568087000,1935717370000,1907811351000,3813856383000,4110704512000,4310197085000,6153831000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1145822006000,2238169268000,2229108975000,2229108975000,2229108975000,2229108975000,3954491479000,3882103470000,3882103470000,- -
64,Retained Earnings,929854899000,1080532977000,1171971677000,1322162479000,1569375291000,1751605583000,1914797613000,2008103651000,1747437805000,- -
65,Other Comprehensive Income/Loss,382088337000,-879864877000,-928879218000,-958589952000,-1035092978000,-997330548000,-2375672564000,-2405509135000,-2277625485000,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,-72388009000,- -,- -,- -
67,Total Stockholders Equity,2457765242000,2438837368000,2472201434000,2592681502000,2763391288000,2983384010000,3421228519000,3484697986000,3351915790000,3097868000000
68,Total Liabilities And Stockholders Equity,4012878488000,4193445600000,4514870388000,4716249589000,4699108658000,4891195361000,7235084902000,7595402498000,7662112875000,9251699000000
69,Minority Interest,605552227000,626946621000,611864357000,609219281000,699602354000,803577647000,252935262000,262585666000,242358709000,248625000000
70,Total Liabilities & Equity,4618430715000,4820392221000,5126734745000,5325468870000,5398711012000,5694773008000,7488020164000,7857988164000,7904471584000,9500324000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,- -,229526660000,162459039000,251838410000,384159865000,349382642000,361709937000,296153605000,-50860313000,85154000000
74,Depreciation and Amortization,- -,119507118000,128437154000,153201662000,161660610000,152684106000,215187300000,236627387000,229957000000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,93926753000,-290896193000,-405040072000,-545820475000,-502066748000,-576897237000,-532780992000,-179096687000,-85154000000
83,Cash Provided by Operating Activities,- -,442960531000,- -,- -,- -,- -,- -,- -,- -,- -
84,CAPEX,- -,-128239374000,-193980458000,-309503337000,-222385600000,-266029921000,-300538836000,-321078518000,-554314215000,- -
85,Acquisitions Net,- -,-5084700000,-108192000,4089653000,-2342997000,-1943100000,-1624326739000,- -,- -,- -
86,Purchases of Investments,- -,-134614000,-33258984000,-6143222000,-8044017000,-7808837000,-1475713000,-7681719000,-6030545000,- -
87,Sales/Maturities of Investments,- -,1214705000,22536125000,186522000,138669905000,116417911000,352734000,2737887000,22229000,- -
88,Other Investing Activites,- -,26118925000,16073038000,14629037000,30614117000,12898170000,44428860000,-6241617000,-33835809000,-736555000000
89,Cash Used for Investing Activites,- -,-106125058000,-188738471000,-296741347000,-63488592000,-146465777000,-1881559694000,-311531811000,-554651390000,-736555000000
90,Debt Repayment,- -,-212530770000,-117659358000,-142318377000,-139596278000,-8126720000,-821415614000,-319821666000,-155818829000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,665829207000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-72388009000,- -,- -,- -
93,Dividends Paid,- -,-101334995000,-161129816000,-134692408000,-322805225000,-260803055000,-231392743000,-236478649000,-312714789000,- -
94,Other Financing Activites,- -,97454700000,119644693000,3568335000,16534531000,-48665746000,1425944035000,115864627000,340864284000,293232000000
95,Cash Used/Provided by Financing Activities,- -,-216411065000,-159144481000,-273442450000,-445866972000,-317595521000,966576876000,-440435688000,-127669334000,293232000000
96,Effect of Forex Changes on Cash,- -,388929000,1044602000,4898486000,-3591945000,1904412000,5173194000,-1231644000,22806039000,- -
97,Net Change In Cash,- -,120813337000,-81891468000,11246216000,101737347000,173456834000,-174284102000,-9487424000,96351513000,293232000000
98,Cash at the End of Period,- -,214907097000,133015629000,144261845000,245999192000,419456026000,245171924000,235684500000,332036013000,- -
99,Cash at the Beginning of Period,- -,94093760000,214907097000,133015629000,144261845000,245999192000,419456026000,245171924000,235684500000,- -
100,Free Cash Flow,- -,314721157000,70966423000,267028190000,392299256000,369583799000,434986686000,422633201000,201551983000,412893000000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,undefined,0.001903,0.001646,0.00141,0.001492,0.001623,0.001439,0.001329,0.001406,0.001172
