,https://roic.ai/company/SCWX,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
19,Total Other Income Expenses (Gains),-188000,-175000,-142000,-6569000,12564000,10329000,2778000,850000,1034000,-3532000
20,Income Before Tax,-62347000,-68423000,-61235000,-112577000,-53389000,-72716000,-45954000,-51324000,-31801000,-55906000
21,Income Before Tax Ratio,-0.3608,-0.3324,-0.2336,-0.3316,-0.1234,-0.1554,-0.0886,-0.0928,-0.0567,-0.1045
22,Income Tax expense (Gain),-20800000,-23908000,-22745000,-40196000,-25264000,-57703000,-6853000,-19658000,-9899000,-16115000
23,Net Income,-41547000,-44515000,-38490000,-72381000,-31641000,-10417000,-39101000,-31666000,-21902000,-39791000
24,Net Income ratio,-0.2404,-0.2163,-0.1468,-0.2132,-0.0731,-0.0223,-0.0754,-0.0573,-0.0390,-0.0743
25,EPS,-0.59,-0.63,-0.54,-0.97,-0.49,-0.35,-0.48,-0.39,-0.27,-0.49
26,EPS Diluted,-0.59,-0.63,-0.54,-0.97,-0.49,-0.35,-0.48,-0.39,-0.27,-0.49
27,Weighted Average Shares Outstanding,70983000,70983000,70983000,70983000,77635000,80280000,80710000,80563000,81358000,81358000
28,Weighted Average Shares Outstanding Diluted,70983000,70983000,70983000,70983000,77635000,80280000,80710000,80563000,81358000,81358000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1468666/000146866617000015/0001468666-17-000015-index.html,https://www.sec.gov/Archives/edgar/data/1468666/000146866618000011/0001468666-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1468666/000146866619000022/0001468666-19-000022-index.html,https://www.sec.gov/Archives/edgar/data/1468666/000146866620000019/0001468666-20-000019-index.html,https://www.sec.gov/Archives/edgar/data/1468666/000146866621000012/0001468666-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1468666/000146866622000011/0001468666-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,2426000,6669000,33422000,116595000,101539000,129592000,181838000,220300000,220655000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,2426000,6669000,33422000,116595000,101539000,129592000,181838000,220300000,220655000
34,Net Receivables,- -,47160000,70907000,116357000,138637000,157764000,148197000,121838000,108005000,86231000
35,Inventory,- -,980000,2370000,3549000,1947000,1030000,468000,746000,560000,505000
36,Other Current Assets,- -,29920000,43940000,26211000,22659000,40551000,20751000,17409000,17349000,26040000
37,Total Current Assets,- -,80486000,123886000,179539000,279838000,300884000,299008000,321831000,346214000,333431000
38,PP&E,- -,28320000,26247000,22766000,31153000,33457000,35978000,51069000,39473000,25867000
39,Goodwill,- -,406543000,406543000,416487000,416487000,416487000,416487000,416487000,425861000,425926000
40,Intangible Assets,- -,347767000,317958000,289657000,261921000,234184000,206448000,180052000,157820000,133732000
41,Intangible Assets,- -,754310000,724501000,706144000,678408000,650671000,622935000,596539000,583681000,559658000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,86491000,- -,54347000,1633000,2168000,- -
44,Other Non-Current Assets,- -,2357000,3797000,9336000,-80787000,72069000,23891000,76959000,73825000,68346000
45,Total Non-Current Assets,- -,784987000,754545000,738246000,715265000,756197000,737151000,726200000,699147000,653871000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,865473000,878431000,917785000,995103000,1057081000,1036159000,1048031000,1045361000,987302000
48,Accounts Payable,- -,14245000,19815000,22126000,19922000,23266000,16177000,18690000,16769000,15062000
49,Short-Term Debt,- -,- -,- -,27993000,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,600000,800000,7285000,- -,- -,- -
51,Deferred Revenue,- -,47954000,82188000,109467000,119909000,139632000,157865000,175847000,168437000,163304000
52,Other Current Liabilities,- -,21061000,16064000,60407000,59704000,79690000,86495000,98855000,109134000,88122000
53,Total Current Liabilities,- -,83260000,118067000,219993000,199535000,242588000,260537000,293392000,294340000,266488000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,22461000,16869000
55,Deferred Revenue,- -,10999000,11040000,18352000,14752000,14948000,16064000,12690000,9590000,12764000
56,Deferred Tax Liabilities,- -,133909000,124994000,88290000,86491000,48732000,16064000,43321000,37403000,- -
57,Other Non-Current Liabilities,- -,2557000,2290000,2694000,2901000,19723000,50787000,31748000,13786000,43124000
58,Total Non-Current Liabilities,- -,147465000,138324000,109336000,104144000,83403000,82915000,87759000,83240000,72757000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,24669000,22461000,- -
61,Total Liabilities,- -,230725000,256391000,329329000,303679000,325991000,343452000,381151000,377580000,339245000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,700000,807000,811000,810000,812000,824000,843000
64,Retained Earnings,- -,- -,- -,-122646000,-160859000,-137162000,-176263000,-207929000,-229831000,-269622000
65,Other Comprehensive Income/Loss,- -,-2578000,-12778000,-22671000,-3000000,60000,-3000000,-3000000,-660000,-2672000
66,Other Total Stockholders Equity,- -,637326000,634818000,733073000,854476000,815440000,871160000,876997000,897448000,919508000
67,Total Stockholders Equity,- -,634748000,622040000,588456000,691424000,679149000,692707000,666880000,667781000,648057000
68,Total Liabilities And Stockholders Equity,- -,865473000,878431000,917785000,995103000,1005140000,1036159000,1048031000,1045361000,987302000
69,Minority Interest,- -,- -,- -,- -,- -,51941000,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,865473000,878431000,917785000,995103000,1057081000,1036159000,1048031000,1045361000,987302000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1468666/000146866617000015/0001468666-17-000015-index.html,https://www.sec.gov/Archives/edgar/data/1468666/000146866618000011/0001468666-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1468666/000146866619000022/0001468666-19-000022-index.html,https://www.sec.gov/Archives/edgar/data/1468666/000146866620000019/0001468666-20-000019-index.html,https://www.sec.gov/Archives/edgar/data/1468666/000146866621000012/0001468666-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1468666/000146866622000011/0001468666-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-41547000,-44515000,-38490000,-72381000,-31641000,-10417000,-39101000,-31666000,-21902000,-39791000
74,Depreciation and Amortization,31840000,37027000,41425000,40638000,39425000,42171000,41207000,42932000,41614000,40520000
75,Deferred Income Tax,-20800000,-23908000,-22745000,-40196000,- -,- -,- -,-19658000,-9899000,- -
76,Stock Based Compensation,5901000,4331000,785000,841000,8883000,13790000,19370000,19548000,24414000,30446000
77,Change in Working Capital,21169000,-7534000,8593000,-46273000,120757000,-22007000,-19825000,-10032000,23435000,15069000
78,Accounts Receivable,-13658000,-9741000,-24527000,-52443000,956000,-48540000,13750000,26789000,2557000,21221000
79,Inventory,-1656000,1779000,-1389000,-1179000,1610000,917000,562000,-278000,186000,55000
80,Accounts Payable,7243000,-4190000,5570000,2311000,2041000,3302000,-6117000,7008000,-1527000,-1623000
81,Other Working Capital,4760000,-2774000,5819000,-40454000,80303000,58296000,38471000,28439000,51874000,66943000
82,Other Non-Cash Items,5597000,25990000,12664000,107528000,-144262000,-22750000,55548000,77715000,2927000,-29507000
83,Cash Provided by Operating Activities,2160000,-8609000,2232000,-9843000,-6838000,787000,57199000,78839000,60589000,16737000
84,CAPEX,-20825000,-6201000,-9542000,-9023000,-19361000,-13819000,-10200000,-12590000,-3005000,-1928000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-15081000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-20825000,-6201000,-9542000,-9023000,- -,- -,- -,-12590000,-3005000,-8014000
89,Cash Used for Investing Activites,-20825000,-6201000,-9542000,-9023000,-19361000,-13819000,-10200000,-12590000,-18086000,-8014000
90,Debt Repayment,- -,- -,- -,- -,910000,800000,-2208000,- -,- -,-12502000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,99604000,- -,-13531000,-6377000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,18117000,11171000,11553000,45619000,8858000,-2824000,-3207000,-7626000,-4041000,4134000
95,Cash Used/Provided by Financing Activities,18117000,11171000,11553000,45619000,109372000,-2024000,-18946000,-14003000,-4041000,-8368000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,3393000
97,Net Change In Cash,-548000,-3639000,4243000,26753000,83173000,-15056000,28053000,52246000,38462000,355000
98,Cash at the End of Period,6065000,2426000,6669000,33422000,116595000,101539000,129592000,181838000,220300000,220655000
99,Cash at the Beginning of Period,6613000,6065000,2426000,6669000,33422000,116595000,101539000,129592000,181838000,220300000
100,Free Cash Flow,-18665000,-14810000,-7310000,-18866000,-26199000,-13032000,46999000,66249000,57584000,14809000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1468666/000146866617000015/0001468666-17-000015-index.html,https://www.sec.gov/Archives/edgar/data/1468666/000146866618000011/0001468666-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1468666/000146866619000022/0001468666-19-000022-index.html,https://www.sec.gov/Archives/edgar/data/1468666/000146866620000019/0001468666-20-000019-index.html,https://www.sec.gov/Archives/edgar/data/1468666/000146866621000012/0001468666-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1468666/000146866622000011/0001468666-22-000011-index.htm
102,false,,,,,,,,,,
