,https://roic.ai/company/RACE,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),- -,-17432000,4947000,-17315000,-21186000,-49164000,-33690000,-24093000,-43551000,-62920000,-31922000
20,Income Before Tax,- -,334599000,366400000,398233000,434169000,567353000,746156000,802944000,875364000,667035000,1042231000
21,Income Before Tax Ratio,- -,0.1504,0.1569,0.1442,0.1521,0.1827,0.2184,0.2348,0.2324,0.1928,0.2440
22,Income Tax expense (Gain),- -,101109000,120301000,133218000,144115000,167635000,208760000,16317000,176656000,58155000,209095000
23,Net Income,- -,225403000,240774000,261371000,287816000,398762000,535393000,784678000,695818000,607817000,830767000
24,Net Income ratio,- -,0.1013,0.1031,0.0946,0.1008,0.1284,0.1567,0.2294,0.1847,0.1757,0.1945
25,EPS,- -,1.19,1.27,1.38,1.52,2.11,2.83,4.16,3.73,3.29,4.50
26,EPS Diluted,- -,1.19,1.27,1.38,1.52,2.11,2.82,4.14,3.71,3.28,4.50
27,Weighted Average Shares Outstanding,- -,188921600,188923000,188921600,188922000,188923000,188951000,188606000,186767000,184806000,184806000
28,Weighted Average Shares Outstanding Diluted,- -,188921600,188923000,188921600,188922000,188946000,189759000,189394000,187535000,185379000,184806000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,113786000,134278000,182753000,457784000,647706000,793664000,897946000,1362406000,1344146000
32,Short-Term Investments,- -,- -,- -,- -,8626000,5888000,3997000,3386000,1986000,1448000,1935000
33,Cash and Short-Term Investments,- -,- -,113786000,134278000,191379000,463672000,651703000,797050000,899932000,1363854000,1346081000
34,Net Receivables,- -,- -,1099771000,1448070000,1372988000,1056852000,994929000,1245860000,1267684000,1167925000,1404552000
35,Inventory,- -,- -,237496000,296005000,295436000,323998000,393765000,391064000,420051000,460617000,540575000
36,Other Current Assets,- -,- -,767809000,966302000,160020000,42931000,40680000,43352000,53534000,83487000,72511000
37,Total Current Assets,- -,- -,2218862000,2844655000,2019823000,1887453000,2081077000,2477326000,2641201000,3075883000,3363719000
38,PP&E,- -,- -,567814000,585185000,626130000,669283000,710260000,850550000,1069652000,1226630000,1353165000
39,Goodwill,- -,- -,787178000,787178000,787178000,785182000,785182000,785182000,785182000,785182000,785182000
40,Intangible Assets,- -,- -,242167000,265262000,307810000,354394000,440456000,645797000,837938000,979290000,1138173000
41,Intangible Assets,- -,- -,1029345000,1052440000,1094988000,1139576000,1225638000,1430979000,1623120000,1764472000,1923355000
42,Investments,- -,- -,1271000,1320000,978000,21968000,30038000,32134000,38716000,42841000,54509000
43,Tax Assets,- -,- -,41543000,111716000,122622000,119357000,94091000,60744000,73683000,152221000,168757000
44,Other Non-Current Assets,- -,- -,36640000,46111000,10858000,11967000,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,1676613000,1796772000,1855576000,1962151000,2060027000,2374407000,2805171000,3186164000,3499786000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,3895475000,4641427000,3875399000,3849604000,4141104000,4851733000,5446372000,6262047000,6863505000
48,Accounts Payable,- -,- -,485948000,535707000,507499000,614888000,607505000,653751000,711539000,713807000,797832000
49,Short-Term Debt,- -,- -,296785000,491320000,919409000,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,103909000,109516000,125232000,41595000,29160000,7635000,7106000,15895000,112910000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,134937000,195140000,201746000,102998000,106184000,89043000,93071000,76683000,193697000
53,Total Current Liabilities,- -,- -,917670000,1222167000,1628654000,717886000,713689000,742794000,804610000,790490000,991529000
54,Long-Term Debt,- -,- -,20519000,18900000,1340981000,1848041000,1806181000,1927167000,2089737000,2724745000,2630011000
55,Deferred Revenue,- -,- -,194321000,234536000,268452000,273069000,274186000,271817000,275439000,270826000,256206000
56,Deferred Tax Liabilities,- -,- -,27958000,21612000,23345000,13111000,10977000,39142000,82208000,113474000,95973000
57,Other Non-Current Liabilities,- -,- -,418725000,665899000,633370000,667692000,552135000,516974000,707090000,573308000,678370000
58,Total Non-Current Liabilities,- -,- -,661523000,940947000,2266148000,2801913000,2643479000,2755100000,3154474000,3682353000,3660560000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,60496000,62290000,56210000
61,Total Liabilities,- -,- -,1579193000,2163114000,3894802000,3519799000,3357168000,3497894000,3959084000,4472843000,4652089000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,3778000,3778000,3778000,2504000,2504000,2504000,2573000,2573000,2573000
64,Retained Earnings,- -,- -,2242315000,2503614000,-12127000,302336000,746341000,1319478000,1452720000,1739380000,2192453000
65,Other Comprehensive Income/Loss,- -,- -,43413000,-37774000,-16774000,20155000,29833000,26740000,25997000,43233000,10872000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,- -,2289506000,2469618000,-25123000,324995000,778678000,1348722000,1481290000,1785186000,2205898000
68,Total Liabilities And Stockholders Equity,- -,- -,3868699000,4632732000,3869679000,3844794000,4135846000,4846616000,5440374000,6258029000,6857987000
69,Minority Interest,- -,- -,26776000,8695000,5720000,4810000,5258000,5117000,5998000,4018000,5518000
70,Total Liabilities & Equity,- -,- -,3895475000,4641427000,3875399000,3849604000,4141104000,4851733000,5446372000,6262047000,6863505000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,- -,225403000,240774000,261371000,287816000,398762000,535393000,784678000,695818000,607817000,830767000
74,Depreciation and Amortization,- -,237540000,270250000,288982000,274757000,247717000,260606000,288748000,351946000,426637000,455989000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,-53070000,-98506000,-239108000,63220000,395846000,-177821000,-127797000,59789000,-221415000,-159556000
78,Accounts Receivable,- -,8857000,-81386000,824000,15693000,-88847000,-1745000,26890000,-22377000,44477000,1771000
79,Inventory,- -,-18940000,-19549000,-65548000,-2885000,-33187000,-88483000,-4638000,-40627000,-67797000,-81309000
80,Accounts Payable,- -,24770000,14260000,12986000,-45792000,106163000,29333000,40317000,53940000,8594000,72568000
81,Other Working Capital,- -,80665000,44700000,14322000,-24698000,7149000,-72803000,-83013000,145547000,-137313000,-29840000
82,Other Non-Cash Items,- -,52647000,41496000,114822000,81475000,-37026000,44621000,-11588000,198540000,25172000,155526000
83,Cash Provided by Operating Activities,- -,462520000,454014000,426067000,707268000,1005299000,662799000,934041000,1306093000,838211000,1282726000
84,CAPEX,- -,-258352000,-270903000,-329998000,-355943000,-341987000,-391410000,-638336000,-705612000,-708996000,-737143000
85,Acquisitions Net,- -,- -,- -,- -,- -,18595000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,8307000,- -,- -,- -,- -
88,Other Investing Activites,- -,-96268000,-105689000,-120414000,-132156000,-163409000,-198843000,-336150000,-348919000,-351009000,-380422000
89,Cash Used for Investing Activites,- -,-257648000,-267342000,-289777000,-317066000,-320461000,-379440000,-636944000,-701073000,-708027000,-732738000
90,Debt Repayment,- -,-293504000,-237505000,-29353000,-3221618000,-1412678000,-803534000,-11572000,-318911000,-1740000,-529642000
91,Common Stock Issued,- -,- -,- -,- -,- -,1384000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-100093000,-386749000,-129793000,-230899000
93,Dividends Paid,- -,- -,- -,- -,- -,-86905000,-119985000,-133095000,-192664000,-208100000,-160101000
94,Other Financing Activites,- -,99111000,74035000,-92264000,2870345000,1087163000,838454000,92669000,396795000,679316000,340970000
95,Cash Used/Provided by Financing Activities,- -,-194393000,-163470000,-121617000,-351273000,-411036000,-85065000,-152091000,-501529000,339683000,-579672000
96,Effect of Forex Changes on Cash,- -,-4441000,-9479000,5819000,9546000,1229000,-8372000,952000,791000,-5407000,11424000
97,Net Change In Cash,- -,6038000,13723000,20492000,48475000,275031000,189922000,145958000,104282000,464460000,-18260000
98,Cash at the End of Period,- -,100063000,113786000,134278000,182753000,457784000,647706000,793664000,897946000,1362406000,1344146000
99,Cash at the Beginning of Period,- -,94025000,100063000,113786000,134278000,182753000,457784000,647706000,793664000,897946000,1362406000
100,Free Cash Flow,- -,204168000,183111000,96069000,351325000,663312000,271389000,295705000,600481000,129215000,545583000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,undefined,1.3194,1.3745,1.2097,1.086,1.0513,1.1996,1.1469,1.121,1.2213,1.1368
