,https://roic.ai/company/BSIG,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
41,Intangible Assets,- -,119200000,119000000,127500000,128000000,356600000,351900000,346300000,339700000,240500000,20300000
42,Investments,- -,242600000,554300000,209900000,202600000,268800000,381100000,323300000,376900000,228800000,54500000
43,Tax Assets,- -,302200000,294200000,330300000,341600000,332700000,240600000,270100000,243600000,170800000,72400000
44,Other Non-Current Assets,- -,4900500000,4533900000,4163700000,23000000,29400000,36700000,56500000,94600000,50600000,28200000
45,Total Non-Current Assets,- -,5583600000,5525500000,4855500000,725900000,1027300000,1052000000,1045200000,1120600000,853000000,290700000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,8529800000,8551800000,7772900000,1014100000,1293300000,1490700000,1553700000,1419700000,1379200000,714800000
48,Accounts Payable,- -,35800000,49800000,77400000,8400000,5100000,7700000,22100000,12900000,7300000,5000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,140000000,- -,- -
50,Tax Payable,- -,10000000,6700000,47000000,87700000,90200000,96200000,53600000,12800000,4100000,1100000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,43800000,49800000,365900000,339100000,287200000,205000000,131900000,-89700000,33700000,31300000
53,Total Current Liabilities,- -,79600000,99600000,443300000,347500000,292300000,212700000,154000000,63200000,41000000,36300000
54,Long-Term Debt,- -,5641800000,5431000000,4309900000,90000000,392300000,426300000,393300000,568800000,394300000,472500000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,465300000,888600000,524200000,410700000,444700000,725400000,872200000,673200000,559500000,223600000
58,Total Non-Current Liabilities,- -,6107100000,6319600000,4834100000,500700000,837000000,1151700000,1265500000,1242000000,953800000,696100000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,107900000,77600000
61,Total Liabilities,- -,6186700000,6419200000,5277400000,848200000,1129300000,1364400000,1419500000,1305200000,994800000,732400000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,100000,100000,100000,100000,100000,100000,100000,- -
64,Retained Earnings,- -,-483800000,-449800000,- -,- -,190200000,- -,- -,-452500000,-176500000,-6800000
65,Other Comprehensive Income/Loss,- -,1600000,3000000,5300000,-2800000,-26300000,-21600000,-20900000,-17500000,-13600000,-10800000
66,Other Total Stockholders Equity,- -,2824900000,2579400000,31100000,168600000,- -,96900000,124100000,534300000,492400000,- -
67,Total Stockholders Equity,- -,-482200000,-446800000,36500000,165900000,164000000,75400000,103300000,64400000,302400000,-17600000
68,Total Liabilities And Stockholders Equity,- -,5704500000,5972400000,5313900000,1014100000,1293300000,1439800000,1522800000,1369600000,1297200000,714800000
69,Minority Interest,- -,2825300000,2579400000,2459000000,- -,- -,50900000,30900000,50100000,82000000,- -
70,Total Liabilities & Equity,- -,8529800000,8551800000,7772900000,1014100000,1293300000,1490700000,1553700000,1419700000,1379200000,714800000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1748824/000174882420000008/0001748824-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1748824/000174882421000012/0001748824-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1748824/000174882422000018/0001748824-22-000018-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,10300000,3000000,25700000,51700000,155500000,126400000,4200000,136400000,223900000,286700000,828400000
74,Depreciation and Amortization,15500000,7500000,5000000,6200000,7100000,12000000,18300000,21100000,23800000,27700000,22200000
75,Deferred Income Tax,-30500000,9100000,10300000,-35300000,-11100000,13300000,39200000,-44800000,25800000,72700000,-1500000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,23000000,2879100000,60100000,-452600000,-2533400000,33000000,252300000,128500000,-118600000,249300000,-194000000
78,Accounts Receivable,39200000,-26300000,-75200000,-2400000,12800000,-3200000,-45500000,35400000,14600000,-18700000,-87900000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-5000000,18000000,86600000,99300000,37900000,-28300000,17400000,-33100000,-58000000,1200000,-153000000
81,Other Working Capital,-12500000,2866600000,2926700000,2474100000,-59300000,-26300000,226000000,354500000,235900000,485200000,- -
82,Other Non-Cash Items,82500000,-2892300000,43400000,584100000,2635500000,-47000000,-88500000,13000000,-293400000,-545900000,-666600000
83,Cash Provided by Operating Activities,100800000,6400000,144500000,154100000,253600000,137700000,225500000,254200000,-138500000,90500000,-11500000
84,CAPEX,-3600000,-12700000,-9900000,-7600000,-13000000,-13500000,-13700000,-21700000,-33900000,-27200000,-15100000
85,Acquisitions Net,- -,- -,- -,-14800000,-600000,-219100000,-1900000,105000000,-7600000,291000000,61600000
86,Purchases of Investments,-246300000,-1059800000,-207300000,-128100000,-160600000,-76100000,-164600000,-394400000,-26500000,-104900000,-2500000
87,Sales/Maturities of Investments,227300000,420500000,348400000,113000000,18500000,24500000,149200000,269400000,73100000,109800000,42700000
88,Other Investing Activites,-145200000,75200000,-48000000,31500000,- -,- -,- -,- -,3900000,1300000,952400000
89,Cash Used for Investing Activites,-167800000,-576800000,83200000,-6000000,-155700000,-284200000,-31000000,-41700000,9000000,270000000,1039100000
90,Debt Repayment,-120400000,-152900000,-134600000,-41700000,-124000000,-148000000,-42500000,-53000000,-330000000,-255000000,-176000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2700000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-98600000,-74100000,-71200000,-239800000,-46000000,-1121700000
93,Dividends Paid,- -,- -,- -,-175000000,-10900000,-13100000,-27500000,-31800000,-24500000,-10900000,-2900000
94,Other Financing Activites,226300000,683200000,103100000,64200000,-95700000,372600000,47700000,88600000,499300000,234500000,118300000
95,Cash Used/Provided by Financing Activities,105900000,530300000,-31500000,-152500000,-230600000,112900000,-96400000,-67400000,-95000000,-77400000,-1179600000
96,Effect of Forex Changes on Cash,400000,1000000,-1600000,-2100000,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,36200000,-8600000,13600000,-13600000,-132700000,-33600000,98100000,145100000,-224500000,283100000,-120800000
98,Cash at the End of Period,277200000,268600000,282200000,268600000,135900000,102300000,200400000,345500000,121000000,404100000,252100000
99,Cash at the Beginning of Period,241000000,277200000,268600000,282200000,268600000,135900000,102300000,200400000,345500000,121000000,372900000
100,Free Cash Flow,97200000,-6300000,134600000,146500000,240600000,124200000,211800000,232500000,-172400000,63300000,-26600000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1748824/000174882420000008/0001748824-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1748824/000174882421000012/0001748824-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1748824/000174882422000018/0001748824-22-000018-index.htm
102,false,,,,,,,,,,,
