,https://roic.ai/company/NXRT,2013,2014,2015,2016,2017,2018,2019,2020,2021
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,1513000,1544000,1364000,3653000,4456000,7174000,47677000,2945000
58,Total Non-Current Liabilities,- -,489281000,685710000,370092000,729180000,830640000,1154203000,1212171000,1279230000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,499833000,727335000,779295000,815931000,865182000,1439748000,1421287000,1587483000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,213000,213000,210000,234000,251000,250000,255000
64,Retained Earnings,- -,- -,-18593000,-14584000,19288000,-6764000,63776000,75321000,59209000
65,Other Comprehensive Income/Loss,- -,-21788000,-1000000,9000000,14000000,17000000,2000000,-44354000,2578000
66,Other Total Stockholders Equity,- -,198031000,240928000,236915000,205946000,285558000,360214000,376710000,407803000
67,Total Stockholders Equity,- -,176243000,221548000,231544000,239444000,296028000,426241000,407927000,469845000
68,Total Liabilities And Stockholders Equity,- -,676076000,948883000,1010839000,1055375000,1161210000,1865989000,1829214000,2057328000
69,Minority Interest,- -,21281000,27390000,24558000,- -,- -,- -,- -,6139000
70,Total Liabilities & Equity,- -,697357000,976273000,1035397000,1055375000,1161210000,1865989000,1829214000,2063467000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1620393/000156459016015074/0001564590-16-015074-index.html,https://www.sec.gov/Archives/edgar/data/1620393/000156459017004340/0001564590-17-004340-index.html,https://www.sec.gov/Archives/edgar/data/1620393/000156459018002112/0001564590-18-002112-index.html,https://www.sec.gov/Archives/edgar/data/1620393/000156459019003281/0001564590-19-003281-index.html,https://www.sec.gov/Archives/edgar/data/1620393/000156459020005798/0001564590-20-005798-index.html,https://www.sec.gov/Archives/edgar/data/1620393/000156459021007197/0001564590-21-007197-index.htm,https://www.sec.gov/Archives/edgar/data/1620393/000156459022005606/0001564590-22-005606-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-170000,-15601000,-10832000,21882000,53374000,-1609000,99140000,44018000,23037000
74,Depreciation and Amortization,142000,21645000,40801000,35643000,48752000,47470000,69086000,82411000,86878000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,825000,3109000,4198000,5130000,5504000,6997000
77,Change in Working Capital,37000,53647000,-28094000,-295379000,263775000,44365000,-197726000,18761000,-1345000
78,Accounts Receivable,-7000,-1143000,-971000,-886000,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,32000,4192000,2554000,-2523000,- -,- -,- -,- -,- -
81,Other Working Capital,- -,53647000,25553000,-269826000,-6051000,38314000,-159412000,-140651000,- -
82,Other Non-Cash Items,19000,-49621000,19166000,270805000,-331504000,-52681000,75736000,-93468000,-42299000
83,Cash Provided by Operating Activities,28000,10070000,21041000,33776000,37506000,41743000,51366000,57226000,73268000
84,CAPEX,-9117000,-599078000,-283326000,-183690000,-222092000,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,-7653000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-2035000,- -,14747000,131786000,224416000,-129301000,-553129000,11503000,-235906000
89,Cash Used for Investing Activites,-11152000,-599078000,-268579000,-51904000,2324000,-136954000,-553129000,11503000,-235906000
90,Debt Repayment,- -,-115000,-20232000,-300571000,-673513000,-272539000,-182821000,-141914000,-284562000
91,Common Stock Issued,- -,- -,- -,- -,- -,84782000,69874000,57718000,25590000
92,Common Stock Repurchased,- -,- -,- -,-4587000,-2435000,-9672000,- -,-44530000,- -
93,Dividends Paid,- -,-9952000,-13160000,-17784000,-19258000,-22265000,-28046000,-32296000,-35804000
94,Other Financing Activites,11314000,657329000,284494000,333236000,643363000,314786000,670809000,78126000,489095000
95,Cash Used/Provided by Financing Activities,11314000,647262000,251102000,10294000,-51843000,95092000,529816000,-82896000,194319000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,11314000,58254000,3564000,-7834000,-12013000,-119000,28053000,-14167000,31681000
98,Cash at the End of Period,190000,60479000,16226000,55261000,43248000,43129000,71182000,57015000,88696000
99,Cash at the Beginning of Period,- -,2225000,12662000,63095000,55261000,43248000,43129000,71182000,57015000
100,Free Cash Flow,28000,10070000,21041000,33776000,37506000,41743000,51366000,57226000,73268000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1620393/000156459016015074/0001564590-16-015074-index.html,https://www.sec.gov/Archives/edgar/data/1620393/000156459017004340/0001564590-17-004340-index.html,https://www.sec.gov/Archives/edgar/data/1620393/000156459018002112/0001564590-18-002112-index.html,https://www.sec.gov/Archives/edgar/data/1620393/000156459019003281/0001564590-19-003281-index.html,https://www.sec.gov/Archives/edgar/data/1620393/000156459020005798/0001564590-20-005798-index.html,https://www.sec.gov/Archives/edgar/data/1620393/000156459021007197/0001564590-21-007197-index.htm,https://www.sec.gov/Archives/edgar/data/1620393/000156459022005606/0001564590-22-005606-index.htm
102,false,,,,,,,,,
