,https://roic.ai/company/DARE,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-22101000,-17143000,-23342000,-39594000,-39305000,-11503117,-16738815,-14263830,-27400743000,-38696105000
24,Net Income ratio,-35.3616,-2857.1667,-291.7750,-Infinity,-51.3120,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-281.76,-20.90,-16.00,-15.60,-14.20,-3.56,-1.57,-0.97,-0.91,-1285.95
26,EPS Diluted,-281.76,-20.90,-16.00,-15.60,-14.20,-3.56,-1.57,-0.97,-0.91,-1285.95
27,Weighted Average Shares Outstanding,78698,808034,1454851,2543133,2771040,3232278,10732421,15578959,30091469,30091469
28,Weighted Average Shares Outstanding Diluted,78698,808034,1454851,2543133,2771040,3232278,10732421,15578959,30091469,30091469
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1401914/000156459015001834/0001564590-15-001834-index.htm,https://www.sec.gov/Archives/edgar/data/1401914/000156459016014403/0001564590-16-014403-index.htm,https://www.sec.gov/Archives/edgar/data/1401914/000156459017005798/0001564590-17-005798-index.htm,https://www.sec.gov/Archives/edgar/data/1401914/000156459018006989/0001564590-18-006989-index.htm,https://www.sec.gov/Archives/edgar/data/1401914/000140191419000015/0001401914-19-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1401914/000140191420000042/0001401914-20-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1401914/000140191421000041/0001401914-21-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1401914/000140191422000032/0001401914-22-000032-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,16707000,5488000,51174000,75908000,34950000,7559846,6805889,4780107,4669467,51674087
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,16707000,5488000,51174000,75908000,34950000,7559846,6805889,4780107,4669467,51674087
34,Net Receivables,357000,959000,1662000,1394000,1840000,284206,31037,555210,- -,1145317
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,505066,403097,1108615,2314445,2476612
37,Total Current Assets,17064000,6447000,52836000,77302000,36790000,8349118,7240023,6443932,6983912,55296016
38,PP&E,442000,245000,342000,576000,668000,- -,9396,551811,37930,26041
39,Goodwill,- -,- -,- -,- -,- -,5187519,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,5187519,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,155000,135000,215000,347000,230000,723191,577968,447045,- -,485120
45,Total Non-Current Assets,597000,380000,557000,923000,898000,5910710,587364,998856,37930,511161
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,17661000,6827000,53393000,78225000,37688000,14259828,7827387,7442788,7021842,55807177
48,Accounts Payable,900000,914000,1255000,2226000,1446000,308219,459705,1083183,1021333,2103083
49,Short-Term Debt,2869000,3134000,3124000,7652000,8382000,- -,- -,410896,714997,270546
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,2500000,- -,- -,- -,1000000,1000000
52,Other Current Liabilities,2755000,2040000,3682000,6459000,4611000,658434,631351,4118327,4924271,12679227
53,Total Current Liabilities,6524000,6088000,8061000,16337000,16939000,966653,1091056,5612406,7660601,16052856
54,Long-Term Debt,6258000,3124000,- -,12672000,4439000,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,1993000,- -,- -,- -,- -,1000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,84918000,403000,7000,473000,1206000,392,9711,1389556,- -,- -
58,Total Non-Current Liabilities,91176000,3527000,7000,13145000,7638000,392,9711,1389556,- -,1000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,1041844,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,800452,389556,- -
61,Total Liabilities,97700000,9615000,8068000,29482000,24577000,967045,1100767,7001962,8702445,17052856
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1000,2000,3000,3000,605,1143,1968,4159,8394
64,Retained Earnings,-81296000,-98439000,-121781000,-161375000,-200680000,-12230952,-28969767,-44023191,- -,-110126902
65,Other Comprehensive Income/Loss,-1516000,-1532000,-1490000,-1146000,-1392000,-18080,-96728,-102625,-91388,-154973
66,Other Total Stockholders Equity,2773000,97182000,168594000,211261000,215180000,25541210,35791972,44564674,-1064504,149027802
67,Total Stockholders Equity,-80039000,-2788000,45325000,48743000,13111000,13292783,6726620,440826,-1151733,38754321
68,Total Liabilities And Stockholders Equity,17661000,6827000,53393000,78225000,37688000,14259828,7827387,7442788,7550712,55807177
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,-528870,- -
70,Total Liabilities & Equity,17661000,6827000,53393000,78225000,37688000,14259828,7827387,7442788,7021842,55807177
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1401914/000156459015001834/0001564590-15-001834-index.htm,https://www.sec.gov/Archives/edgar/data/1401914/000156459016014403/0001564590-16-014403-index.htm,https://www.sec.gov/Archives/edgar/data/1401914/000156459017005798/0001564590-17-005798-index.htm,https://www.sec.gov/Archives/edgar/data/1401914/000156459018006989/0001564590-18-006989-index.htm,https://www.sec.gov/Archives/edgar/data/1401914/000140191419000015/0001401914-19-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1401914/000140191420000042/0001401914-20-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1401914/000140191421000041/0001401914-21-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1401914/000140191422000032/0001401914-22-000032-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-22101000,-17143000,-23342000,-39594000,-39305000,-11503117,-16738815,-14263830,-27400743000,-38696105000
74,Depreciation and Amortization,346000,197000,126000,192000,261000,- -,2440,11137,43227,26413000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,529000,622000,885000,2375000,2755000,15832,139348,462239,742031,1599692000
77,Change in Working Capital,265000,-10181000,44416000,16190000,-41114000,-12468535,-1233498,-5317441,-1508215,39919849
78,Accounts Receivable,-61000,-229000,-713000,342000,-446000,- -,- -,- -,95042,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-163000,14000,341000,795000,-603000,753098,151486,608650,-61850,1081749000
81,Other Working Capital,10540000,359000,44775000,60965000,19851000,7382465,6148967,831526,-676689,39243160
82,Other Non-Cash Items,-44000,9891000,-41146000,-11078000,43867000,21415692,7562100,5792415,27376231033,8266043151
83,Cash Provided by Operating Activities,-21005000,-16614000,-19061000,-31915000,-33536000,-2540128,-10268425,-13315480,-25234924,-28764037000
84,CAPEX,-180000,-7000,-225000,-277000,-535000,- -,-11836,- -,-17625,-14524000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-507000,6143893,- -,925000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,40000,-207000,117000,9918440,- -,- -,- -,-925000000
89,Cash Used for Investing Activites,-180000,-7000,-185000,-484000,-418000,9918440,-518836,6143893,-17625,-14524000
90,Debt Repayment,-379000,-3084000,-3348000,-3321000,-7922000,- -,- -,- -,- -,- -
91,Common Stock Issued,3000,35000,60002000,39813000,918000,- -,10111952,5151702,22977407,75314091000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,6863,- -
94,Other Financing Activites,22923000,8451000,8278000,20641000,- -,155000,- -,- -,2146402,532675000
95,Cash Used/Provided by Financing Activities,22547000,5402000,64932000,57133000,-7004000,155000,10111952,5151702,25130672,75846766000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-18080,-78648,-5897,11237,-63585000
97,Net Change In Cash,1362000,-11219000,45686000,24734000,-40958000,7515232,-753957,-2025782,-110640,51669417533
98,Cash at the End of Period,16707000,5488000,51174000,75908000,34950000,7559846,6805889,4780107,4669467,51674087000
99,Cash at the Beginning of Period,15345000,16707000,5488000,51174000,75908000,44614,7559846,6805889,4780107,4669467
100,Free Cash Flow,-21185000,-16621000,-19286000,-32192000,-34071000,-2540128,-10280261,-13315480,-25252549,-28778561000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1401914/000156459015001834/0001564590-15-001834-index.htm,https://www.sec.gov/Archives/edgar/data/1401914/000156459016014403/0001564590-16-014403-index.htm,https://www.sec.gov/Archives/edgar/data/1401914/000156459017005798/0001564590-17-005798-index.htm,https://www.sec.gov/Archives/edgar/data/1401914/000156459018006989/0001564590-18-006989-index.htm,https://www.sec.gov/Archives/edgar/data/1401914/000140191419000015/0001401914-19-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1401914/000140191420000042/0001401914-20-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1401914/000140191421000041/0001401914-21-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1401914/000140191422000032/0001401914-22-000032-index.htm
102,false,,,,,,,,,,
