,https://roic.ai/company/CHUC,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,91000,268000,238000
52,Other Current Liabilities,- -,- -,110040,- -,- -,- -,- -,310691,310477,169439,436380,- -,3535688,1569522,7822067,7050824,8337,1974836,5987000,6094000,4967000
53,Total Current Liabilities,163,425,1410692,611398,455996,1410916,832697,954117,865152,790459,1869061,2064147,5438092,7754809,9158886,7160506,8205699,9788622,7177000,10743000,5534000
54,Long-Term Debt,- -,- -,1635861,- -,- -,- -,- -,- -,- -,1814641,102555,- -,- -,- -,- -,- -,2050000,- -,- -,- -,150000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,1640000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1218000,1778000,433000
58,Total Non-Current Liabilities,- -,1640000,1635861,- -,- -,- -,- -,- -,- -,1814641,102555,- -,- -,- -,- -,- -,2050000,- -,1218000,1778000,583000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1644000,1218000,- -
61,Total Liabilities,163,425,3046553,611398,455996,1410916,832697,954117,865152,2605100,1971616,2064147,5438092,7754809,9158886,7160506,10255699,9788622,8395000,12521000,6117000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1545,1777,1491,1367,1402,1425,1425,- -,- -,- -
63,Common Stock,1508,1508,16205,6534,9619,10097,15197,15697,15697,19952,50546,1337,27886,48623,111434,119402,218152,245685,18974000,18991000,211000
64,Retained Earnings,-19497,-33624,-4868405,-7564955,-12580832,-17250281,-20492011,-22602045,-24601583,-28020421,-31966572,-3119343,-10241478,-18358081,-30348644,-35794206,-48241349,-52120648,-2476000,- -,-4855000
65,Other Comprehensive Income/Loss,- -,- -,-187761,-249764,-271649,-312975,-352531,-394671,-413280,-156178,-172826,- -,- -,-18358081,- -,- -,- -,- -,-282000,- -,- -
66,Other Total Stockholders Equity,86715,86715,2558520,8320950,16262538,17162875,23049188,24353093,24629034,26229536,30384226,7467015,14751170,36746293,29690834,33456325,42635493,43715465,-16763000,-24987000,7775000
67,Total Stockholders Equity,68726,54599,-2481441,512765,3419676,-390284,2219843,1372074,-370132,-1927111,-1704626,4350554,4539355,80245,-545009,-2217077,-5386279,-8158073,-547000,-5996000,3131000
68,Total Liabilities And Stockholders Equity,68889,55024,565112,1124163,3875672,1020632,3052540,2326191,495020,677989,266990,6414701,9977447,7835054,8613877,4943429,4869420,1630549,7848000,6525000,9248000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1271000,- -
70,Total Liabilities & Equity,68889,55024,565112,1124163,3875672,1020632,3052540,2326191,495020,677989,266990,6414701,9977447,7835054,8613877,4943429,4869420,1630549,7848000,5254000,9248000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1134765/000141588913000648/0001415889-13-000648-index.htm,https://www.sec.gov/Archives/edgar/data/1134765/000141588914001027/0001415889-14-001027-index.htm,https://www.sec.gov/Archives/edgar/data/1134765/000141588915001215/0001415889-15-001215-index.htm,https://www.sec.gov/Archives/edgar/data/1134765/000141588916005263/0001415889-16-005263-index.htm,https://www.sec.gov/Archives/edgar/data/1134765/000165495417002931/0001654954-17-002931-index.htm,https://www.sec.gov/Archives/edgar/data/1134765/000165495418006979/0001654954-18-006979-index.htm,https://www.sec.gov/Archives/edgar/data/1134765/000165495419003885/0001654954-19-003885-index.htm,https://www.sec.gov/Archives/edgar/data/1134765/000165495420004066/0001654954-20-004066-index.htm,https://www.sec.gov/Archives/edgar/data/1134765/000165495421003838/0001654954-21-003838-index.htm,https://www.sec.gov/Archives/edgar/data/1134765/000185173422000194/0001851734-22-000194-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-19497,-1610000,-2080000,-2510000,-5020000,-4670000,-3240000,-2110000,-2000000,-3420000,-3950000,-3120000,-7120000,-8116600,-11990560,-5445560,-12447140,-3879300,-2146000,-7187000,4808000
74,Depreciation and Amortization,- -,80000,82353,65339,25682,66333,58033,45696,20463,35473,18492,122883,209475,189004,151113,146418,125168,4767,263000,181000,655000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,851077,515699,440210,1195506,1041802,1543274,388695,530005,294796,3819000,3072000,552000
77,Change in Working Capital,163,-14127,-1110802,1150572,3195665,-3949362,2779807,-805648,-1729160,254357,-1471109,803882,349131,-4272588,-553333,-858224,-654464,-2919027,8169704,-4454000,8480000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,9795,-63,2075,-4598,-185305,-194159,-120168,-1447937,1298569,208054,28176,-780000,-400000,-219000
79,Inventory,- -,- -,29273,-203781,-38028,106609,-107227,267915,-44306,265585,58030,-785874,-223882,-306687,-195276,1239807,-840189,-169047,-858000,-77000,-3412000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7262995,-2548108,- -,- -,1553000
81,Other Working Capital,68726,54599,-1056203,94369,3290034,-659328,2120479,1314831,-414329,-159972,-1631081,-827199,-478068,-4750656,-5303989,-6162213,-6816677,-9735704,-1566000,-6020000,2460000
82,Other Non-Cash Items,- -,1530262,2034688,-767840,-3137769,5561001,-776836,1766106,2184893,170677,3641146,-2299364,-26000,4508676,416437,101259,6018027,3420014,-12141704,5115000,-15842000
83,Cash Provided by Operating Activities,-19334,-13865,-1073761,-2061929,-4936422,-2992028,-1178996,-1103846,-1523804,-2108416,-1245772,-4052389,-5391888,-6649706,-10433069,-5667412,-6428404,-3078750,-2036000,-3273000,-1347000
84,CAPEX,- -,- -,- -,-4007,-6033,-71846,-22242,-4705,-7417,-38778,- -,-14520,-1298,-2349,-3030,-11775,- -,- -,-571000,-169000,-110000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-110000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,110000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,9534,- -,- -,- -,1500,-4705,-7417,-35208,- -,-88119,-51795,-133,-76162,-210,209570,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,9534,-4007,-116033,38154,-20742,-4705,-7417,-35208,- -,-95790,-53093,-2482,-79192,-11985,209570,- -,-571000,-169000,-110000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25000,- -,-3034033,-1936667,-2883000,-727137,-332438,-10953,- -,- -,- -
91,Common Stock Issued,188000,- -,965619,2404064,7742682,- -,3619449,439203,- -,240000,- -,3374982,- -,- -,- -,- -,- -,- -,23160000,- -,3000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18409000,1650000,-883000
94,Other Financing Activites,-99777,- -,77898,-231298,- -,225000,-250000,- -,- -,1899402,1255755,772000,11611331,6120415,13103775,6045000,6612500,3056350,- -,766000,-1216000
95,Cash Used/Provided by Financing Activities,88223,- -,1043517,2172766,7742682,225000,3369449,439203,- -,2139402,1230755,4146982,8577298,4183748,10220775,5317863,6280062,3045397,4751000,2416000,901000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-13865,-20710,106831,2690227,-2728874,2169711,-669348,-1531221,-4222,-15017,5646,3132317,-2468440,-291486,-361534,61228,-33353,2144000,-1026000,-556000
98,Cash at the End of Period,68889,55024,7963,114794,2805021,76147,2245858,1576510,45289,41067,26050,4449,3136766,668326,376840,15306,76534,43181,2448000,1422000,866000
99,Cash at the Beginning of Period,- -,68889,28673,7963,114794,2805021,76147,2245858,1576510,45289,41067,- -,4449,3136766,668326,376840,15306,76534,304000,2448000,1422000
100,Free Cash Flow,-19334,-13865,-1073761,-2065936,-4942455,-3063874,-1201238,-1108551,-1531221,-2147194,-1245772,-4066909,-5393186,-6652055,-10436099,-5679187,-6428404,-3078750,-2607000,-3442000,-1457000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1134765/000141588913000648/0001415889-13-000648-index.htm,https://www.sec.gov/Archives/edgar/data/1134765/000141588914001027/0001415889-14-001027-index.htm,https://www.sec.gov/Archives/edgar/data/1134765/000141588915001215/0001415889-15-001215-index.htm,https://www.sec.gov/Archives/edgar/data/1134765/000141588916005263/0001415889-16-005263-index.htm,https://www.sec.gov/Archives/edgar/data/1134765/000165495417002931/0001654954-17-002931-index.htm,https://www.sec.gov/Archives/edgar/data/1134765/000165495418006979/0001654954-18-006979-index.htm,https://www.sec.gov/Archives/edgar/data/1134765/000165495419003885/0001654954-19-003885-index.htm,https://www.sec.gov/Archives/edgar/data/1134765/000165495420004066/0001654954-20-004066-index.htm,https://www.sec.gov/Archives/edgar/data/1134765/000165495421003838/0001654954-21-003838-index.htm,https://www.sec.gov/Archives/edgar/data/1134765/000185173422000194/0001851734-22-000194-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
