,https://roic.ai/company/LIFE,2013,2014,2015,2016,2017,2018,2019,2020,2021
86,Purchases of Investments,- -,-5397000,-109445000,-28089000,-77672000,-40299000,-40647000,-21066000,- -
87,Sales/Maturities of Investments,- -,3400000,38115000,62216000,51347000,78065000,45600000,28150000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,51000,18000,-91566000
89,Cash Used for Investing Activites,-644000,-2246000,-71994000,33527000,-27637000,37172000,4925000,6900000,-91566000
90,Debt Repayment,-3000000,-1561000,-5237000,-5202000,- -,-4667000,-8000000,- -,- -
91,Common Stock Issued,- -,- -,76902000,143000,42477000,379000,9323000,10000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,53737000,4073000,76252000,9756000,10227000,50000,13000,16133000,110025000
95,Cash Used/Provided by Financing Activities,50737000,2512000,147917000,4697000,52704000,-4238000,1336000,16143000,110025000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,32782000,-22558000,39126000,-14637000,-17297000,1871000,-13752000,7742000,- -
98,Cash at the End of Period,36457000,13899000,53025000,38388000,21091000,22962000,9210000,16952000,- -
99,Cash at the Beginning of Period,3675000,36457000,13899000,53025000,38388000,21091000,22962000,9210000,16952000
100,Free Cash Flow,-17955000,-23073000,-37461000,-53461000,-43676000,-31657000,-20092000,-15503000,- -
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1339970/000156459016015652/0001564590-16-015652-index.html,https://www.sec.gov/Archives/edgar/data/1339970/000156459017004631/0001564590-17-004631-index.html,https://www.sec.gov/Archives/edgar/data/1339970/000156459018006333/0001564590-18-006333-index.html,https://www.sec.gov/Archives/edgar/data/1339970/000156459019009381/0001564590-19-009381-index.html,https://www.sec.gov/Archives/edgar/data/1339970/000156459020013208/0001564590-20-013208-index.html,https://www.sec.gov/Archives/edgar/data/1339970/000156459021014940/0001564590-21-014940-index.htm,https://www.sec.gov/Archives/edgar/data/1339970/000156459022010441/0001564590-22-010441-index.htm
102,false,,,,,,,,,
