,https://roic.ai/company/GOOGL,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),- -,- -,3000000,85000000,241000000,251000000,676000000,934000000,1470000000,1627000000,1861000000,2291000000,2589000000,2916000000,2739000000,3639000000,3303000000,4672000000,4707000000,4177000000,5282000000,7813000000,14701000000
23,Net Income,-6000000,-15000000,7000000,100000000,106000000,399000000,1465000000,3077000000,4204000000,4227000000,6520000000,8505000000,9737000000,10737000000,12733000000,14136000000,16348000000,19478000000,12662000000,30736000000,34343000000,40269000000,76033000000
24,Net Income ratio,-Infinity,-0.7895,0.0814,0.2273,0.0723,0.1251,0.2386,0.2901,0.2533,0.1939,0.2757,0.2901,0.2569,0.2332,0.2293,0.2142,0.2180,0.2158,0.1142,0.2246,0.2122,0.2206,0.2951
25,EPS,-0.07,-0.11,0.04,0.39,0.39,1.04,2.66,5.11,6.77,6.74,10.32,13.36,15.10,16.42,19.43,21.37,23.11,28.32,18.27,44.22,49.59,59.15,113.88
26,EPS Diluted,-0.07,-0.11,0.02,0.21,0.21,0.73,2.51,4.97,6.65,6.66,10.21,13.17,14.89,16.17,19.08,21.02,22.84,27.85,18.00,43.70,49.16,58.61,112.20
27,Weighted Average Shares Outstanding,85000000,133934226,188863003,275127418,275127418,385978011,551153966,602246236,621010279,627310175,631829796,636786992,644931101,653792515,665047610,675935000,684811770,687782486,693048714,695070104,692596000,680816000,667650000
28,Weighted Average Shares Outstanding Diluted,85000000,133934226,373190401,512779148,512779148,545033895,583182931,618605037,631807817,634413292,638213610,645876186,653794513,663966657,676962065,687070000,692907180,699389587,703444444,703340961,698556000,687028000,677674000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1652044/000165204416000012/goog10-k2015.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204417000008/goog10-kq42016.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204418000007/goog10-kq42017.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204419000004/goog10-kq42018.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204420000008/goog10-k2019.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204421000010/0001652044-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204422000019/0001652044-22-000019-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,58000000,149000000,426000000,3878000000,3545000000,6082000000,8657000000,10198000000,13630000000,9983000000,14778000000,18898000000,18347000000,16549000000,12918000000,10715000000,16701000000,18498000000,26465000000,20945000000
32,Short-Term Investments,- -,- -,- -,89000000,186000000,1705000000,4157000000,7699000000,8137000000,7189000000,14287000000,21345000000,34643000000,33310000000,39819000000,46048000000,56517000000,73415000000,91156000000,92439000000,101177000000,110229000000,118704000000
33,Cash and Short-Term Investments,- -,- -,- -,147000000,335000000,2131000000,8035000000,11244000000,14219000000,15846000000,24485000000,34975000000,44626000000,48088000000,58717000000,64395000000,73066000000,86333000000,101871000000,109140000000,119675000000,136694000000,139649000000
34,Net Receivables,- -,- -,- -,62000000,155000000,382000000,688000000,1322000000,2308000000,2642000000,3202000000,5002000000,6172000000,8585000000,9390000000,10849000000,13909000000,14232000000,18705000000,21193000000,27492000000,31384000000,40270000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35000000,505000000,- -,- -,- -,268000000,749000000,1107000000,999000000,728000000,1170000000
36,Other Current Assets,- -,- -,- -,23000000,70000000,180000000,278000000,474000000,762000000,1690000000,1480000000,1585000000,1925000000,3276000000,4779000000,3412000000,3139000000,4575000000,2983000000,4236000000,4412000000,5490000000,7054000000
37,Total Current Assets,- -,- -,- -,232000000,560000000,2693000000,9001000000,13040000000,17289000000,20178000000,29167000000,41562000000,52758000000,60454000000,72886000000,78656000000,90114000000,105408000000,124308000000,135676000000,152578000000,174296000000,188143000000
38,PP&E,- -,- -,- -,54000000,188000000,379000000,962000000,2395000000,4039000000,5234000000,4845000000,7759000000,9603000000,11854000000,16524000000,23883000000,29016000000,34234000000,42383000000,59719000000,84587000000,96960000000,110557000000
39,Goodwill,- -,- -,- -,- -,87000000,123000000,195000000,1545000000,2299000000,4840000000,4903000000,6256000000,7346000000,10537000000,11492000000,15599000000,15869000000,16468000000,16747000000,17888000000,20624000000,21175000000,22956000000
40,Intangible Assets,- -,- -,- -,- -,18000000,71000000,83000000,347000000,447000000,997000000,775000000,1044000000,1578000000,7473000000,6066000000,4607000000,3847000000,3307000000,2692000000,2220000000,1979000000,1445000000,1417000000
41,Intangible Assets,- -,- -,- -,- -,105000000,194000000,278000000,1892000000,2746000000,5837000000,5678000000,7300000000,8924000000,18010000000,17558000000,20206000000,19716000000,19775000000,19439000000,20108000000,22603000000,22620000000,24373000000
42,Investments,- -,- -,- -,- -,- -,- -,14000000,1032000000,1059694000,85160000,128977000,523000000,790000000,1469000000,1976000000,3079000000,5183000000,5878000000,7813000000,13859000000,13078000000,20703000000,29549000000
43,Tax Assets,- -,- -,- -,1000000,19000000,- -,35000000,40000000,- -,13000000,- -,- -,287000000,1872000000,1947000000,758000000,189000000,226000000,430000000,1264000000,1701000000,1084000000,1284000000
44,Other Non-Current Assets,- -,- -,- -,- -,-1000000,47000000,-18000000,74000000,202306000,420840000,678023000,707000000,212000000,139000000,29000000,2605000000,3243000000,1976000000,2922000000,2166000000,1362000000,3953000000,5361000000
45,Total Non-Current Assets,- -,- -,- -,55000000,311000000,620000000,1271000000,5433000000,8047000000,11590000000,11330000000,16289000000,19816000000,33344000000,38034000000,50531000000,57347000000,62089000000,72987000000,97116000000,123331000000,145320000000,171124000000
46,Other Assets,- -,46872000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,342249000000
47,Total Assets,- -,46872000,- -,287000000,871000000,3313000000,10272000000,18473000000,25336000000,31768000000,40497000000,57851000000,72574000000,93798000000,110920000000,129187000000,147461000000,167497000000,197295000000,232792000000,275909000000,319616000000,359268000000
48,Accounts Payable,- -,- -,- -,9000000,46000000,33000000,116000000,211000000,282000000,178000000,216000000,483000000,588000000,2012000000,2453000000,1715000000,1931000000,2041000000,3137000000,4378000000,5561000000,5589000000,6037000000
49,Short-Term Debt,- -,- -,- -,4350000,4621000,1902000,- -,- -,- -,- -,- -,3465000000,1218000000,2549000000,3009000000,2009000000,3225000000,- -,- -,- -,1199000000,1694000000,2189000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,81549000,- -,37000000,197000000,240000000,24000000,96000000,302000000,554000000,881000000,69000000,274000000,1485000000,808000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,788000000,1099000000,1432000000,1784000000,1908000000,2543000000,3288000000
52,Other Current Liabilities,- -,- -,- -,76650000,184379000,305098000,629000000,1094000000,1754000000,2124000000,2531000000,6048000000,7107000000,9776000000,10446000000,13055000000,13366000000,13616000000,19614000000,28458000000,36553000000,47008000000,52740000000
53,Total Current Liabilities,- -,- -,- -,90000000,235000000,340000000,745000000,1305000000,2036000000,2302000000,2747000000,9996000000,8913000000,14337000000,15908000000,16779000000,19310000000,16756000000,24183000000,34620000000,45221000000,56834000000,64254000000
54,Long-Term Debt,- -,- -,- -,7000000,2000000,- -,- -,- -,- -,- -,- -,- -,2986000000,2988000000,2236000000,3228000000,1995000000,3935000000,3969000000,4012000000,4554000000,25078000000,26206000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,151000000,202000000,340000000,396000000,358000000,481000000,535000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,189000000,226000000,430000000,1264000000,1701000000,3561000000,5257000000
57,Other Non-Current Liabilities,- -,- -,- -,2000000,32000000,44000000,108000000,129000000,610000000,1227000000,1746000000,1614000000,2530000000,4758000000,5467000000,5320000000,5485000000,7342000000,15871000000,14872000000,22633000000,11118000000,11381000000
58,Total Non-Current Liabilities,- -,- -,- -,9000000,34000000,44000000,108000000,129000000,610000000,1227000000,1746000000,1614000000,5516000000,7746000000,7703000000,8548000000,7820000000,11705000000,20610000000,20544000000,29246000000,40238000000,43379000000
59,Other Liabilities,- -,19638000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,1988000,- -,- -,- -,- -,- -,- -,- -,- -,- -,255000000,246000000,225000000,- -,26000000,62000000,12009000000,12840000000,15551000000
61,Total Liabilities,- -,19638000,- -,99000000,269000000,384000000,853000000,1434000000,2646000000,3529000000,4493000000,11610000000,14429000000,22083000000,23611000000,25327000000,27130000000,28461000000,44793000000,55164000000,74467000000,97072000000,107633000000
62,Preferred Stock,- -,- -,- -,44346000,44346000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,145000,161000,267000,293000,309000,313000,315000,318000,18235000000,20264000000,22835000000,25922000000,28767000000,32982000000,36307000000,40247000000,45049000000,50552000000,58510000000,61774000000
64,Retained Earnings,- -,- -,- -,86000000,191000000,590000000,2056000000,5133000000,9335000000,13562000000,20082000000,27868000000,37605000000,48342000000,61262000000,75066000000,89223000000,105131000000,113247000000,134885000000,152122000000,163401000000,191484000000
65,Other Comprehensive Income/Loss,- -,- -,- -,-39652000,-372308000,-244034000,-114996000,23311000,113373000,226579000,105090000,138000000,276000000,538000000,125000000,27000000,-1874000000,-2402000000,-992000000,-2306000000,-1232000000,633000000,-1623000000
66,Other Total Stockholders Equity,- -,27234000,- -,83114000,725571000,2582823000,7477660000,11883220000,13240993000,14449968000,15816816000,- -,- -,- -,- -,640000000,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,27234000,- -,173953000,588770000,2929056000,9418957000,17039840000,22689679000,28238862000,36004224000,46241000000,58145000000,71715000000,87309000000,104500000000,120331000000,139036000000,152502000000,177628000000,201442000000,222544000000,251635000000
68,Total Liabilities And Stockholders Equity,- -,46872000,- -,272953000,857770000,3313056000,10271957000,18473840000,25335679000,31767862000,40497224000,57851000000,72574000000,93798000000,110920000000,129827000000,147461000000,167497000000,197295000000,232792000000,275909000000,319616000000,359268000000
69,Minority Interest,- -,- -,- -,14047000,13230000,-56000,43000,-840000,321000,138000,-224000,- -,- -,- -,- -,-640000000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,46872000,- -,287000000,871000000,3313000000,10272000000,18473000000,25336000000,31768000000,40497000000,57851000000,72574000000,93798000000,110920000000,129187000000,147461000000,167497000000,197295000000,232792000000,275909000000,319616000000,359268000000
71,SEC Link,undefined,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1652044/000165204416000012/goog10-k2015.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204417000008/goog10-kq42016.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204418000007/goog10-kq42017.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204419000004/goog10-kq42018.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204420000008/goog10-k2019.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204421000010/0001652044-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204422000019/0001652044-22-000019-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,7000000,100000000,106000000,399000000,1465000000,3077000000,4204000000,4227000000,6520000000,8505000000,9737000000,10737000000,12733000000,14136000000,16348000000,19478000000,12662000000,30736000000,34343000000,40269000000,76033000000
74,Depreciation and Amortization,- -,- -,10000000,28983000,55049000,148473000,293812000,571939000,967658000,1499887000,1524308000,1396000000,1851000000,2962000000,3939000000,4979000000,5063000000,6144000000,6915000000,9035000000,11781000000,13697000000,12441000000
75,Deferred Income Tax,- -,- -,-2000000,- -,- -,- -,- -,- -,-164212000,-224645000,-268060000,9000000,343000000,-266000000,-437000000,-104000000,-179000000,-38000000,258000000,778000000,173000000,1390000000,1808000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,868646000,1119766000,1164054000,1376000000,1974000000,2692000000,3343000000,4279000000,5203000000,6703000000,7679000000,9353000000,10794000000,12991000000,15376000000
77,Change in Working Capital,- -,- -,- -,142000000,183000000,2028000000,5903000000,3479000000,3518000000,2623000000,8544000000,5146000000,12279000000,2272000000,10861000000,4899000000,8927000000,17848000000,11473000000,931000000,6301000000,10105000000,-1523000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-837247000,-334464000,-504039000,-1129000000,-1156000000,-787000000,-1307000000,-1641000000,-2094000000,-2578000000,-3768000000,-2169000000,-4340000000,-6524000000,-9095000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,301000000,-234000000,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,70135000,-211539000,33642000,272000000,101000000,-499000000,605000000,436000000,203000000,110000000,731000000,1067000000,428000000,694000000,283000000
81,Other Working Capital,- -,- -,- -,142000000,325000000,2353000000,8256000000,11735000000,15253000000,17876000000,26420000000,31566000000,43845000000,46117000000,56978000000,61877000000,70804000000,88652000000,100125000000,101056000000,107357000000,117462000000,149000000
82,Other Non-Cash Items,- -,- -,16000000,-115718000,51396000,-1598429000,-5202390000,-3547431000,-3618682000,-1392151000,-8168104000,-5351000000,-11619000000,-1778000000,-11780000000,-5813000000,-9338000000,-14099000000,-1896000000,-2862000000,-8872000000,-13328000000,-12483000000
83,Cash Provided by Operating Activities,- -,- -,31000000,155265000,395445000,977044000,2459422000,3580508000,5775410000,7852857000,9316198000,11081000000,14565000000,16619000000,18659000000,22376000000,26024000000,36036000000,37091000000,47971000000,54520000000,65124000000,91652000000
84,CAPEX,- -,- -,-13000000,-37198000,-176801000,-318995000,-838217000,-1902798000,-2402840000,-2358461000,-809888000,-4018000000,-3438000000,-3273000000,-7358000000,-10959000000,-9915000000,-10212000000,-13184000000,-25139000000,-23548000000,-22281000000,-24640000000
85,Acquisitions Net,- -,- -,- -,- -,-39958000,-21957000,-101310000,-402446000,-906651000,-3320299000,-108024000,-1067000000,-1900000000,-10568000000,1077000000,-4502000000,-236000000,-986000000,-287000000,-1491000000,-2515000000,-738000000,-2618000000
86,Purchases of Investments,- -,- -,- -,-93061000,-316599000,-4134576000,-12675880000,-27701038000,-16031571000,-15403458000,-29204160000,-45055000000,-62095000000,-34106000000,-46013000000,-58312000000,-76540000000,-85618000000,-93940000000,-52231000000,-102247000000,-143751000000,-138034000000
87,Sales/Maturities of Investments,- -,- -,- -,20443000,219404000,2611078000,10257214000,23107132000,15659473000,15762796000,22102867000,37099000000,48746000000,35225000000,38914000000,51315000000,63330000000,67839000000,74492000000,50259000000,98230000000,133929000000,129228000000
88,Other Investing Activites,- -,- -,-16000000,99000,- -,-36906000,- -,- -,- -,- -,- -,2361000000,-354000000,-334000000,-299000000,1403000000,-350000000,-2188000000,1518000000,98000000,589000000,68000000,541000000
89,Cash Used for Investing Activites,- -,- -,-29000000,-109717000,-313954000,-1901356000,-3358193000,-6899150000,-3681589000,-5319422000,-8019205000,-10680000000,-19041000000,-13056000000,-13679000000,-21055000000,-23711000000,-31165000000,-31401000000,-28504000000,-29491000000,-32773000000,-35523000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1783000000,-10179000000,-14781000000,-11325000000,-11643000000,-13728000000,-10064000000,-4377000000,-6827000000,-585000000,-2100000000,-21435000000
91,Common Stock Issued,- -,- -,- -,2262000,15476000,1195025000,4372255000,2384666000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000000,950000000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,1000000,- -,- -,- -,- -,- -,- -,- -,- -,-801000000,- -,- -,- -,- -,-1780000000,-3693000000,-4846000000,-9075000000,-18396000000,-31149000000,-50274000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-3000000,-7735000,-7386000,-407000,-1425000,581732000,403067000,87567000,233412000,5634000000,10986000000,16010000000,10468000000,10204000000,11831000000,5425000000,125000000,1773000000,-4228000000,8841000000,10347000000
95,Cash Used/Provided by Financing Activities,- -,- -,-2000000,-5473000,8090000,1194618000,4370830000,2966398000,403067000,87567000,233412000,3050000000,807000000,1229000000,-857000000,-1439000000,-3677000000,-8332000000,-8298000000,-13179000000,-23209000000,-24408000000,-61362000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,1662000,7572000,-21758000,19741000,40034000,-45923000,10511000,-19000000,22000000,3000000,-3000000,-433000000,-434000000,-170000000,405000000,-302000000,-23000000,24000000,-287000000
97,Net Change In Cash,- -,- -,- -,40075000,91243000,277878000,3450301000,-332503000,2536922000,2575079000,1540916000,3432000000,-3647000000,4795000000,4120000000,-551000000,-1798000000,-3631000000,-2203000000,5986000000,1797000000,7967000000,-5520000000
98,Cash at the End of Period,- -,- -,16701000000,57752000,148995000,426873000,3877174000,3544671000,6081593000,8656672000,10197588000,13630000000,9983000000,14778000000,18898000000,18347000000,16549000000,12918000000,10715000000,16701000000,18498000000,26465000000,20945000000
99,Cash at the Beginning of Period,- -,- -,16701000000,17677000,57752000,148995000,426873000,3877174000,3544671000,6081593000,8656672000,10198000000,13630000000,9983000000,14778000000,18898000000,18347000000,16549000000,12918000000,10715000000,16701000000,18498000000,26465000000
100,Free Cash Flow,- -,- -,18000000,118067000,218644000,658049000,1621205000,1677710000,3372570000,5494396000,8506310000,7063000000,11127000000,13346000000,11301000000,11417000000,16109000000,25824000000,23907000000,22832000000,30972000000,42843000000,67012000000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1652044/000165204416000012/goog10-k2015.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204417000008/goog10-kq42016.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204418000007/goog10-kq42017.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204419000004/goog10-kq42018.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204420000008/goog10-k2019.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204421000010/0001652044-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204422000019/0001652044-22-000019-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
