,https://roic.ai/company/ZNGA,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1439404/000119312513072858/0001193125-13-072858-index.html,https://www.sec.gov/Archives/edgar/data/1439404/000119312514062902/d652612d10k.htm,https://www.sec.gov/Archives/edgar/data/1439404/000119312515060187/d833276d10k.htm,https://www.sec.gov/Archives/edgar/data/1439404/000119312516470104/0001193125-16-470104-index.html,https://www.sec.gov/Archives/edgar/data/1439404/000156459017001775/0001564590-17-001775-index.html,https://www.sec.gov/Archives/edgar/data/1439404/000156459018002487/0001564590-18-002487-index.html,https://www.sec.gov/Archives/edgar/data/1439404/000156459019005098/0001564590-19-005098-index.html,https://www.sec.gov/Archives/edgar/data/1439404/000156459020007803/0001564590-20-007803-index.html,https://www.sec.gov/Archives/edgar/data/1439404/000156459021009477/0001564590-21-009477-index.htm,https://www.sec.gov/Archives/edgar/data/1439404/000156459022007217/0001564590-22-007217-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,127336000,187831000,1582343000,385949000,465523000,131303000,742217000,852467000,372870000,544990000,423323000,1364400000,984000000
32,Short-Term Investments,72622000,550259000,225165000,898821000,659973000,785221000,245033000,- -,308506000,36232000,938173000,208400000,169000000
33,Cash and Short-Term Investments,199958000,738090000,1807508000,1284770000,1125496000,916524000,987250000,852467000,681376000,581222000,1361496000,1572800000,1153000000
34,Net Receivables,18447000,116551000,154216000,111934000,72610000,92915000,84843000,77556000,103677000,91630000,140078000,217500000,242500000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,3735000,51573000,62185000,87666000,43293000,73500000,40197000,35453000,45897000,74425000,74096000,69500000,253100000
37,Total Current Assets,222140000,906214000,2023909000,1484370000,1241399000,1082939000,1112290000,965476000,830950000,747277000,1575670000,1859800000,1648600000
38,PP&E,34827000,74959000,246740000,466074000,348793000,297919000,273221000,269439000,266589000,266557000,162798000,171200000,116700000
39,Goodwill,- -,60217000,91765000,208955000,227989000,650778000,657671000,613335000,730464000,934187000,1460933000,3160800000,3601100000
40,Intangible Assets,1045000,44001000,32112000,33663000,18282000,66861000,64016000,25430000,64258000,118600000,233005000,838100000,900500000
41,Intangible Assets,1045000,104218000,123877000,242618000,246271000,717639000,721687000,638765000,794722000,1052787000,1693938000,3998900000,4501600000
42,Investments,- -,- -,110098000,367543000,416474000,231385000,- -,- -,- -,- -,175300000,2000000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,836000,27181000,12022000,15715000,26148000,18911000,17432000,32169000,87072000,80082000,52908000,174600000,92000000
45,Total Non-Current Assets,36708000,206358000,492737000,1091950000,1037686000,1265854000,1012340000,940373000,1148383000,1399426000,2084944000,4346700000,4710300000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,258848000,1112572000,2516646000,2576320000,2279085000,2348793000,2124630000,1905849000,1979333000,2146703000,3660614000,6206500000,6358900000
48,Accounts Payable,21503000,33431000,44020000,23298000,20973000,14965000,61376000,48118000,56984000,49480000,69242000,115300000,95600000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000000,15753000,18500000,17100000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,1889000,6677000,7519000,3506000,46000000,52200000
51,Deferred Revenue,178109000,408470000,457394000,364635000,192472000,189923000,128839000,141998000,134007000,191299000,432962000,747700000,748100000
52,Other Current Liabilities,35024000,78749000,167271000,121212000,63057000,164150000,45991000,53524000,91720000,139055000,274011000,443900000,702600000
53,Total Current Liabilities,234636000,520650000,668685000,509145000,276502000,369038000,236206000,243640000,282711000,479834000,791968000,1325400000,1563400000
54,Long-Term Debt,- -,- -,- -,100000000,- -,- -,- -,- -,- -,- -,570456000,1289900000,1477200000
55,Deferred Revenue,45690000,56766000,23251000,8041000,3252000,3882000,204000,158000,568000,1586000,567000,300000,300000
56,Deferred Tax Liabilities,- -,14123000,13950000,24584000,- -,5323000,6026000,5791000,5902000,16087000,33479000,126300000,93800000
57,Other Non-Current Liabilities,- -,38818000,61221000,109047000,122060000,74858000,95293000,75596000,48912000,52586000,288714000,523100000,112300000
58,Total Non-Current Liabilities,45690000,109707000,98422000,241672000,125312000,84063000,101523000,81545000,55382000,70259000,893216000,1939600000,1683600000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,146054000,140500000,150500000
61,Total Liabilities,280326000,630357000,767107000,750817000,401814000,453101000,337729000,325185000,338093000,550093000,1685184000,3265000000,3247000000
62,Preferred Stock,47672000,394026000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,2000,2000,4000,2725605000,2823743000,3096982000,3234551000,3349714000,3426505000,3504713000,3898695000,5276500000,5625000000
64,Retained Earnings,-75783000,10222000,-394094000,-603542000,-945426000,-1172115000,-1296320000,-1640356000,-1691768000,-1789664000,-1797330000,-2284300000,-2406000000
65,Other Comprehensive Income/Loss,21000,114000,362000,-1447000,-1046000,-29175000,-52388000,-128694000,-93497000,-118439000,-125935000,-50700000,-107100000
66,Other Total Stockholders Equity,6610000,77851000,2143267000,-295113000,- -,- -,-98942000,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,-21478000,482215000,1749539000,1825503000,1877271000,1895692000,1786901000,1580664000,1641240000,1596610000,1975430000,2941500000,3111900000
68,Total Liabilities And Stockholders Equity,258848000,1112572000,2516646000,2576320000,2279085000,2348793000,2124630000,1905849000,1979333000,2146703000,3660614000,6206500000,6358900000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,258848000,1112572000,2516646000,2576320000,2279085000,2348793000,2124630000,1905849000,1979333000,2146703000,3660614000,6206500000,6358900000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1439404/000119312513072858/0001193125-13-072858-index.html,https://www.sec.gov/Archives/edgar/data/1439404/000119312514062902/d652612d10k.htm,https://www.sec.gov/Archives/edgar/data/1439404/000119312515060187/d833276d10k.htm,https://www.sec.gov/Archives/edgar/data/1439404/000119312516470104/0001193125-16-470104-index.html,https://www.sec.gov/Archives/edgar/data/1439404/000156459017001775/0001564590-17-001775-index.html,https://www.sec.gov/Archives/edgar/data/1439404/000156459018002487/0001564590-18-002487-index.html,https://www.sec.gov/Archives/edgar/data/1439404/000156459019005098/0001564590-19-005098-index.html,https://www.sec.gov/Archives/edgar/data/1439404/000156459020007803/0001564590-20-007803-index.html,https://www.sec.gov/Archives/edgar/data/1439404/000156459021009477/0001564590-21-009477-index.htm,https://www.sec.gov/Archives/edgar/data/1439404/000156459022007217/0001564590-22-007217-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-52822000,90595000,-404316000,-209448000,-36982000,-225900000,-121510000,-108173000,26639000,15457000,41925000,-429400000,-104200000
74,Depreciation and Amortization,10372000,39481000,95414000,141479000,129047000,82894000,54315000,41770000,30294000,42057000,79445000,142100000,238900000
75,Deferred Income Tax,- -,-8469000,4367000,-43841000,-18766000,-10982000,-12693000,-1988000,3780000,-3366000,-16762000,-32900000,-49900000
76,Stock Based Compensation,3737000,23782000,600212000,281986000,84393000,129233000,131575000,107461000,64515000,68239000,81482000,122600000,167200000
77,Change in Working Capital,229201000,398060000,969660000,-379999000,-10328000,-250996000,162183000,-154248000,-173597000,-280796000,516259000,-249302000,-149200000
78,Accounts Receivable,-4376000,-69518000,-55432000,34338000,40806000,-16489000,10148000,3834000,-26417000,22625000,-22546000,4800000,-9200000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,16216000,10626000,10373000,-21312000,-2325000,-6393000,10934000,-3613000,-3666000,-810000,-1005000,5500000,37600000
81,Other Working Capital,-12496000,385564000,1355224000,975225000,964897000,713901000,876084000,721836000,548239000,267443000,783702000,534400000,17900000
82,Other Non-Cash Items,507000,-217037000,-876165000,405590000,-118690000,271240000,-258317000,175194000,142946000,326649000,-439521000,876102000,151000000
83,Cash Provided by Operating Activities,190995000,326412000,389172000,195767000,28674000,-4511000,-44447000,60016000,94577000,168240000,262828000,429200000,253800000
84,CAPEX,-39401000,-57917000,-241883000,-331754000,-7813000,-9201000,-7832000,-10313000,-9971000,-11469000,-23637000,-24800000,-16800000
85,Acquisitions Net,-548000,-62277000,-42774000,-215510000,-18054000,-392411000,-9516000,-33630000,-133701000,-245240000,-336815000,-942500000,-508300000
86,Purchases of Investments,-125139000,-804542000,-649972000,-1826137000,-1074919000,-758509000,-101091000,- -,-348594000,-333832000,-1568216000,-677100000,-614200000
87,Sales/Maturities of Investments,62399000,324042000,862968000,871744000,1244841000,806232000,867198000,244837000,40000000,608968000,496390000,1588400000,652300000
88,Other Investing Activites,-1286000,-17822000,4414000,4723000,3421000,9730000,814000,3209000,-7890000,554000,580413000,-37700000,-18200000
89,Cash Used for Investing Activites,-103392000,-617438000,-63455000,-1496934000,147476000,-344159000,749573000,204103000,-460156000,18981000,-851865000,-87700000,-500900000
90,Debt Repayment,- -,- -,- -,- -,-100000000,- -,- -,- -,- -,- -,-101364000,-57000000,-1200000
91,Common Stock Issued,- -,- -,961403000,- -,- -,- -,- -,- -,8769000,9969000,17488000,16900000,33400000
92,Common Stock Repurchased,- -,-1484000,-283770000,-11756000,-9302000,- -,-88409000,-142596000,-105013000,-91570000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,14169000,352921000,391211000,116574000,13484000,15119000,-5136000,-7731000,-21719000,73293000,535507000,729900000,-73600000
95,Cash Used/Provided by Financing Activities,14169000,351437000,1068844000,104818000,-95818000,15119000,-93545000,-150327000,-117963000,-8308000,451631000,689800000,-41400000
96,Effect of Forex Changes on Cash,- -,84000,-49000,-45000,-758000,-669000,-667000,-3542000,3945000,-4594000,10739000,15800000,-26700000
97,Net Change In Cash,101772000,60495000,1394512000,-1196394000,79574000,-334220000,610914000,110250000,-479597000,174319000,-126667000,1047100000,-315200000
98,Cash at the End of Period,127336000,187831000,1582343000,385949000,465523000,131303000,742217000,852467000,372870000,579996000,453329000,1500400000,1185200000
99,Cash at the Beginning of Period,25564000,127336000,187831000,1582343000,385949000,465523000,131303000,742217000,852467000,405677000,579996000,453300000,1500400000
100,Free Cash Flow,151594000,268495000,147289000,-135987000,20861000,-13712000,-52279000,49703000,84606000,156771000,239191000,404400000,237000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1439404/000119312513072858/0001193125-13-072858-index.html,https://www.sec.gov/Archives/edgar/data/1439404/000119312514062902/d652612d10k.htm,https://www.sec.gov/Archives/edgar/data/1439404/000119312515060187/d833276d10k.htm,https://www.sec.gov/Archives/edgar/data/1439404/000119312516470104/0001193125-16-470104-index.html,https://www.sec.gov/Archives/edgar/data/1439404/000156459017001775/0001564590-17-001775-index.html,https://www.sec.gov/Archives/edgar/data/1439404/000156459018002487/0001564590-18-002487-index.html,https://www.sec.gov/Archives/edgar/data/1439404/000156459019005098/0001564590-19-005098-index.html,https://www.sec.gov/Archives/edgar/data/1439404/000156459020007803/0001564590-20-007803-index.html,https://www.sec.gov/Archives/edgar/data/1439404/000156459021009477/0001564590-21-009477-index.htm,https://www.sec.gov/Archives/edgar/data/1439404/000156459022007217/0001564590-22-007217-index.htm
102,false,,,,,,,,,,,,,
