,https://roic.ai/company/BIPC,2017,2018,2019,2020,2021
47,Total Assets,- -,9240000000,9853000000,9344000000,10086000000
48,Accounts Payable,- -,67000000,90000000,84000000,605000000
49,Short-Term Debt,- -,- -,- -,11000000,- -
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,118000000,141000000,156000000,- -
52,Other Current Liabilities,- -,169000000,262000000,2509000000,4466000000
53,Total Current Liabilities,- -,354000000,493000000,2760000000,5071000000
54,Long-Term Debt,- -,3246000000,3526000000,4609000000,3687000000
55,Deferred Revenue,- -,54000000,65000000,- -,- -
56,Deferred Tax Liabilities,- -,1330000000,1465000000,1443000000,1757000000
57,Other Non-Current Liabilities,- -,1007000000,1027000000,1104000000,995000000
58,Total Non-Current Liabilities,- -,5637000000,6083000000,7156000000,6439000000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -
61,Total Liabilities,- -,5991000000,6576000000,9916000000,11510000000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,-437000000,-567000000,-719000000,- -
66,Other Total Stockholders Equity,- -,3686000000,3844000000,147000000,- -
67,Total Stockholders Equity,- -,1462000000,1654000000,-1722000000,-2127000000
68,Total Liabilities And Stockholders Equity,- -,7453000000,8230000000,8194000000,9383000000
69,Minority Interest,- -,1787000000,1623000000,1150000000,703000000
70,Total Liabilities & Equity,- -,9240000000,9853000000,9344000000,10086000000
71,SEC Link,undefined,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,207000000,202000000,197000000,-552000000,-368000000
74,Depreciation and Amortization,263000000,319000000,308000000,283000000,236000000
75,Deferred Income Tax,101000000,100000000,97000000,102000000,171000000
76,Stock Based Compensation,- -,- -,- -,- -,- -
77,Change in Working Capital,68000000,15000000,73000000,-44000000,35000000
78,Accounts Receivable,19000000,-21000000,-58000000,-71000000,- -
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,49000000,36000000,131000000,27000000,- -
81,Other Working Capital,- -,- -,- -,- -,- -
82,Other Non-Cash Items,392000000,429000000,408000000,941000000,765000000
83,Cash Provided by Operating Activities,1031000000,1065000000,1083000000,730000000,839000000
84,CAPEX,- -,- -,- -,-416000000,-415000000
85,Acquisitions Net,-4146000000,- -,- -,- -,817000000
86,Purchases of Investments,- -,- -,- -,- -,-76000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,-367000000,-435000000,-441000000,- -,- -
89,Cash Used for Investing Activites,-4513000000,-435000000,-441000000,-399000000,326000000
90,Debt Repayment,-20000000,-437000000,-55000000,-399000000,-288000000
91,Common Stock Issued,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-33000000,- -
94,Other Financing Activites,3573000000,-131000000,-459000000,115000000,-580000000
95,Cash Used/Provided by Financing Activities,3553000000,-568000000,-514000000,-317000000,-868000000
96,Effect of Forex Changes on Cash,-3000000,-41000000,-23000000,-26000000,-20000000
97,Net Change In Cash,68000000,21000000,105000000,-12000000,277000000
98,Cash at the End of Period,78000000,99000000,204000000,192000000,469000000
99,Cash at the Beginning of Period,10000000,78000000,99000000,204000000,192000000
100,Free Cash Flow,1031000000,1065000000,1083000000,314000000,424000000
101,SEC Link,- -,- -,- -,- -,- -
102,false,,,,,
