,https://roic.ai/company/RAND,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,181003
46,Other Assets,- -,6610000,8460000,8310000,7650000,8440000,10280000,9690000,9390000,12740000,16060000,29464000,32722000,32228797,35631371,35091260,31331957,34252413,39750370,45525987,44761687,42418530,40133913,40521724,38975729,40601527,34584062
47,Total Assets,- -,6610000,8460000,8310000,7650000,8440000,10280000,9690000,9390000,12740000,16060000,29464000,32722000,32228797,35631371,35091260,31331957,34252413,39750370,45525987,44761687,42418530,40133913,40521724,64791449,60966942,65644854
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,561940,1224339,1244136,520911,1594589,322348,370758,338437,3605490,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10824587,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,121141,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,153895,408887
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,40000,- -,150000,220000,250000,4580000,4800000,3900000,3330000,2040000,2930000,3008060,3455661,3928414,2387119,366811,37712,72342,37583,-3434117,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,150000,220000,250000,4580000,4800000,3900000,3330000,2040000,2930000,3570000,4680000,5172550,2908030,1961400,360060,443100,376020,11149855,408887
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,3500000,7200000,8100000,8100000,8100000,9100000,10000000,4000000,4900000,7000000,8000000,8000000,7827773,7855173,8554443,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20377,2611,5650,- -,33864,26464,24264,25930,46797,37707,72336,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3490000,1809000,1044315,2683639,2946614,2206808,1838351,2361186,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,40000,50000,- -,- -,- -,- -,-3510377,-1811611,-1049965,-2683639,-2980478,-2233272,-1862615,-2586746,-46800,-37710,-72339,10786910,- -,4490551
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,3500000,7200000,8100000,8100000,8100000,9100000,10000000,4000000,4900000,7000000,8000000,7800370,7827770,7855170,8554440,10786910,- -,4490551
59,Other Liabilities,- -,150000,110000,70000,40000,60000,230000,80000,- -,- -,- -,16202000,16204000,16201831,- -,20000442,8002836,9800113,14001038,- -,15800367,- -,- -,- -,21573823,3712257,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,150000,110000,70000,40000,60000,230000,80000,150000,3720000,7450000,12682000,12904000,12001831,12425490,12040442,6932836,8470113,11681038,13172546,10908027,9789167,8215228,8997537,11162933,14862112,4899438
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,420000,570000,570000,570000,580000,580000,580000,580000,580000,580000,576000,576000,576304,686304,686304,686304,686304,686304,686304,686304,686304,686304,686304,1519637,2384547,264892
64,Retained Earnings,- -,-1210000,-1510000,-1570000,-1960000,-2070000,-3620000,-4360000,-4700000,-4810000,-4990000,3510000,3856000,-3743908,-4961725,-7674968,-1729856,-1043795,-889317,-867482,-24580,-1577848,-1597146,-1665552,-1751249,-4617773,- -
65,Other Comprehensive Income/Loss,- -,2440000,2390000,2350000,2100000,2930000,6130000,6440000,6440000,6340000,6100000,- -,- -,- -,- -,- -,-2000000,-1000000,-1000000,-1000000,- -,-2000000,-2000000,-2000000,-2000000,- -,- -
66,Other Total Stockholders Equity,- -,4810000,6890000,6890000,6900000,6950000,6970000,6940000,6920000,6920000,6930000,12696000,15386000,23394570,27481302,30039482,27442673,27139791,29272345,33534619,33191936,35520907,34829527,34503435,55860128,48338056,60480524
67,Total Stockholders Equity,- -,6460000,8340000,8240000,7610000,8390000,10060000,9600000,9240000,9030000,8620000,16782000,19818000,20226966,23205881,23050818,24399121,25782300,28069332,32353441,33853660,32629363,31918685,31524187,53628516,46104830,60745416
68,Total Liabilities And Stockholders Equity,- -,6610000,8450000,8310000,7650000,8450000,10290000,9680000,9390000,12750000,16070000,29464000,32722000,32228797,35631371,35091260,31331957,34252413,39750370,45525987,44761687,42418530,40133913,40521724,64791449,60966942,65644854
69,Minority Interest,- -,- -,10000,- -,- -,-10000,-10000,10000,- -,-10000,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,6610000,8460000,8310000,7650000,8440000,10280000,9690000,9390000,12740000,16060000,29464000,32722000,32228797,35631371,35091260,31331957,34252413,39750370,45525987,44761687,42418530,40133913,40521724,64791449,60966942,65644854
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/81955/000095015205002690/0000950152-05-002690-index.htm,https://www.sec.gov/Archives/edgar/data/81955/000095015206002614/0000950152-06-002614-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/81955/000095015209003127/0000950152-09-003127-index.html,https://www.sec.gov/Archives/edgar/data/81955/000095012310025898/0000950123-10-025898-index.html,- -,https://www.sec.gov/Archives/edgar/data/81955/000119312512117544/0001193125-12-117544-index.html,https://www.sec.gov/Archives/edgar/data/81955/000119312513121952/0001193125-13-121952-index.html,https://www.sec.gov/Archives/edgar/data/81955/000119312514103657/0001193125-14-103657-index.htm,https://www.sec.gov/Archives/edgar/data/81955/000119312515091384/0001193125-15-091384-index.htm,https://www.sec.gov/Archives/edgar/data/81955/000119312516500139/0001193125-16-500139-index.html,https://www.sec.gov/Archives/edgar/data/81955/000119312517074789/0001193125-17-074789-index.html,https://www.sec.gov/Archives/edgar/data/81955/000119312518074224/0001193125-18-074224-index.html,https://www.sec.gov/Archives/edgar/data/81955/000119312519066380/0001193125-19-066380-index.html,https://www.sec.gov/Archives/edgar/data/81955/000149315220003569/0001493152-20-003569-index.html,https://www.sec.gov/Archives/edgar/data/81955/000119312521072292/0001193125-21-072292-index.htm,https://www.sec.gov/Archives/edgar/data/81955/000119312522068729/0001193125-22-068729-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,-630000,720000,1640000,-430000,-340000,-210000,-410000,8166471,2719165,409143,-739420,-155063,1348303,1939767,2873357,4541481,1500219,-1202683,-710678,-394498,-2289670,743766,-2604908
74,Depreciation and Amortization,- -,- -,- -,- -,20000,10000,10000,10000,10000,20000,20000,27000,34000,52230,36218,39521,98193,64368,38758,28175,33051,33390,31433,29686,37295,37675,- -
75,Deferred Income Tax,- -,- -,- -,- -,40000,410000,810000,-260000,-320000,-140000,-280000,4654000,484000,-532235,-1722599,-764685,1639324,262975,-739806,-368457,522835,-3526350,613301,26665,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,-150000,-70000,-30000,-4330000,-220000,900000,570000,1290000,-890000,-640000,-1110000,-492550,2264520,946630,1601340,-83040,25882800,-16224140,21617348
78,Accounts Receivable,- -,- -,- -,- -,-10000,-60000,-30000,-110000,-60000,80000,-40000,- -,- -,- -,- -,191114,1004224,-23951,49727,-113312,-43819,-148013,93189,85516,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67410,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,-150000,-220000,-250000,-4580000,-4800000,-3900000,-3330000,-2040000,-2930000,-3570000,-4680000,-5172550,-2908030,-1961400,-360060,-443100,25439700,9215560,30832908
82,Other Non-Cash Items,- -,- -,- -,- -,160000,-1030000,-3200000,-10000,220000,220000,90000,-8830471,-3465165,-1542666,1427846,-3740604,-1554175,1431662,-1570465,-5061795,-6699204,10206809,-7553497,-2478872,-18888438,14825729,-19012440
83,Cash Provided by Operating Activities,- -,- -,- -,- -,-410000,110000,-740000,-690000,-580000,-180000,-610000,-313000,-448000,-713528,-427955,-3330831,641645,3058772,-508156,-1353146,-2378579,6457796,-6018101,-2900059,4741987,-616970,- -
84,CAPEX,- -,- -,- -,- -,-30000,- -,-10000,-10000,- -,-10000,- -,-12000,-1000,-12222,- -,-846,- -,- -,-7547,-11299,-2769,-837,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3384000,-2165000,-1626657,-2955309,-3606200,-2362513,-5915158,-4866273,-6091152,-6969008,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5848000,2712000,- -,4946781,8230833,- -,1894628,9023539,9234323,648605,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-2170000,-1000000,6350000,-2130000,-1200000,-3800000,-2410000,-12000,-1000,713465,420981,109440,620200,422124,457559,968803,1315829,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,-2200000,-1000000,6340000,-2140000,-1200000,-3810000,-2410000,2452000,546000,-925414,2412453,4734073,-1742313,-3598406,4607278,4100675,-5007343,-837,- -,- -,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21825,-6080000,-3100000,-900000,- -,- -,- -,- -,-78188,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3718335,- -,- -,- -,- -,- -,- -,- -,- -,- -,14844504,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,60000,30000,-30000,-20000,- -,- -,- -,- -,- -,- -,- -,- -,-556588,-586325,-257372,- -,-21614,- -,- -,- -,-76729,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4756606,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,-50000,3360000,3610000,881000,- -,- -,956750,900000,- -,3903000,2927250,975750,- -,- -,- -,750000,2195437,- -,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,60000,30000,-30000,-70000,3360000,3610000,881000,- -,- -,4675085,878175,-6080000,246412,1440925,718378,- -,-21614,- -,671812,17039941,-4833335,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-2620000,-840000,5640000,-2850000,-1840000,-630000,580000,3020000,98000,-1638942,6659583,2281417,-7180668,-293222,5540047,3465907,-7385922,6435345,-6018101,-2228247,21781928,-5450305,- -
98,Cash at the End of Period,- -,- -,- -,- -,1140000,300000,5940000,3090000,1250000,620000,1210000,4230000,4398000,2757653,9417236,11698653,4517985,4224763,9764810,13230717,5844795,12280140,6262039,4033792,25815720,20365415,- -
99,Cash at the Beginning of Period,- -,- -,- -,- -,3760000,1140000,300000,5940000,3090000,1250000,630000,1210000,4300000,4396595,2757653,9417236,11698653,4517985,4224763,9764810,13230717,5844795,12280140,6262039,4033792,25815720,20365415
100,Free Cash Flow,- -,- -,- -,- -,-440000,110000,-750000,-700000,-580000,-190000,-610000,-325000,-449000,-725750,-427955,-3331677,641645,3058772,-515703,-1364445,-2381348,6456959,-6018101,-2900059,4741987,-616970,- -
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/81955/000095015205002690/0000950152-05-002690-index.htm,https://www.sec.gov/Archives/edgar/data/81955/000095015206002614/0000950152-06-002614-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/81955/000095015209003127/0000950152-09-003127-index.html,https://www.sec.gov/Archives/edgar/data/81955/000095012310025898/0000950123-10-025898-index.html,- -,https://www.sec.gov/Archives/edgar/data/81955/000119312512117544/0001193125-12-117544-index.html,https://www.sec.gov/Archives/edgar/data/81955/000119312513121952/0001193125-13-121952-index.html,https://www.sec.gov/Archives/edgar/data/81955/000119312514103657/0001193125-14-103657-index.htm,https://www.sec.gov/Archives/edgar/data/81955/000119312515091384/0001193125-15-091384-index.htm,https://www.sec.gov/Archives/edgar/data/81955/000119312516500139/0001193125-16-500139-index.html,https://www.sec.gov/Archives/edgar/data/81955/000119312517074789/0001193125-17-074789-index.html,https://www.sec.gov/Archives/edgar/data/81955/000119312518074224/0001193125-18-074224-index.html,https://www.sec.gov/Archives/edgar/data/81955/000119312519066380/0001193125-19-066380-index.html,https://www.sec.gov/Archives/edgar/data/81955/000149315220003569/0001493152-20-003569-index.html,https://www.sec.gov/Archives/edgar/data/81955/000119312521072292/0001193125-21-072292-index.htm,https://www.sec.gov/Archives/edgar/data/81955/000119312522068729/0001193125-22-068729-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
