,https://roic.ai/company/ACRE,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1529377/000104746913003686/0001047469-13-003686-index.htm,https://www.sec.gov/Archives/edgar/data/1529377/000104746914002459/0001047469-14-002459-index.htm,https://www.sec.gov/Archives/edgar/data/1529377/000104746915001661/0001047469-15-001661-index.htm,https://www.sec.gov/Archives/edgar/data/1529377/000104746916010605/0001047469-16-010605-index.htm,https://www.sec.gov/Archives/edgar/data/1529377/000152937717000004/0001529377-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1529377/000152937718000010/0001529377-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1529377/000152937719000006/0001529377-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1529377/000152937720000021/0001529377-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1529377/000162828021002412/0001628280-21-002412-index.htm,https://www.sec.gov/Archives/edgar/data/1529377/000162828022002648/0001628280-22-002648-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,1240000,23390000,20100000,16551000,8995000,47270000,28343000,11089000,5256000,74776000,50615000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2414383000
33,Cash and Short-Term Investments,1240000,23390000,20100000,16551000,8995000,47270000,28343000,11089000,5256000,74776000,2464998000
34,Net Receivables,4948000,1746000,2552000,21790000,38302000,203000,945000,52425000,42413000,7489000,154177000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,-1746000,-5698000,-21790000,-38302000,-203000,-945000,-52425000,-42413000,- -,- -
37,Total Current Assets,6188000,23390000,16954000,16551000,8995000,47270000,28343000,11089000,5256000,- -,2619175000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,59640000,58889000,61800000,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,59640000,58889000,61800000,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1399000,364469000,1097175000,1792213000,1308187000,1326433000,1741876000,1592235000,- -,- -,- -
45,Total Non-Current Assets,1399000,364469000,1156815000,1851102000,1369987000,1326433000,1741876000,1592235000,- -,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,1778878000,1929497000,12663000
47,Total Assets,7587000,387859000,1173769000,1867653000,1378982000,1373703000,1770219000,1603324000,1784134000,1929497000,2631838000
48,Accounts Payable,- -,1788000,384000,498000,299000,- -,414000,541000,718000,391000,- -
49,Short-Term Debt,- -,112096000,264419000,524363000,305306000,578544000,744509000,- -,560502000,651428000,50358000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,950000,-102984000,-221403000,-402267000,-207780000,-554461000,-730640000,20140000,-539048000,- -,- -
53,Total Current Liabilities,950000,10900000,43400000,122594000,97825000,24083000,14283000,20681000,22172000,651819000,50358000
54,Long-Term Debt,- -,99449000,462842000,596141000,324105000,227557000,457126000,379082000,643314000,675498000,810830000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,200000,112051000,264458000,740466000,547581000,703034000,879640000,777974000,692309000,- -,1092022000
58,Total Non-Current Liabilities,200000,211500000,727300000,1336607000,871686000,930591000,1336766000,1157056000,1335623000,675498000,1902852000
59,Other Liabilities,- -,423021000,- -,- -,- -,- -,- -,- -,- -,1480161000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,1150000,222421000,770699000,1386767000,922494000,944030000,1351049000,1177737000,1357795000,1456482000,1953210000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,92000,284000,284000,284000,283000,283000,283000,283000,329000,465000
64,Retained Earnings,-163000,-3854000,-13473000,-17674000,-11992000,-1310000,-1750000,3565000,2437000,-25117000,-28631000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2844000
66,Other Total Stockholders Equity,6600000,169200000,419405000,420344000,421179000,420056000,420637000,421739000,423619000,497803000,703950000
67,Total Stockholders Equity,6437000,165438000,406216000,402954000,409471000,419029000,419170000,425587000,426339000,473015000,678628000
68,Total Liabilities And Stockholders Equity,7587000,387859000,1176915000,1789721000,1331965000,1363059000,1770219000,1603324000,1784134000,1929497000,2631838000
69,Minority Interest,- -,- -,-3146000,77932000,47017000,10644000,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,7587000,387859000,1173769000,1867653000,1378982000,1373703000,1770219000,1603324000,1784134000,1929497000,2631838000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1529377/000104746913003686/0001047469-13-003686-index.htm,https://www.sec.gov/Archives/edgar/data/1529377/000104746914002459/0001047469-14-002459-index.htm,https://www.sec.gov/Archives/edgar/data/1529377/000104746915001661/0001047469-15-001661-index.htm,https://www.sec.gov/Archives/edgar/data/1529377/000104746916010605/0001047469-16-010605-index.htm,https://www.sec.gov/Archives/edgar/data/1529377/000152937717000004/0001529377-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1529377/000152937718000010/0001529377-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1529377/000152937719000006/0001529377-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1529377/000152937720000021/0001529377-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1529377/000162828021002412/0001628280-21-002412-index.htm,https://www.sec.gov/Archives/edgar/data/1529377/000162828022002648/0001628280-22-002648-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,- -,860000,13766000,24396000,34285000,40336000,30407000,38596000,36991000,21840000,60460000
74,Depreciation and Amortization,- -,- -,38000,160000,219000,167000,- -,- -,667000,892000,9895000
75,Deferred Income Tax,- -,- -,61000,93000,2093000,2049000,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,338000,524000,939000,835000,312000,581000,1102000,1880000,1339000,1940000
77,Change in Working Capital,- -,359000,-38936000,-79597000,17213000,112017000,-9127000,-23652000,-7324000,16916000,2568817000
78,Accounts Receivable,- -,-1743000,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,1778000,1640000,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,12490000,-26446000,-106043000,-88830000,23187000,14060000,-9592000,-16916000,- -,2568817000
82,Other Non-Cash Items,- -,395000,49991000,-168905000,220874000,-146343000,9411000,23172000,238000,-9225000,-2592762000
83,Cash Provided by Operating Activities,- -,1952000,25444000,-222914000,275519000,8538000,31272000,39218000,32452000,31762000,48350000
84,CAPEX,- -,- -,-41000,-3090000,- -,- -,- -,- -,-1686000,-274000,- -
85,Acquisitions Net,- -,- -,-58258000,- -,- -,89981000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-348155000,-687398000,-432257000,258339000,-223282000,-405768000,157924000,-174426000,-81867000,-699685000
89,Cash Used for Investing Activites,- -,-348155000,-745697000,-433080000,258339000,-133301000,-405768000,157924000,-174426000,-81867000,-699685000
90,Debt Repayment,- -,-134097000,-695139000,-1381792000,-1690223000,-2081719000,-791635000,-822227000,-843186000,-446530000,-37500000
91,Common Stock Issued,- -,165850000,250687000,- -,- -,- -,- -,- -,- -,73232000,204779000
92,Common Stock Repurchased,- -,-6295000,- -,- -,- -,-1436000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-1662000,-18575000,-28577000,-28597000,-29400000,-30531000,-32088000,-37487000,-42765000,-58424000
94,Other Financing Activites,- -,344557000,1179990000,2062814000,1177406000,2185612000,1177735000,639919000,1016814000,535309000,518319000
95,Cash Used/Provided by Financing Activities,- -,368353000,716963000,652445000,-541414000,73057000,355569000,-214396000,136141000,119246000,627174000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,22150000,-3290000,-3549000,-7556000,38275000,-18927000,-17254000,-5833000,69141000,-24161000
98,Cash at the End of Period,- -,23390000,20100000,16551000,8995000,47270000,28343000,11468000,5635000,74776000,50615000
99,Cash at the Beginning of Period,- -,1240000,23390000,20100000,16551000,8995000,47270000,28722000,11468000,5635000,74776000
100,Free Cash Flow,- -,1952000,25403000,-226004000,275519000,8538000,31272000,39218000,30766000,31488000,48350000
101,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1529377/000104746913003686/0001047469-13-003686-index.htm,https://www.sec.gov/Archives/edgar/data/1529377/000104746914002459/0001047469-14-002459-index.htm,https://www.sec.gov/Archives/edgar/data/1529377/000104746915001661/0001047469-15-001661-index.htm,https://www.sec.gov/Archives/edgar/data/1529377/000104746916010605/0001047469-16-010605-index.htm,https://www.sec.gov/Archives/edgar/data/1529377/000152937717000004/0001529377-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1529377/000152937718000010/0001529377-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1529377/000152937719000006/0001529377-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1529377/000152937720000021/0001529377-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1529377/000162828021002412/0001628280-21-002412-index.htm,https://www.sec.gov/Archives/edgar/data/1529377/000162828022002648/0001628280-22-002648-index.htm
102,false,,,,,,,,,,,
