,https://roic.ai/company/TV,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,11062962500,7995478500,11271058250,12271976400,14450751000,14299397291,16371241000,17099957000,16908939000,17517276000,20756417000,21678254000,24182947000,27080630000,32844471000,37195633000,42274219000,45759495000,50698959000,55137114000,61145379000,69258438000,77385500000,77914084000,82952857000,83789501000,80604342000,83732500000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,1017324000,- -,649892000,656511000,932124000,1094266000,1844653000,1299789000,1053411000,1047505000,1146517000,1044321000,1129955000,1327691000,1027758000,1499473000,2268711000,1567100000,1529112000,1132935000,620200000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,1323941000,- -,1375770000,2095384000,2134499000,1937591000,2176998000,2816369000,4026665000,3615276000,4312764000,4369276000,4803151000,5551461000,6239387000,8497919000,9245671000,9707324000,10402021000,10482168000,9162400000
14,Depreciation and Amortization,606364500,506989000,803782250,947285000,1167138000,1544026624,1933668000,1407883000,3040093000,1525240000,2075004000,2418969000,2679066000,3223070000,4311115000,4929589000,6579325000,7554468000,8474240000,9846366000,11563085000,14660929000,16979833000,18536274000,19834202000,21008796000,21260787000,21418369000
15,EBITDA,1777460500,1524819500,319623500,7449288000,2226464100,3397310762,1428366000,4804916000,4077276000,7217096000,9656953000,11430253000,15219516000,16832172000,18495331000,18084141000,21136976000,22166624000,25657444000,26126758000,25482334000,38131669000,32071393000,36580561000,39941444000,38705401000,35720513000,43461169000
16,EBITDA ratio,0.1335,0.1725,0.0278,0.5261,0.1325,0.1898,0.0662,0.2223,0.1891,0.3063,0.3294,0.3519,0.4012,0.4050,0.3855,0.3454,0.3653,0.3542,0.3703,0.3541,0.3181,0.4331,0.3331,0.3880,0.3944,0.3804,0.3669,0.4198
17,Operating Income,2248182000,845238500,224366250,1886508000,2358014400,3603122958,5210595000,4512164000,4650330000,6045937000,8557836000,10802787000,13748894000,14480896000,15127807000,15156868000,15582609000,16822046000,18139553000,18738335000,13956407000,18745125000,16598097000,14243202000,20252558000,17005030000,17525368000,22183300000
18,Operating Income ratio,0.1689,0.0956,0.0195,0.1332,0.1403,0.2013,0.2414,0.2088,0.2157,0.2566,0.2919,0.3326,0.3625,0.3484,0.3153,0.2895,0.2693,0.2688,0.2618,0.2539,0.1742,0.2129,0.1724,0.1511,0.2000,0.1671,0.1800,0.2143
19,Total Other Income Expenses (Gains),-1069028000,172592000,-708525000,4615495000,-2981147400,-1644965038,-3609295000,-1773570000,-3588912000,-1815032000,-2432924000,-2496059000,-1955588000,-2112865000,-2832955000,-5453427000,-3807696000,-5232154000,-4017094000,-4775246000,-4315752000,-87457000,-8392508000,-3391560000,-8246784000,-8229772000,-11994644000,-8111200000
20,Income Before Tax,1179154000,1017830500,-484158750,6502003000,-623133000,1958157920,1601300000,2738594000,1061418000,4230905000,6124912000,8306728000,11793306000,12368031000,12294852000,9703441000,11774913000,11589892000,14122459000,13963089000,9640655000,18657668000,8205589000,10851642000,12005774000,8775258000,5530724000,14072100000
21,Income Before Tax Ratio,0.0886,0.1151,-0.0421,0.4592,-0.0371,0.1094,0.0742,0.1267,0.0492,0.1796,0.2089,0.2557,0.3109,0.2976,0.2563,0.1853,0.2035,0.1852,0.2038,0.1892,0.1203,0.2119,0.0852,0.1151,0.1185,0.0862,0.0568,0.1359
22,Income Tax expense (Gain),53048500,74738500,113364000,539347800,298708200,793118617,366953000,594156000,299347000,719483000,1169822000,751243000,2016671000,3349641000,3564195000,3120744000,3258986000,3409751000,4053291000,3728962000,2980883000,6332218000,2872235000,4274120000,4390504000,2668445000,5227900000,7493900000
23,Net Income,1118047500,943092000,-597522750,5962655200,760617900,1060165521,-872255000,1478936000,737836000,3596603000,4316743000,6125542000,8586188000,8082463000,7803652000,6007143000,7683389000,6889641000,8760637000,7748279000,5386905000,10899135000,3721406000,4524496000,6009414000,4626139000,-1250342000,5386500000
24,Net Income ratio,0.0840,0.1067,-0.0520,0.4211,0.0453,0.0592,-0.0404,0.0684,0.0342,0.1526,0.1473,0.1886,0.2264,0.1945,0.1627,0.1147,0.1328,0.1101,0.1264,0.1050,0.0672,0.1238,0.0386,0.0480,0.0593,0.0455,-0.0128,0.0520
25,EPS,78.57,67.61,-36.84,374.94,46.29,60.88,-14.63,24.86,11.70,59.96,5.85,11.70,17.55,11.70,13.90,10.74,11.70,11.70,15.35,13.51,9.32,17.55,5.85,5.85,11.70,5.85,-2.24,9.67
26,EPS Diluted,78.57,67.61,-36.84,374.94,46.29,60.88,-14.63,24.86,11.70,59.96,5.85,11.70,17.55,11.70,13.90,10.74,11.70,11.70,15.35,13.51,9.32,17.55,5.85,5.85,11.70,5.85,-2.24,9.67
27,Weighted Average Shares Outstanding,618000000,618000000,618000000,618000000,618000000,603402105,60344866,60698036,60539121,60133073,590095726,583176391,580814055,570346214,561355152,559368597,656699915,588858205,570765710,573506022,577873846,578275115,582935379,588089790,581957738,578419132,557252071,557252071
28,Weighted Average Shares Outstanding Diluted,618000000,618000000,618000000,618000000,618000000,603402105,60344866,60698036,60539121,60133073,590095726,583176391,580814055,570346214,561355152,559368597,656699915,588858205,570765710,573506022,577873846,619538268,619538268,619441304,613673121,606542621,557252071,557252071
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4771007500,2765324500,2664054000,2433111600,5658641100,1286874901,1059922428,513376000,1613176000,371754000,390525000,544582000,675840000,843531000,35106060000,29941488000,20942531000,16275924000,19063325000,16692033000,29729350000,49397126000,47546083000,38734949000,32068291000,27451997000,29058093000,25593300000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,6583332060,5432399000,7173633000,11891774000,16250816000,14233372000,26956840000,26461365000,6798271000,8902346000,10446840000,5422563000,5317296000,3722976000,4788585000,5330448000,5498219000,6013678000,30992000,- -,- -,196600000
33,Cash and Short-Term Investments,4771007500,2765324500,2664054000,2433111600,5658641100,1286874901,7643254487,5945775000,8786809000,12263528000,16641341000,14777954000,27632680000,27304896000,41904331000,38843834000,31389371000,21698487000,24380621000,20415009000,34517935000,54727574000,53044302000,44748627000,32099283000,27451997000,29058093000,25789900000
34,Net Receivables,5127574000,3703023000,4891184250,4831556600,7478585100,8601248844,8162830164,10656634000,10431487000,11938710000,12440515000,14466910000,15270723000,20080027000,20593263000,22065452000,22077668000,22152578000,22894702000,24493649000,35298959000,26096584000,31696931000,30531319000,27203791000,25993385000,25786228000,31934000000
35,Inventory,4908665000,3723826500,4719563750,6343181600,7872246900,8014888425,8411726440,562871000,508684000,513458000,662760000,638280000,772890000,833996000,1612024000,1665102000,1254536000,1383822000,1508581000,1718366000,3336667000,1628276000,1899078000,1492947000,1026428000,1151421000,1641300000,2212900000
36,Other Current Assets,1201985000,694991000,963594000,827161200,535103100,5263933529,1677098061,4374311000,3850272000,4042431000,4304866000,3698569000,3824257000,3807941000,4449319000,5808069000,5122155000,5424871000,5853850000,6580721000,6648615000,7485642000,9121187000,10271810000,11723366000,13528099000,12575454000,13021900000
37,Total Current Assets,16009231500,10887165000,13238396000,14435011000,21544576200,23166945699,25894909153,21539591000,23577252000,28758127000,34049482000,33581713000,47500550000,52026860000,68558937000,68382457000,59843730000,50659758000,54637754000,53207745000,79802176000,89938076000,95761498000,87044703000,72052868000,68124902000,69061075000,72958700000
38,PP&E,10504946000,7725033000,9075418000,9846926800,11757431700,11964267034,12617488456,14736497000,15343222000,15600698000,19159567000,19728547000,20975939000,25171331000,30798398000,33071464000,38651847000,41498967000,48363191000,53476475000,62009508000,76089277000,86783572000,85719810000,87342530000,90882284000,90493792000,95526600000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7520966000,7200018000,2184945000,3978277000,6288658000,3133802000,2529594000,2571942000,2571632000,2621530000,9322773000,14112626000,14112626000,14112626000,14113626000,14113626000,14113626000,- -
40,Intangible Assets,2612806500,1332194500,2905739750,3173203200,3696266700,3617880589,5598966225,- -,- -,- -,1635630000,1953764000,2391413000,3290097000,10580894000,12984806000,6729310000,7759271000,14990768000,17825626000,28450039000,33132848000,31597441000,29932329000,38179705000,37116918000,36593388000,54677000000
41,Intangible Assets,2612806500,1332194500,2905739750,3173203200,3696266700,3617880589,5598966225,3053495000,7966199000,9200158000,9156596000,9153782000,4576358000,7268374000,16869552000,16118608000,9258904000,10331213000,17562400000,20447156000,37772812000,47245474000,45710067000,44044955000,52293331000,51230544000,50707014000,54677000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,3033092000,6321780000,6757722000,7587509000,5710663000,8115584000,3348610000,6361023000,21837453000,43407790000,42978939000,56267166000,39742319000,50353375000,57229005000,58107604000,59750158000,53334361000,29816243000,32780300000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,410893000,1073888000,10608778000,16080292000,17665086000,22729580000,21355044000,22181779000,24185148000,27999693000,32542900000
44,Other Non-Current Assets,4553441500,4797133000,4100785250,6695491000,5076061200,4314346181,991662217,12675647000,6553706000,4878477000,4760289000,4800186000,4266980000,6121327000,3276308000,2634824000,6878693000,8752779000,450005000,101600000,144834000,182466000,840428000,947985000,3549927000,2586561000,3168515000,4415000000
45,Total Non-Current Assets,17671194000,13854360500,16081943000,19715621000,20529759600,19896493804,19208116898,30465639000,32896219000,36001113000,39834174000,41270024000,35529940000,46676616000,54292868000,58185919000,76626897000,104401642000,110428423000,140901175000,155749765000,191535678000,213292652000,210175398000,225117725000,222218898000,202185257000,219941800000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,33680425500,24741525500,29320339000,34150632000,42074335800,43063439503,45103026051,52005230000,56473471000,64759240000,73883656000,74851737000,83030490000,98703476000,122851805000,126568376000,136470627000,155061400000,165066177000,194108920000,235551941000,281473754000,309054150000,297220101000,297170593000,290343800000,271246332000,292900500000
48,Accounts Payable,1051569000,809025000,891954250,1164152800,1358034300,1976595499,2180827962,2083571000,2228507000,2348579000,2135250000,2954723000,3450753000,4457519000,6337436000,6432906000,7472253000,7687518000,8594138000,10719484000,17142044000,17361484000,22878015000,19959795000,22029548000,20909655000,21943227000,22588500000
49,Short-Term Debt,335750000,2388550000,3299364750,138666400,142430400,732773149,346554065,353889000,1239880000,285193000,3367834000,416061000,1072544000,586346000,2421981000,1668286000,1749279000,1551891000,814257000,737413000,1814218000,4675624000,4456175000,3863189000,4048640000,5017643000,1894745000,5584800000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,886387000,1287040000,1558762000,1055793000,1179477000,684497000,830073000,940975000,1443887000,1388242000,1355818000,1692415000,2497697000,2878836000,3491607000,3696845000,4335124000,5918254000,6476984000,12161600000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,11416678000,11549427000,13584683000,14930323000,15538229000,16893604000,17145053000,- -,- -,18587871000,20926324000,21215862000,21962847000,20150744000,20470380000,21709431000,18798347000,13637580000,5779758000,5935858000,9032300000
52,Other Current Liabilities,1672706500,1164996000,1346984750,1377795800,1909952100,2206852386,1725396836,1342067000,2069896000,2733711000,3278893000,3427236000,3527411000,3293428000,21950914000,24076138000,5499659000,5836379000,5621380000,6863323000,5263116000,6470562000,8382442000,8143486000,8815675000,10678794000,13935836000,19293000000
53,Total Current Liabilities,3060025500,4362571000,5538303750,2680615000,3410416800,4916221034,4252778862,15196205000,17087710000,18952166000,23712300000,22336249000,24944312000,25482346000,30710331000,32177330000,33309062000,36002112000,36245637000,40283067000,44370122000,48978050000,57426063000,50764817000,48531443000,42385850000,43709666000,56498600000
54,Long-Term Debt,12367015500,5792619000,6764052000,7215490000,9092796300,8619932384,10899706075,13550537000,13345215000,14704222000,18943799000,19324173000,18915745000,25468521000,37852746000,43149657000,46845334000,55858844000,57148312000,64237649000,85467882000,112724323000,135613594000,129540643000,126938164000,128550498000,129950577000,129887900000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,203668000,419560000,- -,2508200000,268200000,2665185000,- -,- -,495508000,460000000,769301000,474011000,284000000,514531000,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,190034500,88607500,50384000,4031000,- -,- -,1847931722,1830814000,2035860000,1154456000,1334022000,165657000,1488778000,1272834000,2265161000,1765381000,681797000,- -,- -,- -,7763024000,10000048000,10349135000,9037513000,8390522000,7052233000,1786311000,2249200000
57,Other Non-Current Liabilities,6578685500,4705443500,6782158750,7745163400,8749578600,8926446492,10473296623,1631175000,2476531000,2002509000,2289507000,653534000,809082000,3164290000,4771891000,5003861000,3281165000,3883959000,2368324000,10534760000,9751832000,9735025000,9380958000,8220214000,8779773000,6950986000,7860745000,8478100000
58,Total Non-Current Liabilities,19135735500,10586670000,13596594750,14964684400,17842374900,17546378876,23220934419,17012526000,18061274000,18280747000,22567328000,22651564000,21481805000,32570830000,44889798000,49918899000,51303804000,60202803000,60285937000,75246420000,103266738000,132973927000,155343687000,146798370000,144108459000,142553717000,139597633000,140615200000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70743000,1262537000,1206591000,1132830000,1311663000,1401733000,629811000,583735000,4971150000,4919247000,5309545000,5805115000,6391826000,5622774000,5317944000,9363520000,9292351000,9680600000
61,Total Liabilities,22195761000,14949241000,19134898500,17645299400,21252791700,22462599910,27473713281,32208731000,35148984000,37232913000,46279628000,44987813000,46426117000,58053176000,75600129000,82096229000,84612866000,96204915000,96531574000,115529487000,147636860000,181951977000,212769750000,197563187000,192639902000,184939567000,183307299000,197113800000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,6105950989,6738772955,- -,- -,- -,9570506000,- -,- -,- -,- -,- -,- -,- -,4978126000,4978126000,4978126000,4978126000,4978126000,4978126000,4907765000,4907765000,4907765000,4836700000
64,Retained Earnings,6559883500,5860423000,3981123250,3920550600,9556684200,13170410124,9775436687,11173723000,12599747000,17228065000,22934216000,17959692000,25301442000,29795841000,29534334000,25387240000,31266773000,37624887000,51073399000,56897886000,62905444000,73139684000,70395669000,74983656000,78510909000,82431278000,84280397000,87548900000
65,Other Comprehensive Income/Loss,-4468832500,-3355527500,-4275554750,-4463929400,-5725899900,-6335753795,-6805095818,-8034916000,-9296469000,-2243519000,-2562063000,3996601000,2813617000,366824000,3184043000,3401825000,5386532000,3174521000,1805884000,3394051000,5679063000,5257554000,3961784000,4599147000,4427487000,1320451000,-15556848000,-13582800000
66,Other Total Stockholders Equity,8912148000,6624759000,9606811750,16021612600,15903738900,6341647387,7001365612,15626263000,- -,- -,-2218086000,- -,- -,- -,- -,- -,- -,- -,2786596000,3041371000,3242344000,4007571000,4456337000,1100835000,1670759000,1870972000,-189305000,1684700000
67,Total Stockholders Equity,11003199000,9129654500,9312380250,15478233800,19734523200,19282254706,16710479436,18765070000,20184911000,26447683000,27724573000,29013052000,35021280000,37039113000,42018842000,38169795000,45064483000,51659822000,60644005000,68311434000,76804977000,87382935000,83791916000,85661764000,89516920000,90530466000,73442009000,80487500000
68,Total Liabilities And Stockholders Equity,33198960000,24078895500,28447278750,33123533200,40987314900,41744854615,44184192718,50973801000,55333895000,63680596000,74004201000,74000865000,81447397000,95092289000,117618971000,120266024000,129677349000,147864737000,157175579000,183840921000,224441837000,269334912000,296561666000,283224951000,282156822000,275470033000,256749308000,277601300000
69,Minority Interest,481465500,662630000,873060250,1027098800,1087020900,1318584888,918833333,1031429000,1139576000,1078644000,-120545000,850872000,1583093000,3611187000,5232834000,6302352000,6793278000,7196663000,7890598000,10267999000,11110104000,12138842000,12492484000,13995150000,15013771000,14873767000,14497024000,15299200000
70,Total Liabilities & Equity,33680425500,24741525500,29320339000,34150632000,42074335800,43063439503,45103026051,52005230000,56473471000,64759240000,73883656000,74851737000,83030490000,98703476000,122851805000,126568376000,136470627000,155061400000,165066177000,194108920000,235551941000,281473754000,309054150000,297220101000,297170593000,290343800000,271246332000,292900500000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1118047500,943092000,-597522750,5962655200,760617900,1060165521,-872255000,1478936000,737836000,3596603000,4316743000,6125542000,8586188000,8082463000,7803652000,6007143000,7683389000,6889641000,8760637000,7748279000,5386905000,10899135000,3721406000,4524496000,6009414000,4626139000,-1250342000,5386500000
74,Depreciation and Amortization,606364500,506989000,803782250,947285000,1167138000,1544026624,1933668000,1407883000,3040093000,1525240000,2075004000,2418969000,2679066000,3223070000,4311115000,4929589000,6579325000,7554468000,8474240000,9846366000,11563085000,14660929000,16979833000,18536274000,19834202000,21008796000,21260787000,21418369000
75,Deferred Income Tax,-192720500,-3082000,-38575250,-46759600,-3956400,-50469207,-631876000,-185673000,-603357000,-332068000,572359000,-787777000,1245815000,-358122000,- -,- -,- -,- -,- -,- -,- -,- -,2872235000,4274120000,4390504000,2776445000,5004657000,7493818000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,235047000,140517000,222046000,371783000,556711000,649325000,628637000,601181000,844788000,1199489000,1410492000,1489884000,1327549000,1129644000,984356000,1176517000
77,Change in Working Capital,-1377918000,-828287500,-311751000,-338604000,-2207671200,-95205641,261150000,-971454000,1577777000,1436544000,-236797000,1841501000,-173430000,-2227595000,-3652879000,-5128371000,-605202000,197653000,-2140666000,-2864650000,-1985448000,-647791000,-401488000,-6335660000,-2167808000,-6931224000,-1325220000,-3988262000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69320000,- -,- -,- -,- -,-80920000,-175690000,-730072000,-594478000,-2604151000,-1213774000,-2120569000,-4649477000,-1064810000,3483695000,4785389000,634108000,-2240682000
79,Inventory,-1558551500,-176444500,-128321750,-1031936000,-832822200,240019627,16971000,-162410000,54187000,15454000,-108818000,46568000,-108739000,-32053000,-375153000,-45148000,402874000,-113275000,-27207000,-238760000,-1495275000,1705238000,-262016000,360563000,444790000,-128327000,-522003000,-6200914000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,-60645000,-155199000,144936000,30618000,-605452000,748311000,376269000,840911000,1577231000,- -,- -,-21162000,711155000,2159414000,4795769000,63873000,5255698000,-2696279000,2087404000,-1885865000,1012072000,321712000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,1095572000,814998000,738362000,2301883000,582804000,4081212000,-1843313000,-465005000,-1269048000,-16035000,-1185289000,-1319675000,541218000,449129000,-2011640000,396842000,643278000,-3211384000,-5094429000,-7900758000,512035000,- -
82,Other Non-Cash Items,-159145500,149477000,508563500,-6212577200,-2616169500,-770518629,1545358000,1259191000,375958000,216219000,1035477000,1698751000,1342075000,2751557000,13573859000,8955431000,2650685000,7564084000,6833215000,8475029000,12653609000,5173814000,12074413000,2610622000,4320635000,4659284000,8486681000,-2090886000
83,Cash Provided by Operating Activities,-5372000,768188500,364496750,311999400,-2900041200,1687998669,2236045000,2988883000,5128307000,6442538000,7762786000,11296986000,13914761000,11611890000,22257793000,15135575000,16864908000,22855171000,22556063000,23806205000,28462939000,31285576000,36656891000,25099736000,33714496000,27269084000,33160919000,29396056000
84,CAPEX,-2309288500,-748926000,-873060250,-918261800,-933710400,- -,-2585631000,-2150609000,-1602323000,-1548725000,-2026979000,-4396706000,-4484661000,-7226407000,-6680620000,-6980470000,-12018083000,-9911239000,-12250449000,-15694744000,-17798834000,-27077946000,-30413709000,-18537156000,-26273943000,-21215034000,-21366915000,-25167247000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1975666000,- -,- -,- -,- -,-439193000,-1588925000,-5487293000,2441887000,-183804000,-161467000,304936000,123380000,1373624000,10000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-503035000,-5182298000,-4807845000,-609708000,-239193000,-1201361000,-16548179000,-3385342000,-5757198000,-4377706000,-15690929000,-19542909000,-274958000,-10009943000,-447117000,-73469000,-48194000,-262401000,-72723000,- -,-602466000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,1588204000,252765000,721381000,537031000,36291000,105015000,6933725000,12967007000,984528000,57800000,234158000,5819211000,479039000,1868059000,513134000,362416000,74086000,582468000,6584665000,2332674000,3155643000,- -
88,Other Investing Activites,-3297736500,12328000,831336000,5153230400,7315383600,2139724084,1211989000,-46967000,2757951000,-592780000,63021000,-14766000,4417843000,-2566592000,-1397359000,-321453000,-511084000,-1701113000,-503889000,-644972000,-313875000,-988249000,-900913000,-730119000,-12215451000,-352847000,285240000,4216169000
89,Cash Used for Investing Activites,-5607025000,-736598000,-41724250,4234968600,6381673200,2139724084,-288473000,-6447839000,-2864275000,-1717678000,-2166860000,-3849207000,-8500934000,1123968000,-11361475000,-11052228000,-27273868000,-25093312000,-12167423000,-25246453000,-22739509000,-23781560000,-29000410000,-17331085000,-23898235000,-17005077000,-15919697000,-19041678000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-1160983000,-1441605000,-2458532000,-175656000,- -,-11059639000,-856431000,-1692327000,-700582000,-2507477000,-1344547000,-4341584000,-1665184000,-751159000,-7282987000,-7194092000,-3951664000,-13114804000,-2031957000,-23843154000,-6188600000,-3721242000
91,Common Stock Issued,2686000,- -,- -,- -,- -,- -,353097000,- -,409000,4023375000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1057083000,1064602000,733831000,1720807000,2301918000,1954312000,100246000,111979000,- -
92,Common Stock Repurchased,- -,-18492000,- -,- -,- -,-2691555430,-1274440000,-243661000,-37095000,-4580676000,-229233000,-879865000,-2541707000,-3848560000,-1112568000,-677185000,-1274022000,-12552000,- -,-1057083000,-1064602000,-733831000,-1720807000,-5185726000,-4595492000,-1485996000,-504576000,-438154000
93,Dividends Paid,-513697500,- -,- -,- -,- -,- -,- -,- -,- -,-571871000,-3981377000,-4305789000,-1119749000,-4506492000,-2229973000,-9163857000,- -,-1023012000,-1002692000,-2168384000,- -,-1084192000,-1084192000,-1084192000,-1068868000,-1066187000,- -,-1053392000
94,Other Financing Activites,8268179500,-758172000,-1183236750,-5200796200,-466855200,-1398597737,1254322000,2667445000,3072220000,-292720000,1888063000,6379521000,-462126000,8073082000,2157602000,4707636000,4054033000,2834046000,-4879923000,1995726000,14513836000,20311209000,-4955056000,613466000,-10762909000,11993195000,-9614019000,-8629861000
95,Cash Used/Provided by Financing Activities,7757168000,-776664000,-1183236750,-5200796200,-466855200,-4090153167,-828004000,982179000,577002000,-1597548000,-2322547000,-9865772000,-4980013000,-1974297000,-1885521000,-7640883000,1435464000,-2543102000,-7547799000,-923817000,7230849000,12032925000,-9990912000,-16469338000,-16504914000,-14301896000,-16195216000,-13842649000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,131854000,-105530000,-44115000,105214000,-53440000,-7227000,83038000,130835000,483388000,-110447000,21995000,-60449000,-11516000,23540000
97,Net Change In Cash,7757168000,-776664000,-1183236750,-653022000,-466855200,-262430415,1119568000,-2476777000,2841034000,3127312000,3741238000,-2417993000,433814000,10899822000,9142651000,-3641557000,-9017611000,-4676029000,2787401000,-2371292000,13037317000,19667776000,-1851043000,-8811134000,-6666658000,-4616294000,1605828000,-3464731000
98,Cash at the End of Period,- -,- -,- -,2433111600,- -,6076133006,8327830000,6182209000,8786809000,12263528000,16641341000,14777954000,15810748000,27304896000,35106060000,29941488000,20942531000,16275924000,19063325000,16692033000,29729350000,49397126000,47546083000,38734949000,32068291000,27451997000,29058093000,25593362000
