,https://roic.ai/company/URG,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,710261,24646383,26570491,21199454,30997348,28714221,15836904,11560040,1627000,2673000,241000,972000,2212000,4436000,5997000,4268000,46189000
32,Short-Term Investments,8463923,- -,50488762,32195316,10468294,5214830,6797892,6477995,- -,431000,1202000,580000,1667000,1936000,1755000,- -,- -
33,Cash and Short-Term Investments,9174184,24646383,77059253,53394770,41465642,33929050,22634796,18038036,1627000,3104000,1443000,1552000,3879000,6372000,7752000,4268000,46189000
34,Net Receivables,130086,68957,922321,109047,18631,19022,15689,16575,5802000,28000,9000,16000,33000,31000,22000,- -,4000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,2053000,5168000,3345000,4109000,4515000,1840000,- -,7814000,- -
36,Other Current Assets,188392,127182,62090,63909,97081,99911,890614,193316,950000,856000,916000,829000,741000,847000,885000,-7000000,2430000
37,Total Current Assets,9492661,24842521,78043664,53567726,41581354,34047983,23541099,18247927,10432000,9156000,5713000,6506000,9168000,9090000,8659000,5082000,48623000
38,PP&E,23226333,38055180,59129111,27742989,31011763,32759172,34908570,49848394,87952000,85743000,81398000,75877000,71638000,70963000,66842000,- -,56327000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,2644558,2768674,2600071,2637187,1085000,1090000,1089000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,6185373,142545,1523353,2119002,2789452,4402344,3445981,3391558,5867000,7556000,7557000,7557000,7558000,20310000,14889000,- -,15889000
45,Total Non-Current Assets,29411706,38197726,60652464,29861991,36445773,39930189,40954623,55877140,94904000,94389000,90044000,83434000,79196000,91273000,81731000,- -,72216000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76748000,- -
47,Total Assets,38904367,63040247,138696127,83429717,78027127,73978172,64495722,74125067,105336000,103545000,95757000,89940000,88364000,100363000,90390000,81830000,120839000
48,Accounts Payable,309216,545855,1446657,1861182,- -,580052,301042,2221073,1736000,1503000,1402000,725000,840000,620000,523000,2320000,854000
49,Short-Term Debt,5019804,5003346,- -,- -,- -,- -,- -,114044,5153000,7374000,8527000,4502000,4774000,5062000,- -,459000,1262000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,682000,1947000,43000,- -,975000,505000,205000,157000,83000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,190000,152000,121000,121000,121000,- -,- -,- -
52,Other Current Liabilities,-0,- -,- -,- -,1480924,754132,1273101,272560,1277000,2734000,3142000,2864000,2150000,1679000,1760000,805000,4108000
53,Total Current Liabilities,5329020,5549201,1446657,1861182,1480924,1334185,1574143,2607677,8166000,11801000,13223000,8212000,7885000,7482000,2283000,3584000,6224000
54,Long-Term Debt,10959490,7619762,- -,- -,- -,- -,- -,211597,34000000,32477000,23937000,19435000,14662000,9600000,12215000,- -,11078000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,2508000,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,1253229,1877145,1178431,392769,- -,- -,- -,- -,3345000,3345000,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,0,0,183451,422002,- -,- -,- -,1035149,18653000,23821000,26096000,26061000,27036000,31434000,31559000,44150000,34151000
58,Total Non-Current Liabilities,12212719,9496907,1361882,814771,- -,- -,- -,1246746,58506000,59643000,50033000,45496000,41698000,41034000,43774000,44150000,45229000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,2493491,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,5019804,5003346,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000,50000,18000
61,Total Liabilities,17541739,15046108,2808539,2675952,1480924,1334185,1574143,3854422,66672000,71444000,63256000,53708000,49583000,48516000,46057000,47734000,51453000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,178059183,165974000,168118000,168911000,174902000,177063000,185221000,185754000,- -,248319000
64,Retained Earnings,-824743,-5163335,-13208270,-48348963,-74084143,-93976558,-107076742,-123025198,-149030000,-153604000,-154399000,-157475000,-157399000,-156974000,-165392000,- -,-203115000
65,Other Comprehensive Income/Loss,3034947,39125,-211574,-594540,-1172885,-1738563,-2161794,-2734364,3298000,3337000,3357000,3604000,3663000,3670000,3654000,3707000,4142000
66,Other Total Stockholders Equity,22187371,53187378,149307433,129697267,151803232,168359109,172160116,17971023,18422000,14250000,14632000,15201000,15454000,19930000,20317000,30389000,- -
67,Total Stockholders Equity,21362628,47994139,135887589,80753764,76546204,72643988,62921579,70270644,38664000,32101000,32501000,36232000,38781000,51847000,44333000,34096000,69386000
68,Total Liabilities And Stockholders Equity,38904367,63040247,138696127,83429717,78027127,73978172,64495722,74125067,105336000,103545000,95757000,89940000,88364000,100363000,90390000,81830000,120839000
69,Minority Interest,- -,- -,- -,- -,0,- -,0,-0,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,38904367,63040247,138696127,83429717,78027127,73978172,64495722,74125067,105336000,103545000,95757000,89940000,88364000,100363000,90390000,81830000,120839000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1375205/000155837015000251/0001558370-15-000251-index.html,https://www.sec.gov/Archives/edgar/data/1375205/000155837016003622/0001558370-16-003622-index.html,https://www.sec.gov/Archives/edgar/data/1375205/000155837017001345/0001558370-17-001345-index.html,https://www.sec.gov/Archives/edgar/data/1375205/000155837018001465/0001558370-18-001465-index.html,https://www.sec.gov/Archives/edgar/data/1375205/000155837019001434/0001558370-19-001434-index.html,https://www.sec.gov/Archives/edgar/data/1375205/000155837020001802/0001558370-20-001802-index.html,https://www.sec.gov/Archives/edgar/data/1375205/000165495421002132/0001654954-21-002132-index.htm,https://www.sec.gov/Archives/edgar/data/1375205/000165495422002811/0001654954-22-002811-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-624653,-4341563,-7130937,-14670160,-17890190,-16415462,-15922503,-13131695,-30353000,-8749000,-795000,-3010000,76000,4534000,-8418000,-14785000,-22938000
74,Depreciation and Amortization,- -,29905,76814,423285,502866,525957,465813,517006,537000,7643000,6504000,5144000,4890000,3603000,4413000,4263000,3834000
75,Deferred Income Tax,-238505,-440975,-2555791,- -,-351872,- -,- -,- -,- -,- -,-3345000,-17000,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,908102,702650,2400327,2439644,1153000,928000,893000,857000,891000,915000,787000,951000,1080000
77,Change in Working Capital,-291873,15129679,57303687,-24890463,-11606113,-7386632,-10746843,-6326706,-13374250,-4911000,-4865000,5804000,2989000,325000,4768000,-4878000,-6649000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,3437,-499,-5720000,5772000,19000,-7000,-17000,2000,9000,22000,-4000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,-1433000,-3115000,1823000,-765000,-406000,-10177000,-2997000,-8190000,-7109000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-131000,-803000,- -,- -,- -,- -,- -
81,Other Working Capital,4163641,19293320,76597007,51706544,40100431,32713799,21966956,15640250,2266000,-2645000,-7510000,-1706000,1283000,1608000,6376000,1498000,- -
82,Other Non-Cash Items,-414836,-12940252,-53499997,30470881,12236939,9099924,11124805,5622362,14267250,7026000,6978000,-5445000,-3220000,-14740000,2437000,6006000,12975000
83,Cash Provided by Operating Activities,-1569867,-2563206,-5806224,-8666457,-16200267,-13473563,-12678402,-10879388,-27770000,1937000,5370000,3333000,5626000,-5363000,3987000,-8443000,-11698000
84,CAPEX,-6145625,-5224816,-12321019,-2022634,-1733342,-1777276,-898572,-11182400,-29309000,-501000,-77000,-296000,-199000,-86000,-280000,-43000,-1190000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-1367438,-9000,-7000,-8000,-5000,-5000,-5000,- -,- -,- -
86,Purchases of Investments,-8463923,-2573782,-50488762,-54091197,-35532848,-18927778,-6783059,-10310587,- -,- -,-8000,-5000,-5000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,11015786,- -,62977657,62048746,24605364,5025601,10703165,6593000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-3265314,-39510,-1355574,-857769,334260,-1085686,-432723,2228506,-3001000,-2500000,33000,96000,5000,3540000,37000,18000,- -
89,Cash Used for Investing Activites,-17874862,3177678,-64165355,6006056,25116817,2814625,-3088752,-9928753,-25726000,-3008000,-60000,-210000,-204000,3449000,-243000,-25000,-1190000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-27610,-36425000,-3585000,-7374000,-8679000,-4623000,-4895000,-2554000,- -,- -
91,Common Stock Issued,17556675,28384736,79853864,2259655,- -,4999200,- -,17339646,5482000,- -,- -,6568000,1169000,10000000,- -,4805000,48841000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-1010683,-238000,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-1440324,-5060527,-12321008,-20800,1330,3238889,3288254,56939,74972000,6162000,410000,-875000,355000,-688000,133000,522000,6030000
95,Cash Used/Provided by Financing Activities,16116351,23324209,67532857,2238855,1330,8238089,3288254,16358292,43791000,2577000,-6964000,-2986000,-3099000,4417000,-2421000,5327000,54871000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-2559759,-1317060,187680,-243621,-204000,-29000,-7000,-28000,5000,-110000,62000,53000,45000
97,Net Change In Cash,-3328378,23938681,-2438723,-421546,6358121,-3737910,-12291220,-4693469,-9909000,1477000,-1661000,109000,2328000,2393000,1385000,-3088000,42028000
98,Cash at the End of Period,710261,24646383,26570491,21199454,30997348,28714221,15836904,11560040,1627000,3104000,1443000,1552000,11437000,13830000,15215000,12127000,54155000
99,Cash at the Beginning of Period,4038639,707702,29009213,21621000,24639227,32452131,28128124,16253510,11536000,1627000,3104000,1443000,9109000,11437000,13830000,15215000,12127000
100,Free Cash Flow,-7715492,-7788022,-18127243,-10689091,-17933609,-15250839,-13576974,-22061788,-57079000,1436000,5293000,3037000,5427000,-5449000,3707000,-8486000,-12888000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1375205/000155837015000251/0001558370-15-000251-index.html,https://www.sec.gov/Archives/edgar/data/1375205/000155837016003622/0001558370-16-003622-index.html,https://www.sec.gov/Archives/edgar/data/1375205/000155837017001345/0001558370-17-001345-index.html,https://www.sec.gov/Archives/edgar/data/1375205/000155837018001465/0001558370-18-001465-index.html,https://www.sec.gov/Archives/edgar/data/1375205/000155837019001434/0001558370-19-001434-index.html,https://www.sec.gov/Archives/edgar/data/1375205/000155837020001802/0001558370-20-001802-index.html,https://www.sec.gov/Archives/edgar/data/1375205/000165495421002132/0001654954-21-002132-index.htm,https://www.sec.gov/Archives/edgar/data/1375205/000165495422002811/0001654954-22-002811-index.htm
102,false,,,,,,,,,,,,,,,,,
