,https://roic.ai/company/ESTA,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1688757/000168875719000013/0001688757-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1688757/000168875720000015/0001688757-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1688757/000168875721000028/0001688757-21-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1688757/000168875722000019/0001688757-22-000019-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-22159000,-34897000,-21098000,-38150000,-38121000,-41139000
74,Depreciation and Amortization,592000,1939000,2810000,3288000,3711000,3718000
75,Deferred Income Tax,- -,- -,- -,- -,- -,7000
76,Stock Based Compensation,3125000,3303000,7320000,6526000,5721000,10407000
77,Change in Working Capital,-1839000,23999000,101041000,-10391000,33802000,-25017000
78,Accounts Receivable,-4720000,-6911000,-4667000,-5511000,3805000,-6695000
79,Inventory,-1361000,-6437000,-6984000,-3372000,4786000,338000
80,Accounts Payable,3939000,-878000,-3905000,1830000,-910000,4959000
81,Other Working Capital,-42052000,-18053000,82988000,72597000,106399000,81382000
82,Other Non-Cash Items,6015000,-26314000,-123958000,8744000,-17623000,24492000
83,Cash Provided by Operating Activities,-14266000,-31970000,-33885000,-29983000,-12510000,-27532000
84,CAPEX,-10554000,-941000,-1772000,-6999000,-3907000,-2857000
85,Acquisitions Net,-147000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-146000,56000,-4000000,-1478000,-3136000,-4738000
89,Cash Used for Investing Activites,-10756000,-845000,-5731000,-7766000,-5559000,-7163000
90,Debt Repayment,-1590000,-15491000,-5394000,-242000,-277000,-175000
91,Common Stock Issued,- -,27840000,87625000,- -,63855000,- -
92,Common Stock Repurchased,-2000000,-4507000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,23801000,35151000,-704000,23031000,1092000,4227000
95,Cash Used/Provided by Financing Activities,20211000,42993000,81527000,22789000,64670000,4052000
96,Effect of Forex Changes on Cash,- -,207000,-136000,-24000,267000,- -
97,Net Change In Cash,-4811000,10385000,41775000,-14984000,46868000,- -
98,Cash at the End of Period,479000,10864000,52639000,37655000,84523000,- -
99,Cash at the Beginning of Period,5290000,479000,10864000,52639000,37655000,- -
100,Free Cash Flow,-24820000,-32911000,-35657000,-36982000,-16417000,-30389000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1688757/000168875719000013/0001688757-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1688757/000168875720000015/0001688757-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1688757/000168875721000028/0001688757-21-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1688757/000168875722000019/0001688757-22-000019-index.htm
102,false,,,,,,
