,https://roic.ai/company/CLGN,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
76,Stock Based Compensation,489569,132663,52646,1045429,928612,1429969,1372471,1125000,1674000,1597000
77,Change in Working Capital,-47645,438191,-89113,-156520,1018042,-888192,1092348,247000,-1124000,216000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-419255,437000,-751000,560000
79,Inventory,- -,- -,- -,- -,-126605,-61284,-624502,-74000,-374000,181000
80,Accounts Payable,52196,49677,-54957,218769,649405,-644205,-106208,228000,-35000,236000
81,Other Working Capital,-148289,4307,3852,-5380,542297,-252331,1940683,-1008000,-735000,225000
82,Other Non-Cash Items,-32388,82412,-152802,-26898,42895,18126,-407042,3550000,113000,-322000
83,Cash Provided by Operating Activities,-3862482,-3803015,-3327743,-3713694,-5037176,-5145586,-1238649,-5703000,-4451000,2501000
84,CAPEX,-120987,-136109,-86288,-355820,-127905,-128611,-792045,-1461000,-519000,-1589000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-31585,22111,-15665,- -,- -,- -,-164622,- -,-82000,-128000
89,Cash Used for Investing Activites,-147754,-113999,-101954,-355820,-127905,-128611,-956667,-1461000,-519000,-31556000
90,Debt Repayment,- -,- -,- -,- -,-4939,-72793,-78063,-37000,-24000,- -
91,Common Stock Issued,3475966,7867050,- -,2564260,4810742,8352515,2654931,5440000,4400000,32743000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,11556,6917,- -,1040971,55759,7000,89000,6017000
95,Cash Used/Provided by Financing Activities,3475966,7867050,11556,2571177,4805803,9320693,2632627,5410000,4465000,38760000
96,Effect of Forex Changes on Cash,32388,-82412,152802,26642,-40815,-12660,159577,62000,60000,143000
97,Net Change In Cash,-501882,3867624,-3265339,-1471696,-395154,4033836,596888,-1692000,-445000,9848000
98,Cash at the End of Period,2759145,6827566,2840832,1362055,987105,5126309,5327651,3971000,3526000,13374000
99,Cash at the Beginning of Period,3261027,2959943,6106170,2833751,1382260,1092473,4730763,5663000,3971000,3526000
100,Free Cash Flow,-3983469,-3939124,-3414032,-4069514,-5165081,-5274197,-2030694,-7164000,-4970000,912000
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1631487/000121390019005360/0001213900-19-005360-index.htm,https://www.sec.gov/Archives/edgar/data/1631487/000121390020008285/0001213900-20-008285-index.htm,- -,- -
102,false,,,,,,,,,,
