,https://roic.ai/company/IWSY,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
25,EPS,-3.99,-3.07,-1.21,-1.22,-0.90,-1.81,-0.83,-0.66,-0.44,-0.39,-0.65,-0.67,-0.24,-0.13,-0.14,-0.12,-0.09,-0.10,-0.12,-0.15,-0.17,-0.17,-0.08
26,EPS Diluted,-3.99,-3.07,-1.21,-1.22,-0.90,-1.81,-0.83,-0.66,-0.44,-0.39,-0.65,-0.67,-0.24,-0.13,-0.14,-0.12,-0.09,-0.10,-0.12,-0.15,-0.17,-0.17,-0.08
27,Weighted Average Shares Outstanding,860000,1016399,3467711,4937588,5483973,5953801,11739819,12731304,13592841,15070308,18056026,19416569,23175405,27316475,70894916,81231962,91795971,93786079,94426783,92816723,95210572,104372048,133346309
28,Weighted Average Shares Outstanding Diluted,860000,1016399,3467711,4937588,5483973,5953801,11739819,12731304,13592841,15070308,18056026,19416569,23175405,27316475,70894916,81231962,91795971,93786079,94426783,92816723,95210572,104372048,133346309
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/941685/000094168508000012/0000941685-08-000012-index.htm,https://www.sec.gov/Archives/edgar/data/941685/000143774910000469/0001437749-10-000469-index.htm,https://www.sec.gov/Archives/edgar/data/941685/000143774910000469/0001437749-10-000469-index.html,- -,https://www.sec.gov/Archives/edgar/data/941685/000141588912000067/0001415889-12-000067-index.html,https://www.sec.gov/Archives/edgar/data/941685/000141588913000584/0001415889-13-000584-index.html,https://www.sec.gov/Archives/edgar/data/941685/000141588914000845/0001415889-14-000845-index.htm,https://www.sec.gov/Archives/edgar/data/941685/000141588915001429/0001415889-15-001429-index.htm,https://www.sec.gov/Archives/edgar/data/941685/000141588916005090/0001415889-16-005090-index.html,https://www.sec.gov/Archives/edgar/data/941685/000165495417002786/0001654954-17-002786-index.html,https://www.sec.gov/Archives/edgar/data/941685/000165495418002780/0001654954-18-002780-index.html,https://www.sec.gov/Archives/edgar/data/941685/000165495419003493/0001654954-19-003493-index.html,https://www.sec.gov/Archives/edgar/data/941685/000165495420005674/iwsy10k_dec312019.htm,https://www.sec.gov/Archives/edgar/data/941685/000165495421003840/0001654954-21-003840-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,310000,350000,7080000,1380000,640000,780000,3160000,960000,1080000,1480000,360000,410000,160000,6840000,4320000,2510000,310000,3421000,1721000,7480000,5927000,1273000,8345000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,310000,350000,7080000,1380000,640000,780000,3160000,960000,1080000,1480000,360000,410000,160000,6840000,4320000,2510000,310000,3421000,1721000,7480000,5927000,1273000,8345000
34,Net Receivables,930000,3360000,2950000,4480000,3300000,1450000,1800000,1340000,1720000,430000,500000,630000,240000,350000,330000,300000,270000,349000,287000,458000,968000,657000,577000
35,Inventory,40000,280000,290000,950000,1880000,810000,1100000,210000,60000,130000,20000,220000,10000,50000,260000,510000,920000,46000,23000,79000,29000,615000,40000
36,Other Current Assets,- -,-10000,520000,60000,50000,150000,-10000,- -,- -,- -,- -,- -,- -,-10000,-10000,- -,-10000,- -,- -,- -,- -,- -,196000
37,Total Current Assets,1280000,3980000,10840000,6870000,5870000,3190000,6050000,2510000,2860000,2040000,880000,1260000,410000,7230000,4900000,3320000,1490000,3816000,2031000,8017000,6924000,2545000,9158000
38,PP&E,270000,190000,540000,1190000,1040000,640000,510000,420000,350000,290000,110000,40000,20000,20000,150000,250000,210000,162000,93000,43000,244000,2122000,155000
39,Goodwill,- -,- -,1290000,4840000,5300000,5300000,5300000,3420000,3420000,4450000,3420000,3420000,3420000,3420000,3420000,3420000,3420000,3416000,3416000,3416000,3416000,3416000,3416000
40,Intangible Assets,2840000,2350000,270000,2480000,1560000,1120000,760000,220000,140000,2440000,110000,90000,80000,60000,200000,170000,140000,117000,106000,93000,82000,70000,58000
41,Intangible Assets,2840000,2350000,1560000,7320000,6860000,6420000,6060000,3640000,3560000,6890000,3530000,3510000,3500000,3480000,3620000,3590000,3560000,3533000,3522000,3509000,3498000,3486000,3474000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,-10000,- -,70000,470000,750000,570000,740000,730000,780000,710000,720000,60000,50000,60000,40000,390000,150000,98000,34000,35000,332000,257000,- -
45,Total Non-Current Assets,3100000,2540000,2170000,8980000,8650000,7630000,7310000,4790000,4690000,7890000,4360000,3610000,3570000,3560000,3810000,4230000,3920000,3793000,3649000,3587000,4074000,5865000,3629000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,4380000,6520000,13010000,15850000,14520000,10820000,13360000,7300000,7550000,9930000,5240000,4870000,3980000,10790000,8710000,7550000,5410000,7609000,5680000,11604000,10998000,8410000,12787000
48,Accounts Payable,1030000,1980000,790000,2920000,3230000,1050000,1230000,690000,1720000,1420000,2390000,960000,1160000,1100000,760000,490000,460000,198000,425000,457000,678000,515000,1007000
49,Short-Term Debt,- -,2219047,342055,520778,1004110,240976,18491,- -,1097378,- -,- -,3310000,110000,110000,65000,55000,- -,- -,2528000,5774000,- -,373000,1339000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,125000,142000,171000,131000,161000,27000,79000,50000,95000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1662000,1827000,1059000,1045000,1016000,1215000,1629000,903000
52,Other Current Liabilities,3330000,4730953,1987945,2669222,2725890,2019024,3031509,2120000,2392622,3850000,2680000,3280000,3140000,3070000,2825000,973000,1013000,1149000,1047000,1185000,1953000,1681000,25258000
53,Total Current Liabilities,4360000,8930000,3120000,6110000,6960000,3310000,4280000,2810000,5210000,5270000,5070000,7550000,4410000,4280000,3650000,3180000,3300000,2406000,5045000,8432000,3846000,4198000,28507000
54,Long-Term Debt,970000,40000,- -,- -,1250000,- -,- -,- -,- -,- -,100000,- -,1430000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,500000,- -,- -,210000,410000,4190000,810000,1130000,1020000,1140000,1100000,12020000,16050000,12220000,2720000,1040000,3140000,1511000,1895000,2024000,2023000,4090000,65000
58,Total Non-Current Liabilities,1470000,40000,- -,210000,1660000,4190000,810000,1130000,1020000,1140000,1200000,12020000,17480000,12220000,2720000,1040000,3140000,1511000,1895000,2024000,2023000,4090000,65000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4611000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1504000,- -,- -,- -,- -,- -,- -,- -,- -,- -,2089000,1718000
61,Total Liabilities,5830000,8970000,3120000,6320000,8620000,7500000,5090000,3940000,6230000,6410000,6270000,19570000,21890000,16500000,6370000,4220000,6440000,3917000,6940000,10456000,5869000,8288000,33053000
62,Preferred Stock,- -,- -,- -,- -,2694,2494,2494,2494,2419,2430,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,8158000,8886000,1574000
63,Common Stock,10000,20000,40000,50000,50000,100000,120000,130000,140000,180000,180000,210000,240000,680000,770000,870000,930000,940000,917000,941000,981000,1133000,1801000
64,Retained Earnings,-16250000,-20180000,-24550000,-30480000,-35330000,-46060000,-55910000,-64320000,-70330000,-75890000,-87200000,-98130000,-103210000,-107980000,-118400000,-128300000,-136290000,-145893000,-156767000,-170481000,-186648000,-203171000,- -
65,Other Comprehensive Income/Loss,-600000,-710000,-950000,-1120000,-37119,115470,332425,-36104,24773,6983,44000,-86000,-62000,-65000,-139000,-830000,-1594000,-1195000,-1543000,-1664000,-1428000,-1741000,-1989000
66,Other Total Stockholders Equity,15390000,18199605,35349771,41075748,41215925,49153801,63721300,67589212,71482698,79227326,85942000,83301000,85124000,101651000,120110000,131589000,135918000,149838000,156131000,172350000,184066000,195015000,-19637000
67,Total Stockholders Equity,-1450000,-2670395,9889771,9525748,5901500,3311765,8266219,3365602,1319890,3526739,-1032000,-14703000,-17906000,-5712000,2343000,3331000,-1034000,3692000,-1260000,1148000,5129000,122000,-18251000
68,Total Liabilities And Stockholders Equity,4380000,6299605,13009771,15845748,14521500,10811765,13356219,7305602,7549890,9936739,5238000,4867000,3984000,10788000,8713000,7551000,5406000,7609000,5680000,11604000,10998000,8410000,14802000
69,Minority Interest,- -,220395,229,4252,-1500,8235,3781,-5602,110,-6739,2000,3000,-4000,2000,-3000,-1000,4000,- -,- -,- -,- -,- -,-2015000
70,Total Liabilities & Equity,4380000,6520000,13010000,15850000,14520000,10820000,13360000,7300000,7550000,9930000,5240000,4870000,3980000,10790000,8710000,7550000,5410000,7609000,5680000,11604000,10998000,8410000,12787000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/941685/000094168508000012/0000941685-08-000012-index.htm,https://www.sec.gov/Archives/edgar/data/941685/000143774910000469/0001437749-10-000469-index.htm,https://www.sec.gov/Archives/edgar/data/941685/000143774910000469/0001437749-10-000469-index.html,- -,https://www.sec.gov/Archives/edgar/data/941685/000141588912000067/0001415889-12-000067-index.html,https://www.sec.gov/Archives/edgar/data/941685/000141588913000584/0001415889-13-000584-index.html,https://www.sec.gov/Archives/edgar/data/941685/000141588914000845/0001415889-14-000845-index.htm,https://www.sec.gov/Archives/edgar/data/941685/000141588915001429/0001415889-15-001429-index.htm,https://www.sec.gov/Archives/edgar/data/941685/000141588916005090/0001415889-16-005090-index.html,https://www.sec.gov/Archives/edgar/data/941685/000165495417002786/0001654954-17-002786-index.html,https://www.sec.gov/Archives/edgar/data/941685/000165495418002780/0001654954-18-002780-index.html,https://www.sec.gov/Archives/edgar/data/941685/000165495419003493/0001654954-19-003493-index.html,https://www.sec.gov/Archives/edgar/data/941685/000165495420005674/iwsy10k_dec312019.htm,https://www.sec.gov/Archives/edgar/data/941685/000165495421003840/0001654954-21-003840-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-3430000,-3400000,-4120000,-5930000,-4850000,-10740000,-9640000,-8360000,-5930000,-4680000,-5720000,-12640000,-5050000,-3180000,-10190000,-9850000,-7940000,-8534000,-9527000,-10069000,-12550000,-11581000,-7253000
74,Depreciation and Amortization,990000,1096484,1970125,2444749,1337222,7060737,5190994,599950,796849,486404,772000,98000,50000,28000,69000,125000,179000,164000,129000,68000,51000,71000,72000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,596000,357000,243000,289000,608000,724000,909000,960000,1162000,1094000,1298000,652000,862000
77,Change in Working Capital,-20000,-1870000,12670000,-6960000,-1850000,970000,1890000,-2070000,-2050000,-880000,-960000,-2100000,2290000,6950000,-1700000,-1110000,-1950000,3220000,-4424000,2599000,3493000,-4731000,-17696000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-106000,- -,- -,- -,20000,26000,35000,-83000,62000,-186000,-414000,311000,81000
79,Inventory,- -,-68864,68521,314383,-931879,897418,-292270,365853,141799,-36734,37000,-203000,209000,-33000,-217000,-243000,-411000,589000,23000,-56000,50000,-586000,576000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,972000,-1557000,594000,-167000,-8000,-130000,188000,-261000,227000,32000,221000,-162000,491000
81,Other Working Capital,-3080000,-4950000,7720000,760000,-1090000,-120000,1770000,-300000,-2350000,-3230000,-4190000,-6290000,-4000000,2950000,1250000,140000,-1810000,1410000,-3014000,-415000,3078000,-1653000,-19349000
82,Other Non-Cash Items,520000,2294769,-16356956,8258842,3294377,-265655,-1202271,3622823,4366619,2198309,3120000,11411000,397000,-6356000,5660000,5260000,2380000,-2993000,4749000,-2395000,-2602000,4322000,16006000
83,Cash Provided by Operating Activities,-1940000,-1878747,-5836831,-2186409,-2068401,-2974918,-3761277,-6207227,-2816532,-2875287,-2192000,-2874000,-2070000,-2269000,-5553000,-4851000,-6422000,-7183000,-7911000,-8703000,-10310000,-11267000,-8009000
84,CAPEX,-70000,-35983,-391784,-427282,-354661,-135964,-237340,-309415,-157825,-85914,-67000,-16000,-13000,-11000,-181000,-193000,-117000,-87000,-49000,-5000,-240000,-31000,- -
85,Acquisitions Net,- -,- -,- -,-3280273,- -,- -,- -,1208630,25000,-409761,-187000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-2130000,- -,-316161,-104500,-161360,-239932,-9785,- -,- -,-26000,132000,- -,- -,- -,- -,- -,- -,- -,- -,50000,- -,- -,- -
89,Cash Used for Investing Activites,-2200000,-35983,-707945,-3812055,-516021,-375896,-247125,899215,-132825,-521675,-122000,-16000,-13000,-11000,-181000,-193000,-117000,-87000,-49000,45000,-240000,-31000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-350000,-4430000,-1500000,-45000,- -,- -,- -,- -,- -,- -,- -,-575000
91,Common Stock Issued,- -,375000,17282950,105856,1247,6203080,6550593,3296780,2063176,4974883,- -,1370000,500000,9203000,- -,- -,- -,- -,- -,- -,- -,6520000,2296000
92,Common Stock Repurchased,-30000,- -,-63688,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-245722,- -,- -,- -,-211989,-52997,-51935,-50872,-25000,- -,- -,- -,-229000,-51000,-51000,-51000,-51000,-51000,-51000,-51000,-51000
94,Other Financing Activites,1910000,1650000,-3688467,-582526,2260806,-2641699,-63485,-18491,1212500,-1364258,1429000,2171000,5750000,1250000,3534000,3302000,4465000,10388000,6246000,14546000,8951000,166000,13805000
95,Cash Used/Provided by Financing Activities,1880000,2025000,13285073,-476670,2262053,3561381,6275119,3225292,3223741,3559753,1404000,3191000,1820000,8953000,3260000,3251000,4414000,10337000,6195000,14495000,8900000,6635000,15475000
96,Effect of Forex Changes on Cash,- -,- -,- -,-36652,149533,152589,66955,-87861,-77015,-57102,37000,-130000,24000,-3000,-74000,-69000,-20000,67000,-1000,-106000,27000,-1000,-151000
97,Net Change In Cash,-2260000,110270,6740297,-6511786,-172836,363156,2333672,-2170581,197369,105689,-873000,171000,-239000,6670000,-2548000,-1862000,-2145000,3134000,-1766000,5731000,-1623000,-4664000,7315000
98,Cash at the End of Period,-2260000,156063,6899559,387773,214937,578093,2911765,741184,938553,1044242,171000,342000,103000,6773000,4225000,2363000,218000,3352000,1586000,7317000,5694000,1030000,8345000
99,Cash at the Beginning of Period,- -,45793,159262,6899559,387773,214937,578093,2911765,741184,938553,1044000,171000,342000,103000,6773000,4225000,2363000,218000,3352000,1586000,7317000,5694000,1030000
100,Free Cash Flow,-2010000,-1914730,-6228615,-2613691,-2423062,-3110882,-3998617,-6516642,-2974357,-2961201,-2259000,-2890000,-2083000,-2280000,-5734000,-5044000,-6539000,-7270000,-7960000,-8708000,-10550000,-11298000,-8009000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/941685/000094168508000012/0000941685-08-000012-index.htm,https://www.sec.gov/Archives/edgar/data/941685/000143774910000469/0001437749-10-000469-index.htm,https://www.sec.gov/Archives/edgar/data/941685/000143774910000469/0001437749-10-000469-index.html,- -,https://www.sec.gov/Archives/edgar/data/941685/000141588912000067/0001415889-12-000067-index.html,https://www.sec.gov/Archives/edgar/data/941685/000141588913000584/0001415889-13-000584-index.html,https://www.sec.gov/Archives/edgar/data/941685/000141588914000845/0001415889-14-000845-index.htm,https://www.sec.gov/Archives/edgar/data/941685/000141588915001429/0001415889-15-001429-index.htm,https://www.sec.gov/Archives/edgar/data/941685/000141588916005090/0001415889-16-005090-index.html,https://www.sec.gov/Archives/edgar/data/941685/000165495417002786/0001654954-17-002786-index.html,https://www.sec.gov/Archives/edgar/data/941685/000165495418002780/0001654954-18-002780-index.html,https://www.sec.gov/Archives/edgar/data/941685/000165495419003493/0001654954-19-003493-index.html,https://www.sec.gov/Archives/edgar/data/941685/000165495420005674/iwsy10k_dec312019.htm,https://www.sec.gov/Archives/edgar/data/941685/000165495421003840/0001654954-21-003840-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
