,https://roic.ai/company/LUNG,2018,2019,2020,2021
40,Intangible Assets,647000,524000,400000,277000
41,Intangible Assets,2980000,2857000,2733000,2610000
42,Investments,- -,- -,- -,10941000
43,Tax Assets,- -,- -,- -,- -
44,Other Non-Current Assets,350000,2142000,536000,731000
45,Total Non-Current Assets,3705000,12462000,13719000,27171000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,15013000,53533000,263708000,235173000
48,Accounts Payable,1289000,2681000,1472000,1582000
49,Short-Term Debt,- -,446000,2238000,2292000
50,Tax Payable,730000,995000,615000,147000
51,Deferred Revenue,139000,173000,71000,163000
52,Other Current Liabilities,6644000,10861000,8745000,13513000
53,Total Current Liabilities,8072000,14161000,12526000,17550000
54,Long-Term Debt,33605000,14965000,17368000,24168000
55,Deferred Revenue,- -,- -,- -,- -
56,Deferred Tax Liabilities,48000,43000,62000,37000
57,Other Non-Current Liabilities,140614000,211742000,7618000,179000
58,Total Non-Current Liabilities,174267000,226750000,25048000,24384000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,6849000,9856000,9045000
61,Total Liabilities,182339000,240911000,37574000,41934000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,17000,19000,36000,37000
64,Retained Earnings,-189800000,-210503000,-242734000,-291395000
65,Other Comprehensive Income/Loss,1333000,1373000,1685000,1712000
66,Other Total Stockholders Equity,21124000,21733000,467147000,- -
67,Total Stockholders Equity,-167326000,-187378000,226134000,193239000
68,Total Liabilities And Stockholders Equity,15013000,53533000,263708000,235173000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,15013000,53533000,263708000,235173000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1127537/000112753721000008/0001127537-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1127537/000112753722000013/0001127537-22-000013-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-18479000,-20703000,-32231000,-48661000
74,Depreciation and Amortization,270000,365000,483000,867000
75,Deferred Income Tax,- -,- -,- -,-6000
76,Stock Based Compensation,366000,364000,3197000,10530000
77,Change in Working Capital,-1523000,23674000,210553000,-47011000
78,Accounts Receivable,-262000,-2524000,1457000,-2432000
79,Inventory,-1245000,-2613000,-5047000,1186000
80,Accounts Payable,-648000,524000,592000,87000
81,Other Working Capital,3236000,26910000,237463000,190452000
82,Other Non-Cash Items,972000,-24465000,-212635000,42893000
83,Cash Provided by Operating Activities,-18394000,-20765000,-30633000,-41388000
84,CAPEX,-316000,-720000,-911000,-3671000
85,Acquisitions Net,- -,- -,- -,- -
86,Purchases of Investments,- -,-21450000,- -,-52584000
87,Sales/Maturities of Investments,500000,7937000,13605000,10000000
88,Other Investing Activites,16000,- -,- -,- -
89,Cash Used for Investing Activites,200000,-14233000,12694000,-46255000
90,Debt Repayment,- -,- -,-19914000,- -
91,Common Stock Issued,- -,- -,201392000,1871000
92,Common Stock Repurchased,- -,- -,- -,-26000
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,12114000,45619000,53353000,2611000
95,Cash Used/Provided by Financing Activities,12114000,45619000,234831000,4456000
96,Effect of Forex Changes on Cash,154000,22000,133000,- -
97,Net Change In Cash,-5926000,10643000,217025000,- -
98,Cash at the End of Period,4124000,14767000,231792000,- -
99,Cash at the Beginning of Period,10050000,4124000,14767000,- -
100,Free Cash Flow,-18710000,-21485000,-31544000,-45059000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1127537/000112753721000008/0001127537-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1127537/000112753722000013/0001127537-22-000013-index.htm
102,false,,,,
