,https://roic.ai/company/LNTH,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,-0.3852,-0.1458,-0.2170,-0.0118,-0.0502,0.0887,0.3723,0.1180,0.0912,-0.0397,-0.1676
25,EPS,-7.61,-2.32,-3.41,-0.20,-0.60,0.84,3.31,1.06,0.81,-0.25,-1.05
26,EPS Diluted,-7.61,-2.32,-3.41,-0.20,-0.60,0.82,3.17,1.03,0.79,-0.25,-1.05
27,Weighted Average Shares Outstanding,18032131,18080615,18032131,18080615,24439845,32043904,37276000,38233000,38988000,54134000,67623000
28,Weighted Average Shares Outstanding Diluted,18032131,18080615,18032131,18080615,24439845,32655958,38892000,39501000,40113000,54134000,67623000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1521036/000119312516490104/0001193125-16-490104-index.html,https://www.sec.gov/Archives/edgar/data/1521036/000119312517053986/0001193125-17-053986-index.html,https://www.sec.gov/Archives/edgar/data/1521036/000162828018002261/0001628280-18-002261-index.html,https://www.sec.gov/Archives/edgar/data/1521036/000162828019001574/0001628280-19-001574-index.html,https://www.sec.gov/Archives/edgar/data/1521036/000162828020002197/0001628280-20-002197-index.html,https://www.sec.gov/Archives/edgar/data/1521036/000162828021003336/0001628280-21-003336-index.htm,https://www.sec.gov/Archives/edgar/data/1521036/000162828022003657/0001628280-22-003657-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,33321000,18578000,19739000,28596000,51178000,76290000,113401000,92919000,79612000,98508000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,33321000,18578000,19739000,28596000,51178000,76290000,113401000,92919000,79612000,98508000
34,Net Receivables,- -,42116000,39235000,41787000,37293000,36818000,40259000,43753000,43529000,54002000,89336000
35,Inventory,- -,18048000,18310000,15582000,15622000,17640000,26080000,33019000,29180000,35744000,35129000
36,Other Current Assets,- -,3058000,3122000,4127000,8590000,5183000,5221000,5242000,7283000,14867000,12818000
37,Total Current Assets,- -,96543000,79245000,81235000,90101000,110819000,147850000,195415000,172911000,184225000,235791000
38,PP&E,- -,109573000,97653000,96014000,86517000,94187000,92999000,107888000,116497000,120171000,125560000
39,Goodwill,- -,15714000,15714000,15714000,15714000,15714000,15714000,15714000,15714000,58632000,61189000
40,Intangible Assets,- -,69036000,36468000,29612000,29633000,15118000,11798000,9133000,7336000,376012000,348510000
41,Intangible Assets,- -,84750000,52182000,45326000,45347000,30832000,27512000,24847000,23050000,434644000,409699000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,15000,328000,- -,- -,87010000,81449000,71834000,70147000,62764000
44,Other Non-Current Assets,- -,33786000,32216000,26667000,20414000,20060000,28487000,30232000,21627000,60634000,29970000
45,Total Non-Current Assets,- -,228109000,182066000,168335000,152278000,145079000,236008000,244416000,233008000,685596000,627993000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,324652000,261311000,249570000,242379000,255898000,383858000,439831000,405919000,869821000,863784000
48,Accounts Payable,- -,18945000,18103000,15665000,11657000,18940000,17464000,17955000,18608000,16284000,20787000
49,Short-Term Debt,- -,- -,8000000,8000000,3650000,3650000,2750000,2750000,10143000,20701000,11642000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,7320000,3979000,132000,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,29806000,25549000,24731000,20411000,21249000,26536000,32050000,37360000,43519000,58068000
53,Total Current Liabilities,- -,56071000,55631000,48528000,35718000,43839000,46750000,52755000,66111000,80504000,90497000
54,Long-Term Debt,- -,398822000,399037000,399280000,349858000,274460000,265393000,263709000,183741000,197699000,179667000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,435000,12000,247000,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,42429000,42148000,40785000,42092000,44115000,48424000,52365000,41466000,77413000,129181000
58,Total Non-Current Liabilities,- -,441686000,441197000,440312000,391950000,318575000,313817000,316074000,225207000,275112000,308848000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,329000,- -,16546000
61,Total Liabilities,- -,497757000,496828000,488840000,427668000,362414000,360567000,368829000,291318000,355616000,399345000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,50000,51000,51000,303000,367000,378000,385000,393000,669000,677000
64,Retained Earnings,- -,-279298000,-340853000,-344414000,-359160000,-332398000,-209013000,-168140000,-136473000,-149946000,-221225000
65,Other Comprehensive Income/Loss,- -,1335000,-394000,-1630000,-1985000,-947000,-1034000,-1108000,-960000,-2048000,-485000
66,Other Total Stockholders Equity,- -,104808000,105679000,106723000,175553000,226462000,232960000,239865000,251641000,665530000,685472000
67,Total Stockholders Equity,- -,-173105000,-235517000,-239270000,-185289000,-106516000,23291000,71002000,114601000,514205000,464439000
68,Total Liabilities And Stockholders Equity,- -,324652000,261311000,249570000,242379000,255898000,383858000,439831000,405919000,869821000,863784000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,324652000,261311000,249570000,242379000,255898000,383858000,439831000,405919000,869821000,863784000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1521036/000119312516490104/0001193125-16-490104-index.html,https://www.sec.gov/Archives/edgar/data/1521036/000119312517053986/0001193125-17-053986-index.html,https://www.sec.gov/Archives/edgar/data/1521036/000162828018002261/0001628280-18-002261-index.html,https://www.sec.gov/Archives/edgar/data/1521036/000162828019001574/0001628280-19-001574-index.html,https://www.sec.gov/Archives/edgar/data/1521036/000162828020002197/0001628280-20-002197-index.html,https://www.sec.gov/Archives/edgar/data/1521036/000162828021003336/0001628280-21-003336-index.htm,https://www.sec.gov/Archives/edgar/data/1521036/000162828022003657/0001628280-22-003657-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-137258000,-42001000,-61555000,-3561000,-14746000,26762000,123385000,40518000,31667000,-13473000,-71279000
74,Depreciation and Amortization,32762000,27402000,25155000,18251000,19651000,18263000,19231000,13929000,13379000,24689000,42288000
75,Deferred Income Tax,81741000,438000,-651000,159000,868000,365000,-92566000,6126000,7204000,-724000,3646000
76,Stock Based Compensation,-969000,1240000,578000,1031000,2002000,2524000,5928000,8718000,12492000,14075000,15934000
77,Change in Working Capital,-13988000,- -,-16858000,9093000,21676000,12597000,34120000,41560000,-35860000,-3079000,-15154000
78,Accounts Receivable,9466000,-1442000,2627000,-3563000,-14000,-1059000,-3407000,-3985000,156000,-7462000,-33102000
79,Inventory,-22293000,-6903000,-4741000,1500000,-2609000,-3626000,-9620000,-8690000,1994000,-8459000,-3549000
80,Accounts Payable,-905000,-2231000,-1147000,-4047000,-1680000,5700000,604000,-2886000,3233000,-4224000,5425000
81,Other Working Capital,40472000,40472000,23614000,32707000,54383000,66980000,101100000,142660000,106800000,103721000,- -
82,Other Non-Cash Items,60921000,12549000,37759000,-13383000,-7689000,-10869000,-35321000,-49658000,51502000,-5092000,78481000
83,Cash Provided by Operating Activities,23209000,-372000,-15572000,11590000,21762000,49642000,54777000,61193000,80384000,16396000,53916000
84,CAPEX,-7694000,-7920000,-5010000,-8137000,-13151000,-7398000,-17543000,-20132000,-22061000,-12474000,-12140000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,17562000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-7694000,-8145000,-3483000,-7682000,-13151000,3281000,-16309000,-19132000,-22061000,-22474000,3683000
89,Cash Used for Investing Activites,-7694000,-8145000,-3483000,-7682000,-13151000,3281000,-16309000,-19132000,-22061000,-4912000,3683000
90,Debt Repayment,-10000000,-1530000,-1310000,-5571000,-419652000,-78729000,-286694000,-2862000,-275376000,-15491000,-43348000
91,Common Stock Issued,- -,551000,400000,13000,73539000,50900000,187000,428000,573000,683000,767000
92,Common Stock Repurchased,-44095000,-174000,-106000,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-101124000,-3519000,-123000,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,153009000,-442000,6751000,3261000,347112000,-2388000,273057000,-2234000,195922000,-7053000,3249000
95,Cash Used/Provided by Financing Activities,-2210000,-5114000,5612000,-2297000,999000,-30217000,-13450000,-4668000,-78881000,-21861000,-39332000
96,Effect of Forex Changes on Cash,-134000,649000,-1300000,-450000,-753000,-124000,94000,-282000,76000,152000,-310000
97,Net Change In Cash,13171000,-12982000,-14743000,1161000,8857000,22582000,25112000,37111000,-20482000,-10225000,17957000
98,Cash at the End of Period,46303000,33321000,18578000,19739000,28596000,51178000,76290000,113401000,92919000,82694000,100651000
99,Cash at the Beginning of Period,33132000,46303000,33321000,18578000,19739000,28596000,51178000,76290000,113401000,92919000,82694000
100,Free Cash Flow,15515000,-8292000,-20582000,3453000,8611000,42244000,37234000,41061000,58323000,3922000,41776000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1521036/000119312516490104/0001193125-16-490104-index.html,https://www.sec.gov/Archives/edgar/data/1521036/000119312517053986/0001193125-17-053986-index.html,https://www.sec.gov/Archives/edgar/data/1521036/000162828018002261/0001628280-18-002261-index.html,https://www.sec.gov/Archives/edgar/data/1521036/000162828019001574/0001628280-19-001574-index.html,https://www.sec.gov/Archives/edgar/data/1521036/000162828020002197/0001628280-20-002197-index.html,https://www.sec.gov/Archives/edgar/data/1521036/000162828021003336/0001628280-21-003336-index.htm,https://www.sec.gov/Archives/edgar/data/1521036/000162828022003657/0001628280-22-003657-index.htm
102,false,,,,,,,,,,,
