,https://roic.ai/company/TWOU,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
47,Total Assets,- -,39877000,28652000,113039000,231041000,244320000,482062000,807354000,1186830000,1386216000,2109006000
48,Accounts Payable,- -,2964000,5089000,2293000,4544000,3729000,22629000,27647000,65381000,130674000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,7320000,10024000,13985000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,736000,1266000,1906000,2609000,3137000,7024000,8345000,48833000,75493000,90489000
52,Other Current Liabilities,- -,7265000,13856000,19569000,25444000,34203000,28347000,32488000,34420000,21178000,229033000
53,Total Current Liabilities,- -,10965000,20211000,23768000,32597000,41069000,58000000,68480000,155954000,237369000,333507000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,246620000,273173000,943982000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,10087000,6949000,5133000,- -,1726000
57,Other Non-Current Liabilities,- -,2502000,2418000,1260000,2655000,8014000,26143000,26916000,67873000,6694000,636000
58,Total Non-Current Liabilities,- -,2502000,2418000,1260000,2655000,8014000,36230000,33865000,319626000,279867000,946344000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,645772000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,22573000,23416000,74294000,93252000,112651000
61,Total Liabilities,- -,13467000,22629000,25028000,35252000,49083000,94230000,102345000,475580000,603274000,1279851000
62,Preferred Stock,- -,92706000,98047000,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,7000,8000,41000,46000,47000,53000,58000,63000,72000,76000
64,Retained Earnings,- -,-71786000,-99849000,-128848000,-155581000,-176265000,-205836000,-244166000,-479388000,- -,-890638000
65,Other Comprehensive Income/Loss,- -,-2526000,-4635000,-6986000,-8490000,-4096000,5326000,-8514000,-6804000,-9784000,-15911000
66,Other Total Stockholders Equity,- -,8009000,12452000,223804000,359814000,375551000,588289000,957631000,1197379000,950702000,1735628000
67,Total Stockholders Equity,- -,26410000,6023000,88011000,195789000,195237000,387832000,705009000,711250000,940990000,829155000
68,Total Liabilities And Stockholders Equity,- -,39877000,28652000,113039000,231041000,244320000,482062000,807354000,1186830000,1544264000,2109006000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,-158048000,- -
70,Total Liabilities & Equity,- -,39877000,28652000,113039000,231041000,244320000,482062000,807354000,1186830000,1386216000,2109006000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1459417/000104746915001305/0001047469-15-001305-index.htm,https://www.sec.gov/Archives/edgar/data/1459417/000104746916010989/0001047469-16-010989-index.htm,https://www.sec.gov/Archives/edgar/data/1459417/000104746917000950/0001047469-17-000950-index.htm,https://www.sec.gov/Archives/edgar/data/1459417/000104746918001109/0001047469-18-001109-index.htm,https://www.sec.gov/Archives/edgar/data/1459417/000110465919010491/0001104659-19-010491-index.htm,https://www.sec.gov/Archives/edgar/data/1459417/000145941720000003/0001459417-20-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1459417/000145941721000003/0001459417-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1459417/000145941722000004/0001459417-22-000004-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-24878000,-23113000,-27953000,-28999000,-26733000,-20684000,-29423000,-38330000,-235222000,-216484000,-194766000
74,Depreciation and Amortization,1551000,2869000,4335000,5572000,7220000,9750000,19624000,32785000,69843000,96469000,108448000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,839000,1395000,2426000,7527000,12499000,15823000,21930000,31410000,51504000,82042000,97766000
77,Change in Working Capital,3857000,13032000,-24814000,75240000,94090000,-16681000,46424000,263147000,-348206000,262519000,-62593000
78,Accounts Receivable,-1312000,1142000,-1587000,1485000,-625000,-6885000,-5634000,-18497000,11949000,-17877000,-31756000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-101000,1328000,1894000,-2565000,2251000,-815000,3504000,4724000,- -,- -,- -
81,Other Working Capital,2762000,15794000,-9020000,66220000,160310000,143629000,190053000,453200000,104994000,367513000,9850000
82,Other Non-Cash Items,19000,-14368000,30324000,-71025000,-96343000,17002000,-50449000,-292132000,410107000,-194942000,33071000
83,Cash Provided by Operating Activities,-18612000,-20185000,-15682000,-11685000,-9267000,5210000,8106000,-3120000,-51974000,29604000,-18074000
84,CAPEX,-6168000,-4853000,-7580000,-10953000,-13614000,-24376000,-51139000,-77186000,-78344000,-6517000,-70334000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-97102000,- -,-388004000,-949000,-761118000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-25000000,-10000000,- -,-1000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,25000000,- -,38818000
88,Other Investing Activites,-3746000,-2940000,-5269000,-29000,-2331000,-142000,-1133000,-275000,-50000,-61859000,-60346000
89,Cash Used for Investing Activites,-6258000,-5215000,-7636000,-10982000,-15945000,-24518000,-149374000,-102461000,-451398000,-69325000,-793434000
90,Debt Repayment,- -,- -,- -,-5000000,- -,- -,-1517000,- -,- -,-250837000,-4334000
91,Common Stock Issued,- -,- -,- -,100302000,117112000,- -,189463000,330901000,- -,299796000,- -
92,Common Stock Repurchased,- -,- -,-179000,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,32260000,26632000,5319000,7282000,4900000,4309000,8806000,2136000,244518000,318547000,549194000
95,Cash Used/Provided by Financing Activities,32260000,26632000,5140000,102584000,122012000,4309000,196752000,333037000,244518000,367506000,544860000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,-844000,-1054000,-1049000,1212000,-2309000
97,Net Change In Cash,7390000,1232000,-18178000,79917000,96800000,-14999000,54640000,226402000,-259903000,328997000,-268957000
98,Cash at the End of Period,23958000,25190000,7012000,86929000,183729000,168730000,223370000,449772000,189869000,518866000,249909000
99,Cash at the Beginning of Period,16568000,23958000,25190000,7012000,86929000,183729000,168730000,223370000,449772000,189869000,518866000
100,Free Cash Flow,-24780000,-25038000,-23262000,-22638000,-22881000,-19166000,-43033000,-80306000,-130318000,23087000,-88408000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1459417/000104746915001305/0001047469-15-001305-index.htm,https://www.sec.gov/Archives/edgar/data/1459417/000104746916010989/0001047469-16-010989-index.htm,https://www.sec.gov/Archives/edgar/data/1459417/000104746917000950/0001047469-17-000950-index.htm,https://www.sec.gov/Archives/edgar/data/1459417/000104746918001109/0001047469-18-001109-index.htm,https://www.sec.gov/Archives/edgar/data/1459417/000110465919010491/0001104659-19-010491-index.htm,https://www.sec.gov/Archives/edgar/data/1459417/000145941720000003/0001459417-20-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1459417/000145941721000003/0001459417-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1459417/000145941722000004/0001459417-22-000004-index.htm
102,false,,,,,,,,,,,
