,https://roic.ai/company/RMHB,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2622351
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2622351
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2622351
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,87500,98678,11858,338045,- -,970000,13163470,6227905,8583643,2077533,3168310
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,1000,1000,- -,10
63,Common Stock,42681,43431,143981,193934,- -,200000,400360,537990,786525,1891617,137915
64,Retained Earnings,-717112,-1141721,-975975,-1741821,- -,-2580000,-19204110,-16878382,-26154633,-35018351,-40285145
65,Other Comprehensive Income/Loss,-292199,-630498,-730498,-730498,- -,- -,- -,-22122,- -,- -,-58568
66,Other Total Stockholders Equity,1317561,1730110,1564134,1999331,- -,2330000,7626390,12388598,18062830,32424179,37587064
67,Total Stockholders Equity,350931,1322,1642,-279054,- -,-50000,-11177360,-3972916,-7304278,-702555,-2618724
68,Total Liabilities And Stockholders Equity,438431,100000,13500,58991,- -,920000,1986110,2254989,1279365,1374978,549586
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3627
70,Total Liabilities & Equity,438431,100000,13500,58991,- -,920000,1986110,2254989,1279365,1374978,545959
71,SEC Link,- -,- -,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1670869/000166357716000330/0001663577-16-000330-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1670869/000166357720000201/0001663577-20-000201-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-438882,-424609,-299877,-765845,- -,-310000,-16624200,2325726,- -,-3355937,-5266794
74,Depreciation and Amortization,292199,338299,280511,- -,- -,- -,- -,22122,- -,34423,36401
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,611881,- -,536452,191824
77,Change in Working Capital,-156226,11178,7353,338044,- -,287915,-11142050,250924,- -,114730,460340
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-132200,-40926,- -,-16017,-2516
79,Inventory,- -,- -,- -,- -,- -,- -,-755470,-260625,- -,-89556,-221676
80,Accounts Payable,22500,-13192,7353,57888,- -,- -,- -,- -,- -,-211156,638005
81,Other Working Capital,- -,- -,- -,- -,- -,-50000,-11192050,470048,- -,466300,-20375
82,Other Non-Cash Items,-292199,-338299,- -,- -,- -,-17915,26381250,-4989820,- -,-1058450,1310665
83,Cash Provided by Operating Activities,-595108,-413431,-12013,-427801,- -,-40000,-1385000,-1779167,- -,-3728782,-3267564
84,CAPEX,- -,- -,- -,-58861,- -,- -,-14690,-99642,- -,-18307,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,15612,-500
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,292199,338299,- -,-57301,- -,- -,- -,-19400,- -,-31220,7167
89,Cash Used for Investing Activites,292199,338299,- -,-58861,- -,- -,-14690,-119042,- -,-33915,6667
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-196000,- -,-187604,-7493
91,Common Stock Issued,24231,750,- -,193934,- -,- -,- -,1282406,- -,3669504,2255284
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,244320,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,278810,74250,11700,292858,- -,40000,1250740,818332,- -,877500,467500
95,Cash Used/Provided by Financing Activities,303041,75000,11700,486792,- -,40000,1495060,1904738,- -,4359400,2715291
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,303041,75000,11700,486792,- -,- -,95370,6529,- -,596703,-545606
98,Cash at the End of Period,132,- -,- -,130,- -,- -,95370,102255,- -,613686,68080
99,Cash at the Beginning of Period,- -,132,313,- -,- -,- -,- -,95726,- -,16983,613686
100,Free Cash Flow,-595108,-413431,-12013,-486662,- -,-40000,-1399690,-1878809,- -,-3747089,-3267564
101,SEC Link,- -,- -,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1670869/000166357716000330/0001663577-16-000330-index.htm,undefined,- -,https://www.sec.gov/Archives/edgar/data/1670869/000166357720000201/0001663577-20-000201-index.htm
102,false,,,,,,,,,,,
