,https://roic.ai/company/FRPT,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
70,Total Liabilities & Equity,44094224,62617224,112461860,113097574,126451216,133900334,139964858,236125587,434388000,784410000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1611647/000156459015002285/frpt-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1611647/000156459016014697/0001564590-16-014697-index.html,https://www.sec.gov/Archives/edgar/data/1611647/000156459017004284/0001564590-17-004284-index.html,https://www.sec.gov/Archives/edgar/data/1611647/000156459018004715/0001564590-18-004715-index.html,https://www.sec.gov/Archives/edgar/data/1611647/000156459019005508/0001564590-19-005508-index.html,https://www.sec.gov/Archives/edgar/data/1611647/000156459020006185/0001564590-20-006185-index.html,https://www.sec.gov/Archives/edgar/data/1611647/000143774921003615/0001437749-21-003615-index.htm,https://www.sec.gov/Archives/edgar/data/1611647/000143774922004871/0001437749-22-004871-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-18656498,-21687155,-37339017,-3710812,-3160673,-4262341,-5361204,-1382735,-3188000,-29699000
74,Depreciation and Amortization,4728005,5945077,6424813,7573535,9887168,12692355,14068037,15921695,21125000,30468000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,1118705,978352,1563976,3923857,4193490,4438181,6807620,7833707,10925000,24998000
77,Change in Working Capital,1569695,6544735,38428801,-25617265,-15671028,9690783,2475691,-403090,63636948,-30582000
78,Accounts Receivable,-1599443,-921772,-1870896,-1682304,-1850907,-3852079,410040,-8019049,166000,-16371000
79,Inventory,-758428,-1838836,-1689091,565726,1568656,-5007557,701867,-3337934,-6808000,-16804000
80,Accounts Payable,2747074,290770,-1608213,192583,853854,2682094,195237,2777443,-5922000,14958000
81,Other Working Capital,-3110575,3434160,41862961,16245696,574668,10265451,12741142,12338052,75975000,- -
82,Other Non-Cash Items,2524168,-3022211,-17104875,24569502,17550906,-12288715,585051,-5653028,-71305948,5462000
83,Cash Provided by Operating Activities,-8715925,-11241202,-8026302,6738817,12799863,10270263,18575195,16316549,21193000,647000
84,CAPEX,-26395114,-24643016,-17130947,-32041362,-29952536,-13003756,-16274036,-70632830,-134568000,-322099000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-27894000,- -
86,Purchases of Investments,- -,- -,- -,-7499205,- -,- -,- -,- -,-20000000,- -
87,Sales/Maturities of Investments,- -,- -,- -,4249205,3250000,- -,- -,- -,20000000,- -
88,Other Investing Activites,-26305686,-24643016,-16877437,-26984155,-29939094,-13003756,-16274036,-70632830,- -,- -
89,Cash Used for Investing Activites,-26305686,-24643016,-16877437,-35260405,-26689094,-13003756,-16274036,-70632830,-162462000,-322099000
90,Debt Repayment,- -,- -,-88000000,- -,-3000000,-14500000,-6000000,-18500000,-76000000,- -
91,Common Stock Issued,- -,49889,164405679,- -,- -,- -,- -,4460445,252062000,332172000
92,Common Stock Repurchased,- -,- -,-34998957,- -,- -,- -,-256226,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,33762800,36645834,17311515,291749,12767995,15509575,9325196,70273124,22982000,-5179000
95,Cash Used/Provided by Financing Activities,33762800,36695723,58718237,291749,9767995,1009575,3068970,56233569,199044000,326993000
96,Effect of Forex Changes on Cash,23829,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-1234982,811505,33814498,-28229839,-4121236,-1723918,5370129,1917288,57775000,5541000
98,Cash at the End of Period,1633249,2444754,36259252,8029413,3908177,2184259,7554388,9471676,67247000,72788000
99,Cash at the Beginning of Period,2868231,1633249,2444754,36259252,8029413,3908177,2184259,7554388,9472000,67247000
100,Free Cash Flow,-35111039,-35884218,-25157249,-25302545,-17152673,-2733493,2301159,-54316281,-113375000,-321452000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1611647/000156459015002285/frpt-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1611647/000156459016014697/0001564590-16-014697-index.html,https://www.sec.gov/Archives/edgar/data/1611647/000156459017004284/0001564590-17-004284-index.html,https://www.sec.gov/Archives/edgar/data/1611647/000156459018004715/0001564590-18-004715-index.html,https://www.sec.gov/Archives/edgar/data/1611647/000156459019005508/0001564590-19-005508-index.html,https://www.sec.gov/Archives/edgar/data/1611647/000156459020006185/0001564590-20-006185-index.html,https://www.sec.gov/Archives/edgar/data/1611647/000143774921003615/0001437749-21-003615-index.htm,https://www.sec.gov/Archives/edgar/data/1611647/000143774922004871/0001437749-22-004871-index.htm
102,false,,,,,,,,,,
