,https://roic.ai/company/FTDR,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,84800000,84700000,84800000,84700000,84900000,85500000,85900000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1727263/000172726319000003/0001727263-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1727263/000156276220000077/0001562762-20-000077-index.htm,https://www.sec.gov/Archives/edgar/data/1727263/000156276221000052/0001562762-21-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1727263/000156276222000056/0001562762-22-000056-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,- -,168000000,282000000,296000000,428000000,597000000,262000000
32,Short-Term Investments,- -,25000000,25000000,9000000,7000000,- -,- -
33,Cash and Short-Term Investments,- -,193000000,307000000,305000000,435000000,597000000,262000000
34,Net Receivables,- -,372000000,406000000,12000000,11000000,5000000,7000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,29000000,28000000,13000000,15000000,24000000,26000000
37,Total Current Assets,- -,594000000,741000000,330000000,461000000,626000000,295000000
38,PP&E,- -,24000000,30000000,47000000,69000000,75000000,83000000
39,Goodwill,- -,471000000,476000000,476000000,501000000,512000000,512000000
40,Intangible Assets,- -,176000000,165000000,158000000,191000000,170000000,159000000
41,Intangible Assets,- -,647000000,641000000,634000000,692000000,682000000,671000000
42,Investments,- -,5000000,2000000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,4000000,1000000,30000000,28000000,22000000,21000000
45,Total Non-Current Assets,- -,680000000,674000000,711000000,789000000,779000000,775000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1274000000,1415000000,1041000000,1250000000,1405000000,1069000000
48,Accounts Payable,- -,28000000,33000000,41000000,48000000,55000000,66000000
49,Short-Term Debt,- -,4000000,9000000,7000000,7000000,7000000,17000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,528000000,573000000,185000000,188000000,187000000,155000000
52,Other Current Liabilities,- -,81000000,90000000,112000000,121000000,154000000,140000000
53,Total Current Liabilities,- -,641000000,705000000,345000000,364000000,403000000,378000000
54,Long-Term Debt,- -,10000000,- -,977000000,973000000,986000000,627000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,56000000,38000000,39000000,45000000,38000000,41000000
57,Other Non-Current Liabilities,- -,9000000,12000000,23000000,47000000,39000000,20000000
58,Total Non-Current Liabilities,- -,75000000,50000000,1039000000,1065000000,1063000000,688000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,20000000,18000000,19000000
61,Total Liabilities,- -,716000000,755000000,1384000000,1429000000,1466000000,1066000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,1000000,1000000,1000000,1000000
64,Retained Earnings,- -,- -,- -,-336000000,-188000000,-75000000,53000000
65,Other Comprehensive Income/Loss,- -,- -,- -,-9000000,-21000000,-33000000,-18000000
66,Other Total Stockholders Equity,- -,600000000,707000000,1000000,29000000,46000000,- -
67,Total Stockholders Equity,- -,560000000,661000000,-343000000,-179000000,-61000000,3000000
68,Total Liabilities And Stockholders Equity,- -,1276000000,1416000000,1041000000,1250000000,1405000000,1069000000
69,Minority Interest,- -,-2000000,-1000000,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,1274000000,1415000000,1041000000,1250000000,1405000000,1069000000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1727263/000172726319000003/0001727263-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1727263/000156276220000077/0001562762-20-000077-index.htm,https://www.sec.gov/Archives/edgar/data/1727263/000156276221000052/0001562762-21-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1727263/000156276222000056/0001562762-22-000056-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,120000000,124000000,160000000,125000000,153000000,112000000,128000000
74,Depreciation and Amortization,9000000,14000000,17000000,20000000,24000000,34000000,35000000
75,Deferred Income Tax,3000000,1000000,-19000000,7000000,-1000000,- -,-2000000
76,Stock Based Compensation,4000000,4000000,4000000,4000000,9000000,17000000,25000000
77,Change in Working Capital,4000000,-83000000,83000000,-51000000,112000000,126000000,-38000000
78,Accounts Receivable,-35000000,-40000000,-33000000,4000000,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,5000000,8000000,7000000,7000000,10000000
81,Other Working Capital,36000000,-47000000,36000000,-15000000,97000000,223000000,-31000000
82,Other Non-Cash Items,-5000000,95000000,-51000000,84000000,-97000000,-82000000,37000000
83,Cash Provided by Operating Activities,135000000,155000000,194000000,189000000,200000000,207000000,185000000
84,CAPEX,-7000000,-11000000,-15000000,-27000000,-22000000,-32000000,-31000000
85,Acquisitions Net,- -,-87000000,- -,- -,-38000000,-5000000,- -
86,Purchases of Investments,-6000000,-6000000,-44000000,-15000000,-7000000,-2000000,- -
87,Sales/Maturities of Investments,32000000,49000000,48000000,32000000,9000000,9000000,- -
88,Other Investing Activites,- -,- -,- -,- -,-4000000,-1000000,- -
89,Cash Used for Investing Activites,19000000,-55000000,-11000000,-10000000,-62000000,-31000000,-31000000
90,Debt Repayment,-1000000,-1000000,-5000000,-10000000,-7000000,-7000000,-994000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-103000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-99000000,-87000000,-63000000,-155000000,- -,- -,608000000
95,Cash Used/Provided by Financing Activities,-100000000,-88000000,-68000000,-165000000,-7000000,-7000000,-489000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,53000000,12000000,114000000,14000000,132000000,169000000,-335000000
98,Cash at the End of Period,156000000,168000000,282000000,296000000,428000000,597000000,262000000
99,Cash at the Beginning of Period,103000000,156000000,168000000,282000000,296000000,428000000,597000000
100,Free Cash Flow,128000000,144000000,179000000,162000000,178000000,175000000,154000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1727263/000172726319000003/0001727263-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1727263/000156276220000077/0001562762-20-000077-index.htm,https://www.sec.gov/Archives/edgar/data/1727263/000156276221000052/0001562762-21-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1727263/000156276222000056/0001562762-22-000056-index.htm
102,false,,,,,,,
