,https://roic.ai/company/ICE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1571949/000157194914000006/ice2013123110k.htm,https://www.sec.gov/Archives/edgar/data/1571949/000157194915000003/ice2014123110k.htm,https://www.sec.gov/Archives/edgar/data/1571949/000157194916000020/0001571949-16-000020-index.html,https://www.sec.gov/Archives/edgar/data/1571949/000157194917000003/0001571949-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/1571949/000157194918000003/0001571949-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/1571949/000157194919000003/0001571949-19-000003-index.html,https://www.sec.gov/Archives/edgar/data/1571949/000157194920000003/0001571949-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/1571949/000157194921000003/0001571949-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1571949/000157194922000006/0001571949-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,33627000,44913000,61199000,20002000,204257000,119597000,283522000,552465000,621792000,822949000,1612195000,961000000,652000000,627000000,407000000,535000000,724000000,841000000,583000000,607000000
32,Short-Term Investments,- -,- -,- -,- -,5700000,111181000,77354000,140955000,3419000,2005000,1999000,- -,- -,74000000,1200000000,29000000,23000000,16000000,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,33627000,44913000,66899000,131183000,281611000,260552000,286941000,554470000,623791000,822949000,1612195000,1035000000,1852000000,656000000,430000000,551000000,724000000,841000000,583000000,607000000
34,Net Receivables,- -,- -,- -,7940000,9608000,14773000,32121000,52018000,81248000,109068000,114456000,136331000,127260000,482000000,471000000,700000000,777000000,903000000,953000000,988000000,1230000000,1208000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,27214000,53040000,23535000,18059000,27185000,829524000,12184399000,18796313000,22837531000,31646111000,32010632000,42742000000,47922000000,51957000000,55926000000,52108000000,65015000000,66150000000,85406000000,152485000000
37,Total Current Assets,- -,- -,60841000,105893000,100042000,164015000,340917000,1142094000,12552588000,19459851000,23575778000,32605391000,33750087000,44259000000,50245000000,53313000000,57133000000,53562000000,66692000000,67979000000,87219000000,154300000000
38,PP&E,- -,- -,32843000,25625000,19364000,20348000,26280000,63524000,88952000,91735000,94503000,130962000,143392000,891000000,874000000,1037000000,1129000000,1246000000,1241000000,1536000000,1713000000,1699000000
39,Goodwill,- -,- -,- -,76799000,- -,- -,79575000,1009687000,1434816000,1465831000,1916055000,1902984000,1937977000,9501000000,8535000000,12079000000,12291000000,12216000000,13085000000,13342000000,21291000000,21123000000
40,Intangible Assets,- -,- -,- -,4649000,86075000,76054000,1551000,537722000,728855000,702460000,890818000,854374000,798960000,9404000000,7780000000,10758000000,10420000000,10269000000,10462000000,10258000000,14408000000,13736000000
41,Intangible Assets,- -,- -,- -,81448000,86075000,76054000,81126000,1547409000,2163671000,2168291000,2806873000,2757358000,2736937000,18905000000,16315000000,22837000000,22711000000,22485000000,23547000000,23600000000,35699000000,34859000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,154816000,144174000,451136000,391345000,324000000,379000000,299000000,432000000,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,127000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,76369000,1913000,2037000,5353000,44761000,43318000,154370000,10182000,20931000,203017000,193081000,439000000,466000000,501000000,598000000,971000000,1311000000,1378000000,1569000000,2644000000
45,Total Non-Current Assets,- -,- -,109212000,108986000,107476000,101755000,152294000,1654251000,2406993000,2425024000,3066481000,3542473000,3464755000,20559000000,18034000000,24674000000,24870000000,24702000000,26099000000,26514000000,38981000000,39202000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,170053000,214879000,207518000,265770000,493211000,2796345000,14959581000,21884875000,26642259000,36147864000,37214842000,64818000000,68279000000,77987000000,82003000000,78264000000,92791000000,94493000000,126200000000,193502000000
48,Accounts Payable,- -,- -,- -,551000,829000,1697000,1406000,27811000,49663000,57288000,65162000,65964000,70206000,343000000,474000000,514000000,519000000,590000000,626000000,643000000,639000000,703000000
49,Short-Term Debt,- -,- -,- -,1648000,12482000,- -,- -,37500000,46875000,114223000,252750000,50000000,163000000,1135000000,2042000000,2591000000,2493000000,1833000000,951000000,2569000000,2411000000,1521000000
50,Tax Payable,- -,- -,- -,5709000,- -,- -,- -,- -,- -,23327000,6307000,22614000,29284000,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,1553000,1197000,2637000,- -,- -,- -,- -,31555831000,31882493000,42216000000,69000000,98000000,114000000,121000000,135000000,129000000,158000000,194000000
52,Other Current Liabilities,- -,- -,17603000,15718000,19576000,23500000,33856000,845650000,12215104000,18796321000,22809472000,128519000,129998000,648000000,47954000000,51540000000,55491000000,51627000000,64396000000,65475000000,84791000000,150993000000
53,Total Current Liabilities,- -,- -,17603000,17917000,34440000,26394000,37899000,910961000,12311642000,18967832000,23127384000,31800314000,32245697000,44342000000,50539000000,54743000000,58617000000,54171000000,66108000000,68816000000,87999000000,153411000000
54,Long-Term Debt,- -,- -,- -,- -,13000000,- -,- -,184375000,332500000,281941000,325750000,837500000,969500000,3923000000,2247000000,4717000000,3871000000,4267000000,6490000000,5250000000,14446000000,12649000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,9191000,9093000,5450000,- -,108739000,194301000,181102000,268249000,235889000,216141000,2771000000,1938000000,2837000000,2958000000,2283000000,2337000000,2314000000,3563000000,4100000000
57,Other Non-Current Liabilities,- -,- -,102429000,86577000,18836000,1303000,844000,115414000,108958000,20353000,104111000,111820000,106946000,1167000000,1163000000,850000000,803000000,591000000,625000000,827000000,658000000,594000000
58,Total Non-Current Liabilities,- -,- -,102429000,95768000,40929000,6753000,844000,408528000,635759000,483396000,698110000,1185209000,1292587000,7861000000,5348000000,8404000000,7632000000,7141000000,9452000000,8391000000,18667000000,17343000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,2130000,- -,- -,- -,- -,- -,- -,78593000,- -,- -,- -,- -,- -,- -,- -,- -,281000000,320000000,252000000
61,Total Liabilities,- -,- -,120032000,113685000,75369000,33147000,38743000,1319489000,12947401000,19451228000,23825494000,32985523000,33538284000,52203000000,55887000000,63147000000,66249000000,61312000000,75560000000,77207000000,106666000000,170754000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,2176000,2176000,571000,596000,710000,765000,776000,785000,792000,799000,1000000,1000000,1000000,6000000,6000000,6000000,6000000,6000000,6000000
64,Retained Earnings,- -,- -,- -,46871000,68820000,47911000,191179000,431708000,732752000,1049125000,1447423000,1957096000,2508672000,2482000000,3210000000,4148000000,4789000000,6825000000,8317000000,9629000000,11039000000,14350000000
65,Other Comprehensive Income/Loss,- -,- -,- -,25909000,28440000,12080000,27411000,30655000,19890000,24558000,37740000,-21253000,-52591000,359000000,-46000000,-188000000,-344000000,-223000000,-315000000,-243000000,-192000000,-196000000
66,Other Total Stockholders Equity,- -,- -,50021000,26238000,32713000,172061000,235282000,1013783000,1252824000,1325273000,1291602000,1184890000,1186497000,9741000000,9195000000,10847000000,11266000000,10316000000,9193000000,7863000000,8645000000,8549000000
67,Total Stockholders Equity,- -,- -,50021000,101194000,132149000,232623000,454468000,1476856000,2006231000,2399732000,2777550000,3121525000,3643377000,12583000000,12360000000,14808000000,15717000000,16924000000,17201000000,17255000000,19498000000,22709000000
68,Total Liabilities And Stockholders Equity,- -,- -,170053000,214879000,207518000,265770000,493211000,2796345000,14953632000,21850960000,26603044000,36107048000,37181661000,64786000000,68247000000,77955000000,81966000000,78236000000,92761000000,94462000000,126164000000,193463000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,5949000,33915000,39215000,40816000,33181000,32000000,32000000,32000000,37000000,28000000,30000000,31000000,36000000,39000000
70,Total Liabilities & Equity,- -,- -,170053000,214879000,207518000,265770000,493211000,2796345000,14959581000,21884875000,26642259000,36147864000,37214842000,64818000000,68279000000,77987000000,82003000000,78264000000,92791000000,94493000000,126200000000,193502000000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1571949/000157194914000006/ice2013123110k.htm,https://www.sec.gov/Archives/edgar/data/1571949/000157194915000003/ice2014123110k.htm,https://www.sec.gov/Archives/edgar/data/1571949/000157194916000020/0001571949-16-000020-index.html,https://www.sec.gov/Archives/edgar/data/1571949/000157194917000003/0001571949-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/1571949/000157194918000003/0001571949-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/1571949/000157194919000003/0001571949-19-000003-index.html,https://www.sec.gov/Archives/edgar/data/1571949/000157194920000003/0001571949-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/1571949/000157194921000003/0001571949-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1571949/000157194922000006/0001571949-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,13377000,21949000,40410000,143268000,240612000,300972000,315988000,398298000,509673000,551576000,254000000,981000000,1274000000,1422000000,2514000000,1988000000,1933000000,2089000000,4058000000
74,Depreciation and Amortization,- -,- -,- -,19346000,17406000,16846000,13861000,33399000,63891000,111357000,121209000,132252000,130502000,161000000,333000000,374000000,610000000,535000000,586000000,662000000,751000000,1009000000
75,Deferred Income Tax,- -,- -,- -,-462000,-579000,-2356000,-5345000,-3222000,-16986000,-11536000,-22800000,-2901000,-24277000,-15000000,21000000,-108000000,114000000,-651000000,27000000,-33000000,92000000,537000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,53171000,49320000,52944000,52112000,64000000,97000000,111000000,124000000,135000000,130000000,139000000,139000000,188000000
77,Change in Working Capital,- -,- -,- -,-5490000,-22374000,72019000,165397000,-71885000,9813000,251073000,-43625000,356683000,699313000,-1587390000,-211000000,-1136000000,-54000000,875000000,1193000000,-1421000000,57000000,-87000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27427000,-2669000,-22590000,10730000,29000000,-78000000,-45000000,-65000000,-135000000,-44000000,-30000000,-149000000,-5000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6855000,-10875000,- -,52000000,-21000000,14000000,-88000000,-33000000,34000000,69000000,-150000000
81,Other Working Capital,- -,- -,- -,87976000,65602000,137621000,303018000,231133000,240946000,492019000,448394000,805077000,1504390000,-83000000,-294000000,-1430000000,-1484000000,-609000000,584000000,-837000000,-780000000,34000000
82,Other Non-Cash Items,- -,- -,- -,322000,23759000,-77107000,-171257000,88877000,17422000,-233460000,31356000,-335881000,-676272000,1858390000,293000000,796000000,-67000000,-1323000000,-1391000000,1379000000,-247000000,-2582000000
83,Cash Provided by Operating Activities,- -,- -,- -,27093000,40161000,49812000,145924000,287781000,375112000,486593000,533758000,712770000,732954000,735000000,1514000000,1311000000,2149000000,2085000000,2533000000,2659000000,2881000000,3123000000
84,CAPEX,- -,- -,- -,-6782000,-1703000,-8610000,-19815000,-104365000,-48812000,-44742000,-47768000,-87635000,-67809000,-181000000,-250000000,-277000000,-365000000,-357000000,-280000000,-305000000,-410000000,-452000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-480114000,-46816000,-37792000,-552981000,-13588000,-18250000,-2241000000,1697000000,-3811000000,-425000000,449000000,-1246000000,-292000000,-9446000000,1054000000
86,Purchases of Investments,- -,- -,- -,-19000000,-24000000,-166575000,-309227000,-332357000,-102567000,-91731000,-33306000,-514100000,- -,-42000000,-1304000000,-5000000,- -,- -,-306000000,- -,- -,-5050000000
87,Sales/Maturities of Investments,- -,- -,- -,11096000,30463000,58755000,346090000,272771000,236935000,31990000,19541000,1999000,43000,16000000,54000000,1089000000,- -,- -,77000000,9000000,4000000,3662000000
88,Other Investing Activites,- -,- -,- -,-10227000,-9537000,-690000,-44676000,6677000,-108486000,-44742000,-40342000,-89167000,-99660000,-256000000,-915000000,-571000000,-473000000,-357000000,-280000000,-311000000,-388000000,-452000000
89,Cash Used for Investing Activites,- -,- -,- -,-18131000,-4777000,-117120000,-27628000,-637388000,-69746000,-142275000,-633082000,-614856000,-117867000,-2523000000,-468000000,-3298000000,-898000000,92000000,-1755000000,-594000000,-9830000000,-786000000
90,Debt Repayment,- -,- -,- -,-1870000,- -,- -,- -,- -,- -,-89032000,-349000000,-991500000,-50000000,-2513000000,-552000000,-1028000000,-949000000,-1259000000,-883000000,- -,-2004000000,-2639000000
91,Common Stock Issued,- -,- -,- -,546000,14000,56005000,22108000,9931000,5210000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-43500000,- -,- -,-25484000,-300000000,- -,-90395000,-190474000,-72524000,-77000000,-690000000,-705000000,-104000000,-1037000000,-1278000000,-1525000000,-1321000000,-320000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-3447000,- -,- -,- -,- -,-75000000,-299000000,-331000000,-409000000,-476000000,-555000000,-621000000,-669000000,-747000000
94,Other Financing Activites,- -,- -,- -,- -,23162000,-25676000,40996000,280312000,157118000,13920000,608915000,1287085000,294887000,3784000000,207000000,4040000000,- -,801000000,2253000000,393000000,10738000000,65732000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-1324000,-20324000,30329000,63104000,264759000,-141119000,-75112000,169520000,105111000,172363000,1119000000,-1334000000,1976000000,-1462000000,-1971000000,-463000000,-1753000000,6744000000,62026000000
96,Effect of Forex Changes on Cash,- -,- -,- -,3648000,1226000,-4218000,2855000,188000,-322000,-263000,-869000,-1868000,1796000,18000000,-21000000,-14000000,-9000000,12000000,-11000000,4000000,8000000,-6000000
97,Net Change In Cash,- -,- -,- -,11286000,16286000,-41197000,184255000,-84660000,163925000,268943000,69327000,201157000,789246000,-651000000,-309000000,-25000000,-220000000,218000000,304000000,316000000,-197000000,64357000000
98,Cash at the End of Period,- -,- -,- -,44913000,61199000,20002000,204257000,119597000,283522000,552465000,621792000,822949000,1612195000,961000000,652000000,627000000,407000000,1568000000,1872000000,2188000000,1991000000,147976000000
99,Cash at the Beginning of Period,- -,- -,- -,33627000,44913000,61199000,20002000,204257000,119597000,283522000,552465000,621792000,822949000,1612000000,961000000,652000000,627000000,1350000000,1568000000,1872000000,2188000000,83619000000
100,Free Cash Flow,- -,- -,- -,20311000,38458000,41202000,126109000,183416000,326300000,441851000,485990000,625135000,665145000,554000000,1264000000,1034000000,1784000000,1728000000,2253000000,2354000000,2471000000,2671000000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1571949/000157194914000006/ice2013123110k.htm,https://www.sec.gov/Archives/edgar/data/1571949/000157194915000003/ice2014123110k.htm,https://www.sec.gov/Archives/edgar/data/1571949/000157194916000020/0001571949-16-000020-index.html,https://www.sec.gov/Archives/edgar/data/1571949/000157194917000003/0001571949-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/1571949/000157194918000003/0001571949-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/1571949/000157194919000003/0001571949-19-000003-index.html,https://www.sec.gov/Archives/edgar/data/1571949/000157194920000003/0001571949-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/1571949/000157194921000003/0001571949-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1571949/000157194922000006/0001571949-22-000006-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
