,https://roic.ai/company/MCK,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),111500000,88700000,31300000,98600000,117100000,122300000,52300000,182600000,293300000,264900000,-83100000,421000000,329000000,468000000,241000000,601000000,505000000,516000000,581000000,742000000,815000000,908000000,1614000000,-53000000,356000000,18000000,-695000000
23,Net Income,404500000,135400000,133900000,154900000,84900000,723700000,-48300000,418600000,555400000,646500000,-156700000,751000000,913000000,990000000,823000000,1263000000,1202000000,1403000000,1338000000,1263000000,1476000000,2258000000,5070000000,67000000,34000000,900000000,-4539000000
24,Net Income ratio,0.0307,0.0099,0.0104,0.0074,0.0028,0.0197,-0.0011,0.0084,0.0097,0.0093,-0.0019,0.0085,0.0098,0.0097,0.0077,0.0116,0.0107,0.0114,0.0109,0.0092,0.0082,0.0118,0.0255,0.0003,0.0002,0.0039,-0.0191
25,EPS,4.60,1.45,1.50,0.84,0.31,2.57,-0.17,1.47,1.92,2.23,-0.53,2.46,3.06,3.40,2.99,4.70,4.65,5.70,5.71,5.51,6.37,9.82,22.95,0.32,0.17,4.98,-28.26
26,EPS Diluted,4.60,1.45,1.49,0.80,0.31,2.57,-0.17,1.43,1.88,2.19,-0.53,2.38,2.99,3.32,2.95,4.62,4.57,5.59,5.59,5.41,6.27,9.70,22.73,0.32,0.17,4.95,-28.26
27,Weighted Average Shares Outstanding,87934783,93400000,89000000,202400000,275200000,281300000,283100000,285200000,289300000,290000000,293500000,306000000,298000000,291000000,275000000,269000000,258000000,246000000,235000000,229000000,232000000,230000000,221000000,208000000,196000000,181000000,160600000
28,Weighted Average Shares Outstanding Diluted,87934783,93400000,90200000,202400000,289800000,281300000,283100000,298100000,298800000,298600000,293500000,316000000,305000000,298000000,279000000,273000000,263000000,251000000,239000000,233000000,235000000,233000000,223000000,209000000,197000000,182000000,160600000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/927653/000092962400000832/0000929624-00-000832-index.html,- -,https://www.sec.gov/Archives/edgar/data/927653/000095014902001196/f82011e10vk.htm,https://www.sec.gov/Archives/edgar/data/927653/000095014903001297/f90251e10vk.htm,https://www.sec.gov/Archives/edgar/data/927653/000095014904001115/f99032e10vk.htm,https://www.sec.gov/Archives/edgar/data/927653/000095013405009971/f08078e10vk.htm,https://www.sec.gov/Archives/edgar/data/927653/000095014906000282/f20234e10vk.htm,https://www.sec.gov/Archives/edgar/data/927653/000095013407010894/0000950134-07-010894-index.html,https://www.sec.gov/Archives/edgar/data/927653/000095014908000067/0000950149-08-000067-index.html,https://www.sec.gov/Archives/edgar/data/927653/000095013409009477/0000950134-09-009477-index.html,https://www.sec.gov/Archives/edgar/data/927653/000095012310043581/0000950123-10-043581-index.html,https://www.sec.gov/Archives/edgar/data/927653/000095012311045634/0000950123-11-045634-index.html,https://www.sec.gov/Archives/edgar/data/927653/000119312512204736/d318930d10k.htm,https://www.sec.gov/Archives/edgar/data/927653/000156178713000010/0001561787-13-000010-index.html,https://www.sec.gov/Archives/edgar/data/927653/000144530514002132/0001445305-14-002132-index.html,https://www.sec.gov/Archives/edgar/data/927653/000162828015004098/0001628280-15-004098-index.html,https://www.sec.gov/Archives/edgar/data/927653/000092765316000020/0000927653-16-000020-index.html,https://www.sec.gov/Archives/edgar/data/927653/000092765317000007/0000927653-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/927653/000092765318000010/0000927653-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/927653/000092765319000009/0000927653-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/927653/000092765320000033/mck10k3312020.htm,https://www.sec.gov/Archives/edgar/data/927653/000092765321000039/0000927653-21-000039-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,385400000,281800000,124800000,35700000,240800000,548900000,433700000,557900000,522000000,708000000,1800000000,2142000000,1954000000,1362000000,2109000000,3731000000,3612000000,3149000000,2456000000,4193000000,5341000000,4048000000,2783000000,2672000000,2981000000,4015000000,6278000000
32,Short-Term Investments,- -,- -,- -,- -,- -,57000000,11900000,5100000,11500000,9800000,9300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,385400000,281800000,124800000,35700000,240800000,605900000,445600000,563000000,533500000,717800000,1809300000,2142000000,1954000000,1362000000,2109000000,3731000000,3612000000,3149000000,2456000000,4193000000,5341000000,4048000000,2783000000,2672000000,2981000000,4015000000,6278000000
34,Net Receivables,778600000,781400000,1224500000,1380400000,2583700000,3034500000,3443400000,4001500000,4594700000,5418800000,5731500000,6370000000,6566000000,7213000000,7774000000,8075000000,9187000000,9977000000,9975000000,14193000000,15914000000,17980000000,18215000000,17711000000,18246000000,19950000000,19181000000
35,Inventory,1467500000,1379100000,2259500000,2583500000,3529000000,4149300000,5116400000,6011500000,6022500000,6735100000,7495500000,7260000000,8153000000,9000000000,8527000000,9441000000,9225000000,10073000000,10335000000,13308000000,14296000000,15335000000,15278000000,16310000000,16709000000,16734000000,19246000000
36,Other Current Assets,67900000,222700000,152300000,106000000,146000000,175800000,158600000,122700000,102900000,132500000,296000000,1147000000,1183000000,211000000,261000000,257000000,333000000,404000000,404000000,879000000,1119000000,1074000000,672000000,443000000,529000000,1523000000,677000000
37,Total Current Assets,2699400000,2665000000,3761100000,4105600000,6499500000,7965500000,9164000000,10698700000,11253600000,13004200000,15332300000,16919000000,17856000000,17786000000,18671000000,21504000000,22357000000,23603000000,23170000000,32573000000,36670000000,38437000000,36948000000,37136000000,38465000000,42222000000,45382000000
38,PP&E,366300000,379800000,373600000,430300000,694000000,555400000,595300000,594700000,593700000,599900000,630500000,671000000,684000000,775000000,796000000,851000000,991000000,1043000000,1321000000,2222000000,2045000000,2278000000,2292000000,2464000000,2548000000,4251000000,4681000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1718000000,2975000000,3345000000,3528000000,3568000000,4364000000,5032000000,6405000000,9927000000,9817000000,9786000000,10586000000,10924000000,9358000000,9360000000,9493000000
40,Intangible Assets,214300000,223400000,736200000,752400000,1228400000,1185600000,1064400000,1115700000,1449500000,1490200000,1541800000,128000000,779000000,860000000,882000000,785000000,1608000000,1750000000,2270000000,5022000000,3441000000,3021000000,3665000000,4102000000,3689000000,3156000000,2878000000
41,Intangible Assets,214300000,223400000,736200000,752400000,1228400000,1185600000,1064400000,1115700000,1449500000,1490200000,1541800000,1846000000,3754000000,4205000000,4410000000,4353000000,5972000000,6782000000,8675000000,14949000000,13258000000,12807000000,14251000000,15026000000,13047000000,12516000000,12371000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4063000000,3728000000,3513000000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,199200000,235700000,301900000,319200000,659700000,666400000,706200000,914900000,1056600000,1145900000,1270400000,1539000000,1649000000,1837000000,1390000000,1481000000,1566000000,1665000000,1620000000,2015000000,1897000000,3041000000,3415000000,2027000000,2099000000,2258000000,2581000000
45,Total Non-Current Assets,779800000,838900000,1411700000,1501900000,2582100000,2407400000,2365900000,2625300000,3099800000,3236000000,3442700000,4056000000,6087000000,6817000000,6596000000,6685000000,8529000000,9490000000,11616000000,19186000000,17200000000,18126000000,24021000000,23245000000,21207000000,19025000000,19633000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3479200000,3503900000,5172800000,5607500000,9081600000,10372900000,11529900000,13324000000,14353400000,16240200000,18775000000,20975000000,23943000000,24603000000,25267000000,28189000000,30886000000,33093000000,34786000000,51759000000,53870000000,56563000000,60969000000,60381000000,59672000000,61247000000,65015000000
48,Accounts Payable,1120800000,1188600000,1854700000,1859100000,3154200000,3678300000,4603300000,6336700000,6630700000,6810500000,8186200000,10055000000,10873000000,12032000000,- -,- -,- -,16114000000,16108000000,21429000000,25166000000,28585000000,31022000000,32177000000,33853000000,37195000000,38975000000
49,Short-Term Debt,39500000,34900000,160300000,10000000,637500000,16200000,194100000,141200000,10200000,828300000,557200000,26000000,155000000,2000000,219000000,3000000,417000000,908000000,352000000,1770000000,1664000000,1619000000,1057000000,1129000000,330000000,1052000000,1132000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,378500000,388100000,459700000,543000000,593100000,827000000,1027000000,1210000000,1145000000,1218000000,1321000000,1423000000,1359000000,1236000000,1078000000,919000000,346000000,63000000,- -,- -,- -
52,Other Current Liabilities,577900000,499100000,622200000,708700000,1008400000,1427300000,1373800000,722000000,873800000,1274300000,2456100000,2607000000,3071000000,2104000000,14242000000,15791000000,16988000000,3241000000,3538000000,5066000000,5589000000,3948000000,3187000000,3316000000,3443000000,4377000000,3996000000
53,Total Current Liabilities,1738200000,1722600000,2637200000,2577800000,4800100000,5121800000,6549700000,7588000000,7974400000,9456100000,11792600000,13515000000,15126000000,15348000000,15606000000,17012000000,18726000000,21686000000,21357000000,29501000000,33497000000,35071000000,35612000000,36685000000,37626000000,42624000000,44103000000
54,Long-Term Debt,458800000,442500000,824900000,1194200000,945500000,1243800000,1035600000,1288400000,1290700000,1209800000,1201700000,965000000,1803000000,1795000000,2290000000,2293000000,3587000000,3072000000,4521000000,8949000000,8180000000,6535000000,7305000000,6751000000,7265000000,6335000000,8273000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2734000000,3678000000,2804000000,2998000000,2255000000,1411000000
57,Other Non-Current Liabilities,208800000,217000000,255100000,233300000,258600000,245700000,255800000,311400000,363500000,409000000,505600000,588000000,741000000,1339000000,1178000000,1352000000,1353000000,1504000000,1838000000,2991000000,4108000000,3215000000,3101000000,4084000000,3496000000,4724000000,11053000000
58,Total Non-Current Liabilities,667600000,659500000,1080000000,1427500000,1204100000,1489500000,1291400000,1599800000,1654200000,1618800000,1707300000,1553000000,2544000000,3134000000,3468000000,3645000000,4940000000,4576000000,6359000000,11940000000,12288000000,12484000000,14084000000,13639000000,13759000000,13314000000,20737000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2014000000,2257000000
61,Total Liabilities,2405800000,2382100000,3717200000,4005300000,6004200000,6611300000,7841100000,9187800000,9628600000,11074900000,13499900000,15068000000,17670000000,18482000000,19074000000,20657000000,23666000000,26262000000,27716000000,41441000000,45785000000,47555000000,49696000000,50324000000,51385000000,55938000000,64840000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,2800000,2900000,2900000,2900000,2900000,3100000,3000000,3000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,3000000,3000000,3000000,3000000,2000000,2000000
64,Retained Earnings,875900000,968900000,1062600000,1173200000,1465000000,2122300000,2006600000,2357200000,2843300000,3420600000,3193500000,3871000000,4712000000,5586000000,6103000000,7236000000,8250000000,9451000000,10402000000,11453000000,12705000000,8360000000,13189000000,12986000000,12409000000,13022000000,8202000000
65,Other Comprehensive Income/Loss,-396800000,-419800000,-405700000,-440000000,-681000000,-594200000,-663700000,-584900000,-637400000,-723400000,32000000,55000000,31000000,152000000,-179000000,6000000,87000000,5000000,-65000000,-3000000,-1713000000,-1561000000,-2141000000,-1717000000,-1849000000,-1703000000,-1480000000
66,Other Total Stockholders Equity,534400000,515500000,603900000,673600000,2097800000,2034900000,2147100000,2164900000,2319700000,2465200000,2046500000,1978000000,1527000000,379000000,265000000,286000000,-1121000000,-2629000000,-3271000000,-2932000000,-2995000000,2122000000,44000000,-1468000000,-2469000000,-6229000000,-6745000000
67,Total Stockholders Equity,1013500000,1064600000,1260800000,1406800000,2881800000,3565800000,3492900000,3940100000,4528500000,5165300000,5275100000,5907000000,6273000000,6121000000,6193000000,7532000000,7220000000,6831000000,7070000000,8522000000,8001000000,8924000000,11095000000,9804000000,8094000000,5092000000,-21000000
68,Total Liabilities And Stockholders Equity,3419300000,3446700000,4978000000,5412100000,8886000000,10177100000,11334000000,13127900000,14157100000,16240200000,18775000000,20975000000,23943000000,24603000000,25267000000,28189000000,30886000000,33093000000,34786000000,49963000000,53786000000,56479000000,60791000000,60128000000,59479000000,61030000000,64819000000
69,Minority Interest,59900000,57200000,194800000,195400000,195600000,195800000,195900000,196100000,196300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1796000000,84000000,84000000,178000000,253000000,193000000,217000000,196000000
70,Total Liabilities & Equity,3479200000,3503900000,5172800000,5607500000,9081600000,10372900000,11529900000,13324000000,14353400000,16240200000,18775000000,20975000000,23943000000,24603000000,25267000000,28189000000,30886000000,33093000000,34786000000,51759000000,53870000000,56563000000,60969000000,60381000000,59672000000,61247000000,65015000000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/927653/000092962400000832/0000929624-00-000832-index.html,- -,https://www.sec.gov/Archives/edgar/data/927653/000095014902001196/f82011e10vk.htm,https://www.sec.gov/Archives/edgar/data/927653/000095014903001297/f90251e10vk.htm,https://www.sec.gov/Archives/edgar/data/927653/000095014904001115/f99032e10vk.htm,https://www.sec.gov/Archives/edgar/data/927653/000095013405009971/f08078e10vk.htm,https://www.sec.gov/Archives/edgar/data/927653/000095014906000282/f20234e10vk.htm,https://www.sec.gov/Archives/edgar/data/927653/000095013407010894/0000950134-07-010894-index.html,https://www.sec.gov/Archives/edgar/data/927653/000095014908000067/0000950149-08-000067-index.html,https://www.sec.gov/Archives/edgar/data/927653/000095013409009477/0000950134-09-009477-index.html,https://www.sec.gov/Archives/edgar/data/927653/000095012310043581/0000950123-10-043581-index.html,https://www.sec.gov/Archives/edgar/data/927653/000095012311045634/0000950123-11-045634-index.html,https://www.sec.gov/Archives/edgar/data/927653/000119312512204736/d318930d10k.htm,https://www.sec.gov/Archives/edgar/data/927653/000156178713000010/0001561787-13-000010-index.html,https://www.sec.gov/Archives/edgar/data/927653/000144530514002132/0001445305-14-002132-index.html,https://www.sec.gov/Archives/edgar/data/927653/000162828015004098/0001628280-15-004098-index.html,https://www.sec.gov/Archives/edgar/data/927653/000092765316000020/0000927653-16-000020-index.html,https://www.sec.gov/Archives/edgar/data/927653/000092765317000007/0000927653-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/927653/000092765318000010/0000927653-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/927653/000092765319000009/0000927653-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/927653/000092765320000033/mck10k3312020.htm,https://www.sec.gov/Archives/edgar/data/927653/000092765321000039/0000927653-21-000039-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,404500000,135400000,133900000,154900000,84900000,723700000,-48300000,418600000,555400000,646500000,-156700000,751000000,913000000,990000000,823000000,1263000000,1202000000,1403000000,1338000000,1263000000,1476000000,2258000000,5070000000,67000000,34000000,900000000,-4539000000
74,Depreciation and Amortization,69800000,71300000,71800000,87200000,199300000,201300000,246100000,207500000,203700000,232100000,250900000,266000000,295000000,371000000,441000000,474000000,139000000,551000000,591000000,704000000,1017000000,885000000,910000000,951000000,949000000,922000000,887000000
75,Deferred Income Tax,-81000000,43200000,-1600000,66400000,-31900000,26500000,-21400000,76800000,126600000,69500000,-328800000,403000000,167000000,198000000,148000000,161000000,128000000,164000000,606000000,16000000,171000000,64000000,882000000,-868000000,189000000,-342000000,-908000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,99000000,114000000,137000000,154000000,167000000,160000000,174000000,123000000,115000000,69000000,- -,- -,- -
77,Change in Working Capital,60000000,403900000,171600000,1144300000,-229400000,496400000,168500000,268900000,-8400000,-135700000,-674000000,-292000000,627000000,1427000000,-861000000,-1714000000,-104000000,1259000000,101000000,193000000,-2030000000,-885000000,388000000,-1241000000,1681000000,-1774000000,-459000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-200100000,-223400000,-332600000,-292200000,-895500000,-629800000,-985000000,-901500000,13400000,-681300000,-720000000,578000000,-928000000,-676000000,370000000,-782000000,367000000,-878000000,-59000000,-1201000000,-2144000000,-1251000000,320000000,-458000000,-368000000,-376000000,-2276000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,533000000,2027000000,-125000000,2412000000,4718000000,3302000000,2070000000,271000000,1976000000,- -,- -
81,Other Working Capital,1123900000,1527800000,1699400000,2843700000,2614300000,3110700000,3279200000,3548100000,3539700000,3404000000,2730000000,2438000000,3065000000,4492000000,3631000000,1917000000,1813000000,3072000000,3173000000,3366000000,1336000000,451000000,839000000,-402000000,1279000000,-495000000,-954000000
82,Other Non-Cash Items,-258200000,-651300000,-137600000,-1450600000,294200000,-1863900000,8200000,-642500000,-181800000,-249000000,2447000000,1616000000,-463000000,-2117000000,701000000,2018000000,836000000,-581000000,-320000000,800000000,2304000000,1227000000,-2621000000,5367000000,1183000000,4668000000,9561000000
83,Cash Provided by Operating Activities,195100000,2500000,238100000,2200000,317100000,-416000000,353100000,329300000,695500000,563400000,1538400000,2744000000,1539000000,869000000,1351000000,2316000000,2338000000,2950000000,2483000000,3136000000,3112000000,3672000000,4744000000,4345000000,4036000000,4374000000,4542000000
84,CAPEX,-82300000,-110800000,-1286400000,-232400000,-553400000,-145100000,-158900000,-131800000,-116000000,-115000000,-139900000,-167000000,-306000000,-356000000,-392000000,-378000000,-388000000,-403000000,-406000000,-415000000,-545000000,-677000000,-562000000,-580000000,-557000000,-506000000,-641000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-64000000,-526000000,-1759000000,-610000000,-295000000,-17000000,-183000000,-1051000000,-1873000000,-4537000000,-155000000,170000000,-4006000000,-2519000000,-804000000,-96000000,365000000
86,Purchases of Investments,-324000000,-130600000,-103100000,-1300000,-27900000,-161100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,19900000,244800000,198200000,32700000,117900000,162800000,13900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,550600000,-7400000,227100000,-84200000,-190500000,798200000,-197800000,-255000000,-460100000,-152900000,-151400000,-1132000000,-38000000,- -,-237000000,-93000000,-208000000,-226000000,-90000000,-235000000,-146000000,-1239000000,614000000,1402000000,-151000000,-121000000,-329000000
89,Cash Used for Investing Activites,164200000,-4000000,-964200000,-285200000,-653900000,654800000,-342800000,-386800000,-576100000,-267900000,-355300000,-1825000000,-2103000000,-966000000,-727000000,-309000000,-624000000,-1502000000,-2209000000,-5046000000,-677000000,-1557000000,-3796000000,-1522000000,-1381000000,-579000000,-415000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3634000000,-224000000,-2730000000,-430000000,-3768000000,-6478000000,-3505000000,-3286000000,-9725000000,-23124000000,-38380000000,-21735000000,-7363000000
91,Common Stock Issued,27100000,19200000,222500000,11300000,224900000,26200000,38600000,88100000,78800000,92600000,223300000,568000000,399000000,354000000,97000000,212000000,367000000,167000000,166000000,177000000,152000000,123000000,120000000,132000000,75000000,113000000,92000000
92,Common Stock Repurchased,-3100000,-62700000,-155700000,- -,- -,- -,-65600000,-44200000,-25000000,-156800000,- -,-958000000,-1003000000,-1698000000,-502000000,-323000000,- -,-1874000000,-1214000000,-130000000,-450000000,-1612000000,-2311000000,-1709000000,-1639000000,-1954000000,-770000000
93,Dividends Paid,-69900000,-44200000,-43300000,-46300000,-94800000,-77500000,-78300000,-78500000,-79700000,-69800000,-70600000,-73000000,-72000000,-70000000,-116000000,-131000000,-171000000,-195000000,-194000000,-214000000,-227000000,-244000000,-253000000,-262000000,-292000000,-294000000,-276000000
94,Other Financing Activites,-17000000,-14400000,566600000,228900000,-118800000,127700000,-20200000,216300000,-129300000,24500000,-243800000,-114000000,1055000000,-56000000,4333000000,45000000,693000000,427000000,4054000000,10264000000,3062000000,1566000000,10100000000,21879000000,38009000000,21136000000,6624000000
95,Cash Used/Provided by Financing Activities,-62900000,-102100000,590100000,193900000,11300000,76400000,-125500000,181700000,-155200000,-109500000,-91100000,-577000000,379000000,-1470000000,178000000,-421000000,-1841000000,-1905000000,-956000000,3619000000,-968000000,-3453000000,-2069000000,-3084000000,-2227000000,-2734000000,-1693000000
