,https://roic.ai/company/WSC,2015,2016,2017,2018,2019,2020,2021
61,Total Liabilities,19633460,19575671,926192000,2050288000,2188694000,3430928000,3776836000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,476465565,477028220,9000,12000,12000,23000,22000
64,Retained Earnings,-20808,541852,-1636819000,-1683319000,-1689373000,-1618707000,-1591090000
65,Other Comprehensive Income/Loss,- -,-57000000,-49497000,-68026000,-62775000,-37207000,-29071000
66,Other Total Stockholders Equity,5019326,61456671,2121926000,2389548000,- -,3797168000,3616902000
67,Total Stockholders Equity,481464083,482026743,435619000,638215000,644365000,2141277000,1996763000
68,Total Liabilities And Stockholders Equity,501097543,501602414,1361811000,2688503000,2833059000,5572205000,5773599000
69,Minority Interest,- -,- -,48931000,63982000,64590000,- -,- -
70,Total Liabilities & Equity,501097543,501602414,1410742000,2752485000,2897649000,5572205000,5773599000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1647088/000114420416091401/0001144204-16-091401-index.html,https://www.sec.gov/Archives/edgar/data/1647088/000114420417015086/0001144204-17-015086-index.html,https://www.sec.gov/Archives/edgar/data/1647088/000164708818000006/0001647088-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1647088/000162828019002990/0001628280-19-002990-index.html,- -,https://www.sec.gov/Archives/edgar/data/1647088/000164708821000034/0001647088-21-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1647088/000164708822000009/0001647088-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-71587000,562660,-147702000,-49040000,-11122000,70666000,160144000
74,Depreciation and Amortization,136892000,- -,107876000,136467000,189436000,246948000,315567000
75,Deferred Income Tax,-44402000,- -,12959000,-40192000,-2624000,-55155000,36563000
76,Stock Based Compensation,- -,- -,2970000,3439000,6686000,9879000,18989000
77,Change in Working Capital,15827000,-688568,-28132833,15271000,-15148000,-1351000,-5430000
78,Accounts Receivable,8062000,- -,-20563000,-36452000,-63648000,-26723000,-105053000
79,Inventory,-1231000,- -,682000,-1241000,869000,2775000,-9083000
80,Accounts Payable,- -,- -,39771000,-14462000,4865000,-16046000,27308000
81,Other Working Capital,874401,185833,-27947000,-12676000,-27824000,-29175000,-34605000
82,Other Non-Cash Items,83135000,557337,50667833,-28796000,5338000,33825000,14069000
83,Cash Provided by Operating Activities,119865000,431429,-1362000,37149000,172566000,304812000,539902000
84,CAPEX,-184424000,- -,-116147000,-165505000,-213446000,-188837000,-26175000
85,Acquisitions Net,- -,- -,-237148000,-1083146000,- -,17173000,-147172000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-8735000,-1251227,-39355000,31449000,60864000,46304000,-210700000
89,Cash Used for Investing Activites,-193159000,-1251227,-392650000,-1217202000,-152582000,-125360000,-384047000
90,Debt Repayment,-154211000,- -,-1380472000,-143214000,-568785000,-2816810000,-512181000
91,Common Stock Issued,- -,- -,- -,147201000,921000,10616000,7484000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-363586000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,230969000,- -,1777305000,1176050000,541801000,2647236000,- -
95,Cash Used/Provided by Financing Activities,76758000,- -,396833000,1180037000,-26063000,-158958000,- -
96,Effect of Forex Changes on Cash,-441000,- -,202000,-211000,166000,1398000,- -
97,Net Change In Cash,3023000,-819798,3023000,-227000,-5913000,21892000,- -
98,Cash at the End of Period,9302000,188063,9185000,8958000,3045000,24937000,- -
99,Cash at the Beginning of Period,6279000,1007861,6162000,9185000,8958000,3045000,- -
100,Free Cash Flow,-64559000,431429,-117509000,-128356000,-40880000,115975000,513727000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1647088/000114420416091401/0001144204-16-091401-index.html,https://www.sec.gov/Archives/edgar/data/1647088/000114420417015086/0001144204-17-015086-index.html,https://www.sec.gov/Archives/edgar/data/1647088/000164708818000006/0001647088-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1647088/000162828019002990/0001628280-19-002990-index.html,- -,https://www.sec.gov/Archives/edgar/data/1647088/000164708821000034/0001647088-21-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1647088/000164708822000009/0001647088-22-000009-index.htm
102,false,,,,,,,
