,https://roic.ai/company/SHAK,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,16033000,13076000,2677000,70849000,11607000,21507000,24750000,37099000,146873000,302406000
32,Short-Term Investments,- -,- -,- -,- -,62040000,63036000,62113000,36508000,36887000,80000000
33,Cash and Short-Term Investments,16033000,13076000,2677000,70849000,73647000,84543000,86863000,73607000,183760000,382406000
34,Net Receivables,1553000,1527000,3278000,4217000,6006000,5641000,10523000,9970000,9464000,13657000
35,Inventory,243000,331000,529000,543000,806000,1258000,1749000,2221000,2888000,3850000
36,Other Current Assets,155000,273000,1461000,3325000,3485000,1757000,1984000,1877000,7074000,9763000
37,Total Current Assets,17984000,15207000,7945000,78934000,83944000,93199000,101119000,87675000,203186000,409676000
38,PP&E,25075000,37938000,70124000,93041000,136264000,187095000,261854000,589288000,642858000,736663000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,74000,67000,141000,- -,- -,- -,- -,- -,287007000,298668000
44,Other Non-Current Assets,935000,2007000,4752000,207572000,317986000,190312000,247559000,291305000,12297000,12563000
45,Total Non-Current Assets,26084000,40012000,75017000,300613000,454250000,377407000,509413000,880593000,942162000,1047894000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,44068000,55219000,82962000,379547000,538194000,470606000,610532000,968268000,1145348000,1457570000
48,Accounts Payable,1174000,2393000,6440000,6786000,6921000,8210000,12467000,14300000,23487000,19947000
49,Short-Term Debt,- -,- -,32000000,- -,- -,- -,- -,- -,- -,38230000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,4575000
51,Deferred Revenue,628000,630000,- -,- -,313207000,185914000,242533000,279817000,2637000,3297000
52,Other Current Liabilities,3765000,4182000,9737000,17219000,-288412000,-160100000,-195052000,-194725000,83581000,60023000
53,Total Current Liabilities,5567000,7205000,48177000,24005000,31716000,34024000,59948000,99392000,109705000,121497000
54,Long-Term Debt,- -,313000,313000,313000,2007000,14518000,20846000,3643000,- -,647958000
55,Deferred Revenue,1725000,1575000,- -,22927000,31107000,36596000,47864000,- -,12151000,12669000
56,Deferred Tax Liabilities,- -,- -,- -,201957000,313207000,185914000,242533000,279817000,- -,- -
57,Other Non-Current Liabilities,4905000,8739000,21872000,29730000,7969000,30062000,13266000,286599000,588999000,239846000
58,Total Non-Current Liabilities,6630000,10627000,22185000,254927000,354290000,267090000,324509000,570059000,601150000,900473000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,2007000,14518000,20846000,340432000,384977000,442646000
61,Total Liabilities,12197000,17832000,70362000,278932000,386006000,301114000,384457000,669451000,710855000,1021970000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,36000,36000,37000,38000,38000,42000,42000
64,Retained Earnings,- -,- -,- -,4273000,16719000,16399000,30404000,54367000,12209000,3554000
65,Other Comprehensive Income/Loss,-4816000,-8333000,-13343000,-10000,-30000,-98000,-85447000,4000,3000,1000
66,Other Total Stockholders Equity,36687000,45720000,25943000,96316000,135463000,153154000,281080000,244408000,395067000,405940000
67,Total Stockholders Equity,31871000,37387000,12600000,100615000,152188000,169492000,226075000,298817000,407321000,409537000
68,Total Liabilities And Stockholders Equity,44068000,55219000,82962000,379547000,538194000,470606000,610532000,968268000,1118176000,1431507000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,27172000,26063000
70,Total Liabilities & Equity,44068000,55219000,82962000,379547000,538194000,470606000,610532000,968268000,1145348000,1457570000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1620533/000162053315000003/0001620533-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1620533/000162053316000187/0001620533-16-000187-index.html,https://www.sec.gov/Archives/edgar/data/1620533/000162053317000041/0001620533-17-000041-index.html,https://www.sec.gov/Archives/edgar/data/1620533/000162053318000015/0001620533-18-000015-index.html,https://www.sec.gov/Archives/edgar/data/1620533/000162053319000010/0001620533-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1620533/000162053320000006/0001620533-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1620533/000162053321000027/0001620533-21-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1620533/000162053322000014/0001620533-22-000014-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,4133000,5423000,2118000,-8776000,12446000,-320000,15179000,19827000,-42158000,-8655000
74,Depreciation and Amortization,2162000,3541000,5809000,10222000,14502000,21704000,29000000,40704000,50245000,60236000
75,Deferred Income Tax,-34000,7000,-93000,-734000,-523000,146334000,788000,-6064000,-1356000,-10379000
76,Stock Based Compensation,450000,93000,165000,16681000,5354000,5623000,6143000,7505000,5560000,8703000
77,Change in Working Capital,4871000,-4415000,-48234000,95161000,-2701000,6947000,-18004000,-52888000,105198000,-44065000
78,Accounts Receivable,-1076000,26000,-1751000,775000,2974000,6421000,5530000,10726000,1006000,-4193000
79,Inventory,-35000,-88000,-198000,-14000,-263000,-452000,-491000,-472000,-667000,-962000
80,Accounts Payable,-210000,1219000,1210000,201000,839000,1235000,3156000,4248000,4626000,-6450000
81,Other Working Capital,12417000,8002000,-40232000,54929000,52228000,59175000,41171000,-11717000,93481000,- -
82,Other Non-Cash Items,96000,8275000,53819000,-71296000,25207000,-109410000,52289000,80773000,-80139000,52562000
83,Cash Provided by Operating Activities,11678000,12924000,13584000,41258000,54285000,70878000,85395000,89857000,37350000,58402000
84,CAPEX,-11036000,-16194000,-28515000,-32117000,-54433000,-61533000,-87525000,-106507000,-69038000,-101495000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-2397000,-61266000,-7861000,-1223000,-1179000,-20359000,-47399000
87,Sales/Maturities of Investments,- -,- -,- -,- -,938000,7451000,2144000,27000000,20000000,4004000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-11036000,-16194000,-28515000,-34514000,-114761000,-61943000,-86604000,-80686000,-69397000,-144890000
90,Debt Repayment,-1925000,- -,- -,-36000000,-313000,-266000,-702000,-1926000,-52206000,-2694000
91,Common Stock Issued,- -,- -,- -,109292000,- -,- -,- -,- -,144997000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-27070000,-11125000,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-246000,313000,31602000,-739000,1547000,1231000,5154000,5104000,49030000,244715000
95,Cash Used/Provided by Financing Activities,-2171000,313000,4532000,61428000,1234000,965000,4452000,3178000,141821000,242021000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-1529000,-2957000,-10399000,68172000,-59242000,9900000,3243000,12349000,109774000,155533000
98,Cash at the End of Period,16033000,13076000,2677000,70849000,11607000,21507000,24750000,37099000,146873000,302406000
99,Cash at the Beginning of Period,17562000,16033000,13076000,2677000,70849000,11607000,21507000,24750000,37099000,146873000
100,Free Cash Flow,642000,-3270000,-14931000,9141000,-148000,9345000,-2130000,-16650000,-31688000,-43093000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1620533/000162053315000003/0001620533-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1620533/000162053316000187/0001620533-16-000187-index.html,https://www.sec.gov/Archives/edgar/data/1620533/000162053317000041/0001620533-17-000041-index.html,https://www.sec.gov/Archives/edgar/data/1620533/000162053318000015/0001620533-18-000015-index.html,https://www.sec.gov/Archives/edgar/data/1620533/000162053319000010/0001620533-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1620533/000162053320000006/0001620533-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1620533/000162053321000027/0001620533-21-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1620533/000162053322000014/0001620533-22-000014-index.htm
102,false,,,,,,,,,,
