,https://roic.ai/company/E,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
36,Other Current Assets,1895961210,2603242800,430908660,262619280,338882390,412054380,445068360,572734970,533588160,601946880,368119160,1513106930,2620709270,2349000000,1655000000,1352000000,2326000000,2140000000,3621000000,4841000000,21155000000,2605000000,1896000000,2553000000,3224000000,2280000000,13898000000
37,Total Current Assets,16765725270,19863385340,17132710140,14021993700,16913312010,20009658820,19699894480,21795376870,20492326240,20666842880,25212785220,30021193180,33867574730,37128000000,31129000000,34911000000,38195000000,49258000000,52757000000,54863000000,57498000000,37985000000,36756000000,39745000000,34927000000,32902000000,57856000000
38,PP&E,19975834830,20934410850,20539070370,20833894440,23091704440,26870843380,33372259630,33723702360,36296699360,37588484400,44978926630,44311984270,50215972050,55833000000,59765000000,67404000000,73578000000,63466000000,63763000000,71962000000,63795000000,70793000000,63158000000,60302000000,67541000000,58586000000,60979000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1912362150,2083647500,2118652430,3553000000,4410000000,4175000000,4023000000,2461000000,2146000000,2197000000,1314000000,1320000000,1204000000,1284000000,1265000000,1297000000,- -
40,Intangible Assets,1043519580,1035672830,1680907410,1772680140,2176400100,2397794480,2847987940,3178154950,3603308140,3187515280,1279129650,1669191070,2221532930,7484000000,7059000000,6997000000,6927000000,2026000000,1730000000,1448000000,1119000000,1949000000,1721000000,1886000000,1794000000,1639000000,- -
41,Intangible Assets,1043519580,1035672830,1680907410,1772680140,2176400100,2397794480,2847987940,3178154950,3603308140,3187515280,3191491800,3752838570,4340185360,11037000000,11469000000,11172000000,10950000000,4487000000,3876000000,3645000000,2433000000,3269000000,2925000000,3170000000,3059000000,2936000000,4801000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5881000000,6244000000,6090000000,6242000000,9419000000,6260000000,5206000000,3340000000,4391000000,3803000000,8027000000,11138000000,8714000000,9587000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1859170620,1725260130,1917692520,2912000000,3558000000,4864000000,5514000000,4913000000,4658000000,5231000000,4349000000,3790000000,4078000000,3931000000,4360000000,4109000000,2633000000
44,Other Non-Current Assets,5913277620,5816319330,5083631280,4632501780,4049694250,7241296740,6925533420,7170146280,6826275910,7618021360,8543572890,8500524110,11278446280,3799000000,5364000000,7419000000,8466000000,8098000000,7027000000,5300000000,3377000000,4317000000,4208000000,3198000000,2415000000,2401000000,2190000000
45,Total Non-Current Assets,26932632030,27786403010,27303609060,27239076360,29317798790,36509934600,43145780990,44072003590,46726283410,48394021040,58573161940,58290607080,67752296210,79462000000,86400000000,96949000000,104750000000,90383000000,85584000000,91344000000,77294000000,86560000000,78172000000,78628000000,88513000000,76746000000,80190000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,43698357300,47649788350,44436319200,41261070060,46231110800,56519593420,62845675470,65867380460,67218609650,69060863920,83785947160,88311800260,101619870940,116590000000,117529000000,131860000000,142945000000,139641000000,138341000000,146207000000,134792000000,124545000000,114928000000,118373000000,123440000000,109648000000,138046000000
48,Accounts Payable,3280301460,3557765160,3476360160,3504432600,4145098090,4860538100,4982293030,5542473520,5876616030,6281345200,13085116380,10528102550,11109722260,20515000000,19174000000,22575000000,22912000000,14993000000,15584000000,15015000000,9345000000,11038000000,10890000000,11645000000,10480000000,8679000000,21688000000
49,Short-Term Debt,7016070360,8540082630,7884537570,4939459380,4767210630,5944443420,6474845510,8877868520,7904568650,5047206560,5341105060,4290040780,8513018440,6908000000,6736000000,7478000000,6495000000,5184000000,4685000000,6575000000,8383000000,6675000000,4528000000,5783000000,6497000000,5640000000,5028000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3609000000,2722000000,3174000000,3988000000,3784000000,3046000000,2407000000,1864000000,1719000000,1944000000,1872000000,1867000000,1367000000,671000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2247000000,2462000000,2278000000,637000000,526000000,797000000,1315000000,2070000000,1715000000,- -
52,Other Current Liabilities,8807523630,9570934640,5829994170,5366642040,6252926680,9495351320,7026685320,7191111620,7561547690,7705067600,4040023350,8930892030,10668021980,7928000000,4578000000,4794000000,6225000000,11562000000,10138000000,13306000000,11200000000,9457000000,8520000000,9639000000,10597000000,7657000000,16597000000
53,Total Current Liabilities,19103895450,21668782430,17190891900,13810534020,15165235400,20300332840,18483823860,21611453660,21342732370,19033619360,22466244790,23749035360,30290762680,35351000000,30488000000,34847000000,35632000000,33986000000,32869000000,37174000000,29565000000,27696000000,24735000000,28382000000,29644000000,23691000000,43313000000
54,Long-Term Debt,6296213430,5245855630,5320903770,4508866080,4791061590,5129917320,6094963930,6555480630,8321434400,7668183600,7646915670,7408692820,11347719150,13929000000,18064000000,20305000000,23102000000,19279000000,20875000000,19316000000,19393000000,20564000000,20179000000,20082000000,23669000000,26064000000,28103000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,265000000,255000000,786000000,456000000,394000000,- -
56,Deferred Tax Liabilities,1431134850,1778079110,1721816460,1460606580,1772921360,1357543500,2625453760,2613043740,2437672100,2766300000,4886021970,5851639870,5479415430,5742000000,4907000000,5924000000,7120000000,6740000000,6750000000,7847000000,6921000000,6667000000,5900000000,4272000000,4920000000,5524000000,4795000000
57,Other Non-Current Liabilities,4683359550,4651287830,4039086870,4122611100,4738390720,5592014480,6400667450,6710814740,6848508750,7150332240,9599804700,10103796150,11567197550,13058000000,14019000000,15056000000,16698000000,16923000000,16798000000,19661000000,25244000000,16267000000,15780000000,13778000000,16851000000,16482000000,17012000000
58,Total Non-Current Liabilities,12410707830,11675222570,11081807100,10092083760,11302373670,12079475300,15121085140,15879339110,17607615250,17584815840,22132742340,23364128840,28394332130,32729000000,36990000000,41285000000,46920000000,42942000000,44423000000,46824000000,51558000000,43763000000,42114000000,38918000000,45896000000,48464000000,49910000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5648000000,5018000000,5337000000
61,Total Liabilities,31514603280,33344005000,28272699000,23902617780,26467609070,32379808140,33604909000,37490792770,38950347620,36618435200,44598987130,47113164200,58685094810,68080000000,67478000000,76132000000,82552000000,76928000000,77292000000,83998000000,81123000000,71459000000,66849000000,67300000000,75540000000,72155000000,93223000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,4110904980,4124316420,4136153980,4143968080,4007863060,4005332910,3996352990,4001176320,4002029400,4005149340,4011653630,4005000000,4005000000,4005000000,4005000000,4005000000,4005000000,4005000000,4005000000,4005000000,4005000000,4005000000,4005000000,4005000000,4005000000
64,Retained Earnings,5269851870,6814229070,5937266790,6202248840,8045723840,11724916880,16161825800,17164895640,20236648580,22272772240,26149125010,34384729890,34664555670,8825000000,4367000000,55768000000,6860000000,7788000000,5160000000,1291000000,-8783000000,-1464000000,3374000000,40828000000,37584000000,25408000000,28687000000
65,Other Comprehensive Income/Loss,-20032768260,-23319913280,-25689065220,-28119874140,-31626372960,-34659416480,-37872395270,7951581680,5574884630,7268361040,10901730720,6013027840,7824404960,-56357000000,-62801000000,- -,53244000000,47607000000,49246000000,55039000000,57112000000,51077000000,41232000000,6764000000,7231000000,8583000000,13007000000
66,Other Total Stockholders Equity,26946670410,30811467560,31804513650,35151761160,39207996870,42930316800,46943472880,-2840803570,-3158651340,-3226612320,-4213106900,-5374295170,-6008907070,87963000000,100502000000,-8567000000,-8637000000,-201000000,-201000000,-581000000,-581000000,-581000000,-581000000,-581000000,-981000000,-581000000,-958000000
67,Total Stockholders Equity,12183754020,14305783350,16163620200,17358452280,19763501730,24139785280,29240766470,26281006660,26649234860,30315697280,36839778230,39028611900,40491707190,44436000000,46073000000,51206000000,55472000000,59199000000,58210000000,59754000000,51753000000,53037000000,48030000000,51016000000,47839000000,37415000000,44741000000
68,Total Liabilities And Stockholders Equity,43698357300,47649788350,44436319200,41261070060,46231110800,56519593420,62845675470,63771799430,65599582480,66934132480,81438765360,86141776100,99176802000,112516000000,113551000000,127338000000,138024000000,136127000000,135502000000,143752000000,132876000000,124496000000,114879000000,118316000000,123379000000,109570000000,137964000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,2095581030,1619027170,2126731440,2347181800,2170024160,2443068940,4074000000,3978000000,4522000000,4921000000,3514000000,2839000000,2455000000,1916000000,49000000,49000000,57000000,61000000,78000000,82000000
70,Total Liabilities & Equity,43698357300,47649788350,44436319200,41261070060,46231110800,56519593420,62845675470,65867380460,67218609650,69060863920,83785947160,88311800260,101619870940,116590000000,117529000000,131860000000,142945000000,139641000000,138341000000,146207000000,134792000000,124545000000,114928000000,118373000000,123440000000,109648000000,138046000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2130714120,2354167100,2629997370,2323498500,2859133830,5786861900,7763970280,4597127280,5574884630,7269098720,8781668310,9217298850,10026733530,9558000000,4367000000,6318000000,6860000000,7788000000,5160000000,1291000000,-8783000000,-1464000000,3374000000,4126000000,148000000,-8635000000,6128000000
74,Depreciation and Amortization,3055687380,3395464220,3595450950,3771315180,3594538430,3798992320,4678837330,4966879640,4701451630,4562550800,5504901200,6153200490,7039769680,8422000000,8762000000,8881000000,8297000000,9538000000,9421000000,9970000000,9654000000,7559000000,7483000000,6988000000,8106000000,7304000000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8121417890,- -,- -,- -,- -,9157000000,10674000000,11659000000,9005000000,6492000000,3147000000,1936000000,3467000000,5970000000,5591000000,2650000000,4956000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-178599390,-743209750,-266363370,782741880,-659876560,-1596045260,-196684250,-511744890,-464507550,-562849840,-2419792460,-1024396880,-1668721710,2212000000,-1769000000,-1720000000,-2176000000,-3357000000,462000000,2677000000,4451000000,2134000000,1478000000,1741000000,343000000,-18000000,-3103000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1918000000,-369000000,-3184000000,-1379000000,2344000000,4910000000,1286000000,657000000,334000000,1023000000,1316000000,-7884000000
79,Inventory,-492903120,-95612930,-80909010,104877180,-63602560,-524916820,179825600,-209653400,-161982120,-67866560,-1400710290,-953174020,-1118653970,-801000000,52000000,-1150000000,-1422000000,-1395000000,350000000,1524000000,1228000000,-273000000,-346000000,15000000,-200000000,1054000000,-2039000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2770000000,161000000,2029000000,703000000,-1253000000,-2248000000,1495000000,284000000,642000000,-940000000,-1614000000,7749000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,363053300,-265191500,-255143640,- -,- -,-1422000000,-546000000,-807000000,788000000,62000000,561000000,-374000000,883000000,750000000,460000000,-774000000,-929000000
82,Other Non-Cash Items,1555140540,-299694310,527272200,-26432460,2460624040,2622454620,-4085412850,1535234670,996507650,1084389600,-5101321020,2651157310,143346830,1609000000,-224000000,-7942000000,-9273000000,-13257000000,-13022000000,-5320000000,3434000000,-2492000000,-5685000000,-5178000000,-1796000000,3521000000,4870000000
83,Cash Provided by Operating Activities,6562942650,4706727260,6486357150,6851123100,8254419740,10612263580,8160710510,10587496700,10808336360,12353189280,14886873920,16997259770,15541128330,21801000000,11136000000,14694000000,14382000000,12371000000,11026000000,15110000000,11903000000,7673000000,10117000000,13647000000,12392000000,4822000000,12851000000
84,CAPEX,-2927002230,-3048365180,-3229996770,-4159275480,-4431309610,-4352657120,-5282377000,-6848995390,-7829135800,-6766000960,-7481430910,-7832999220,-10609723030,-14562000000,-1663000000,-13870000000,-13438000000,-13517000000,-12800000000,-12240000000,-11556000000,-9180000000,-8681000000,-9119000000,-8376000000,-4644000000,-5236000000
85,Acquisitions Net,- -,- -,- -,- -,- -,-597319140,-2667038430,-1043502150,-282674680,- -,- -,- -,-4710555160,-3485000000,-25000000,72000000,891000000,3343000000,3376000000,-36000000,73000000,-362000000,2662000000,-166000000,182000000,-109000000,-1826000000
86,Purchases of Investments,-2260959090,-1609350410,-1936361700,-1996077060,-3182115580,-2782165620,-873278070,-333539500,-803558360,-998081040,-1199764510,-137141890,-4973929240,-537000000,-232000000,-317000000,-307000000,-408000000,-5340000000,-449000000,-429000000,-2500000000,-826000000,-362000000,-3011000000,-283000000,-1064000000
87,Sales/Maturities of Investments,2644674810,1296800580,1931816250,3072133980,2651431720,2978077780,1120538270,306856340,386692610,704484400,798717260,425821780,895746220,655000000,3383000000,583000000,839000000,1255000000,2465000000,3636000000,1744000000,528000000,706000000,61000000,56000000,1172000000,297000000
88,Other Investing Activites,-467166090,-456370960,-651817530,-197817120,-1223355490,-3865006200,1051979760,-617524560,484358300,488344160,1072273700,493256190,-730451550,-1509000000,-13380000000,-995000000,-983000000,-1259000000,-569000000,-1409000000,-1946000000,6958000000,2180000000,1709000000,-575000000,-960000000,-4467000000
89,Cash Used for Investing Activites,-3010452600,-3817285970,-3886359750,-3281035680,-6185348960,-8619070300,-6650175470,-8536705260,-8044317930,-6571253440,-6810204460,-7051063140,-20128912760,-16958000000,-10254000000,-12965000000,-11218000000,-8291000000,-10981000000,-8943000000,-11177000000,-4443000000,-3768000000,-7536000000,-11413000000,-4587000000,-12012000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2794000000,-4933000000,-3327000000,-889000000,-3784000000,-4720000000,-2751000000,-4466000000,-2323000000,-2973000000,-2757000000,-4389000000,-3969000000,-3890000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23640680,21973010,- -,- -,9000000,37000000,20000000,29000000,1000000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1019082170,-1156234940,-966390830,-818000000,- -,- -,- -,- -,- -,-380000000,- -,- -,- -,- -,-400000000,- -,-400000000
93,Dividends Paid,-493683030,-950505010,-1027271700,-1195429320,-1301864900,-1523642940,-1738688770,-3038068360,-3005403550,-3074650240,-6283355020,-4609785960,-4590527910,-5207000000,-4516000000,-3622000000,-3695000000,-3840000000,-3949000000,-4006000000,-3457000000,-2881000000,-2880000000,-2954000000,-3018000000,-1965000000,-2358000000
94,Other Financing Activites,-3054907470,118110090,-1082726190,-3156547320,-353789240,-479133000,276481860,2927523840,-1290298750,-3048831440,-539514090,-1353234340,8470494500,3794000000,8257000000,5085000000,1341000000,9796000000,6158000000,2075000000,6572000000,1553000000,1258000000,3074000000,1966000000,9187000000,4609000000
95,Cash Used/Provided by Financing Activities,-3548590500,-832394920,-2109997890,-4351976640,-1655654140,-2002775940,-1462206910,-110544520,-4295702300,-6123481680,-7818310600,-7097282230,2913575760,-5025000000,-1183000000,-1827000000,-3223000000,2201000000,-2510000000,-5062000000,-1351000000,-3651000000,-4595000000,-2637000000,-5841000000,3253000000,-2039000000
96,Effect of Forex Changes on Cash,-7019190,-15265930,67272660,-23874480,20869590,41524860,13486920,-63848990,-107194050,-16966640,70922040,-196999400,-200274040,8000000,-30000000,39000000,17000000,-12000000,-42000000,76000000,122000000,2000000,-72000000,18000000,8000000,-69000000,52000000
97,Net Change In Cash,- -,- -,557272170,-805763700,433292440,33006940,60691140,1876397930,-1639671950,-359250160,330125210,2651915000,-1873796840,-175000000,-331000000,-59000000,-49000000,6265000000,-2505000000,1183000000,-1414000000,465000000,1689000000,3492000000,-4861000000,3419000000,-1148000000
98,Cash at the End of Period,- -,- -,1578180240,777625920,1212423800,1247875280,1307107330,3267734130,1619821200,1262908160,1332321180,3984691710,2117280690,1939000000,1608000000,1549000000,1500000000,7765000000,5431000000,6614000000,5200000000,5674000000,7363000000,10855000000,5994000000,9413000000,8265000000
99,Cash at the Beginning of Period,941351370,1008354850,1020908070,1583389620,779131360,1214868340,1246416190,1391336200,3259493150,1622158320,1002195970,1332776710,3991077530,2114000000,1939000000,1608000000,1549000000,1500000000,7936000000,5431000000,6614000000,5209000000,5674000000,7363000000,10855000000,5994000000,9413000000
100,Free Cash Flow,3635940420,1658362080,3256360380,2691847620,3823110130,6259606460,2878333510,3738501310,2979200560,5587188320,7405443010,9164260550,4931405300,7239000000,9473000000,824000000,944000000,-1146000000,-1774000000,2870000000,347000000,-1507000000,1436000000,4528000000,4016000000,178000000,7615000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,1.2777,1.2538,1.0991,1.1723,1.0075,0.9424,0.8909,1.0501,1.2588,1.3558,1.1843,1.3199,1.459,1.398,1.4318,1.3379,1.2945,1.3194,1.3745,1.2097,1.086,1.0513,1.1996,1.1469,1.121,1.2213,1.1368
