,https://roic.ai/company/PHOT,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
25,EPS,-254.99,-322.48,- -,-56.00,86.00,-0.75,-0.41,-1.50,-4.50,-1.50,-6.00,-15.00,-1.50,-1.50,-0.39,-0.58,-0.29,-0.18
26,EPS Diluted,-254.99,-322.48,- -,-56.00,86.00,-0.75,-0.41,-1.50,-4.50,-1.50,-6.00,-15.00,-1.50,-1.50,-0.39,-0.58,-0.29,-0.18
27,Weighted Average Shares Outstanding,3961,4697,- -,10000,10000,57751,57751,57751,914437,1636221,3953762,5563637,5895952,7984171,13630824,19859745,25145036,35286804
28,Weighted Average Shares Outstanding Diluted,3961,4697,- -,10000,10000,57751,57751,57751,914437,1636221,3953762,5563637,5895952,7984171,13630824,19859745,25145036,35286804
29,SEC Link,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1161582/000114420408071342/0001144204-08-071342-index.html,https://www.sec.gov/Archives/edgar/data/1161582/000105050209000290/0001050502-09-000290-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1161582/000130841113000055/0001308411-13-000055-index.html,https://www.sec.gov/Archives/edgar/data/1161582/000107997414000198/0001079974-14-000198-index.htm,https://www.sec.gov/Archives/edgar/data/1161582/000135448815004451/0001354488-15-004451-index.htm,https://www.sec.gov/Archives/edgar/data/1161582/000135448816007001/0001354488-16-007001-index.htm,https://www.sec.gov/Archives/edgar/data/1161582/000165495417002831/0001654954-17-002831-index.html,https://www.sec.gov/Archives/edgar/data/1161582/000165495418003286/0001654954-18-003286-index.html,https://www.sec.gov/Archives/edgar/data/1161582/000165495419002449/0001654954-19-002449-index.html,https://www.sec.gov/Archives/edgar/data/1161582/000165495420003682/0001654954-20-003682-index.htm,https://www.sec.gov/Archives/edgar/data/1161582/000165495421004248/0001654954-21-004248-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,96591,501429,- -,- -,80000,35295,14477,17484,323,52592,1877449,319822,60362,103070,69191,2334377,40834,383144
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,96591,501429,- -,- -,80000,35295,14477,17484,323,52592,1877449,319822,60362,103070,69191,2334377,40834,383144
34,Net Receivables,3472776,2676504,- -,- -,- -,- -,- -,- -,- -,15036,187344,- -,- -,- -,- -,42254,101806,960522
35,Inventory,1311130,1739803,- -,- -,- -,- -,- -,- -,214599,357976,1253721,883350,398439,418453,465678,792664,600674,570524
36,Other Current Assets,97201,56301,- -,- -,- -,- -,- -,- -,30000,46400,63401,41791,16754,11163,24308,55334,18995,18995
37,Total Current Assets,4977698,4974037,- -,- -,80000,35295,14477,17484,244922,472004,3381915,1244963,475555,532686,559177,3224629,762309,1933185
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,30743,- -,- -,- -,- -,- -,- -,- -,- -,129330
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,279515,739000,739000,739000,- -,- -,- -,781749,781749
40,Intangible Assets,2971362,2971362,- -,- -,- -,- -,- -,- -,- -,508600,460300,353752,243604,- -,- -,3280453,1802434,1130718
41,Intangible Assets,2971362,2971362,- -,- -,- -,- -,- -,- -,- -,788115,1199300,1092752,982604,- -,- -,3280453,2584183,1912467
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,12535,- -,1122397,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,130991,2508227,- -,- -,- -,- -,- -,- -,- -,19372,53758,24042,10327,1890,302689,712865,704004,- -
45,Total Non-Current Assets,3102353,5479589,- -,- -,- -,- -,- -,- -,43278,807487,2375455,1116794,992931,1890,302689,3993318,3288187,2041797
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,8080051,10453626,- -,- -,80000,35295,14477,17484,288200,1279491,5757370,2361757,1468486,534576,861866,7217947,4050496,3974982
48,Accounts Payable,2447756,2831513,- -,- -,- -,- -,- -,36127,162860,293020,1095204,1129130,1272572,1529919,821398,1054371,1157090,1146195
49,Short-Term Debt,2596656,1362289,- -,- -,- -,- -,- -,60000,- -,- -,1160,887272,2287868,2798800,3015021,3504153,2988423,390035
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,343125
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,33638,30888,- -,25000,47995,10000,89504,- -,- -
52,Other Current Liabilities,806936,649966,- -,- -,10000,6250,9300,2104,44959,212548,9499603,2485939,1624147,2864772,2831931,2139546,2758265,8890275
53,Total Current Liabilities,5851348,4843768,- -,- -,10000,6250,9300,98231,207819,539206,10626855,4502341,5209587,7241486,6678350,6787574,6903778,10426505
54,Long-Term Debt,1153989,4484096,- -,- -,- -,- -,- -,- -,438486,1077640,974479,98333,- -,- -,- -,- -,- -,264868
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,108833,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,470200,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2300000,- -,- -,- -,1310734,- -
58,Total Non-Current Liabilities,1262822,4484096,- -,- -,- -,- -,- -,- -,438486,1077640,974479,98333,2300000,- -,- -,- -,1780934,264868
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8534,551506,405640
61,Total Liabilities,7114170,9327864,- -,- -,10000,6250,9300,98231,646305,1616846,11601334,4600674,7509587,7241486,6678350,6787574,8684712,1103196
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,300,- -,- -,15,- -,- -,- -,- -,- -
63,Common Stock,33914,37561,- -,- -,- -,433,433,433,14723,38970,75571,87936,89098,165600,236752,343749,386269,1105000
64,Retained Earnings,-523017,-2055556,- -,- -,-4080000,-4122374,-4146242,-4232166,-4464066,-3020566,-24400704,-111026803,-116715648,-124410332,-129731305,-141176087,-148461532,- -
65,Other Comprehensive Income/Loss,-58140,-95653,- -,- -,- -,- -,- -,- -,- -,-14889,-164545,-198186,- -,- -,-222228,-261839,-221763,- -
66,Other Total Stockholders Equity,1513124,3239410,- -,- -,4150000,4150986,4150986,4150986,- -,2658830,18645714,108898136,110585434,117537822,123900297,139592906,143662810,-8279472
67,Total Stockholders Equity,965881,1125762,- -,- -,70000,29045,5177,-80747,-358105,-337355,-5843964,-2238917,-6041101,-6706910,-5816484,-1501271,-4634216,-7174472
68,Total Liabilities And Stockholders Equity,8080051,10453626,- -,- -,80000,35295,14477,17484,288200,1279491,5757370,2361757,1468486,534576,861866,5286303,4050496,-6071276
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1931644,- -,10046258
70,Total Liabilities & Equity,8080051,10453626,- -,- -,80000,35295,14477,17484,288200,1279491,5757370,2361757,1468486,534576,861866,7217947,4050496,3974982
71,SEC Link,- -,- -,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1161582/000114420408071342/0001144204-08-071342-index.html,https://www.sec.gov/Archives/edgar/data/1161582/000105050209000290/0001050502-09-000290-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1161582/000130841113000055/0001308411-13-000055-index.html,https://www.sec.gov/Archives/edgar/data/1161582/000107997414000198/0001079974-14-000198-index.htm,https://www.sec.gov/Archives/edgar/data/1161582/000135448815004451/0001354488-15-004451-index.htm,https://www.sec.gov/Archives/edgar/data/1161582/000135448816007001/0001354488-16-007001-index.htm,https://www.sec.gov/Archives/edgar/data/1161582/000165495417002831/0001654954-17-002831-index.html,https://www.sec.gov/Archives/edgar/data/1161582/000165495418003286/0001654954-18-003286-index.html,https://www.sec.gov/Archives/edgar/data/1161582/000165495419002449/0001654954-19-002449-index.html,https://www.sec.gov/Archives/edgar/data/1161582/000165495420003682/0001654954-20-003682-index.htm,https://www.sec.gov/Archives/edgar/data/1161582/000165495421004248/0001654954-21-004248-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,-1005515,-1532539,- -,-560000,860000,-39288,-23868,-85924,-4367154,-2186304,-21380138,-86626099,-5688845,-7694684,-5320974,-11444782,-7285445,-6379838
74,Depreciation and Amortization,65097,73208,- -,- -,- -,- -,- -,- -,9260,8528,173925,140189,120263,114985,1890,222753,927584,708868
75,Deferred Income Tax,- -,-61134,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,332750,- -,724267,175661,145729,216543,241433,158042,125169
77,Change in Working Capital,- -,-873650,- -,1003919,-60269,-40955,-23868,28931,-87488,-104305,-7177738,3987562,-1476654,-1974768,589627,2556228,-2578524,-2351851
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-556,-127129,183678,- -,- -,- -,42254,-59552,-858716
79,Inventory,-459097,-428674,- -,- -,- -,- -,- -,- -,-161006,-28031,-210383,357660,464696,20014,-47225,-326986,191990,30150
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,86765,170412,468517,33926,215362,196379,-170934,232973,371270,28105
81,Other Working Capital,- -,-873650,- -,130269,70000,29045,5177,- -,-9175,-67202,-7244940,-3257378,-4734032,-6708800,-6119173,-3562945,-6141469,-8493320
82,Other Non-Cash Items,42897,1800101,- -,-103919,-879731,38842,26918,- -,2951017,876030,26592877,79651504,5493684,8196446,2430421,4569862,5868532,5946782
83,Cash Provided by Operating Activities,-897521,-594014,- -,340000,-80000,-41401,-20818,-56993,-1494365,-1073301,-1791074,-2122577,-1375891,-1212292,-2082493,-3854506,-2909811,-1950870
84,CAPEX,-28740,-85700,- -,- -,- -,- -,- -,- -,-40004,- -,- -,-3925,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,45000,- -,- -,- -,- -,- -,- -,- -,-430966,-240175,-552558,187951,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-1927990,- -,- -,- -,- -,- -,- -,- -,- -,-5500,-3925,- -,- -,-302689,-544432,-12463,- -
89,Cash Used for Investing Activites,16260,-2013690,- -,- -,- -,- -,- -,- -,-470970,-240175,-558058,184026,- -,- -,-302689,-544432,-12463,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-50716,-50000,-296719,-1160,- -,- -,- -,- -,-787406,-431151
91,Common Stock Issued,- -,567849,- -,- -,- -,- -,- -,- -,1486332,15250,1294365,- -,- -,- -,- -,3833125,- -,485
92,Common Stock Repurchased,- -,- -,- -,- -,160000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,977852,2444695,- -,-340000,- -,- -,- -,60000,515000,1360391,3146160,394673,1150015,1255000,2351303,2831000,1416137,2723846
95,Cash Used/Provided by Financing Activities,977852,3012544,- -,-340000,160000,- -,- -,60000,1950616,1325641,4143806,393513,1150015,1255000,2351303,6664125,628731,2293180
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,977852,404839,- -,- -,80000,-41401,-20818,3007,-14719,12165,1794674,-1545038,-225876,42708,-33879,2265186,-2293543,342310
98,Cash at the End of Period,96591,501430,- -,2334380,580000,35295,14477,17484,323,36602,1831276,286238,60362,103070,69191,2334377,40834,383144
99,Cash at the Beginning of Period,- -,96591,- -,2334380,500000,76696,35295,14477,15042,24437,36602,1831276,286238,60362,103070,69191,2334377,40834
100,Free Cash Flow,-926261,-679714,- -,340000,-80000,-41401,-20818,-56993,-1534369,-1073301,-1791074,-2126502,-1375891,-1212292,-2082493,-3854506,-2909811,-1950870
101,SEC Link,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1161582/000114420408071342/0001144204-08-071342-index.html,https://www.sec.gov/Archives/edgar/data/1161582/000105050209000290/0001050502-09-000290-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1161582/000130841113000055/0001308411-13-000055-index.html,https://www.sec.gov/Archives/edgar/data/1161582/000107997414000198/0001079974-14-000198-index.htm,https://www.sec.gov/Archives/edgar/data/1161582/000135448815004451/0001354488-15-004451-index.htm,https://www.sec.gov/Archives/edgar/data/1161582/000135448816007001/0001354488-16-007001-index.htm,https://www.sec.gov/Archives/edgar/data/1161582/000165495417002831/0001654954-17-002831-index.html,https://www.sec.gov/Archives/edgar/data/1161582/000165495418003286/0001654954-18-003286-index.html,https://www.sec.gov/Archives/edgar/data/1161582/000165495419002449/0001654954-19-002449-index.html,https://www.sec.gov/Archives/edgar/data/1161582/000165495420003682/0001654954-20-003682-index.htm,https://www.sec.gov/Archives/edgar/data/1161582/000165495421004248/0001654954-21-004248-index.htm
102,false,,,,,,,,,,,,,,,,,,
