,https://roic.ai/company/MMSI,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,178000,34000,129000,226000,255000,217000,272000,81000,381000,1199000,-291000,604000,769000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28000,596000,789000,604000,8044000,8829000,6229000,8798000,7736000,10360000,12704000,9994000,5261000
14,Depreciation and Amortization,100000,200000,500000,1100000,1400000,1600000,1700000,2400000,2700000,2800000,3600000,4319682,4564457,4381137,4228178,4492000,5642000,8100000,9309000,10240000,12271000,14856000,19194000,22534000,32542000,35929000,37425000,43755000,53582000,69546000,104356000,106816000,95784000
15,EBITDA,-300000,300000,2200000,2800000,4000000,3700000,3600000,5900000,4400000,7000000,8300000,5093527,14352852,21143416,31251559,32498000,29542000,27284000,32708000,42085000,45393000,32240000,52858000,50756000,60425000,76330000,74854000,77939000,97199000,129425000,119253000,103579000,154962000
16,EBITDA ratio,-0.2143,0.0682,0.2095,0.1522,0.1575,0.1111,0.0845,0.1168,0.0726,0.1023,0.1064,0.0557,0.1380,0.1819,0.2299,0.2147,0.1773,0.1431,0.1574,0.1853,0.1763,0.1086,0.1471,0.1287,0.1346,0.1498,0.1381,0.1291,0.1335,0.1466,0.1199,0.1075,0.1442
17,Operating Income,-400000,100000,1500000,1700000,2600000,2000000,2500000,4400000,2700000,5300000,6100000,3459530,9939626,16775488,25629412,27340000,23521000,19010000,22970000,30984000,32847000,17204000,33190000,29641000,27844000,40166000,37543000,34876000,33069000,58617000,15434000,-1562000,60916000
18,Operating Income ratio,-0.2857,0.0227,0.1429,0.0924,0.1024,0.0601,0.0587,0.0871,0.0446,0.0775,0.0782,0.0378,0.0955,0.1443,0.1885,0.1806,0.1412,0.0997,0.1106,0.1364,0.1276,0.0580,0.0923,0.0752,0.0620,0.0788,0.0692,0.0578,0.0454,0.0664,0.0155,-0.0016,0.0567
19,Total Other Income Expenses (Gains),- -,100000,200000,- -,- -,100000,-600000,-900000,-1000000,-1100000,-1400000,-2685685,-151231,-13209,1393969,666000,379000,174000,429000,861000,247000,-416000,-315000,-2023000,-8005000,-8594000,-6343000,-9490000,2812000,-9098000,-13241000,-11669000,-6999000
20,Income Before Tax,- -,- -,1700000,1700000,2600000,2100000,1900000,3500000,1700000,4200000,4700000,773845,9788395,16762279,27023381,28006000,23900000,19184000,23399000,31845000,33094000,16788000,32875000,27618000,19839000,31572000,31200000,25386000,35881000,49519000,2193000,-13231000,53917000
21,Income Before Tax Ratio,- -,- -,0.1619,0.0924,0.1024,0.0631,0.0446,0.0693,0.0281,0.0614,0.0603,0.0085,0.0941,0.1442,0.1988,0.1850,0.1435,0.1006,0.1126,0.1402,0.1285,0.0566,0.0915,0.0700,0.0442,0.0619,0.0575,0.0420,0.0493,0.0561,0.0022,-0.0137,0.0502
22,Income Tax expense (Gain),- -,- -,400000,500000,800000,800000,700000,1300000,900000,1700000,1500000,-52712,3052417,5452249,9727983,10074000,8122000,6883000,7811000,11118000,10564000,4328000,9831000,7908000,3269000,8598000,7398000,5265000,8358000,7502000,-3258000,-3388000,5463000
23,Net Income,-400000,100000,1300000,1200000,1800000,1300000,1200000,2200000,800000,2500000,3200000,826557,6735978,11310030,17295398,17932000,15778000,12301000,15588000,20727000,22530000,12460000,23044000,19710000,16570000,22974000,23802000,20121000,27523000,42017000,5451000,-9843000,48454000
24,Net Income ratio,-0.2857,0.0227,0.1238,0.0652,0.0709,0.0390,0.0282,0.0436,0.0132,0.0365,0.0410,0.0090,0.0647,0.0973,0.1272,0.1184,0.0947,0.0645,0.0750,0.0913,0.0875,0.0420,0.0641,0.0500,0.0369,0.0451,0.0439,0.0333,0.0378,0.0476,0.0055,-0.0102,0.0451
25,EPS,-0.03,0.01,0.06,0.05,0.08,0.05,0.05,0.09,0.03,0.10,0.12,0.03,0.24,0.37,0.54,0.54,0.47,0.36,0.46,0.60,0.64,0.35,0.59,0.47,0.39,0.53,0.54,0.45,0.56,0.80,0.10,-0.18,0.86
26,EPS Diluted,-0.03,0.01,0.06,0.05,0.08,0.05,0.05,0.09,0.03,0.10,0.12,0.03,0.23,0.35,0.51,0.52,0.46,0.35,0.44,0.58,0.63,0.34,0.58,0.46,0.39,0.53,0.53,0.45,0.55,0.78,0.10,-0.18,0.84
27,Weighted Average Shares Outstanding,13888889,11574074,20517677,21929825,22321429,23757310,23148148,24484577,25587845,25763378,26184669,26836484,28171060,30281110,31751806,32875966,33560558,34166432,34280857,34711250,35013750,35290000,39086000,42176000,42607000,43143000,44036000,44408000,48805000,52268000,55075000,55434000,56302000
28,Weighted Average Shares Outstanding Diluted,13888889,11574074,20517677,21929825,22321429,23757310,23148148,24594907,26041667,25999481,26268384,27293444,29842030,32796422,33792455,34613335,34808902,35306185,35255293,35687500,35757500,35976250,39733000,42610000,42884000,43409000,44511000,44862000,50101000,53931000,56235000,55434000,57549000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/856982/000093173101500036/0000931731-01-500036-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/856982/000110465905011178/0001104659-05-011178-index.htm,https://www.sec.gov/Archives/edgar/data/856982/000110465906016506/0001104659-06-016506-index.htm,https://www.sec.gov/Archives/edgar/data/856982/000110465907019611/0001104659-07-019611-index.htm,https://www.sec.gov/Archives/edgar/data/856982/000110465908017106/0001104659-08-017106-index.htm,https://www.sec.gov/Archives/edgar/data/856982/000110465909014223/0001104659-09-014223-index.htm,https://www.sec.gov/Archives/edgar/data/856982/000110465910013524/0001104659-10-013524-index.htm,https://www.sec.gov/Archives/edgar/data/856982/000110465911014389/0001104659-11-014389-index.htm,https://www.sec.gov/Archives/edgar/data/856982/000085698212000012/0000856982-12-000012-index.htm,https://www.sec.gov/Archives/edgar/data/856982/000085698213000009/0000856982-13-000009-index.htm,https://www.sec.gov/Archives/edgar/data/856982/000085698214000011/0000856982-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/856982/000085698215000005/0000856982-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/856982/000085698216000076/0000856982-16-000076-index.htm,https://www.sec.gov/Archives/edgar/data/856982/000085698217000011/0000856982-17-000011-index.htm,https://www.sec.gov/Archives/edgar/data/856982/000085698218000007/0000856982-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/856982/000085698219000016/0000856982-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/856982/000085698220000011/0000856982-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/856982/000085698221000003/0000856982-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/856982/000085698222000013/0000856982-22-000013-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,600000,500000,1600000,900000,200000,300000,1300000,1000000,900000,700000,412384,341690,9683578,30204083,33037000,4645000,9838000,17574000,34030000,6133000,3735000,10128000,9719000,7459000,7355000,4177000,19171000,32336000,67359000,44320000,56916000,67750000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,85286,217451,572988,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,600000,500000,1600000,900000,200000,300000,1300000,1000000,900000,700000,412384,426976,9901029,30777071,33037000,4645000,9838000,17574000,34030000,6133000,3735000,10128000,9719000,7459000,7355000,4177000,19171000,32336000,67359000,44320000,56916000,67750000
34,Net Receivables,300000,900000,2000000,3000000,6800000,7700000,7600000,8100000,10600000,11100000,13100000,14442629,15113007,16757447,18370389,19881000,25657000,26213000,28200000,29300000,32221000,40781000,45251000,57319000,64087000,80552000,78213000,86587000,116176000,149986000,168532000,157964000,172841000
35,Inventory,300000,800000,2400000,4900000,5900000,8400000,12200000,13900000,14500000,17800000,27600000,25273428,20823616,18699217,21269380,23096000,32080000,38562000,34106000,38358000,47170000,60597000,69911000,84599000,82378000,91773000,105999000,120695000,155288000,197536000,225698000,198019000,221922000
36,Other Current Assets,200000,100000,100000,100000,200000,400000,1000000,1200000,1400000,1300000,1800000,1847045,1238085,810416,1043846,853000,2028000,1033000,2108000,3767000,5090000,7188000,8362000,10359000,11991000,12660000,15614000,16970000,12321000,14953000,15988000,16808000,19699000
37,Total Current Assets,800000,2400000,5000000,9600000,13800000,16700000,21100000,24500000,27500000,31100000,43200000,41975486,37601684,46168109,71460686,76867000,64410000,75646000,81988000,105455000,90614000,112301000,133652000,161996000,165915000,192340000,204003000,243423000,316121000,429834000,454538000,429707000,482212000
38,PP&E,700000,1100000,3400000,5600000,5400000,8700000,11600000,15000000,15500000,17000000,22000000,21845030,21823060,25412136,29196677,52492000,85618000,92383000,99696000,103939000,114646000,128055000,179140000,234803000,243270000,244171000,267778000,276573000,292820000,331452000,459029000,460968000,437571000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4764596,4764596,- -,- -,- -,7541000,9527000,13048000,33002000,58675000,61144000,175108000,184505000,184464000,184472000,211927000,238147000,335433000,353193000,363533000,361741000
40,Intangible Assets,100000,200000,900000,1100000,800000,1100000,1500000,1800000,2200000,2500000,7100000,7584842,2434632,1927160,6610988,7560000,9757000,4350000,6163000,6913000,26898000,57184000,56669000,118131000,119987000,110308000,109354000,182697000,227324000,462713000,445312000,367915000,319269000
41,Intangible Assets,100000,200000,900000,1100000,800000,1100000,1500000,1800000,2200000,2500000,7100000,7584842,7199228,6691756,6610988,7560000,9757000,11891000,15690000,19961000,59900000,115859000,117813000,293239000,304492000,294772000,293826000,394624000,465471000,798146000,798505000,731448000,681010000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2798000,- -,- -,- -,- -,- -,- -,- -,17129000,12043000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000,4000,23000,- -,4140000,5366000,4237000,800000,9000,- -,171000,2359000,3001000,3788000,4597000,6080000
44,Other Non-Current Assets,- -,- -,100000,100000,500000,500000,300000,400000,100000,100000,100000,41273,34843,33213,32163,2958000,2462000,2746000,3042000,2398000,6353000,9125000,8248000,11034000,13806000,15873000,13121000,28012000,35040000,57579000,24332000,25633000,41421000
45,Total Non-Current Assets,800000,1300000,4400000,6800000,6700000,10300000,13400000,17200000,17800000,19600000,29200000,29471145,29057131,32137105,35839828,63010000,97837000,107022000,118432000,126321000,180899000,257179000,313365000,543313000,562368000,554825000,574725000,699380000,795690000,1190178000,1302783000,1234689000,1166082000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1600000,3700000,9400000,16400000,20500000,27000000,34500000,41700000,45300000,50700000,72400000,71446631,66658815,78305214,107300514,139877000,162247000,182668000,200420000,231776000,271513000,369480000,447017000,705309000,728283000,747165000,778728000,942803000,1111811000,1620012000,1757321000,1664396000,1648294000
48,Accounts Payable,- -,- -,1500000,1300000,1100000,2500000,3100000,2700000,3400000,3600000,3100000,4835517,4659295,4121577,5700491,10728000,10254000,10598000,10275000,10622000,13352000,20092000,22727000,34637000,26511000,29810000,37977000,30619000,34931000,54024000,54623000,49837000,55624000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,5900000,6400000,9400000,5700000,1091725,598086,400182,16693,7000,2000,- -,- -,- -,7000000,- -,- -,10000000,10000000,10000000,10000000,10000000,19459000,22000000,7500000,7500000,19106000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2820000,2536000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,551000,292000,381000,589000,572000,- -,- -,- -,4597000,- -
52,Other Current Liabilities,500000,700000,600000,900000,2500000,5200000,8500000,3100000,2900000,2300000,400000,3601237,5432982,7064084,8812951,11188000,10461000,10076000,11519000,10550000,12556000,20084000,21068000,27816000,28791000,35239000,39344000,47140000,61230000,99319000,119533000,123070000,161550000
53,Total Current Liabilities,500000,700000,2100000,2200000,3600000,7700000,11600000,11700000,12700000,15300000,9200000,9528479,10690363,11585843,14530135,21923000,20717000,20674000,21794000,21172000,32908000,40176000,43795000,73004000,65594000,75430000,87910000,88331000,115620000,175343000,181656000,185004000,236280000
54,Long-Term Debt,100000,- -,100000,800000,800000,800000,1800000,4800000,3900000,3400000,27800000,24011778,5727381,16693,- -,5000,2000,- -,- -,- -,- -,81538000,30737000,227566000,238854000,214490000,197593000,314373000,259013000,373152000,431984000,343722000,295923000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1874000,1763000,1984000,2980000,3065000,2891000,2721000,2550000,2403000,2261000,2122000,1923000,1815000
56,Deferred Tax Liabilities,- -,- -,- -,- -,200000,400000,600000,900000,900000,1300000,- -,2177833,1654383,2443156,3020217,2580000,4166000,5469000,6082000,8771000,11251000,1267000,2112000,2373000,2548000,6385000,10985000,25981000,23289000,56363000,45236000,33312000,31503000
57,Other Non-Current Liabilities,- -,- -,- -,100000,200000,500000,1000000,1400000,1600000,1100000,2700000,955839,928280,860931,1506753,4317000,4878000,5313000,8176000,7528000,6671000,9121000,11300000,17809000,12516000,12710000,13416000,13379000,35152000,80118000,146379000,141860000,42974000
58,Total Non-Current Liabilities,100000,- -,100000,900000,1200000,1700000,3400000,7100000,6400000,5800000,30500000,27145450,8310044,3320780,4526970,6902000,9046000,10782000,14258000,16299000,19796000,93689000,46133000,250728000,256983000,236476000,224715000,356283000,319857000,511894000,625721000,520817000,372215000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,344000,1336000,3226000,- -,- -,- -,- -,- -,- -,- -,84264000,83844000,72194000
61,Total Liabilities,600000,700000,2100000,3100000,4800000,9400000,15000000,18800000,19100000,21100000,39700000,36673929,19000407,14906623,19057105,28825000,29763000,31456000,36052000,37471000,52704000,133865000,89928000,323732000,322577000,311906000,312625000,444614000,435477000,687237000,807377000,705821000,608495000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18400000,19779765,25958295,30265963,37701629,42559000,48198000,- -,- -,- -,- -,- -,- -,172341000,177775000,187709000,197826000,206186000,353392000,571383000,587017000,606224000,641533000
64,Retained Earnings,-700000,-600000,700000,1800000,3700000,4900000,6200000,8300000,9100000,11600000,14800000,15617075,22353053,33663083,50958481,68891000,84668000,96969000,111947000,132674000,155204000,167664000,190708000,210418000,226988000,249962000,273764000,293885000,321408000,363425000,368221000,357803000,406257000
65,Other Comprehensive Income/Loss,-200000,-400000,-700000,-1500000,-2700000,-3900000,-5500000,-7600000,-9600000,-12000000,-14300000,-17860490,-21671501,-25584648,-29835769,-34264000,-39641000,-43985000,-50536000,-56186000,-62074000,1000000,-83434000,-1000000,1000000,-2000000,-5000000,-2000000,2000000,-2000000,-5000000,-5452000,-7991000
66,Other Total Stockholders Equity,1900000,4000000,7300000,13000000,14700000,16500000,18600000,21800000,26300000,29500000,13800000,17236352,21018561,25054193,29419068,33866000,39259000,98228000,102957000,117817000,125679000,66951000,249815000,-182000,-57000,-412000,-487000,118000,-466000,-33000,-294000,- -,- -
67,Total Stockholders Equity,1000000,3000000,7300000,13300000,15700000,17500000,19300000,22500000,25800000,29100000,32700000,34772702,47658408,63398591,88243409,111052000,132484000,151212000,164368000,194305000,218809000,235615000,357089000,381577000,405706000,435259000,466103000,498189000,676334000,932775000,949944000,958575000,1039799000
68,Total Liabilities And Stockholders Equity,1600000,3700000,9400000,16400000,20500000,26900000,34300000,41300000,44900000,50200000,72400000,71446631,66658815,78305214,107300514,139877000,162247000,182668000,200420000,231776000,271513000,369480000,447017000,705309000,728283000,747165000,778728000,942803000,1111811000,1620012000,1757321000,1664396000,1648294000
69,Minority Interest,- -,- -,- -,- -,- -,100000,200000,400000,400000,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1600000,3700000,9400000,16400000,20500000,27000000,34500000,41700000,45300000,50700000,72400000,71446631,66658815,78305214,107300514,139877000,162247000,182668000,200420000,231776000,271513000,369480000,447017000,705309000,728283000,747165000,778728000,942803000,1111811000,1620012000,1757321000,1664396000,1648294000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/856982/000093173101500036/0000931731-01-500036-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/856982/000110465905011178/0001104659-05-011178-index.htm,https://www.sec.gov/Archives/edgar/data/856982/000110465906016506/0001104659-06-016506-index.htm,https://www.sec.gov/Archives/edgar/data/856982/000110465907019611/0001104659-07-019611-index.htm,https://www.sec.gov/Archives/edgar/data/856982/000110465908017106/0001104659-08-017106-index.htm,https://www.sec.gov/Archives/edgar/data/856982/000110465909014223/0001104659-09-014223-index.htm,https://www.sec.gov/Archives/edgar/data/856982/000110465910013524/0001104659-10-013524-index.htm,https://www.sec.gov/Archives/edgar/data/856982/000110465911014389/0001104659-11-014389-index.htm,https://www.sec.gov/Archives/edgar/data/856982/000085698212000012/0000856982-12-000012-index.htm,https://www.sec.gov/Archives/edgar/data/856982/000085698213000009/0000856982-13-000009-index.htm,https://www.sec.gov/Archives/edgar/data/856982/000085698214000011/0000856982-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/856982/000085698215000005/0000856982-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/856982/000085698216000076/0000856982-16-000076-index.htm,https://www.sec.gov/Archives/edgar/data/856982/000085698217000011/0000856982-17-000011-index.htm,https://www.sec.gov/Archives/edgar/data/856982/000085698218000007/0000856982-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/856982/000085698219000016/0000856982-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/856982/000085698220000011/0000856982-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/856982/000085698221000003/0000856982-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/856982/000085698222000013/0000856982-22-000013-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,1300000,1200000,1800000,1300000,1200000,2200000,800000,2500000,3200000,826557,6735978,11310030,17295398,17932000,15778000,12301000,15588000,20727000,22530000,12460000,23044000,19710000,16570000,22974000,23802000,20121000,27523000,42017000,5451000,-9843000,48454000
74,Depreciation and Amortization,- -,- -,500000,1100000,1400000,1600000,1700000,2400000,2700000,2800000,3600000,4319682,4564457,4381137,4228178,4492000,5642000,8100000,9309000,10240000,12271000,14856000,19194000,22534000,32542000,35929000,37425000,43755000,53582000,69546000,104356000,106816000,95784000
75,Deferred Income Tax,- -,- -,- -,- -,100000,- -,-200000,- -,- -,400000,500000,389635,-45152,1293735,429985,-48000,2574000,376000,984000,-183000,1791000,-953000,1677000,549000,1359000,3870000,3450000,-962000,-1304000,2052000,-12436000,-11295000,-4631000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1182000,1294000,1644000,1917000,1467000,1460000,2243000,2506000,4075000,6117000,9382000,14339000,16090000
77,Change in Working Capital,- -,- -,-1600000,4500000,2800000,-1200000,500000,3300000,2000000,1000000,18200000,-1552993,-5535686,7670945,22348285,-1986551,-11251000,11279000,5222000,24089000,-26577000,14419000,17732000,-865000,11329000,16589000,-817000,38999000,45409000,53990000,18391000,-28179000,-17838000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2131000,-2088000,-3323000,-6576000,-6445000,-13599000,-5872000,-6816000,-12844000,-27522000,-17900000,10425000,- -
79,Inventory,- -,- -,-1600000,-2500000,-1000000,-2400000,-3800000,-1700000,-100000,-3300000,-7200000,2274934,4449812,2124399,-2570163,-1634000,-8470000,-6045000,5056000,-4036000,-6882000,-7614000,-9314000,-8965000,2334000,-9396000,-13113000,-3656000,-17834000,-28172000,-27044000,29429000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5643000,-2129000,7721000,-5000,5326000,14766000,-6835000,417000,15726000,-2295000,333000,- -
81,Other Working Capital,- -,- -,2900000,7400000,10200000,9000000,9500000,12800000,14800000,15800000,34000000,32447007,26911321,34582266,56930551,54944000,43693000,54972000,60194000,84283000,57706000,72125000,89857000,88992000,100321000,116910000,116093000,155092000,200501000,254491000,272882000,244703000,- -
82,Other Non-Cash Items,- -,- -,100000,-7600000,-4900000,-1300000,-5000000,-4500000,-3800000,-5000000,-25200000,3144716,12648498,-3300818,-19464448,9626551,-1649000,-12950000,1016000,-26906000,18873000,-7316000,-29276000,3093000,-11894000,-27497000,3355000,-50820000,-66558000,-87189000,-47331000,93432000,9372000
83,Cash Provided by Operating Activities,- -,- -,300000,-800000,1200000,400000,-1800000,3400000,1700000,1700000,300000,7127597,18368095,21355029,24837398,30016000,11094000,19106000,32119000,27967000,30070000,34760000,34015000,46938000,51373000,53325000,69458000,53599000,62727000,86533000,77813000,165270000,147231000
84,CAPEX,- -,- -,-2600000,-2000000,-1400000,-3500000,-2500000,-2700000,-1100000,-4200000,-16300000,-4690107,-4091399,-7954191,-8165678,-27915000,-40741000,-14998000,-16738000,-14908000,-19669000,-24731000,-61272000,-66103000,-61122000,-35895000,-52915000,-35054000,-41200000,-66336000,-81497000,-49276000,-27939000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-607129,- -,- -,- -,-813000,-2345000,-3923000,-4726000,-5112000,-46150000,-97785000,-10250000,-192762000,-31600000,-5927000,-12368000,-125161000,-105582000,-301789000,-53904000,-9668000,-7171000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2503000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9673000,- -,3248000,- -,- -,- -,1089000,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-700000,-800000,-2100000,-500000,1800000,-500000,-500000,100000,- -,941384,688881,-94892,467113,-412000,-689000,-266000,-297000,45000,-1164000,-1066000,-2072000,-66060000,-37009000,-30276000,-49651000,-35035000,-41179000,-77031000,-80577000,-48984000,-29990000
89,Cash Used for Investing Activites,- -,- -,-3300000,-2800000,-3500000,-4000000,-700000,-3200000,-1600000,-4100000,-16300000,-4355852,-3402518,-8049083,-7698565,-29140000,-43775000,-19187000,-21761000,-19975000,-65792000,-112826000,-74020000,-255574000,-68609000,-36203000,-62019000,-159107000,-146761000,-378820000,-134481000,-58652000,-37161000
