,https://roic.ai/company/HNCKF,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
84,CAPEX,- -,- -,-5850,-8358,-13692,-9054,-22013,-29585,-4332488,-2408639,-1639700,-1790043,-412611,-129470,-91875,-69699,-29093,-52820,-4865796,-1869626,-1647551
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-2043,-161167,-424710,-2094170,-3010087,-2729912,-5484497,-7763726,-4293398,-2398421,1193344,-261034,5856,1999,289995,150000,- -,- -,475980,3335330,-694509
89,Cash Used for Investing Activites,-2043,-161167,-430560,-2102528,-3023779,-2738966,-5506510,-7793311,-4332488,-2408639,-446356,-2051077,-406755,-127471,198120,80301,-29093,-52820,-4389816,1465704,-694509
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-53584,-76070
91,Common Stock Issued,231250,364800,625305,2966825,4934335,3827986,6908796,17836023,70000,- -,3951861,310333,1132680,- -,- -,- -,250000,4803000,670750,- -,4120168
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,196300,-150516,-449750,-102542,539750,163058,- -,- -,- -,- -,- -,- -,- -,- -,-4616,-257067,1402610,1213500,40000
95,Cash Used/Provided by Financing Activities,231250,364800,821605,2816309,4484585,3725444,7448546,17999081,70000,- -,3951861,310333,1132680,- -,- -,- -,245384,4545933,2073360,1159916,4084098
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,9286,-9414,124226,50643,312023,254317,817720,8148923,-5582679,-3311499,2324009,-2901215,281959,-418834,-3762,-83929,73794,3980830,-3660739,1234793,2122338
98,Cash at the End of Period,9476,62,124288,174931,486954,741271,1558991,9707914,4125235,813736,3137745,236530,518489,99655,95893,11964,85758,4066588,405849,- -,3762980
99,Cash at the Beginning of Period,190,9476,62,124288,174931,486954,741271,1558991,9707914,4125235,813736,3137745,236530,518489,99655,95893,11964,85758,4066588,- -,1640642
100,Free Cash Flow,-219921,-213047,-272669,-671496,-1162475,-741215,-1146329,-2086432,-5652679,-3311499,-2821196,-2950514,-856577,-420833,-293757,-233929,-171590,-565103,-6210079,- -,-2914802
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,0.6672,0.6281,0.6358,0.771,0.8312,0.8601,0.8579,1.0035,0.8218,0.9507,1.0027,0.9807,1.0067,0.9413,0.8604,0.7224,0.7443,0.7948,0.7332,0.77,0.7851
