,https://roic.ai/company/QNTO,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1391933/000106540712000193/0001065407-12-000193-index.html,https://www.sec.gov/Archives/edgar/data/1391933/000106540713000125/0001065407-13-000125-index.html,https://www.sec.gov/Archives/edgar/data/1391933/000092708914000089/0000927089-14-000089-index.htm,https://www.sec.gov/Archives/edgar/data/1391933/000092708915000211/0000927089-15-000211-index.htm,https://www.sec.gov/Archives/edgar/data/1391933/000092708916000786/0000927089-16-000786-index.html,https://www.sec.gov/Archives/edgar/data/1391933/000092708917000139/0000927089-17-000139-index.html,https://www.sec.gov/Archives/edgar/data/1391933/000092708918000147/0000927089-18-000147-index.html,https://www.sec.gov/Archives/edgar/data/1391933/000092708919000156/0000927089-19-000156-index.html,https://www.sec.gov/Archives/edgar/data/1391933/000092708920000206/0000927089-20-000206-index.htm,https://www.sec.gov/Archives/edgar/data/1391933/000092708921000117/0000927089-21-000117-index.htm,https://www.sec.gov/Archives/edgar/data/1391933/000092708922000032/0000927089-22-000032-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4987000,1035000,5420000,8650000,11687000,20532000,13817000,20597000,23342000,15398000,12789000,30939000,24727000,43376000,18629000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6680000,7623000,10725000,4033000
33,Cash and Short-Term Investments,4987000,1035000,5420000,8650000,11687000,20532000,13817000,20597000,23342000,15398000,12789000,37619000,32350000,54101000,22662000
34,Net Receivables,517000,355000,397000,423000,543000,657000,735000,788000,983000,862000,1021000,1153000,1349000,3054000,1258000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,8082000,- -,- -,- -,- -,- -,- -,-4927000,-10172000,-23242000,520714000
37,Total Current Assets,- -,- -,- -,- -,20312000,21189000,14552000,21385000,24325000,16260000,13810000,33845000,23527000,33913000,544634000
38,PP&E,59000,67000,1092000,1073000,- -,- -,- -,- -,- -,- -,- -,- -,- -,2341000,2653000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,515000,515000,515000,515000,515000,2573000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,465000,416000,368000,319000,271000,222000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,980000,931000,883000,834000,786000,2795000
42,Investments,6089000,15762000,8733000,8677000,10595000,3994000,1680000,1706000,3005000,9555000,7912000,6680000,7623000,10725000,4033000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,78282000,92192000,111195000,132552000,156838000,189368000,216943000,229996000,270556000,-13066000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,88877000,96186000,112875000,134258000,159843000,199903000,225786000,237559000,279013000,786000,9481000
46,Other Assets,73545000,88381000,93937000,102101000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,563596000
47,Total Assets,73545000,88381000,93937000,102101000,109189000,117375000,127427000,155643000,184168000,216163000,239596000,271404000,302540000,34699000,554115000
48,Accounts Payable,127000,138000,117000,107000,98000,81000,77000,108000,123000,142000,167000,221000,314000,362000,174000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,7000000,6000000,7000000,10000000,9000000,10000000,10000000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1390000,-2449000,-362000,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,7108000,6123000,7142000,10167000,7831000,7865000,10000000,- -
54,Long-Term Debt,- -,11150000,7292000,6023000,3800000,2000000,5500000,4500000,7500000,8500000,18000000,22831000,34136000,36092000,57126000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7865000,-7899000,- -
58,Total Non-Current Liabilities,- -,11150000,7292000,6023000,3800000,2000000,5500000,4500000,7500000,8500000,18000000,22831000,26271000,28193000,57126000
59,Other Liabilities,55988000,82258000,83843000,92933000,97293000,102538000,115941000,135460000,166509000,196731000,225244000,262568000,295039000,473540000,574332000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,55988000,71108000,76551000,86910000,93493000,100538000,110441000,138068000,165132000,195373000,217411000,247568000,276633000,455347000,517206000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,14000,14000,14000,14000,14000,14000,14000,14000,28000,28000,28000,28000,28000,28000,- -
64,Retained Earnings,5227000,5634000,5987000,6521000,6915000,7743000,8260000,9291000,10323000,11538000,12643000,14136000,15937000,18465000,- -
65,Other Comprehensive Income/Loss,- -,- -,-171000,-224000,-270000,-376000,-518000,-685000,-867000,-1051000,-1243000,-1446000,-1646000,118000,- -
66,Other Total Stockholders Equity,12316000,11625000,11556000,8880000,9037000,9456000,9230000,8955000,9552000,10275000,10757000,11118000,11588000,10117000,- -
67,Total Stockholders Equity,17557000,17273000,17386000,15191000,15696000,16837000,16986000,17575000,19036000,20790000,22185000,23836000,25907000,28728000,34789000
68,Total Liabilities And Stockholders Equity,73545000,88381000,93937000,102101000,109189000,117375000,127427000,155643000,184168000,216163000,239596000,271404000,302540000,484075000,551995000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-449376000,2120000
70,Total Liabilities & Equity,73545000,88381000,93937000,102101000,109189000,117375000,127427000,155643000,184168000,216163000,239596000,271404000,302540000,34699000,554115000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1391933/000106540712000193/0001065407-12-000193-index.html,https://www.sec.gov/Archives/edgar/data/1391933/000106540713000125/0001065407-13-000125-index.html,https://www.sec.gov/Archives/edgar/data/1391933/000092708914000089/0000927089-14-000089-index.htm,https://www.sec.gov/Archives/edgar/data/1391933/000092708915000211/0000927089-15-000211-index.htm,https://www.sec.gov/Archives/edgar/data/1391933/000092708916000786/0000927089-16-000786-index.html,https://www.sec.gov/Archives/edgar/data/1391933/000092708917000139/0000927089-17-000139-index.html,https://www.sec.gov/Archives/edgar/data/1391933/000092708918000147/0000927089-18-000147-index.html,https://www.sec.gov/Archives/edgar/data/1391933/000092708919000156/0000927089-19-000156-index.html,https://www.sec.gov/Archives/edgar/data/1391933/000092708920000206/0000927089-20-000206-index.htm,https://www.sec.gov/Archives/edgar/data/1391933/000092708921000117/0000927089-21-000117-index.htm,https://www.sec.gov/Archives/edgar/data/1391933/000092708922000032/0000927089-22-000032-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,490000,511000,487000,671000,528000,981000,702000,1242000,1271000,1498000,1467000,2004000,2477000,3245000,6822000
74,Depreciation and Amortization,17000,14000,41000,55000,54000,106000,142000,167000,182000,204000,241000,250000,344000,443000,526000
75,Deferred Income Tax,-54000,-24000,-76000,-51000,22000,85000,-71000,-164000,-38000,-185000,232000,-26000,-41000,-566000,-336000
76,Stock Based Compensation,- -,- -,180000,186000,202000,230000,273000,272000,294000,300000,314000,340000,359000,346000,433000
77,Change in Working Capital,-32000,- -,- -,20312000,877000,-6637000,-275000,3925000,-9084000,-5475000,22371000,-10352000,8251000,520721000,3147000
78,Accounts Receivable,- -,- -,- -,- -,- -,-114000,-78000,-53000,-195000,121000,-159000,-132000,-196000,-1705000,-85000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,-21000,-10000,-9000,-17000,-4000,31000,15000,19000,25000,54000,93000,48000,-262000
81,Other Working Capital,- -,- -,- -,20312000,21189000,14552000,14277000,18202000,9118000,3643000,26014000,15662000,23913000,544634000,- -
82,Other Non-Cash Items,110000,258000,-181000,-19876000,-1294000,1626000,4530000,-5376000,6209000,5966000,-25045000,12648000,-13242000,-567950000,-36813000
83,Cash Provided by Operating Activities,531000,759000,451000,1297000,389000,-3609000,5301000,66000,-1166000,2308000,-420000,4864000,-1852000,-43761000,-37392000
84,CAPEX,-26000,-34000,-1066000,-36000,-105000,-610000,-219000,-197000,-542000,-374000,-472000,-381000,-763000,-634000,-938000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,- -,- -,- -,- -,1259000
86,Purchases of Investments,-4379000,-12402000,-1001000,-3797000,-7605000,-555000,-53000,-52000,-3073000,-7833000,- -,- -,-3319000,-4008000,- -
87,Sales/Maturities of Investments,26000,4049000,4303000,3842000,5771000,7747000,2339000,- -,1734000,1225000,1662000,1230000,2371000,1020000,6928000
88,Other Investing Activites,-7225000,-10421000,-3194000,-5191000,-1919000,-8976000,-22903000,-18634000,-20812000,-32637000,-23698000,-16680000,-35532000,-109810000,50000
89,Cash Used for Investing Activites,-11578000,-18774000,-958000,-5182000,-3858000,-2374000,-20788000,-18855000,-22528000,-40325000,-22486000,-15722000,-36848000,-113162000,-33698000
90,Debt Repayment,- -,- -,-4308000,-1269000,-2223000,-1800000,-2000000,-4500000,-2000000,-2000000,-6500000,-3000000,-3000000,-26010000,-70128000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,64000,54000,92000,94000,64000,38000,97000,96000
92,Common Stock Repurchased,- -,- -,-423000,-2901000,-47000,-33000,-563000,-760000,-10000,-17000,-347000,-793000,-339000,-349000,-25000
93,Dividends Paid,- -,-104000,-132000,-137000,-134000,-153000,-185000,-211000,-239000,-283000,-364000,-511000,-676000,-717000,-839000
94,Other Financing Activites,11837000,14167000,9755000,11422000,8910000,8682000,12019000,31949000,29158000,32319000,28633000,33200000,31220000,203260000,370000
95,Cash Used/Provided by Financing Activities,11837000,14063000,4892000,7115000,6506000,6696000,9271000,26542000,26963000,30111000,21516000,28960000,27243000,176281000,47882000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,790000,-3952000,4385000,3230000,3037000,713000,-6216000,7753000,3269000,-7906000,-1390000,18102000,-11457000,19358000,47882000
98,Cash at the End of Period,4987000,1035000,5420000,8650000,11687000,12400000,6184000,13937000,17206000,9300000,7910000,26012000,14555000,33913000,10705000
99,Cash at the Beginning of Period,4197000,4987000,1035000,5420000,8650000,11687000,12400000,6184000,13937000,17206000,9300000,7910000,26012000,14555000,33913000
100,Free Cash Flow,505000,725000,-615000,1261000,284000,-4219000,5082000,-131000,-1708000,1934000,-892000,4483000,-2615000,-44395000,-38330000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1391933/000106540712000193/0001065407-12-000193-index.html,https://www.sec.gov/Archives/edgar/data/1391933/000106540713000125/0001065407-13-000125-index.html,https://www.sec.gov/Archives/edgar/data/1391933/000092708914000089/0000927089-14-000089-index.htm,https://www.sec.gov/Archives/edgar/data/1391933/000092708915000211/0000927089-15-000211-index.htm,https://www.sec.gov/Archives/edgar/data/1391933/000092708916000786/0000927089-16-000786-index.html,https://www.sec.gov/Archives/edgar/data/1391933/000092708917000139/0000927089-17-000139-index.html,https://www.sec.gov/Archives/edgar/data/1391933/000092708918000147/0000927089-18-000147-index.html,https://www.sec.gov/Archives/edgar/data/1391933/000092708919000156/0000927089-19-000156-index.html,https://www.sec.gov/Archives/edgar/data/1391933/000092708920000206/0000927089-20-000206-index.htm,https://www.sec.gov/Archives/edgar/data/1391933/000092708921000117/0000927089-21-000117-index.htm,- -
102,false,,,,,,,,,,,,,,,
