,https://roic.ai/company/IBAL,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,1500000,1600000,2000000,2400000,2900000,2500000,2200000,2200000,2569880,3506322,2897568,2971219,2431873,1698962,1243435,1520237,1132355,1153859,1181874,1212317,1343472,1548141,1307416,1135135,1352776,1844427,1990734,3026658,2006343,1635902,1141802,1153970,1406835,1453684,2142692
11,COGS and Expenses,5100000,5300000,6100000,7100000,10200000,7100000,7200000,8200000,9631799,14009072,12700045,12798213,10740414,7964893,5576683,5234538,5802645,6360894,7135928,7762825,9004991,11427323,6898784,7217115000,9940648,15936800000,15035735,18604504,16814408,11683214,10383237,10706278,10236870,9586075,10922279
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21095,11159,8297,6047,959,6706,3500,10038,5198,6105,9712,14371,4233
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15064,3160,- -,516,12671,35816,5535,514,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,100000,100000,-200000,-200000,-200000,-100000,-100000,125820,270270,271873,210481,191371,86554,54054,42956,40424,29206,28712,32742,83819,99648,107405,90765,88947,131826,133221,143109,153466,180025,188587,183630,205065,214523,224468
15,EBITDA,-1800000,400000,900000,800000,400000,-3000000,200000,600000,552408,146590,-9781,-1174847,-638481,953120,-126747,238038,-357116,215576,132303,440178,691378,1499370,-176023,412941925,1206110,1888808342,1181383,1330814,1442031,157437,305489,597439,-319677,-360657,-62669
16,EBITDA ratio,-0.3750,0.0714,0.1304,0.1053,0.0370,-0.4478,0.0267,0.0659,0.0535,0.0105,-0.0008,-0.0979,-0.0630,0.1150,-0.0234,0.0464,-0.0654,0.0328,0.0180,0.0540,0.0718,0.1174,-0.0267,0.0540,0.1092,0.1060,0.0735,0.0673,0.0797,0.0135,0.0291,0.0538,-0.0336,-0.0401,-0.0063
17,Operating Income,-300000,300000,800000,500000,600000,-400000,300000,900000,697960,-26169,-169072,-798902,-601986,322633,-154771,-108821,-342498,220566,223075,383449,629230,1341545,-304574,429786,1108866,1883145,1047203,1180999,1285065,-32626,111704,407704,-710295,-600051,-919836
18,Operating Income ratio,-0.0625,0.0536,0.1159,0.0658,0.0556,-0.0597,0.0400,0.0989,0.0676,-0.0019,-0.0135,-0.0666,-0.0594,0.0389,-0.0285,-0.0212,-0.0627,0.0335,0.0303,0.0471,0.0653,0.1051,-0.0462,0.0001,0.1004,0.0001,0.0651,0.0597,0.0710,-0.0028,0.0106,0.0367,-0.0746,-0.0668,-0.0920
19,Total Other Income Expenses (Gains),-1500000,100000,- -,500000,- -,-400000,- -,- -,-271372,-97511,-112582,-586426,-7283,543933,-26030,303903,-55042,-34196,-119484,23987,-21671,58177,6082,412418214,8297,1886792855,-11712,-29110,-2035,9524,5198,6105,185553,24871,632699
20,Income Before Tax,- -,- -,800000,1000000,600000,- -,- -,- -,426588,-123680,-281654,-1385328,- -,866566,-180801,195082,-397540,186370,103591,407436,607559,1399722,-298492,412848000,1117163,1888676000,1035491,1151889,1283030,-23102,116902,413809,-524742,-575180,-287137
21,Income Before Tax Ratio,- -,- -,0.1159,0.1316,0.0556,- -,- -,- -,0.0413,-0.0088,-0.0225,-0.1155,- -,0.1046,-0.0333,0.0381,-0.0728,0.0283,0.0141,0.0500,0.0631,0.1096,-0.0453,0.0540,0.1011,0.1060,0.0644,0.0582,0.0709,-0.0020,0.0111,0.0372,-0.0551,-0.0640,-0.0287
22,Income Tax expense (Gain),- -,- -,500000,300000,200000,- -,- -,- -,-369000,442000,- -,- -,- -,18000,- -,- -,- -,- -,- -,- -,5099,-655560,-115286,158550000,433500,681246000,352297,437470,470662,-113512,43542,103580,-201128,-166765,-156323
23,Net Income,-1800000,300000,300000,700000,400000,-2800000,300000,700000,795588,-565680,-281654,-1385328,-829852,848566,-180801,195082,-397540,186370,103591,407436,602460,2055282,-183206,254298000,683663,1207430000,683194,714419,812368,90410,73360,310229,-323614,-408415,-130814
24,Net Income ratio,-0.3750,0.0536,0.0435,0.0921,0.0370,-0.4179,0.0400,0.0769,0.0770,-0.0405,-0.0225,-0.1155,-0.0819,0.1024,-0.0333,0.0381,-0.0728,0.0283,0.0141,0.0500,0.0625,0.1610,-0.0278,0.0333,0.0619,0.0678,0.0425,0.0361,0.0449,0.0078,0.0070,0.0279,-0.0340,-0.0455,-0.0131
25,EPS,-0.58,0.08,0.08,0.16,0.08,-0.74,0.08,0.17,0.17,-0.10,-0.06,-0.25,-0.15,0.15,-0.03,0.04,-0.07,0.03,0.02,0.08,0.12,0.42,-0.04,0.05,0.13,0.23,0.13,0.14,0.16,0.02,0.01,0.06,-0.06,-0.08,-0.03
26,EPS Diluted,-0.58,0.08,0.08,0.16,0.08,-0.74,0.08,0.17,0.17,-0.10,-0.06,-0.25,-0.15,0.15,-0.03,0.04,-0.07,0.03,0.02,0.08,0.12,0.40,-0.04,0.05,0.13,0.23,0.13,0.14,0.16,0.02,0.01,0.06,-0.06,-0.08,-0.03
27,Weighted Average Shares Outstanding,3103448,3750000,3750000,4375000,5000000,3783784,3750000,4117647,4861464,5310322,4939832,5475171,5516349,5516349,5516349,5516349,5516349,5516349,5320070,4933895,4933895,4933895,4933895,4933895,5077045,5183895,5183895,5183895,5183895,5183895,5183895,5183895,5183895,5183895,5183895
28,Weighted Average Shares Outstanding Diluted,3103448,3750000,3750000,4375000,5000000,3783784,3750000,4117647,4861464,5310322,5000000,5475171,5516349,5516349,5516349,5516349,5516349,5516349,5391499,4933895,5093534,5136125,4933895,5042386,5133014,5183895,5183895,5183895,5183895,5183895,5183895,5183895,5183895,5183895,5183895
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/781902/000107261311000054/0001072613-11-000054-index.htm,https://www.sec.gov/Archives/edgar/data/781902/000107261312000035/0001072613-12-000035-index.html,https://www.sec.gov/Archives/edgar/data/781902/000147124213000039/0001471242-13-000039-index.html,https://www.sec.gov/Archives/edgar/data/781902/000147124214000042/0001471242-14-000042-index.htm,https://www.sec.gov/Archives/edgar/data/781902/000147124215000021/0001471242-15-000021-index.htm,https://www.sec.gov/Archives/edgar/data/781902/000160706216000619/0001607062-16-000619-index.html,https://www.sec.gov/Archives/edgar/data/781902/000160706217000040/0001607062-17-000040-index.html,https://www.sec.gov/Archives/edgar/data/781902/000160706218000036/0001607062-18-000036-index.html,https://www.sec.gov/Archives/edgar/data/781902/000160706219000048/0001607062-19-000048-index.html,https://www.sec.gov/Archives/edgar/data/781902/000160706220000032/0001607062-20-000032-index.html,https://www.sec.gov/Archives/edgar/data/781902/000160706221000019/0001607062-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/781902/000160706222000130/0001607062-22-000130-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,160630,99495,245553,574520,341250,1264782,2245930,1609305,2101204000,2875149,1719140000,1877256,2803698,3665219,2719337,4541767,4733510,2714764,2626221,1742336
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35963,67745,- -,- -,- -,- -,- -,- -,168664,400145,308501,155289,- -,- -,- -,1011824,1012960
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,160630,99495,245553,610483,408995,1264782,2245930,1609305,2101204000,2875149,1719140000,2045920,3203843,3973720,2874626,4541767,4733510,2714764,3638045,2755296
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,549784,654624,984128,556947,1102314,581886,1152270,619383,- -,1038979,- -,2466887,3732637,1218989,881997,909784,556666,644915,1121049,1304590
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1537648,1287647,1104936,1431021,1308160,2205160,1734261,1145998,1281312000,2583100,4195551000,5960365,4788881,3871167,3839115,4429648,4257085,4119057,4254880,4708263
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14604,58519,63831,55656,61969,59888,610941,641341,1208177000,268207,1715505000,1256,1256,694048,311135,232821,166604,1081247,92195,131333
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2262666,2100285,2398448,2654107,2881438,4111716,5743402,4016027,4590693000,6765435,7630196000,10474428,11726617,9757924,7906873,10114020,9713865,8559983,9106169,8899482
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,533282,517836,488630,467993,740462,792618,906338,870933,2414055000,1049300,2871755000,1123929,1127413,1182657,1480827,1322692,1270705,1310220,1278697,1333518
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,114495,- -,- -,11074,- -,71128,217676,246186,35719,37348,61494,161122,77890,133010
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,415055,94014,84774,162862,80959,300802,280866,456292,-1439531000,4384,-1837772000,-61377,-216420,63571,1256,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,948337,611850,573404,630855,821421,1093420,1301699,1327225,974524000,1064758,1033983000,1133680,1128669,1492414,1517802,1360040,1332199,1471342,1356587,1466528
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3211003,2712135,2971852,3284962,3702859,5205136,7045101,5343252,5565217000,7830193,8664179000,11608108,12855286,11250338,9424675,11474060,11046064,10031325,10462756,10366010
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,288167,265652,515485,498993,621192,774372,553268,234678,330459000,630556,706255000,1439777,923391,463000,390108,765019,581651,329618,480278,421293
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48159,156261,9246,4737,4737,41540,44763,2654,- -,- -,- -,1648649,654224,10223,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67000,- -,- -,- -,- -,- -,435185000,180313000,151259000,71128000,217676000,246186000,35719000,37348000,61494000,161122000,526725,749820
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1081160,910868,859552,1068326,997186,1606512,1695852,694806,190015000,-178421093,1307227000,-69790950,-214495083,-244328145,-35484262,-35512148,-60213005,-160280097,377898,874322
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1417486,1332781,1451283,1572056,1623115,2422424,2293883,932138,955659000,2522463,2164741000,4425476,4758532,2331078,624846,2600871,1862646,1171521,1384901,2045435
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,144479,105324,- -,- -,- -,- -,- -,28223,18837,- -,- -,- -,- -,626466,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,180313,- -,71128,217676,246186,35719,37348,61494,161122,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,394000,389928,353321,315831,275233,231262,183641,132067,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,394000,389928,353321,315831,275233,375741,288965,132067,- -,180313,- -,71128,245899,265023,35719,37348,61494,161122,626466,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76213000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1811486,1722709,1804604,1887887,1898348,2798165,2582848,1064205,1031872000,2538185,2164741000,4425476,4958235,2540919,624846,2600871,1862646,1171521,2011367,2045435
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61799,61799,61799,61799,61799,61799,61799,61799,- -,64299,- -,64299,64299,64299,64299,64299,64299,64299,64299,64299
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4222922,-4620462,-4434092,-4330501,-3923065,-3320605,-1265323,-1448529,- -,-510568,696862000,1380056,2094475,2906843,2997253,3070613,3380842,3057228,2648813,2517999
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-367241,-379792,-388340,-1414416,-1442545,-1431130,-1437405,-1534652,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3161864,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5927881,5927881,5927881,7080193,7108322,7096907,7103182,7200429,4533345,5738277,- -,5738277,5738277,5738277,5738277,5738277,5738277,5738277,8900141,5738277
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1399517,989426,1167248,1397075,1804511,2406971,4462253,4279047,4533345,5292008,6499438,7182632,7897051,8709419,8799829,8873189,9183418,8859804,8451389,8320575
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3211003,2712135,2971852,3284962,3702859,5205136,7045101,5343252,1036405345,7830193,2171240438,11608108,12855286,11250338,9424675,11474060,11046064,10031325,10462756,10366010
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4528811655,- -,6492938562,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3211003,2712135,2971852,3284962,3702859,5205136,7045101,5343252,5565217000,7830193,8664179000,11608108,12855286,11250338,9424675,11474060,11046064,10031325,10462756,10366010
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/781902/000107261311000054/0001072613-11-000054-index.htm,https://www.sec.gov/Archives/edgar/data/781902/000107261312000035/0001072613-12-000035-index.html,https://www.sec.gov/Archives/edgar/data/781902/000147124213000039/0001471242-13-000039-index.html,https://www.sec.gov/Archives/edgar/data/781902/000147124214000042/0001471242-14-000042-index.htm,https://www.sec.gov/Archives/edgar/data/781902/000147124215000021/0001471242-15-000021-index.htm,https://www.sec.gov/Archives/edgar/data/781902/000160706216000619/0001607062-16-000619-index.html,https://www.sec.gov/Archives/edgar/data/781902/000160706217000040/0001607062-17-000040-index.html,https://www.sec.gov/Archives/edgar/data/781902/000160706218000036/0001607062-18-000036-index.html,https://www.sec.gov/Archives/edgar/data/781902/000160706219000048/0001607062-19-000048-index.html,https://www.sec.gov/Archives/edgar/data/781902/000160706220000032/0001607062-20-000032-index.html,https://www.sec.gov/Archives/edgar/data/781902/000160706221000019/0001607062-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/781902/000160706222000130/0001607062-22-000130-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,700000,400000,-2800000,300000,700000,795588,-565680,-281654,-1385328,-829852,848566,-180801,195082,-397540,186370,103591,407436,602460,2055282,-183206,254298000,683663,1207430000,683194,714419,812368,90410,73360,310229,-323614,-408415,-130814
74,Depreciation and Amortization,- -,- -,- -,-200000,-200000,-200000,-100000,-100000,125820,270270,271873,210481,191371,86554,54054,42956,40424,29206,28712,32742,83819,99648,107405,90765,88947,131826,133221,143109,153466,180025,188587,183630,205065,214523,224468
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,-413000,413000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-643960,-115286,158550,409309,39886,71878,33427,-8986,19463,-1629,-24146,-99628,83232,-55120
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,100000,- -,- -,- -,- -,1438057,-2058025,619968,- -,- -,- -,- -,845180,-77676,179661,134886,176272,430969,1760227,-365630,3631950111,-3630791028,5461212028,-5459406048,919133,458761,-144819,231122,338070,-462757,332806,-15528
78,Accounts Receivable,- -,- -,- -,- -,-1300000,200000,-100000,-300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,464017,-63995,-317495,-411814,-1011094,-1249398,2528060,336992,-27787,353118,-88249,-143319,-82337
79,Inventory,- -,- -,- -,- -,-200000,-300000,100000,100000,-1025560,-817522,782930,-302010,602899,137737,-144811,186887,250001,182711,-326085,122861,-897000,470899,588263,-135314,-1301788,-1612451,-1764814,1171484,917714,32052,-590533,172563,138028,-135823,-453383
80,Accounts Payable,- -,- -,- -,- -,400000,-100000,-200000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-318590,95781,300097,75699,733522,-516386,-460391,-72892,374911,-183368,-252033,150660,-58985
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,1438057,-619968,- -,- -,- -,- -,- -,845180,767504,947165,1082051,1258323,1689292,3449519,3083889,3635034000,4242972,5465455000,6048952,6968085,7426846,7282027,7513149,7851219,7388462,7721268,223095
82,Other Non-Cash Items,- -,- -,- -,500000,-800000,3100000,200000,- -,-238066,551321,-449826,772987,1393797,-775743,-66550,-678428,48874,-169687,188413,-594630,-122025,-2068285,181290,-3886231059,3630641672,-6669873151,5457248354,229149,1271263,-1236497,1050979,-484397,-89843,-756220,-626466
83,Cash Provided by Operating Activities,- -,- -,- -,1100000,-600000,100000,400000,600000,1708399,-1389114,160361,-401860,755316,159377,-193297,404790,-385918,225550,455602,21820,995223,1202912,-375427,266367,1032563,-1059411,-1269401,2039237,2686872,-1091418,1542419,323386,-770777,-534074,-603460
84,CAPEX,- -,- -,- -,-200000,-300000,- -,- -,- -,-960233,-639100,-69683,-28583,-17782,-7666,-7366,-11822,-24978,- -,-5000,-300598,-128573,-204572,-125592,-8470,-346949,-110751,-224805,-105338,-208710,-478195,-30452,-131643,-244580,-183000,-279289
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-200000,-300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-103369,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1003389,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,500000,- -,- -,- -,37101,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35624,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-800000,-100000,-100000,- -,-88174,177416,-90383,-2842,-13902,638144,-18722,-2765,308490,692,9309,9884,-110862,18740,11827,12556,13331,14153,3673,- -,67846,652791,310463,- -,- -,2065,-1136
89,Cash Used for Investing Activites,- -,- -,- -,-400000,-900000,-100000,-100000,- -,-1011306,-461684,-160066,-46425,-31684,630478,-26088,-14587,283512,692,-99060,-255090,-239435,-185832,-113765,4086,-333618,-96598,-221132,-105338,-140864,174596,280011,-131643,-1247969,-180935,-280425
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-332557,-1712711,-2069512,-4420838,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-147433,-2654,- -,- -,- -,-3153,-1103387,-29060,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,250000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,-600000,800000,-100000,-300000,-300000,- -,2589167,2010000,4857689,-774549,-632241,67409,-253643,41271,-80184,-27575,- -,167644,-35932,- -,224100,- -,- -,1648649,-1004304,450000,- -,- -,- -,- -,626466,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-600000,800000,-100000,-300000,-300000,-82557,876456,-59512,436851,-774549,-632241,67409,-253643,41271,-80184,-27575,- -,167644,-35932,-147433,221446,75000,- -,1648649,-1007457,-653387,-29060,- -,- -,- -,626466,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
